Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8929,9.8525,2.8448,0.8977,9.8491,2.8453
1,Line,,,,,,,0.0281,,,,,,,,,,14,-0.0171,0.0049,-0.0037,0.8983,9.8472,2.8125,0.9194,9.8411,2.8170
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8838,9.8413,2.8380,0.8886,9.8379,2.8384
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8856,9.8437,2.8414,0.8903,9.8403,2.8418
1,Line,,,,,,,0.0076,,,,,,,,,,178,-0.0039,0.0027,-0.0004,0.8877,9.8464,2.8437,0.8925,9.8430,2.8442
1,Line,,,,,,,0.0137,,,,,,,,,,176,0.0018,0.0029,0.0093,0.9077,9.8289,2.8396,0.9056,9.8254,2.8281
1,Line,,,,,,,0.0266,,,,,,,,,,178,0.0135,-0.0096,0.0013,0.9056,9.8254,2.8281,0.8889,9.8373,2.8265
1,Line,,,,,,,0.0267,,,,,,,,,,178,0.0136,-0.0097,0.0013,0.9080,9.8275,2.8196,0.8913,9.8394,2.8180
1,Line,,,,,,,0.0226,,,,,,,,,,178,0.0115,-0.0082,0.0011,0.9098,9.8363,2.8423,0.8956,9.8464,2.8410
1,Line,,,,,,,0.0256,,,,,,,,,,178,0.0130,-0.0092,0.0012,0.9187,9.8428,2.8369,0.9027,9.8542,2.8354
1,Line,,,,,,,0.0266,,,,,,,,,,178,0.0135,-0.0096,0.0013,0.9077,9.8289,2.8396,0.8910,9.8408,2.8380
1,Line,,,,,,,0.0102,,,,,,,,,,85,-0.0020,-0.0017,0.0069,0.9056,9.8254,2.8281,0.9080,9.8275,2.8196
1,Line,,,,,,,0.0407,,,,,,,,,,0,-0.0052,-0.0084,-0.0276,0.9321,9.7839,2.8275,0.9385,9.7943,2.8616
1,Line,,,,,,,0.0185,,,,,,,,,,105,0.0040,0.0093,-0.0055,0.9369,9.7954,2.8207,0.9321,9.7839,2.8275
1,Line,,,,,,,0.0269,,,,,,,,,,178,0.0137,-0.0097,0.0013,0.9152,9.8351,2.8141,0.8983,9.8472,2.8125
1,Line,,,,,,,0.0110,,,,,,,,,,118,0.0017,0.0060,0.0022,0.9098,9.8363,2.8423,0.9077,9.8289,2.8396
1,Line,,,,,,,0.0333,,,,,,,,,,81,-0.0146,-0.0122,0.0096,0.8964,9.8113,2.8639,0.9144,9.8264,2.8520
1,Line,,,,,,,0.0563,,,,,,,,,,6,-0.0313,0.0169,-0.0004,0.8966,9.8111,2.8577,0.9352,9.7902,2.8582
1,Line,,,,,,,0.0563,,,,,,,,,,6,-0.0313,0.0169,-0.0004,0.8964,9.8113,2.8639,0.9350,9.7905,2.8644
1,Line,,,,,,,0.0186,,,,,,,,,,105,0.0040,0.0093,-0.0055,0.9434,9.8058,2.8548,0.9385,9.7943,2.8616
1,Line,,,,,,,0.0563,,,,,,,,,,6,-0.0313,0.0169,-0.0004,0.8929,9.8051,2.8381,0.9315,9.7842,2.8385
1,Line,,,,,,,0.0563,,,,,,,,,,6,-0.0313,0.0169,-0.0004,0.8936,9.8061,2.8407,0.9322,9.7852,2.8412
1,Line,,,,,,,0.0563,,,,,,,,,,6,-0.0313,0.0169,-0.0004,0.8954,9.8089,2.8473,0.9341,9.7880,2.8478
1,3D Polyline,,,,,,,0.0085,,,,,,,,,,,,,,,,,,,
1,3D Polyline,,,,,,,0.0118,,,,,,,,,,,,,,,,,,,
1,Arc,,,,,,,0.0068,0.0000,0.8743,9.7855,2.8639,0.0454,180,9,,,,,,,,,,,,
