Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0253,,,,,,,,,,,,,,,,317,0.0182,-0.0168,0.0050,0.7002,1.1302,2.6609,0.6820,1.1471,2.6560
1,Line,0.0253,,,,,,,,,,,,,,,,315,0.0175,-0.0174,0.0055,0.7176,1.1128,2.6665,0.7002,1.1302,2.6609
1,Line,0.0253,,,,,,,,,,,,,,,,313,0.0167,-0.0179,0.0061,0.7344,1.0949,2.6726,0.7176,1.1128,2.6665
1,Line,0.0129,,,,,,,,,,,,,,,,61,0.0041,0.0075,0.0096,0.7002,1.1302,2.6609,0.6960,1.1227,2.6514
1,Line,0.0253,,,,,,,,,,,,,,,,321,0.0195,-0.0156,0.0038,0.6632,1.1633,2.6516,0.6437,1.1789,2.6478
1,Line,0.0140,,,,,,,,,,,,,,,,61,0.0045,0.0082,0.0104,0.6236,1.1939,2.6445,0.6191,1.1857,2.6342
1,Line,0.0141,,,,,,,,,,,,,,,,61,0.0045,0.0083,0.0105,0.6437,1.1789,2.6478,0.6391,1.1707,2.6373
1,Line,0.0140,,,,,,,,,,,,,,,,61,0.0045,0.0082,0.0104,0.6632,1.1633,2.6516,0.6587,1.1551,2.6412
1,Line,0.0253,,,,,,,,,,,,,,,,319,0.0188,-0.0162,0.0044,0.6820,1.1471,2.6560,0.6632,1.1633,2.6516
1,Line,0.0253,,,,,,,,,,,,,,,,329,0.0217,-0.0129,-0.0001,0.5562,1.2278,2.6296,0.5345,1.2406,2.6296
1,Line,0.0091,,,,,,,,,,,,,,,,58,0.0041,0.0064,0.0050,0.5124,1.2529,2.6305,0.5083,1.2464,2.6255
1,Line,0.0106,,,,,,,,,,,,,,,,58,0.0048,0.0075,0.0058,0.5345,1.2406,2.6296,0.5297,1.2331,2.6238
1,Line,0.0119,,,,,,,,,,,,,,,,58,0.0053,0.0084,0.0065,0.5562,1.2278,2.6296,0.5509,1.2194,2.6230
1,Line,0.0253,,,,,,,,,,,,,,,,328,0.0214,-0.0135,0.0007,0.5776,1.2143,2.6303,0.5562,1.2278,2.6296
1,Line,0.0091,,,,,,,,,,,,,,,,241,-0.0029,-0.0054,-0.0068,0.7474,1.0711,2.6724,0.7503,1.0765,2.6792
1,Line,0.0119,,,,,,,,,,,,,,,,61,0.0038,0.0070,0.0088,0.7176,1.1128,2.6665,0.7138,1.1059,2.6576
1,Line,0.0253,,,,,,,,,,,,,,,,311,0.0160,-0.0184,0.0066,0.7503,1.0765,2.6792,0.7344,1.0949,2.6726
1,Line,0.0253,,,,,,,,,,,,,,,,331,0.0221,-0.0123,-0.0009,0.5345,1.2406,2.6296,0.5124,1.2529,2.6305
1,Line,0.0106,,,,,,,,,,,,,,,,61,0.0034,0.0062,0.0079,0.7344,1.0949,2.6726,0.7309,1.0887,2.6646
1,Line,0.0253,,,,,,,,,,,,,,,,323,0.0201,-0.0150,0.0032,0.6437,1.1789,2.6478,0.6236,1.1939,2.6445
1,Line,0.0119,,,,,,,,,,,,,,,,68,0.0020,0.0051,0.0105,0.7197,1.1179,2.6770,0.7176,1.1128,2.6665
1,Line,0.0253,,,,,,,,,,,,,,,,312,0.0165,-0.0185,0.0050,0.7362,1.0994,2.6820,0.7197,1.1179,2.6770
1,Line,0.0091,,,,,,,,,,,,,,,,248,-0.0016,-0.0039,-0.0081,0.7503,1.0765,2.6792,0.7519,1.0804,2.6873
1,Line,0.0106,,,,,,,,,,,,,,,,68,0.0018,0.0045,0.0094,0.7362,1.0994,2.6820,0.7344,1.0949,2.6726
1,Line,0.0253,,,,,,,,,,,,,,,,309,0.0157,-0.0191,0.0053,0.7519,1.0804,2.6873,0.7362,1.0994,2.6820
1,Line,0.0253,,,,,,,,,,,,,,,,316,0.0181,-0.0171,0.0044,0.7024,1.1357,2.6724,0.6843,1.1528,2.6680
1,Line,0.0140,,,,,,,,,,,,,,,,68,0.0024,0.0060,0.0124,0.6656,1.1693,2.6640,0.6632,1.1633,2.6516
1,Line,0.0135,,,,,,,,,,,,,,,,68,0.0023,0.0058,0.0120,0.6843,1.1528,2.6680,0.6820,1.1471,2.6560
1,Line,0.0129,,,,,,,,,,,,,,,,68,0.0022,0.0055,0.0114,0.7024,1.1357,2.6724,0.7002,1.1302,2.6609
1,Line,0.0253,,,,,,,,,,,,,,,,314,0.0173,-0.0178,0.0047,0.7197,1.1179,2.6770,0.7024,1.1357,2.6724
1,Line,0.0253,,,,,,,,,,,,,,,,327,0.0212,-0.0136,0.0020,0.6029,1.2082,2.6419,0.5817,1.2218,2.6399
1,Line,0.0119,,,,,,,,,,,,,,,,61,0.0038,0.0070,0.0088,0.5601,1.2347,2.6384,0.5562,1.2278,2.6296
1,Line,0.0129,,,,,,,,,,,,,,,,61,0.0041,0.0075,0.0096,0.5817,1.2218,2.6399,0.5776,1.2143,2.6303
