Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Circle,,0.0188,0.0200,2.7028,0.4648,0.0774,,,0.4865,0.1549,,,,,,,,,,,,,,,,
1,Line,0.0619,,,,,,,,,,,,,,,,128,-0.0300,0.0383,-0.0383,0.0200,2.6480,0.5196,0.0500,2.6097,0.5578
1,Arc,0.0246,0.0001,0.0500,2.8394,0.3932,0.0078,280,180,,,,,,,,,,,,,,,,,,
1,Line,0.0619,,,,,,,,,,,,,,,,128,-0.0300,0.0383,0.0383,0.0200,2.6480,0.4101,0.0500,2.6097,0.3718
1,Arc,0.0250,0.0001,0.0500,2.5479,0.5244,0.0080,75,180,,,,,,,,,,,,,,,,,,
1,Line,0.0619,,,,,,,,,,,,,,,,123,-0.0300,0.0469,-0.0271,0.0200,2.6357,0.5035,0.0500,2.5888,0.5306
1,Line,0.0185,,,,,,,,,,,,,,,,90,0.0000,-0.0185,0.0004,0.0500,2.5500,0.5321,0.0500,2.5684,0.5317
1,Line,0.0185,,,,,,,,,,,,,,,,90,0.0000,-0.0131,0.0130,0.0500,2.7231,0.6358,0.0500,2.7362,0.6228
1,Line,0.0185,,,,,,,,,,,,,,,,90,0.0000,0.0000,0.0185,0.0500,2.7753,0.6219,0.0500,2.7753,0.6034
1,Arc,0.0246,0.0001,0.0500,2.8538,0.4306,0.0078,235,180,,,,,,,,,,,,,,,,,,
1,Line,0.0185,,,,,,,,,,,,,,,,90,0.0000,-0.0132,0.0129,0.0500,2.6457,0.6259,0.0500,2.6589,0.6129
1,Line,0.0185,,,,,,,,,,,,,,,,90,0.0000,0.0102,-0.0154,0.0500,2.6762,0.2932,0.0500,2.6660,0.3086
1,Circle,,0.1134,0.0500,2.7028,0.4648,0.1900,,,1.1938,0.3800,,,,,,,,,,,,,,,,
1,Line,0.0700,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.0691,-0.0856,1.2006,0.4266,-0.0856,1.2006,0.4957
1,Line,0.0685,,,,,,,,,,,,,,,,90,0.0000,0.0675,0.0000,0.0000,1.2681,0.4266,0.0000,1.2006,0.4266
1,Line,0.0700,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.0691,0.0000,1.2006,0.4266,0.0000,1.2006,0.4957
1,Line,0.1156,,,,,,,,,,,,,,,,180,-0.1156,0.0000,0.0000,-0.1156,1.2681,0.4266,0.0000,1.2681,0.4266
1,Line,0.7115,,,,,,,,,,,,,,,,90,0.0000,0.7020,0.0000,-0.0856,1.2006,0.4266,-0.0856,0.4986,0.4266
1,Line,0.7115,,,,,,,,,,,,,,,,90,0.0000,-0.7020,0.0000,-0.0856,0.4986,0.4957,-0.0856,1.2006,0.4957
1,Line,0.0856,,,,,,,,,,,,,,,,0,0.0856,0.0000,0.0000,0.0000,1.2006,0.4957,-0.0856,1.2006,0.4957
1,Group_18,,,,,,,,,,,0.0200,2.5128,0.2748,1.0000,1.0000,1.0000,,,,,,,,,,
1,Circle,,0.0544,0.0500,2.7028,0.4648,0.1316,,,0.8266,0.2631,,,,,,,,,,,,,,,,
