,1454.5729,2001.771,760.5483,,,,,,,,,,,,,,,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,46.5126,,,,,,,,,,,,,,,,80,-5.3219,-32.7788,-32.4462,1476.5542,2019.4668,741.8644,1481.8761,2052.2456,774.3106
1,Line,47.8467,,,,,,,,,,,,,,,,104,-6.6298,30.2077,36.3942,1475.2462,2047.3127,780.7523,1481.8761,2017.1049,744.3581
1,Line,45.8565,,,,,,,,,,,,,,,,93,-1.3544,33.3482,31.3229,1476.5542,2054.3338,771.5836,1477.9085,2020.9857,740.2607
1,Line,46.4077,,,,,,,,,,,,,,,,99,-4.0613,29.6205,35.3821,1483.2552,2053.8402,772.2283,1487.3164,2024.2196,736.8462
1,Line,46.2356,,,,,,,,,,,,,,,,80,5.3466,32.8545,31.9676,1483.2552,2053.8402,772.2283,1477.9085,2020.9857,740.2607
1,Line,48.5846,,,,,,,,,,,,,,,,77,-7.3642,-33.5458,-34.2401,1465.7837,1943.6265,683.6014,1473.1479,1977.1723,717.8416
1,Line,46.5126,,,,,,,,,,,,,,,,81,-5.3219,-32.447,32.778,1476.5542,2638.2365,725.0518,1481.8761,2670.6835,692.2737
1,Line,45.8565,,,,,,,,,,,,,,,,87,-1.3544,-27.9662,36.2092,1476.5542,2638.2365,725.0518,1477.9085,2666.2028,688.8426
1,Line,46.4077,,,,,,,,,,,,,,,,80,-4.0613,-23.6427,39.6268,1483.2552,2638.8261,725.6101,1487.3164,2662.4688,685.9834
1,Line,45.4317,,,,,,,,,,,,,,,,80,-5.3574,-30.6322,33.0072,1481.959,2631.8366,718.9906,1487.3164,2662.4688,685.9834
1,Line,46.2356,,,,,,,,,,,,,,,,80,5.3466,31.9683,-32.8538,1483.2552,2668.6012,690.6792,1477.9085,2636.6328,723.533
1,Line,47.7172,,,,,,,,,,,,,,,,100,5.1768,-26.0289,39.5511,1473.1479,2648.4857,734.7585,1467.9711,2674.5147,695.2074
1,Line,48.5846,,,,,,,,,,,,,,,,75,-7.3642,-26.5181,39.9309,1465.7837,2652.6461,738.6987,1473.1479,2679.1641,698.7678
1,Line,46.7487,,,,,,,,,,,,,,,,86,-2.0399,-28.7652,36.6848,1467.9711,2644.2339,730.7317,1470.0111,2672.9991,694.0469
1,Line,47.4152,,,,,,,,,,,,,,,,100,-5.2352,26.3778,-38.9459,1470.0111,2672.9991,694.0469,1475.2462,2646.6213,732.9927
1,Line,47.8467,,,,,,,,,,,,,,,,75,-6.6298,-24.0622,40.719,1475.2462,2646.6213,732.9927,1481.8761,2670.6835,692.2737
1,Line,46.5126,,,,,,,,,,,,,,,,97,5.3219,-37.3979,26.9929,1481.8761,2531.3172,811.5388,1476.5542,2568.7151,784.5459
1,Line,45.8565,,,,,,,,,,,,,,,,88,-1.3544,-37.7869,25.7951,1476.5542,2529.6753,808.522,1477.9085,2567.4622,782.7268
1,Line,46.2356,,,,,,,,,,,,,,,,97,-5.3466,37.3988,-26.5083,1477.9085,2567.4622,782.7268,1483.2552,2530.0634,809.2352
1,Line,47.7219,,,,,,,,,,,,,,,,94,2.2945,-26.942,39.2152,1441.861,2681.3245,700.4221,1439.5665,2708.2665,661.2069
1,Line,41.0105,,,,,,,,,,,,,,,,76,-5.886,-22.9129,33.4082,1439.5665,2627.7292,659.3816,1445.4525,2650.6421,625.9734
1,Line,44.9138,,,,,,,,,,,,,,,,88,-0.6454,-27.2572,35.5867,1481.9819,2631.8096,718.965,1482.6273,2659.0668,683.3783
1,Line,44.9728,,,,,,,,,,,,,,,,89,-0.0228,-29.0918,34.1867,1481.959,2631.8366,718.9906,1481.9819,2660.9285,684.8039
1,Line,45.2538,,,,,,,,,,,,,,,,79,6.0118,30.3646,-32.8985,1488.639,2660.4718,684.4542,1482.6273,2630.1071,717.3526
1,Line,47.8467,,,,,,,,,,,,,,,,79,-6.6298,-35.4677,31.2906,1475.2462,2535.1957,818.6652,1481.8761,2570.6634,787.3746
1,Line,47.4152,,,,,,,,,,,,,,,,97,-5.2352,37.122,-28.8887,1470.0111,2572.3177,789.7765,1475.2462,2535.1957,818.6652
1,Line,49.4671,,,,,,,,,,,,,,,,93,2.5703,-35.2253,34.5043,1451.4902,2542.6193,832.3054,1448.9199,2577.8446,797.8011
1,Line,45.2538,,,,,,,,,,,,,,,,80,-6.0118,-35.192,-27.6742,1482.6273,2579.7492,85.4658,1488.639,2614.9411,113.1401
1,Line,46.7487,,,,,,,,,,,,,,,,87,2.0399,34.2124,31.6661,1470.0111,2625.791,101.6844,1467.9711,2591.5786,70.0183
1,Line,47.4152,,,,,,,,,,,,,,,,100,5.2352,-32.2132,-34.2767,1475.2462,2593.5777,67.4077,1470.0111,2625.791,101.6844
1,Line,46.2356,,,,,,,,,,,,,,,,51,5.3466,9.0056,44.9466,1483.2552,2757.5691,389.2451,1477.9085,2748.5635,344.2985
1,Line,49.6404,,,,,,,,,,,,,,,,122,8.9807,-17.4961,-45.4813,1451.4902,2749.6667,245.799,1442.5095,2767.1629,291.2804
1,Line,49.4671,,,,,,,,,,,,,,,,95,-2.5703,33.4426,36.2347,1448.9199,2596.3421,63.7979,1451.4902,2562.8995,27.5631
1,Line,47.6246,,,,,,,,,,,,,,,,102,2.5378,-16.5081,-44.5055,1451.4577,2738.9155,250.2646,1448.9199,2755.4237,294.7702
1,Line,49.2453,,,,,,,,,,,,,,,,117,8.2871,-19.5739,-44.3231,1462.86,2745.0892,247.7004,1454.5729,2764.663,292.0235
1,Line,49.4671,,,,,,,,,,,,,,,,136,-2.5703,5.7569,48.9712,1448.9199,2755.4237,294.7702,1451.4902,2749.6667,245.799
1,Line,49.2453,,,,,,,,,,,,,,,,102,8.2871,-34.0904,34.4319,1462.86,2654.2978,740.263,1454.5729,2688.3882,705.831
1,Line,47.7219,,,,,,,,,,,,,,,,93,2.2945,-30.8936,36.1842,1441.861,2650.4614,736.6296,1439.5665,2681.3549,700.4454
1,Line,48.7477,,,,,,,,,,,,,,,,99,4.403,-24.3195,41.9139,1462.86,2654.2978,740.263,1458.457,2678.6173,698.349
1,Line,48.4408,,,,,,,,,,,,,,,,99,-4.7036,24.8401,-41.2158,1461.0801,2677.4862,697.4829,1465.7837,2652.6461,738.6987
1,Line,47.3267,,,,,,,,,,,,,,,,94,2.6231,-31.6661,34.9562,1461.0801,2646.9513,733.3053,1458.457,2678.6173,698.349
1,Line,45.8565,,,,,,,,,,,,,,,,46,1.3544,3.8229,45.5913,1477.9085,2754.5578,389.4851,1476.5542,2750.7349,343.8938
1,Line,45.8565,,,,,,,,,,,,,,,,87,1.3544,26.1069,37.5718,1477.9085,2679.0999,177.0684,1476.5542,2652.9931,139.4966
1,Line,47.4152,,,,,,,,,,,,,,,,104,5.2352,-24.3826,-40.225,1475.2462,2661.7671,131.9881,1470.0111,2686.1497,172.2131
1,Line,41.0105,,,,,,,,,,,,,,,,78,-5.886,-26.2796,30.8302,1439.5665,2601.4496,690.2118,1445.4525,2627.7292,659.3816
1,Line,46.2356,,,,,,,,,,,,,,,,98,-5.3466,34.423,-30.2722,1477.9085,2603.5987,754.9424,1483.2552,2569.1757,785.2146
1,Line,49.6256,,,,,,,,,,,,,,,,91,-0.6485,17.7751,-46.2297,1441.861,2708.2339,661.1869,1442.5095,2690.4588,707.4166
1,Line,44.9728,,,,,,,,,,,,,,,,91,-0.0228,23.461,38.2706,1481.959,1967.2308,667.3447,1481.9819,1943.7698,629.0742
1,Line,45.4317,,,,,,,,,,,,,,,,104,5.3574,-25.1651,-37.3432,1487.3164,1942.0658,630.0016,1481.959,1967.2308,667.3447
1,Line,44.9138,,,,,,,,,,,,,,,,93,-0.6454,21.4321,39.3703,1481.9819,1967.2615,667.3236,1482.6273,1945.8294,627.9533
1,Line,41.0105,,,,,,,,,,,,,,,,105,5.886,-24.6933,-32.1147,1445.4525,2001.6992,643.6058,1439.5665,2026.3925,675.7205
1,Line,45.2538,,,,,,,,,,,,,,,,105,-6.0118,24.9175,37.1944,1482.6273,1969.1926,665.9936,1488.639,1944.2751,628.7992
1,Line,46.5126,,,,,,,,,,,,,,,,103,5.3219,-26.9935,-37.3971,1481.8761,1932.9779,634.9474,1476.5542,1959.9714,672.3445
1,Line,47.8467,,,,,,,,,,,,,,,,115,-6.6298,17.4826,43.9474,1475.2462,1950.4605,678.8948,1481.8761,1932.9779,634.9474
1,Line,45.8565,,,,,,,,,,,,,,,,95,-1.3544,22.0365,40.0948,1476.5542,1959.9714,672.3445,1477.9085,1937.9349,632.2496
1,Line,46.4077,,,,,,,,,,,,,,,,106,-4.0613,17.2369,42.8035,1483.2552,1959.3026,672.805,1487.3164,1942.0658,630.0016
1,Line,46.2356,,,,,,,,,,,,,,,,103,-5.3466,26.5089,37.398,1477.9085,1961.7905,671.0916,1483.2552,1935.2816,633.6936
1,Line,49.2453,,,,,,,,,,,,,,,,75,-8.2871,-32.3128,-36.1053,1454.5729,1938.7775,686.941,1462.86,1971.0903,723.0463
1,Line,49.2483,,,,,,,,,,,,,,,,81,-3.1152,-21.0869,-44.2953,1451.4577,1947.2585,681.1,1454.5729,1968.3454,725.3953
1,Line,48.7477,,,,,,,,,,,,,,,,78,4.403,22.1775,43.0857,1462.86,1971.0903,723.0463,1458.457,1948.9128,679.9607
1,Line,48.4408,,,,,,,,,,,,,,,,78,-4.7036,-22.7326,-42.4146,1461.0801,1950.0862,679.1526,1465.7837,1972.8187,721.5672
1,Line,47.3267,,,,,,,,,,,,,,,,85,-2.6231,-29.8651,-36.5068,1458.457,1948.9128,679.9607,1461.0801,1978.778,716.4675
1,Line,49.6256,,,,,,,,,,,,,,,,89,-0.6485,-20.2593,-45.1962,1441.861,1946.1046,681.8947,1442.5095,1966.364,727.091
1,Line,47.7219,,,,,,,,,,,,,,,,86,-2.2945,-29.0318,-37.6943,1439.5665,1946.0731,681.9164,1441.861,1975.1049,719.6108
1,Line,49.6404,,,,,,,,,,,,,,,,73,-8.9807,-30.6946,-37.8488,1442.5095,1936.6297,688.4203,1451.4902,1967.3243,726.2691
1,Line,47.6246,,,,,,,,,,,,,,,,85,-2.5378,-29.4534,-37.2261,1448.9199,1946.7159,681.4737,1451.4577,1976.1694,718.6998
1,Line,49.4671,,,,,,,,,,,,,,,,83,2.5703,20.6084,44.7954,1451.4902,1967.3243,726.2691,1448.9199,1946.7159,681.4737
1,Line,47.7219,,,,,,,,,,,,,,,,96,-2.2945,24.8674,40.5624,1439.5665,1946.0731,681.9164,1441.861,1921.2058,641.354
1,Line,41.0105,,,,,,,,,,,,,,,,108,5.886,-21.2011,-34.5199,1445.4525,1980.4981,609.0859,1439.5665,2001.6992,643.6058
1,Line,49.6256,,,,,,,,,,,,,,,,88,-0.6485,-15.4239,-47.0663,1441.861,1921.2058,641.354,1442.5095,1936.6297,688.4203
1,Line,49.4671,,,,,,,,,,,,,,,,80,2.5703,15.813,46.7041,1451.4902,1937.6707,687.7033,1448.9199,1921.8577,640.9992
1,Line,49.6404,,,,,,,,,,,,,,,,70,-8.9807,-26.5701,-40.8499,1442.5095,1911.1006,646.8534,1451.4902,1937.6707,687.7033
1,Line,49.4671,,,,,,,,,,,,,,,,96,2.5703,-18.1454,45.8484,1451.4902,2689.4552,706.6481,1448.9199,2707.6006,660.7997
1,Line,49.6404,,,,,,,,,,,,,,,,106,8.9807,-28.594,39.4598,1451.4902,2689.4552,706.6481,1442.5095,2718.0492,667.1883
1,Line,47.6246,,,,,,,,,,,,,,,,94,2.5378,-27.3885,38.7705,1451.4577,2680.2122,699.5703,1448.9199,2707.6006,660.7997
1,Line,45.2538,,,,,,,,,,,,,,,,109,-6.0118,20.8931,39.5952,1482.6273,1945.8294,627.9533,1488.639,1924.9363,588.3581
1,Line,49.2483,,,,,,,,,,,,,,,,97,-3.1152,18.6504,-45.375,1451.4577,2707.0385,660.4561,1454.5729,2688.3882,705.831
1,Line,48.5846,,,,,,,,,,,,,,,,75,-7.3642,-29.7828,-37.559,1465.7837,1918.5628,642.7923,1473.1479,1948.3456,680.3513
1,Line,48.4408,,,,,,,,,,,,,,,,74,-4.7036,-18.1744,-44.5584,1461.0801,1925.4521,639.043,1465.7837,1943.6265,683.6014
1,Line,47.7172,,,,,,,,,,,,,,,,74,5.1768,19.6061,43.0973,1473.1479,1948.3456,680.3513,1467.9711,1928.7395,637.254
1,Line,47.4152,,,,,,,,,,,,,,,,74,-5.2352,-20.0443,-42.5533,1470.0111,1930.4162,636.3415,1475.2462,1950.4605,678.8948
1,Line,46.7487,,,,,,,,,,,,,,,,96,-2.0399,22.7524,40.6882,1467.9711,1953.1686,677.0297,1470.0111,1930.4162,636.3415
1,Line,49.2483,,,,,,,,,,,,,,,,78,-3.1152,-16.3412,-46.2568,1451.4577,1922.4364,640.6843,1454.5729,1938.7775,686.941
1,Line,47.6246,,,,,,,,,,,,,,,,84,-2.5378,-25.4008,-40.1008,1448.9199,1921.8577,640.9992,1451.4577,1947.2585,681.1
1,Line,49.2453,,,,,,,,,,,,,,,,73,-8.2871,-28.3616,-39.285,1454.5729,1913.3913,645.6068,1462.86,1941.7529,684.8918
1,Line,47.3267,,,,,,,,,,,,,,,,84,-2.6231,-25.8854,-39.4285,1458.457,1924.2007,639.7241,1461.0801,1950.0862,679.1526
1,Line,48.7477,,,,,,,,,,,,,,,,74,4.403,17.5522,45.1678,1462.86,1941.7529,684.8918,1458.457,1924.2007,639.7241
1,Line,47.3267,,,,,,,,,,,,,,,,93,-2.6231,46.8936,5.0711,1458.457,2309.0803,875.0523,1461.0801,2262.1867,869.9812
1,Line,48.7477,,,,,,,,,,,,,,,,84,4.403,46.8592,12.3492,1462.86,2308.8613,883.7431,1458.457,2262.0021,871.3939
1,Line,48.4408,,,,,,,,,,,,,,,,84,-4.7036,-46.7319,-11.4877,1461.0801,2262.1867,869.9812,1465.7837,2308.9186,881.4689
1,Line,47.7172,,,,,,,,,,,,,,,,83,5.1768,46.3914,9.4706,1473.1479,2309.063,875.7408,1467.9711,2262.6715,866.2701
1,Line,48.5846,,,,,,,,,,,,,,,,99,-7.3642,47.0057,9.3921,1465.7837,2308.9186,881.4689,1473.1479,2261.9129,872.0768
1,Line,49.4671,,,,,,,,,,,,,,,,87,2.5703,47.0799,14.6593,1451.4902,2308.7364,888.6982,1448.9199,2261.6565,874.0389
1,Line,49.6404,,,,,,,,,,,,,,,,100,-8.9807,48.4709,5.0327,1442.5095,2308.7046,889.9618,1451.4902,2260.2337,884.9291
1,Line,47.6246,,,,,,,,,,,,,,,,93,-2.5378,47.2712,4.3333,1448.9199,2309.0131,877.7189,1451.4577,2261.7419,873.3856
1,Line,49.2453,,,,,,,,,,,,,,,,100,-8.2871,47.8945,7.3405,1454.5729,2308.7703,887.3547,1462.86,2260.8758,880.0142
1,Line,49.2483,,,,,,,,,,,,,,,,86,-3.1152,-47.0284,-13.9691,1451.4577,2261.7419,873.3856,1454.5729,2308.7703,887.3547
