Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1164.8257,,,,,,,164,-1121.0000,310.9234,-59.2002,1751.0000,2221.9491,1490.3335,2872.0000,1911.0257,1549.5337
1,Line,1000.9436,,,,,,,6,994.4625,98.5135,56.8116,1747.4625,1663.3415,1478.2043,753.0000,1564.8280,1421.3927
1,Line,492.1320,,,,,,,91,7.6353,-488.7042,57.4786,261.0000,2646.8895,1868.4218,253.3647,3135.5936,1810.9432
1,Line,84.1905,,,,,,,90,0.0000,-4.8463,84.0509,246.0000,3607.1685,1752.2594,246.0000,3612.0149,1668.2086
1,Line,0.1935,,,,,,,24,-0.1533,-0.0690,0.0958,306.9521,577.9991,1627.1415,307.1054,578.0680,1627.0456
1,Line,1116.7686,,,,,,,6,1109.5375,109.9131,63.3856,2857.0000,1773.2546,1541.5899,1747.4625,1663.3415,1478.2043
1,Line,2137.7432,,,,,,,7,-2119.0000,-254.3503,-122.8451,753.0000,1564.8280,1421.3927,2872.0000,1819.1783,1544.2378
1,Line,539.3971,,,,,,,94,-34.2765,537.5126,-29.2315,226.7235,3184.4021,1839.1903,261.0000,2646.8895,1868.4218
1,Line,17.3616,,,,,,,90,0.0000,15.1670,8.4491,753.0000,1549.9099,1413.0822,753.0000,1534.7429,1404.6331
1,Line,7.4435,,,,,,,99,-1.0797,7.1942,1.5756,-308.0797,584.5555,1628.4664,-307.0000,577.3613,1626.8909
1,Line,74.4674,,,,,,,139,-54.1223,47.7064,-18.4464,-256.3013,811.2607,1752.0121,-202.1790,763.5543,1770.4586
1,Line,108.0000,,,,,,,180,-108.0000,0.0000,0.0000,0.0000,597.7390,1273.4779,108.0000,597.7390,1273.4779
1,Line,17.3725,,,,,,,90,0.0000,-1.0000,17.3437,-246.0000,3612.0149,1668.2086,-246.0000,3613.0149,1650.8649
1,Line,3.2472,,,,,,,90,0.0000,-0.1869,3.2419,-246.0000,3606.9816,1755.5013,-246.0000,3607.1685,1752.2594
1,Line,342.6157,,,,,,,101,65.5637,-336.2747,2.5014,-276.0000,989.7194,1788.8965,-341.5637,1325.9941,1786.3951
1,Line,421.5341,,,,,,,88,-15.0000,-421.1654,-9.2593,108.0000,597.7390,1273.4779,123.0000,1018.9043,1282.7372
1,Line,10.0000,,,,,,,0,10.0000,0.0000,0.0000,10.0000,667.9748,1275.0220,0.0000,667.9748,1275.0220
1,Line,565.3937,,,,,,,68,215.0000,522.9189,-0.9002,753.0000,2331.5545,1465.6019,538.0000,1808.6356,1466.5020
1,Line,215.0000,,,,,,,0,215.0000,0.0000,0.0000,753.0000,1808.6356,1466.5020,538.0000,1808.6356,1466.5020
1,Line,30.9632,,,,,,,180,-30.9632,0.0000,0.0000,92.0368,1018.9043,1282.7372,123.0000,1018.9043,1282.7372
1,Line,30.9632,,,,,,,0,30.9632,0.0000,0.0000,-92.0368,1018.9043,1282.7372,-123.0000,1018.9043,1282.7372
1,Line,10.0000,,,,,,,0,10.0000,0.0000,0.0000,10.0000,740.1667,1276.6092,0.0000,740.1667,1276.6092
1,Line,155.9276,,,,,,,83,18.5239,154.6970,-6.2541,-227.4761,3761.6786,1749.2472,-246.0000,3606.9816,1755.5013
1,Line,47.7734,,,,,,,89,-0.7412,-47.4406,5.5797,-253.3647,3135.5936,1810.9432,-252.6235,3183.0343,1805.3635
1,Line,47.5864,,,,,,,89,-0.7383,-47.2549,5.5579,-250.8892,3294.0417,1792.3075,-250.1509,3341.2966,1786.7496
1,Line,85.4031,,,,,,,17,-23.5155,-7.4030,-81.7673,-315.5155,1467.3412,1842.2732,-292.0000,1474.7442,1924.0406
1,Line,219.4101,,,,,,,155,199.3319,-91.5407,-5.2782,-553.6681,1640.2226,1456.7914,-753.0000,1731.7633,1462.0696
1,Line,303.0462,,,,,,,149,261.0000,-153.7446,-8.8649,-492.0000,2181.3213,1395.8381,-753.0000,2335.0659,1404.7030
1,Line,200.8214,,,,,,,97,-23.0000,199.4973,1.0446,0.0000,4694.8509,2343.4196,23.0000,4495.3537,2342.3750
1,Line,9.4566,,,,,,,118,-4.4282,8.3523,0.2424,-307.0000,577.3613,1626.8909,-302.5718,569.0090,1626.6485
1,Line,10.0000,,,,,,,180,-10.0000,0.0000,0.0000,-10.0000,667.9748,1275.0220,0.0000,667.9748,1275.0220
1,Line,220.3419,,,,,,,75,57.1716,212.1627,-16.4001,-157.8284,1697.4496,1985.3763,-215.0000,1485.2869,2001.7764
