Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.6101,,,,,,,,,,,,,,76,-0.1969,-0.7874,-0.5512,1277.6698,1107.5116,76.5222,1277.9928,1108.8039,77.4268
1,Line,1.2562,,,,,,,,,,,,,,166,0.1575,-0.0394,0.7480,1277.9928,1108.8039,77.4268,1277.7344,1108.8685,76.1992
1,Line,1.3767,,,,,,,,,,,,,,85,0.0787,0.8268,-0.1181,1277.9928,1108.8039,77.4268,1277.8636,1107.4470,77.6207
1,Line,1.5958,,,,,,,,,,,,,,0,0.3543,0.0000,0.9055,1277.7344,1108.8685,76.1992,1277.1529,1108.8685,74.7131
1,Line,1.1173,,,,,,,,,,,,,,162,0.1181,-0.0394,0.6693,1277.8636,1107.4470,77.6207,1277.6698,1107.5116,76.5222
1,Line,3.2371,,,,,,,,,,,,,,162,0.1181,-0.0394,1.9685,1278.0575,1107.3824,80.8513,1277.8636,1107.4470,77.6207
1,Line,0.1292,,,,,,,,,,,,,,180,-0.0787,0.0000,0.0000,1277.9282,1107.3824,80.8513,1278.0575,1107.3824,80.8513
1,Line,1.3828,,,,,,,,,,,,,,101,0.1575,-0.8268,-0.0394,1277.9282,1107.3824,80.8513,1277.6698,1108.7393,80.9159
1,Line,3.4951,,,,,,,,,,,,,,162,0.1181,-0.0394,2.1260,1278.1867,1108.7393,80.9159,1277.9928,1108.8039,77.4268
1,Line,1.3645,,,,,,,,,,,,,,85,0.0787,0.8268,0.0394,1278.1867,1108.7393,80.9159,1278.0575,1107.3824,80.8513
1,Line,3.5543,,,,,,,,,,,,,,76,-0.1969,-0.7874,-2.0079,1277.8636,1107.4470,77.6207,1278.1867,1108.7393,80.9159
1,Line,1.8241,,,,,,,,,,,,,,65,-0.3937,-0.8268,-0.6299,1277.0883,1107.5116,75.1654,1277.7344,1108.8685,76.1992
1,Line,1.7883,,,,,,,,,,,,,,65,-0.3937,-0.8268,0.5906,1275.7314,1107.5116,75.1654,1276.3775,1108.8685,74.1962
1,Line,0.8788,,,,,,,,,,,,,,0,0.4331,0.0000,-0.3150,1276.3775,1108.8685,74.1962,1275.6668,1108.8685,74.7131
1,Line,1.3918,,,,,,,,,,,,,,90,0.0000,0.7874,-0.3150,1276.3775,1108.8685,74.1962,1276.3775,1107.5762,74.7131
1,Line,2.3198,,,,,,,,,,,,,,69,-0.3150,-0.8268,1.1024,1275.1499,1107.5116,76.5222,1275.6668,1108.8685,74.7131
1,Line,0.7913,,,,,,,,,,,,,,6,0.3937,0.0394,-0.2756,1276.3775,1107.5762,74.7131,1275.7314,1107.5116,75.1654
