Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,2.8232,,,,,,94,0.5650,0.1577,0.0950,-5646.3503,2173.4288,44.0409,-5646.9154,2173.2711,43.9459
1,Line,,,,,,,,,,,3.7332,,,,,,163,-0.0193,-0.2072,-3.5965,-5646.9154,2173.2711,43.9459,-5646.8960,2173.4783,47.5424
1,Line,,,,,,,,,,,2.4647,,,,,,70,-0.1143,0.0153,2.4014,-5646.4385,2174.0606,48.0448,-5646.3242,2174.0453,45.6434
1,Line,,,,,,,,,,,1.9292,,,,,,131,0.1542,0.2050,-1.4830,-5646.3183,2174.5652,46.9524,-5646.4725,2174.3602,48.4354
1,Line,,,,,,,,,,,1.6131,,,,,,167,0.0065,0.2603,-1.0165,-5646.9298,2174.8427,45.9682,-5646.9363,2174.5824,46.9847
1,Line,,,,,,,,,,,0.8254,,,,,,167,0.0017,0.1716,0.0000,-5646.2650,2175.6485,43.6281,-5646.2668,2175.4769,43.6281
1,Line,,,,,,,,,,,3.4595,,,,,,94,-0.6918,-0.1970,0.0028,-5646.9568,2175.4515,43.6309,-5646.2650,2175.6485,43.6281
1,Line,,,,,,,,,,,2.3722,,,,,,140,0.2276,0.4236,-0.5260,-5646.6234,2171.3187,82.1554,-5646.8510,2170.8950,82.6814
1,Line,,,,,,,,,,,2.5841,,,,,,93,-0.2084,-0.0539,-2.3677,-5646.8510,2170.8950,82.6814,-5646.6427,2170.9490,85.0491
1,Line,,,,,,,,,,,1.4163,,,,,,122,-0.1189,-0.1136,-1.1747,-5647.0487,2174.7291,44.7935,-5646.9298,2174.8427,45.9682
1,Line,,,,,,,,,,,3.1156,,,,,,78,-0.6477,0.0051,0.0028,-5646.9654,2174.6364,43.6309,-5646.3176,2174.6313,43.6281
1,Line,,,,,,,,,,,1.0539,,,,,,136,0.0538,0.0856,0.9350,-5646.2484,2174.7167,44.7866,-5646.3023,2174.6311,43.8516
1,Line,,,,,,,,,,,5.7906,,,,,,166,0.0480,1.2023,-0.1893,-5646.3023,2174.6311,43.8516,-5646.3503,2173.4288,44.0409
1,Line,,,,,,,,,,,2.9737,,,,,,76,-0.6180,0.0171,0.0323,-5646.9363,2174.5824,46.9847,-5646.3183,2174.5652,46.9524
1,Line,,,,,,,,,,,4.0743,,,,,,165,-0.0508,-0.8456,0.0000,-5646.3176,2174.6313,43.6281,-5646.2668,2175.4769,43.6281
1,Line,,,,,,,,,,,3.9207,,,,,,167,0.0085,0.8151,0.0000,-5646.9568,2175.4515,43.6309,-5646.9654,2174.6364,43.6309
1,Line,,,,,,,,,,,3.3610,,,,,,162,-0.0757,-0.6714,0.8568,-5646.3242,2174.0453,45.6434,-5646.2484,2174.7167,44.7866
1,Line,,,,,,,,,,,0.2354,,,,,,77,-0.0153,0.0002,-0.2235,-5646.2668,2175.4769,43.6281,-5646.2515,2175.4767,43.8516
1,Line,,,,,,,,,,,2.4905,,,,,,130,0.1835,0.2354,-2.0351,-5645.9202,2172.2026,94.3002,-5646.1037,2171.9672,96.3353
1,Line,,,,,,,,,,,1.3521,,,,,,130,0.1738,0.2201,-0.0944,-5646.1037,2171.9672,96.3353,-5646.2775,2171.7471,96.4297
1,Line,,,,,,,,,,,1.3510,,,,,,19,0.0179,-0.0298,1.3407,-5645.3207,2170.6404,98.8873,-5645.3386,2170.6702,97.5466
1,Line,,,,,,,,,,,2.1712,,,,,,97,0.2449,0.0836,-1.7790,-5646.0269,2171.3277,94.7885,-5646.2718,2171.2441,96.5675
1,Line,,,,,,,,,,,2.5057,,,,,,13,-0.2186,0.4721,-0.1307,-5646.2718,2171.2441,96.5675,-5646.0533,2170.7720,96.6982
1,Line,,,,,,,,,,,2.3583,,,,,,71,-0.0943,0.0124,2.3135,-5646.2775,2171.7471,96.4297,-5646.1832,2171.7348,94.1162
1,Line,,,,,,,,,,,1.4153,,,,,,79,0.2941,0.0061,-0.0388,-5645.3386,2170.6702,97.5466,-5645.6327,2170.6641,97.5854
1,Line,,,,,,,,,,,2.9704,,,,,,136,-0.1003,-0.1626,-2.8247,-5646.3061,2171.1785,97.5375,-5646.2058,2171.3411,100.3622
1,Line,,,,,,,,,,,1.5785,,,,,,89,-0.3221,-0.0618,-0.0578,-5645.9430,2171.6988,92.3380,-5645.6209,2171.7606,92.3958
1,Line,,,,,,,,,,,2.6470,,,,,,4,0.1491,-0.5241,0.3714,-5645.6209,2171.7606,92.3958,-5645.7700,2172.2847,92.0244
1,Line,,,,,,,,,,,1.9208,,,,,,40,-0.0166,0.0130,-1.9181,-5645.6327,2170.6641,97.5854,-5645.6161,2170.6511,99.5035
1,Line,,,,,,,,,,,2.5398,,,,,,81,0.0692,0.0036,2.5178,-5645.9235,2170.6629,100.1501,-5645.9926,2170.6594,97.6322
1,Line,,,,,,,,,,,2.9185,,,,,,19,0.3135,-0.5192,0.0948,-5645.9926,2170.6594,97.6322,-5646.3061,2171.1785,97.5375
1,Line,,,,,,,,,,,1.6059,,,,,,108,-0.1944,-0.1114,1.1906,-5646.0533,2170.7720,96.6982,-5645.8589,2170.8834,95.5076
1,Line,,,,,,,,,,,1.4538,,,,,,93,-0.0649,-0.0172,-1.4175,-5647.7447,2171.1591,80.3634,-5647.6798,2171.1764,81.7808
1,Line,,,,,,,,,,,0.9640,,,,,,11,0.0147,-0.0352,-0.9464,-5646.2775,2171.7471,96.4297,-5646.2922,2171.7824,97.3761
1,Line,,,,,,,,,,,2.9094,,,,,,167,0.0139,0.6038,-0.1614,-5646.2922,2171.7824,97.3761,-5646.3061,2171.1785,97.5375
1,Line,,,,,,,,,,,2.8077,,,,,,57,-0.3084,0.1210,-2.3117,-5647.4380,2171.1082,86.3320,-5647.1295,2170.9873,88.6437
1,Line,,,,,,,,,,,2.3558,,,,,,22,-0.2501,0.3639,1.0197,-5647.6798,2171.1764,81.7808,-5647.4297,2170.8125,80.7612
1,Line,,,,,,,,,,,1.4888,,,,,,58,0.0580,-0.0208,1.4590,-5647.4297,2170.8125,80.7612,-5647.4877,2170.8333,79.3021
1,Line,,,,,,,,,,,1.0332,,,,,,140,-0.0343,-0.0655,0.9700,-5646.3061,2171.1785,97.5375,-5646.2718,2171.2441,96.5675
1,Line,,,,,,,,,,,1.0299,,,,,,7,0.0288,-0.0850,0.9351,-5645.3850,2170.8232,96.3610,-5645.4138,2170.9082,95.4259
1,Line,,,,,,,,,,,1.1067,,,,,,173,-0.0076,0.0910,-1.0158,-5645.6495,2170.8911,95.4682,-5645.6419,2170.8001,96.4840
1,Line,,,,,,,,,,,1.2468,,,,,,83,-0.2569,-0.0231,0.1230,-5645.6419,2170.8001,96.4840,-5645.3850,2170.8232,96.3610
