Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,13.6507,,,,,,,,,,,,,,180,1.9352,0.0000,-6.4841,1290.2740,3782.5607,2947.4816,1286.3701,3782.5607,2960.5621
1,Line,87.2639,,,,,,,,,,,,,,0,18.6925,0.0000,39.0103,-988.0974,3782.5607,3475.8895,-1025.8059,3782.5607,3397.1937
1,Line,508.4701,,,,,,,,,,,,,,0,129.1642,0.0000,216.4425,-1025.8059,3782.5607,3397.1937,-1286.3701,3782.5607,2960.5621
1,Line,87.2639,,,,,,,,,,,,,,180,18.6925,0.0000,-39.0103,1025.8059,3782.5607,3397.1937,988.0974,3782.5607,3475.8895
1,Line,62.3792,,,,,,,,,,,,,,111,10.8760,-28.9461,0.0000,-790.4643,2447.3232,3001.3567,-812.4045,2505.7165,3001.3567
1,Line,196.4713,,,,,,,,,,,,,,46,67.1797,70.5138,0.0000,740.3036,2371.7024,3001.3567,604.7813,2229.4542,3001.3567
1,Line,508.4701,,,,,,,,,,,,,,180,129.1642,0.0000,-216.4425,1286.3701,3782.5607,2960.5621,1025.8059,3782.5607,3397.1937
1,Line,13.6507,,,,,,,,,,,,,,0,1.9352,0.0000,6.4841,-1286.3701,3782.5607,2960.5621,-1290.2740,3782.5607,2947.4816
1,Line,217.6941,,,,,,,,,,,,,,56,-59.6507,-89.9276,0.0000,714.8353,2265.9113,2947.4816,835.1693,2447.3232,2947.4816
1,Line,261.4350,,,,,,,,,,,,,,12,-126.8869,-25.9046,-4.8731,36.2280,1825.8722,2947.4816,292.1982,1878.1297,2957.3121
1,Line,83.9005,,,,,,,,,,,,,,83,-5.2891,-41.2525,0.0000,1279.6043,3699.3416,2947.4816,1290.2740,3782.5607,2947.4816
1,Line,261.4350,,,,,,,,,,,,,,168,-126.8869,25.9046,4.8731,-292.1982,1878.1297,2957.3121,-36.2280,1825.8722,2947.4816
1,Line,262.6848,,,,,,,,,,,,,,138,-96.4370,87.3623,-4.8731,-486.7415,2054.3665,2947.4816,-292.1982,1878.1297,2957.3121
1,Line,157.7066,,,,,,,,,,,,,,80,-13.4836,-77.0049,0.0000,1252.4037,3543.9988,2947.4816,1279.6043,3699.3416,2947.4816
1,Line,262.6848,,,,,,,,,,,,,,42,-96.4370,-87.3623,4.8731,292.1982,1878.1297,2957.3121,486.7415,2054.3665,2947.4816
