Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.7088,,,,,,,,,,,,,,269,-0.0136,-0.5531,-0.4432,-6.3079,34.2038,5.4920,-6.2943,34.7569,5.9351
1,Line,1.3327,,,,,,,,,,,,,,269,-0.0299,-1.2977,-0.3019,-6.4737,31.8940,5.0512,-6.4438,33.1917,5.3532
1,Line,1.4947,,,,,,,,,,,,,,269,-0.0129,-1.4655,-0.2935,-6.4474,31.6429,5.0656,-6.4346,33.1085,5.3590
1,Line,1.3782,,,,,,,,,,,,,,269,-0.0310,-1.3446,-0.3011,-6.4474,31.6429,5.0656,-6.4164,32.9875,5.3667
1,Line,3.1017,,,,,,,,,,,,,,85,0.0374,0.4088,-3.0744,-6.4554,38.7082,6.6412,-6.4927,38.2994,9.7156
1,Line,0.0947,,,,,,,,,,,,,,92,-0.0027,0.0666,0.0673,-6.4852,39.2066,4.6309,-6.4825,39.1399,4.5637
1,Line,0.5428,,,,,,,,,,,,,,269,-0.0106,-0.4927,-0.2276,-6.5263,36.7726,4.7710,-6.5158,37.2652,4.9986
1,Line,0.2627,,,,,,,,,,,,,,94,-0.0118,0.1508,0.2148,-6.4699,38.9588,4.8685,-6.4581,38.8081,4.6537
1,Line,2.9466,,,,,,,,,,,,,,96,-0.0911,0.8310,2.8255,-6.3480,36.4823,9.7461,-6.2569,35.6512,6.9206
1,Line,0.5657,,,,,,,,,,,,,,269,-0.0089,-0.3451,-0.4482,-6.5319,35.8588,5.3762,-6.5231,36.2039,5.8244
1,Line,2.0754,,,,,,,,,,,,,,266,-0.1556,-2.0288,-0.4087,-6.7075,31.1055,4.5715,-6.5519,33.1343,4.9802
1,Line,0.7189,,,,,,,,,,,,,,265,-0.0494,-0.5497,-0.4607,-6.4132,36.5433,4.2913,-6.3638,37.0930,4.7519
1,Line,1.2045,,,,,,,,,,,,,,88,0.0412,1.1239,0.4312,-6.3638,37.0930,4.7519,-6.4050,35.9692,4.3207
1,Line,1.0546,,,,,,,,,,,,,,269,-0.0080,-0.3672,-0.9886,-6.5011,37.8898,5.6941,-6.4931,38.2570,6.6827
1,Line,1.1346,,,,,,,,,,,,,,268,-0.0144,-0.5278,-1.0043,-6.5207,35.7919,5.8562,-6.5063,36.3197,6.8605
1,Line,0.7904,,,,,,,,,,,,,,264,-0.0640,-0.6411,-0.4579,-6.5903,36.1315,4.3131,-6.5263,36.7726,4.7710
1,Line,0.5519,,,,,,,,,,,,,,269,-0.0084,-0.3211,-0.4488,-6.2687,36.0432,5.3621,-6.2604,36.3643,5.8109
