Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1428,,,,,,,,,,,,,,36,0.0016,-0.0037,0.0590,2.1537,2.5376,0.3962,2.1500,2.5461,0.2593
1,Line,0.1466,,,,,,,,,,,,,,23,0.0016,-0.0087,0.0500,2.1537,2.5540,0.2941,2.1500,2.5741,0.1781
1,Line,0.0519,,,,,,,,,,,,,,155,-0.0014,-0.0018,-0.0200,2.1500,2.5741,0.1781,2.1532,2.5784,0.2245
1,Line,0.2214,,,,,,,,,,,,,,31,0.0050,-0.0160,-0.0610,2.1500,2.6880,0.3776,2.1384,2.7251,0.5191
1,Line,0.1431,,,,,,,,,,,,,,33,-0.0048,0.0132,0.0000,2.1384,2.7251,0.5191,2.1495,2.6944,0.5191
1,Line,0.1426,,,,,,,,,,,,,,36,-0.0050,0.0121,0.0220,2.1384,2.7161,0.7093,2.1500,2.6880,0.6583
1,Line,0.1943,,,,,,,,,,,,,,13,0.0000,-0.0039,-0.0820,2.1384,2.7161,0.3289,2.1384,2.7251,0.5191
1,Line,0.1969,,,,,,,,,,,,,,13,0.0000,-0.0110,-0.0700,2.1384,2.6907,0.1665,2.1384,2.7161,0.3289
1,Line,0.2243,,,,,,,,,,,,,,26,0.0050,-0.0215,0.0050,2.1500,2.6409,0.1781,2.1384,2.6907,0.1665
1,Line,0.1424,,,,,,,,,,,,,,41,-0.0050,0.0094,-0.0400,2.1384,2.6907,0.1665,2.1500,2.6690,0.2593
1,Line,0.2238,,,,,,,,,,,,,,27,0.0050,-0.0203,-0.0300,2.1500,2.6690,0.2593,2.1384,2.7161,0.3289
1,Line,0.1418,,,,,,,,,,,,,,36,-0.0050,0.0121,-0.0210,2.1384,2.7161,0.3289,2.1500,2.6880,0.3776
1,Line,0.0518,,,,,,,,,,,,,,168,-0.0016,-0.0034,-0.0150,2.1500,2.5461,0.2593,2.1537,2.5540,0.2941
1,Line,0.0518,,,,,,,,,,,,,,169,-0.0016,-0.0034,0.0150,2.1500,2.5461,0.7789,2.1537,2.5540,0.7441
1,Line,0.1488,,,,,,,,,,,,,,13,0.0000,0.0144,0.0120,2.1500,2.6075,0.8857,2.1500,2.5741,0.8578
1,Line,0.1461,,,,,,,,,,,,,,13,0.0000,0.0121,0.0340,2.1500,2.5741,0.8578,2.1500,2.5461,0.7789
