Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,13,-0.0481,0.0000,-0.0262,4.9539,-54.6877,10.7990,0.1130,5.0513,-54.6877,10.8522
1,Line,,,,,,,,,,,,,,99,-0.0481,-0.9263,-0.1148,-0.0472,-11.1338,9.1703,1.9379,0.0502,-9.2568,9.4029
1,Line,,,,,,,,,,,,,,70,0.5930,0.9263,-0.4495,1.1543,-9.2568,8.2595,2.4563,-0.0472,-11.1338,9.1703
1,Line,,,,,,,,,,,,,,13,-0.0160,0.0000,-0.0394,4.9214,-54.6877,10.7192,0.0864,4.9539,-54.6877,10.7990
1,Line,,,,,,,,,,,,,,156,0.6058,-0.4391,-0.4626,5.0513,-54.6877,10.8522,1.8130,3.8237,-53.7979,11.7895
1,Line,,,,,,,,,,,,,,162,-0.7693,0.4391,0.3445,3.4925,-53.7979,11.5502,1.9653,5.0513,-54.6877,10.8522
1,Line,,,,,,,,,,,,,,14,0.6026,0.0160,0.1870,14.5079,-53.7979,10.1874,1.3064,13.2868,-53.8304,9.8085
1,Line,,,,,,,,,,,,,,102,0.0000,-0.5257,0.1017,10.0134,-53.7979,9.3365,1.1096,10.0134,-52.7328,9.1304
1,Line,,,,,,,,,,,,,,29,1.7180,0.5257,0.1181,13.4947,-52.7328,9.5758,3.7341,10.0134,-53.7979,9.3365
1,Line,,,,,,,,,,,,,,12,0.4808,0.0000,0.2165,15.4821,-53.7979,10.6261,1.0895,14.5079,-53.7979,10.1874
1,Line,,,,,,,,,,,,,,92,-0.1026,-0.5417,0.1148,13.2868,-53.8304,9.8085,1.1669,13.4947,-52.7328,9.5758
1,Line,,,,,,,,,,,,,,47,0.7725,0.5417,0.1181,14.8521,-52.7328,10.0478,1.9714,13.2868,-53.8304,9.8085
1,Line,,,,,,,,,,,,,,12,1.6123,0.0000,-0.2329,10.0134,-53.7979,9.3365,3.3771,6.7465,-53.7979,9.8085
1,Line,,,,,,,,,,,,,,120,0.1699,-0.5257,0.0525,5.5384,-53.7979,10.1874,1.1507,5.1942,-52.7328,10.0810
1,Line,,,,,,,,,,,,,,59,0.4904,0.5257,-0.3018,6.5321,-52.7328,9.5758,1.6116,5.5384,-53.7979,10.1874
1,Line,,,,,,,,,,,,,,12,1.6155,-0.0160,0.2329,13.2868,-53.8304,9.8085,3.3838,10.0134,-53.7979,9.3365
1,Line,,,,,,,,,,,,,,114,0.1058,-0.5257,0.1148,6.7465,-53.7979,9.8085,1.1362,6.5321,-52.7328,9.5758
