Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,34.1197,,,,,,,,,,,,,,,,134,-13.8927,14.4612,-0.7026,-752.1081,474.2809,20.7801,-728.4848,449.6909,21.9749
1,Line,1.3603,,,,,,,,,,,,,,,,0,0.0000,0.0000,-0.8000,-416.3073,226.3570,15.7288,-416.3073,226.3570,17.0891
1,Line,1.3603,,,,,,,,,,,,,,,,14,0.0000,0.0000,-0.8000,-449.4652,226.3570,15.7288,-449.4652,226.3570,17.0891
1,Line,30.5218,,,,,,,,,,,,,,,,135,-12.6406,12.7290,-0.6173,-749.7408,474.2809,20.7732,-728.2467,452.6364,21.8229
1,Line,1.3647,,,,,,,,,,,,,,,,49,0.5248,0.6063,-0.0326,-728.2467,452.6364,21.8229,-729.1390,451.6054,21.8784
1,Line,2.0256,,,,,,,,,,,,,,,,109,-0.3847,1.1260,-0.0567,-729.1390,451.6054,21.8784,-728.4848,449.6909,21.9749
1,Line,41.1337,,,,,,,,,,,,,,,,106,-6.7474,23.2242,-0.5395,-801.1222,474.2809,18.8539,-789.6489,434.7903,19.7713
1,Line,159.4632,,,,,,,,,,,,,,,,86,-6.1170,-93.5797,-0.1203,-840.8553,170.4182,17.0891,-830.4538,329.5417,17.2936
1,Line,1.6864,,,,,,,,,,,,,,,,49,0.6480,0.7487,-0.0566,-725.7406,455.5319,21.6218,-726.8425,454.2588,21.7182
1,Line,169.9088,,,,,,,,,,,,,,,,141,-77.7526,62.7197,-2.2951,-572.1503,344.4897,24.5725,-439.9392,237.8407,28.4751
1,Line,18.2954,,,,,,,,,,,,,,,,141,-8.3722,6.7535,-0.2471,-439.9392,237.8407,28.4751,-425.7030,226.3570,28.8953
1,Line,10.2527,,,,,,,,,,,,,,,,140,-4.6388,3.8486,-0.1596,-444.0367,232.9012,30.2432,-436.1489,226.3570,30.5145
1,Line,42.0718,,,,,,,,,,,,,,,,140,19.0354,-15.7902,0.7076,-688.7492,424.8469,23.0002,-721.1172,451.6966,21.7971
1,Line,6.0148,,,,,,,,,,,,,,,,137,-2.5691,2.4287,-0.1160,-725.4857,455.8265,21.5998,-721.1172,451.6966,21.7971
1,Line,169.5867,,,,,,,,,,,,,,,,140,-75.8236,64.7238,-2.8794,-577.1603,337.9035,26.5434,-448.2294,227.8467,31.4396
1,Line,115.1713,,,,,,,,,,,,,,,,98,9.2785,-67.0869,0.9113,-766.0984,185.1150,22.4665,-781.8756,299.1900,20.9170
1,Line,14.8380,,,,,,,,,,,,,,,,98,1.1954,-8.6431,0.1174,-764.0658,170.4182,22.6662,-766.0984,185.1150,22.4665
1,Line,6.0097,,,,,,,,,,,,,,,,140,2.7190,-2.2555,0.1031,-721.1172,451.6966,21.7971,-725.7406,455.5319,21.6218
1,Line,33.7011,,,,,,,,,,,,,,,,142,-15.5396,12.2876,-0.5864,-653.9401,372.0957,25.7451,-627.5164,351.2018,26.7423
1,Line,9.7483,,,,,,,,,,,,,,,,173,0.0000,0.0000,5.7329,-624.9097,349.1406,26.8374,-624.9097,349.1406,17.0891
1,Line,8.5238,,,,,,,,,,,,,,,,90,0.0000,0.0000,5.0128,-657.3211,374.7693,25.6129,-657.3211,374.7693,17.0891
1,Line,20.7362,,,,,,,,,,,,,,,,140,-9.2713,7.9141,-0.3521,-736.9255,474.2809,20.4764,-721.1605,460.8237,21.0751
1,Line,2.2955,,,,,,,,,,,,,,,,140,-1.0264,0.8761,-0.0390,-448.2294,227.8467,31.4396,-446.4842,226.3570,31.5058
1,Line,159.1252,,,,,,,,,,,,,,,,90,0.2344,-93.5797,0.3667,-815.2657,170.4182,19.0423,-815.6643,329.5417,18.4187
1,Line,3.2308,,,,,,,,,,,,,,,,71,-0.6287,-1.7930,0.0000,-657.3211,374.7693,17.0891,-656.2522,377.8181,17.0891
1,Line,4.2510,,,,,,,,,,,,,,,,16,2.4039,0.6866,0.0000,-620.8221,350.3081,17.0891,-624.9097,349.1406,17.0891
1,Line,12.1060,,,,,,,,,,,,,,,,45,0.0000,0.0000,7.1194,-558.9666,297.2117,29.1950,-558.9666,297.2117,17.0891
1,Line,28.6939,,,,,,,,,,,,,,,,136,-12.0742,11.7749,-0.5679,-747.3736,474.2809,20.7526,-726.8425,454.2588,21.7182
1,Line,0.3399,,,,,,,,,,,,,,,,113,-0.0784,0.1838,-0.0057,-791.1801,474.2809,19.4278,-791.0468,473.9683,19.4374
1,Line,5.1929,,,,,,,,,,,,,,,,49,-1.9986,-2.3091,0.0000,-729.1390,451.6054,17.0891,-725.7406,455.5319,17.0891
1,Line,169.6579,,,,,,,,,,,,,,,,140,-76.3113,64.2178,-2.7743,-575.8830,339.5827,26.1964,-446.1228,230.3863,30.9139
1,Line,169.8191,,,,,,,,,,,,,,,,141,-77.2766,63.2149,-2.4819,-573.3761,342.8783,25.2093,-441.9744,235.3873,29.4295
1,Line,18.5339,,,,,,,,,,,,,,,,141,-8.4339,6.8992,-0.2709,-734.0080,474.2809,20.0503,-719.6670,462.5494,20.5109
1,Line,2.2133,,,,,,,,,,,,,,,,90,0.0000,1.2986,-0.0895,-558.9666,300.6125,28.9680,-558.9666,298.4044,29.1203
1,Line,6.2604,,,,,,,,,,,,,,,,140,-2.8159,2.3696,-0.1024,-446.1228,230.3863,30.9139,-441.3346,226.3570,31.0880
1,Line,169.6062,,,,,,,,,,,,,,,,139,75.7430,-64.8345,2.9056,-448.1550,227.9364,31.4174,-576.9490,338.1814,26.4767
1,Line,10.4069,,,,,,,,,,,,,,,,142,-4.8347,3.7491,-0.1665,-618.0245,348.1387,26.8359,-609.8035,341.7637,27.1190
1,Line,152.0824,,,,,,,,,,,,,,,,136,-63.9953,62.4087,-3.0097,-726.8425,454.2588,21.7182,-618.0245,348.1387,26.8359
