Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.4496,,,,,,,,,,104,-0.0748,0.2923,0.3333,-100.8849,257.1468,196.0629,-100.8101,256.8545,195.7297
1,Line,,,,,,,0.4488,,,,,,,,,,106,-0.0703,0.2463,0.3686,-100.9553,257.3931,196.4315,-100.8849,257.1468,196.0629
1,Line,,,,,,,0.4480,,,,,,,,,,108,-0.0647,0.1961,0.3976,-101.0199,257.5892,196.8291,-100.9553,257.3931,196.4315
1,Line,,,,,,,0.4505,,,,,,,,,,101,-0.0803,0.3976,0.1961,-100.6523,256.1527,195.1911,-100.5719,255.7551,194.9950
1,Line,,,,,,,0.4504,,,,,,,,,,102,-0.0799,0.3686,0.2463,-100.7321,256.5213,195.4374,-100.6523,256.1527,195.1911
1,Line,,,,,,,0.4501,,,,,,,,,,103,-0.0780,0.3333,0.2923,-100.8101,256.8545,195.7297,-100.7321,256.5213,195.4374
1,Line,,,,,,,0.4471,,,,,,,,,,112,-0.0579,0.1425,0.4198,-101.0778,257.7316,197.2489,-101.0199,257.5892,196.8291
1,Line,,,,,,,44.3518,,,,,,,,,,99,7.1818,-43.7345,-1.6711,-94.4187,214.1193,201.6215,-101.6005,257.8538,203.2927
1,Line,,,,,,,1.1362,,,,,,,,,,141,0.4845,-0.3933,0.9495,-92.2859,245.1737,233.7791,-92.7704,245.5670,232.8296
1,Line,,,,,,,1.1244,,,,,,,,,,164,0.4559,-0.1342,1.0190,-91.8300,245.0396,234.7981,-92.2859,245.1737,233.7791
1,Line,,,,,,,0.4461,,,,,,,,,,120,-0.0501,0.0865,0.4348,-101.1279,257.8181,197.6836,-101.0778,257.7316,197.2489
1,Line,,,,,,,0.5484,,,,,,,,,,145,-0.0511,0.0357,0.5449,-101.1790,257.8538,198.2285,-101.1279,257.8181,197.6836
1,Line,,,,,,,5.0817,,,,,,,,,,180,-0.4215,0.0000,5.0642,-101.6005,257.8538,203.2927,-101.1790,257.8538,198.2285
1,Line,,,,,,,0.4504,,,,,,,,,,101,-0.0795,0.4198,0.1425,-100.5719,255.7551,194.9950,-100.4925,255.3353,194.8526
1,Line,,,,,,,23.4054,,,,,,,,,,84,2.6119,23.2592,0.0000,-91.9789,1358.9647,203.7855,-94.5907,1335.7054,203.7855
1,Line,,,,,,,28.3119,,,,,,,,,,84,2.7838,28.0539,2.6057,-94.8263,1358.9647,224.0308,-97.6101,1330.9107,221.4251
1,Line,,,,,,,2.1037,,,,,,,,,,180,0.1745,0.0000,-2.0965,-94.2442,214.1193,199.5251,-94.4187,214.1193,201.6215
1,Line,,,,,,,0.6199,,,,,,,,,,81,0.0929,0.5804,-0.1970,-94.7618,1334.3902,203.9519,-94.8547,1333.8098,204.1489
1,Line,,,,,,,0.6187,,,,,,,,,,82,0.0843,0.6011,-0.1196,-94.6775,1334.9913,203.8323,-94.7618,1334.3902,203.9519
1,Line,,,,,,,0.7209,,,,,,,,,,83,0.0868,0.7141,-0.0468,-94.5907,1335.7054,203.7855,-94.6775,1334.9913,203.8323
1,Line,,,,,,,0.7175,,,,,,,,,,42,0.0519,0.0468,-0.7141,-94.1923,214.1661,198.8109,-94.2442,214.1193,199.5251
1,Line,,,,,,,33.5904,,,,,,,,,,99,-5.3404,33.1632,0.0000,-100.3246,254.3557,194.7304,-94.9842,221.1925,194.7304
1,Line,,,,,,,0.5535,,,,,,,,,,99,-0.0907,0.5449,0.0357,-100.4153,254.9006,194.7661,-100.3246,254.3557,194.7304
