Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,54.8200,,,,,,,,,,,,,,,,87,0.0000,0.0000,-47.2454,-3026.3490,2440.7472,197.1623,-3026.3490,2440.7472,251.2394
1,Line,54.7132,,,,,,,,,,,,,,,,90,0.0000,0.0000,-46.1292,-3026.3490,2440.7472,326.9581,-3026.3490,2440.7472,379.7575
1,Line,54.0946,,,,,,,,,,,,,,,,91,0.0000,0.0000,10.7803,-3026.3490,2440.7472,209.5014,-3026.3490,2440.7472,197.1623
1,Line,93.5546,,,,,,,,,,,,,,,,91,0.0000,0.0000,38.4237,-3026.3490,2440.7472,112.6273,-3026.3490,2440.7472,68.6475
1,Line,31.9513,,,,,,,,,,,,,,,,18,0.0000,0.0000,14.3181,-3026.3490,2440.7472,68.6475,-3026.3490,2440.7472,52.2589
1,Line,34.5115,,,,,,,,,,,,,,,,66,0.0000,0.0000,9.8911,-3026.3490,2440.7472,326.9581,-3026.3490,2440.7472,315.6367
1,Line,101.0574,,,,,,,,,,,,,,,,90,0.0000,0.0000,46.0065,-3026.3490,2440.7472,751.1965,-3026.3490,2440.7472,698.5375
1,Line,103.2054,,,,,,,,,,,,,,,,91,0.0000,0.0000,72.5186,-3026.3490,2440.7472,524.2726,-3026.3490,2440.7472,441.2678
1,Line,34.5115,,,,,,,,,,,,,,,,35,0.0000,0.0000,25.1289,-3026.3490,2440.7472,617.7740,-3026.3490,2440.7472,589.0115
1,Line,63.0719,,,,,,,,,,,,,,,,90,0.0000,0.0000,-53.1765,-3026.3490,2440.7472,315.6367,-3026.3490,2440.7472,376.5025
1,Line,31.9513,,,,,,,,,,,,,,,,2,0.0000,0.0000,-2.8671,-3026.3490,2440.7472,751.1965,-3026.3490,2440.7472,754.4783
1,Line,34.5115,,,,,,,,,,,,,,,,58,0.0000,0.0000,-29.4340,-3026.3490,2440.7472,132.2027,-3026.3490,2440.7472,165.8928
1,Line,62.3820,,,,,,,,,,,,,,,,91,0.0000,0.0000,12.4319,-3026.3490,2440.7472,180.1224,-3026.3490,2440.7472,165.8928
1,Line,93.5546,,,,,,,,,,,,,,,,90,0.0000,0.0000,58.9872,-3026.3490,2440.7472,676.2464,-3026.3490,2440.7472,608.7297
1,Line,79.4053,,,,,,,,,,,,,,,,91,0.0000,0.0000,15.8244,-3026.3490,2440.7472,119.6631,-3026.3490,2440.7472,101.5505
1,Line,31.9513,,,,,,,,,,,,,,,,137,0.0000,0.0000,-26.7798,-3026.3490,2440.7472,101.5505,-3026.3490,2440.7472,132.2027
1,Line,34.5115,,,,,,,,,,,,,,,,28,0.0000,0.0000,-27.3191,-3026.3490,2440.7472,165.8928,-3026.3490,2440.7472,197.1623
1,Line,31.9513,,,,,,,,,,,,,,,,37,0.0000,0.0000,16.5066,-3026.3490,2440.7472,131.5207,-3026.3490,2440.7472,112.6273
