Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,5.5100,,,,,,,,,,,,,,,,54,-3.1701,-4.3496,1.1796,1092.5364,633.8854,41.4627,1095.7065,638.2350,40.2831
1,Line,1.7755,,,,,,,,,,,,,,,,0,1.3270,0.0000,-1.1796,1095.7065,638.2350,40.2831,1094.3795,638.2350,41.4627
1,Line,7.3253,,,,,,,,,,,,,,,,65,2.8752,6.1927,2.6540,1086.6386,640.8890,42.1999,1083.7634,634.6963,39.5459
1,Line,80.2490,,,,,,,,,,,,,,,,2,-54.7005,-1.9107,58.6866,1029.0630,632.7856,98.2325,1083.7634,634.6963,39.5459
1,Line,1.5569,,,,,,,,,,,,,,,,123,0.6635,-1.0321,-0.9584,1086.4174,628.7248,51.5627,1085.7539,629.7569,52.5211
1,Line,2.8015,,,,,,,,,,,,,,,,0,2.8015,0.0000,0.0000,1089.2189,628.7248,51.5627,1086.4174,628.7248,51.5627
1,Line,1.5569,,,,,,,,,,,,,,,,57,-0.6635,-1.0321,-0.9584,1089.2189,628.7248,51.5627,1089.8824,629.7569,52.5211
1,Line,4.7240,,,,,,,,,,,,,,,,113,-1.8431,4.3496,0.0000,1082.0678,638.2350,41.4627,1083.9108,633.8854,41.4627
1,Line,63.6287,,,,,,,,,,,,,,,,0,0.0000,0.0000,-63.6287,1083.9108,633.8854,41.4627,1083.9108,633.8854,105.0914
1,Line,4.1390,,,,,,,,,,,,,,,,120,-2.0642,3.5387,0.5898,1083.6897,620.3717,89.2081,1085.7539,616.8330,88.6183
1,Line,0.4423,,,,,,,,,,,,,,,,90,0.0000,-0.4423,0.0000,1087.6707,640.8890,43.1583,1087.6707,641.3314,43.1583
