Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0756,,,,,,,,,,,,,,94,0.0050,-0.0752,-0.0049,-20.1787,1556.2623,274.5368,-20.1838,1556.3375,274.5417
1,Line,1.4068,,,,,,,,,,,,,,131,-0.7245,0.8463,0.8591,-20.9082,1557.1839,275.4008,-20.1838,1556.3375,274.5417
1,Line,1.7520,,,,,,,,,,,,,,132,-0.9142,1.0281,1.0847,-20.7580,1555.5470,275.2444,-19.8439,1554.5188,274.1598
1,Line,1.8149,,,,,,,,,,,,,,101,0.3349,-1.7435,-0.3770,-19.8439,1554.5188,274.1598,-20.1787,1556.2623,274.5368
1,Line,9.4979,,,,,,,,,,,,,,145,-5.5932,3.8996,6.6121,-7.0939,1567.2308,259.3717,-1.5007,1563.3313,252.7596
1,Line,4.2540,,,,,,,,,,,,,,85,-0.3797,-4.2232,0.3417,-7.4736,1563.0076,259.7134,-7.0939,1567.2308,259.3717
1,Line,10.1713,,,,,,,,,,,,,,140,-5.7889,4.7819,6.8613,-7.4736,1563.0076,259.7134,-1.6847,1558.2257,252.8521
1,Line,2.5467,,,,,,,,,,,,,,79,0.4835,2.4454,-0.5214,-19.9334,1571.8765,274.4157,-20.4168,1569.4311,274.9371
1,Line,3.4418,,,,,,,,,,,,,,99,0.5530,-3.3108,-0.7606,-1.3318,1569.7091,252.8018,-1.8847,1573.0199,253.5623
1,Line,3.0648,,,,,,,,,,,,,,108,0.8868,-2.7088,-1.1265,-1.8847,1573.0199,253.5623,-2.7715,1575.7287,254.6889
1,Line,1.6892,,,,,,,,,,,,,,152,-1.0339,0.5449,1.2196,-3.8054,1576.2736,255.9085,-2.7715,1575.7287,254.6889
1,Line,0.5361,,,,,,,,,,,,,,82,-0.0730,-0.5161,0.1256,-0.6192,1551.5518,255.1298,-0.5462,1552.0679,255.0042
1,Line,39.3760,,,,,,,,,,,,,,138,-21.8878,19.9510,25.9490,-42.3046,1589.3821,300.8861,-20.4168,1569.4311,274.9371
1,Line,0.5112,,,,,,,,,,,,,,82,0.0696,0.4920,-0.1198,0.0729,1551.4780,254.2778,0.0032,1550.9859,254.3976
1,Line,1.1153,,,,,,,,,,,,,,138,-0.6225,0.5659,0.7322,-0.6192,1551.5518,255.1298,0.0032,1550.9859,254.3976
1,Line,0.5917,,,,,,,,,,,,,,85,0.0515,0.5886,-0.0321,-1.6847,1558.2257,252.8521,-1.7362,1557.6371,252.8842
1,Line,0.7980,,,,,,,,,,,,,,88,0.0272,0.7927,-0.0878,-5.9155,1557.1842,261.3041,-5.9427,1556.3915,261.3920
1,Line,2.9360,,,,,,,,,,,,,,138,-1.6387,1.4898,1.9276,-7.5814,1557.8813,263.3196,-5.9427,1556.3915,261.3920
1,Line,10.1050,,,,,,,,,,,,,,142,-5.8221,4.5558,6.8889,-7.5583,1562.1930,259.7731,-1.7362,1557.6371,252.8842
1,Line,39.9719,,,,,,,,,,,,,,133,-21.1306,22.8769,25.0579,-42.3046,1584.5815,300.7749,-21.1741,1561.7047,275.7170
1,Line,39.6243,,,,,,,,,,,,,,134,-21.2231,22.0515,25.1674,-42.3046,1582.1802,300.7741,-21.0815,1560.1286,275.6067
1,Line,0.8212,,,,,,,,,,,,,,84,-0.0847,-0.8147,0.0597,-7.5583,1562.1930,259.7731,-7.4736,1563.0076,259.7134
1,Line,14.8440,,,,,,,,,,,,,,138,-8.2848,7.5319,9.7456,-16.1378,1565.6601,273.3846,-7.8530,1558.1282,263.6390
1,Line,1.5826,,,,,,,,,,,,,,93,-0.0926,1.5760,0.1103,-21.1741,1561.7047,275.7170,-21.0815,1560.1286,275.6067
1,Line,1.3416,,,,,,,,,,,,,,134,-0.7186,0.7466,0.8521,-21.0815,1560.1286,275.6067,-20.3629,1559.3820,274.7546
1,Line,1.5490,,,,,,,,,,,,,,93,0.0906,-1.5426,-0.1079,-20.3629,1559.3820,274.7546,-20.4535,1560.9246,274.8625
1,Line,19.3215,,,,,,,,,,,,,,136,10.6609,-10.1587,-12.5088,-5.9155,1557.1842,261.3041,-16.5764,1567.3429,273.8129
1,Line,0.1328,,,,,,,,,,,,,,105,0.0328,-0.1246,-0.0321,-16.1378,1565.6601,273.3846,-16.1705,1565.7847,273.4167
1,Line,0.9293,,,,,,,,,,,,,,105,0.2280,-0.8730,-0.2228,-16.1705,1565.7847,273.4167,-16.3985,1566.6577,273.6395
1,Line,0.7288,,,,,,,,,,,,,,105,0.1778,-0.6852,-0.1734,-16.3985,1566.6577,273.6395,-16.5764,1567.3429,273.8129
1,Line,11.9462,,,,,,,,,,,,,,152,-7.3116,3.8537,8.6256,-13.7225,1581.5005,267.6077,-6.4108,1577.6468,258.9821
1,Line,0.7784,,,,,,,,,,,,,,82,0.1079,0.7692,-0.0513,-6.3029,1578.4160,258.9308,-6.4108,1577.6468,258.9821
1,Line,10.7963,,,,,,,,,,,,,,150,-6.5385,3.7295,7.7395,-12.8414,1582.1455,266.6703,-6.3029,1578.4160,258.9308
1,Line,1.1686,,,,,,,,,,,,,,40,-0.6938,-0.5925,0.7303,-13.7225,1581.5005,267.6077,-13.0287,1582.0929,266.8774
1,Line,0.8033,,,,,,,,,,,,,,84,-0.0905,-0.7964,0.0543,-7.0939,1567.2308,259.3717,-7.0034,1568.0272,259.3175
1,Line,3.8033,,,,,,,,,,,,,,145,-2.2397,1.5615,2.6477,-9.3336,1568.7924,262.0194,-7.0939,1567.2308,259.3717
1,Line,0.2841,,,,,,,,,,,,,,16,-0.1873,-0.0525,0.2071,-13.0287,1582.0929,266.8774,-12.8414,1582.1455,266.6703
1,Line,1.7679,,,,,,,,,,,,,,84,-0.1768,-1.7541,0.1316,-5.9802,1578.2319,258.5488,-5.8034,1579.9860,258.4172
1,Line,4.3606,,,,,,,,,,,,,,80,-0.7076,-4.1944,0.9598,-0.5462,1552.0679,255.0042,0.1614,1556.2623,254.0444
1,Line,0.6193,,,,,,,,,,,,,,88,-0.0266,-0.6169,0.0483,0.1614,1556.2623,254.0444,0.1880,1556.8792,253.9961
1,Line,4.4059,,,,,,,,,,,,,,84,-0.4250,-4.3724,0.3366,-6.5058,1573.1004,258.9294,-6.0808,1577.4728,258.5928
1,Line,1.1220,,,,,,,,,,,,,,136,0.6191,-0.5899,-0.7264,0.0729,1551.4780,254.2778,-0.5462,1552.0679,255.0042
1,Line,3.6925,,,,,,,,,,,,,,120,-1.5567,2.7429,1.9204,-5.8034,1579.9860,258.4172,-4.2466,1577.2431,256.4968
1,Line,0.4766,,,,,,,,,,,,,,88,0.0205,0.4747,-0.0372,0.8346,1556.3469,253.2351,0.8141,1555.8722,253.2723
1,Line,4.5683,,,,,,,,,,,,,,80,0.7413,4.3942,-1.0055,0.8141,1555.8722,253.2723,0.0729,1551.4780,254.2778
1,Line,0.5653,,,,,,,,,,,,,,85,-0.0493,-0.5624,0.0306,-1.0904,1557.1318,252.1200,-1.0412,1557.6942,252.0894
1,Line,23.9724,,,,,,,,,,,,,,142,-13.8504,10.8380,16.2905,-1.0904,1557.1318,252.1200,12.7600,1546.2938,235.8295
1,Line,24.1831,,,,,,,,,,,,,,140,-13.8012,11.4004,16.2599,-1.0412,1557.6942,252.0894,12.7600,1546.2938,235.8295
1,Line,0.6372,,,,,,,,,,,,,,131,-0.3281,0.3834,0.3891,-9.4157,1543.7577,261.7722,-9.0875,1543.3744,261.3831
1,Line,1.0030,,,,,,,,,,,,,,92,-0.0314,1.0022,0.0229,-9.4157,1543.7577,261.7722,-9.3843,1542.7555,261.7493
1,Line,0.4570,,,,,,,,,,,,,,132,-0.2385,0.2682,0.2829,-9.3843,1542.7555,261.7493,-9.1458,1542.4873,261.4664
1,Line,0.8929,,,,,,,,,,,,,,86,-0.0583,-0.8871,0.0833,-9.1458,1542.4873,261.4664,-9.0875,1543.3744,261.3831
1,Line,0.2516,,,,,,,,,,,,,,109,0.0751,-0.2221,-0.0911,-17.6449,1550.1999,275.1497,-17.7200,1550.4220,275.2408
1,Line,0.5329,,,,,,,,,,,,,,150,-0.3227,0.1841,0.3820,-6.3029,1578.4160,258.9308,-5.9802,1578.2319,258.5488
1,Line,2.0962,,,,,,,,,,,,,,99,-0.3368,2.0165,0.4632,-2.4935,1572.2663,254.2419,-2.1567,1570.2498,253.7787
1,Line,4.5340,,,,,,,,,,,,,,108,-1.3119,4.0073,1.6666,-3.8054,1576.2736,255.9085,-2.4935,1572.2663,254.2419
1,Line,3.0916,,,,,,,,,,,,,,128,1.5319,-1.9876,-1.8058,-16.1131,1548.2122,273.3438,-17.6449,1550.1999,275.1497
1,Line,4.0213,,,,,,,,,,,,,,100,0.6838,-3.8666,-0.8678,-17.7200,1550.4220,275.2408,-18.4038,1554.2886,276.1085
1,Line,2.1074,,,,,,,,,,,,,,100,-0.3583,2.0263,0.4548,-17.4732,1553.2019,275.0140,-17.1149,1551.1756,274.5592
1,Line,3.3560,,,,,,,,,,,,,,109,-1.0018,2.9634,1.2154,-17.1149,1551.1756,274.5592,-16.1131,1548.2122,273.3438
1,Line,2.8140,,,,,,,,,,,,,,61,1.1434,2.0947,-1.4910,-14.8399,1578.7290,271.0911,-15.9834,1576.6343,272.5821
1,Line,44.7043,,,,,,,,,,,,,,130,-22.7131,27.4887,26.9621,-42.3046,1577.3795,300.8819,-19.5915,1549.8908,273.9197
1,Line,53.4396,,,,,,,,,,,,,,127,-26.0774,34.9276,30.9163,-42.3046,1577.3795,300.8819,-16.2272,1542.4519,269.9655
1,Line,0.7706,,,,,,,,,,,,,,43,-0.4198,-0.3956,0.5110,-7.5602,1540.7040,259.5850,-7.1404,1541.0996,259.0740
1,Line,4.7027,,,,,,,,,,,,,,109,-1.4402,4.1490,1.6814,-19.5915,1549.8908,273.9197,-18.1513,1545.7418,272.2383
1,Line,1.3441,,,,,,,,,,,,,,88,-0.0487,-1.3387,0.1098,-18.9030,1563.7423,276.7348,-18.8543,1565.0810,276.6251
1,Line,1.2776,,,,,,,,,,,,,,78,0.2533,1.2259,-0.2555,-20.4168,1569.4311,274.9371,-20.6702,1568.2052,275.1926
1,Line,4.4375,,,,,,,,,,,,,,120,-1.9241,3.2899,2.2728,-18.1513,1545.7418,272.2383,-16.2272,1542.4519,269.9655
1,Line,38.9418,,,,,,,,,,,,,,132,-20.3202,22.8529,24.1101,-7.5602,1540.7040,259.5850,12.7600,1517.8511,235.4749
1,Line,0.2955,,,,,,,,,,,,,,48,0.1401,0.1533,-0.2102,-12.0847,1582.0929,267.3851,-12.2248,1581.9396,267.5953
1,Line,1.7883,,,,,,,,,,,,,,150,-1.0856,0.6165,1.2804,-13.3104,1582.5561,268.8757,-12.2248,1581.9396,267.5953
1,Line,0.4724,,,,,,,,,,,,,,43,0.2598,0.2422,-0.3114,-8.3490,1541.5912,260.5210,-8.6088,1541.3490,260.8324
1,Line,1.5208,,,,,,,,,,,,,,18,0.8886,0.2864,-1.2005,-11.1961,1582.3794,266.1847,-12.0847,1582.0929,267.3851
1,Line,38.6450,,,,,,,,,,,,,,131,-19.9004,23.2485,23.5991,-7.1404,1541.0996,259.0740,12.7600,1517.8511,235.4749
1,Line,1.3783,,,,,,,,,,,,,,48,-0.6537,-0.7151,0.9803,-13.3104,1582.5561,268.8757,-12.6568,1583.2713,267.8954
1,Line,2.4198,,,,,,,,,,,,,,149,1.4607,-0.8919,-1.7107,-11.1961,1582.3794,266.1847,-12.6568,1583.2713,267.8954
1,Line,0.3664,,,,,,,,,,,,,,33,-0.2189,-0.1417,0.2573,-12.1880,1555.5163,265.0823,-11.9691,1555.6580,264.8249
1,Line,9.1693,,,,,,,,,,,,,,136,-5.0373,4.8028,5.9695,-17.0064,1560.4608,270.7945,-11.9691,1555.6580,264.8249
1,Line,0.7837,,,,,,,,,,,,,,16,0.4880,0.1384,-0.5975,-10.0107,1555.5163,266.2534,-10.4987,1555.3779,266.8508
1,Line,1.1211,,,,,,,,,,,,,,15,-0.7144,-0.1972,0.8412,-12.9024,1555.3191,265.9235,-12.1880,1555.5163,265.0823
1,Line,1.1820,,,,,,,,,,,,,,140,-0.6719,0.5590,0.7958,-14.9969,1556.2494,268.3992,-14.3250,1555.6904,267.6035
1,Line,1.1342,,,,,,,,,,,,,,156,-0.7042,0.3127,0.8323,-14.3250,1555.6904,267.6035,-13.6209,1555.3776,266.7711
1,Line,1.1127,,,,,,,,,,,,,,175,-0.7185,0.0585,0.8476,-13.6209,1555.3776,266.7711,-12.9024,1555.3191,265.9235
1,Line,0.3789,,,,,,,,,,,,,,34,0.2193,0.1472,-0.2717,-9.7914,1555.6636,265.9816,-10.0107,1555.5163,266.2534
1,Line,0.1216,,,,,,,,,,,,,,16,-0.0787,-0.0226,0.0899,-7.1410,1541.1374,262.8616,-7.0623,1541.1600,262.7716
1,Line,0.7797,,,,,,,,,,,,,,16,-0.5045,-0.1447,0.5766,-7.0623,1541.1600,262.7716,-6.5579,1541.3047,262.1950
1,Line,1.3169,,,,,,,,,,,,,,88,0.0477,1.3116,-0.1075,-18.2146,1564.4163,275.8738,-18.2623,1563.1047,275.9814
1,Line,0.8005,,,,,,,,,,,,,,43,0.4361,0.4109,-0.5308,-7.9129,1542.0021,259.9902,-8.3490,1541.5912,260.5210
1,Line,0.5538,,,,,,,,,,,,,,72,-0.1550,-0.4899,0.2066,-2.0742,1546.9935,256.9431,-1.9192,1547.4833,256.7365
1,Line,4.5295,,,,,,,,,,,,,,87,0.2660,4.5004,-0.4386,-5.6495,1561.6846,260.8655,-5.9155,1557.1842,261.3041
1,Line,1.5270,,,,,,,,,,,,,,132,-0.7968,0.8961,0.9454,-9.1458,1542.4873,261.4664,-8.3490,1541.5912,260.5210
1,Line,1.3583,,,,,,,,,,,,,,86,-0.0927,-1.3523,0.0875,-20.3754,1563.6731,274.7871,-20.2827,1565.0254,274.6996
1,Line,1.1750,,,,,,,,,,,,,,135,-0.6372,0.6353,0.7556,-20.9199,1565.6607,275.4552,-20.2827,1565.0254,274.6996
1,Line,0.5624,,,,,,,,,,,,,,78,-0.1115,-0.5397,0.1125,-1.9563,1551.9628,253.0315,-1.8448,1552.5025,252.9190
1,Line,2.0499,,,,,,,,,,,,,,135,-1.1160,1.1107,1.3125,-7.3932,1552.2873,263.1986,-6.2772,1551.1765,261.8861
1,Line,0.9279,,,,,,,,,,,,,,93,0.0410,-0.9269,-0.0147,-7.3932,1552.2873,263.1986,-7.4343,1553.2142,263.2134
1,Line,2.2289,,,,,,,,,,,,,,134,1.1984,-1.2453,-1.4074,-6.2359,1551.9689,261.8060,-7.4343,1553.2142,263.2134
1,Line,0.7974,,,,,,,,,,,,,,87,0.0414,0.7923,-0.0802,-6.2359,1551.9689,261.8060,-6.2772,1551.1765,261.8861
1,Line,1.1143,,,,,,,,,,,,,,138,-0.6194,0.5646,0.7343,-2.4642,1553.0670,253.6533,-1.8448,1552.5025,252.9190
1,Line,2.6680,,,,,,,,,,,,,,68,-0.8965,-2.2090,1.1977,-7.3406,1569.3423,262.4817,-6.4441,1571.5514,261.2841
1,Line,15.1609,,,,,,,,,,,,,,142,8.7779,-6.8554,-10.2861,-7.3406,1569.3423,262.4817,-16.1185,1576.1977,272.7679
1,Line,0.4933,,,,,,,,,,,,,,73,0.1351,0.4366,-0.1858,-15.9834,1576.6343,272.5821,-16.1185,1576.1977,272.7679
1,Line,1.5927,,,,,,,,,,,,,,75,-0.3775,-1.4534,0.5308,-6.4441,1571.5514,261.2841,-6.0666,1573.0047,260.7532
1,Line,1.1087,,,,,,,,,,,,,,139,-0.6241,0.5417,0.7391,-2.5804,1552.5045,253.7706,-1.9563,1551.9628,253.0315
1,Line,1.3845,,,,,,,,,,,,,,86,0.0945,1.3784,-0.0892,-20.9199,1565.6607,275.4552,-21.0144,1564.2823,275.5444
1,Line,38.7545,,,,,,,,,,,,,,136,-21.2902,20.2992,25.2305,-42.3046,1584.5815,300.7749,-21.0144,1564.2823,275.5444
1,Line,1.5816,,,,,,,,,,,,,,43,-0.8699,-0.8110,1.0425,-8.4301,1539.8930,260.6276,-7.5602,1540.7040,259.5850
1,Line,1.5117,,,,,,,,,,,,,,132,-0.7888,0.8872,0.9360,-8.3490,1541.5912,260.5210,-7.5602,1540.7040,259.5850
1,Line,0.9905,,,,,,,,,,,,,,91,-0.0140,0.9899,0.0318,-9.6369,1554.4109,262.0762,-9.6229,1553.4210,262.0445
1,Line,2.6476,,,,,,,,,,,,,,16,-1.6695,-0.4936,1.9947,-10.0996,1539.3994,262.6222,-8.4301,1539.8930,260.6276
1,Line,1.0137,,,,,,,,,,,,,,16,0.6392,0.1890,-0.7637,-8.6088,1541.3490,260.8324,-9.2480,1541.1600,261.5961
1,Line,2.8407,,,,,,,,,,,,,,16,1.7913,0.5297,-2.1402,-9.2480,1541.1600,261.5961,-11.0394,1540.6303,263.7362
1,Line,0.0869,,,,,,,,,,,,,,164,0.0549,-0.0162,-0.0654,-11.0394,1540.6303,263.7362,-11.0943,1540.6465,263.8016
1,Line,2.2164,,,,,,,,,,,,,,136,-1.2176,1.1609,1.4430,-9.6229,1553.4210,262.0445,-8.4053,1552.2601,260.6015
1,Line,5.9867,,,,,,,,,,,,,,133,-3.1648,3.4263,3.7530,-8.7233,1548.2249,260.9520,-5.5585,1544.7985,257.1990
1,Line,0.8748,,,,,,,,,,,,,,86,-0.0654,-0.8690,0.0772,-8.7886,1547.3559,261.0292,-8.7233,1548.2249,260.9520
1,Line,5.4889,,,,,,,,,,,,,,134,-2.9399,3.0547,3.4863,-8.7886,1547.3559,261.0292,-5.8487,1544.3012,257.5429
1,Line,1.3573,,,,,,,,,,,,,,134,-0.7270,0.7554,0.8621,-9.5156,1548.1113,261.8913,-8.7886,1547.3559,261.0292
1,Line,2.4040,,,,,,,,,,,,,,135,-1.3037,1.2999,1.5459,-9.6369,1554.4109,262.0762,-8.3331,1553.1110,260.5303
1,Line,1.5419,,,,,,,,,,,,,,133,-0.8151,0.8825,0.9666,-9.5384,1549.1074,261.9186,-8.7233,1548.2249,260.9520
1,Line,0.9967,,,,,,,,,,,,,,91,-0.0227,0.9961,0.0273,-9.5384,1549.1074,261.9186,-9.5156,1548.1113,261.8913
1,Line,0.5392,,,,,,,,,,,,,,152,-0.3300,0.1740,0.3894,-6.4108,1577.6468,258.9821,-6.0808,1577.4728,258.5928
1,Line,0.2835,,,,,,,,,,,,,,75,0.0690,0.2513,-0.1116,-17.2210,1572.5176,274.3534,-17.2899,1572.2663,274.4651
1,Line,0.6914,,,,,,,,,,,,,,83,0.0818,0.6655,-0.1687,-17.2899,1572.2663,274.4651,-17.3717,1571.6008,274.6337
1,Line,0.2514,,,,,,,,,,,,,,83,-0.0297,-0.2420,0.0613,-17.4014,1571.3589,274.6951,-17.3717,1571.6008,274.6337
1,Line,43.1940,,,,,,,,,,,,,,139,24.4301,-21.1762,-28.6437,-17.8745,1573.0841,275.1197,-42.3046,1594.2603,303.7634
1,Line,0.6079,,,,,,,,,,,,,,97,0.0770,-0.6027,-0.0198,0.2517,1562.8703,253.6553,0.1747,1563.4730,253.6751
1,Line,9.6727,,,,,,,,,,,,,,144,-5.6504,4.1678,6.6531,-5.3987,1567.0381,260.3084,0.2517,1562.8703,253.6553
1,Line,42.4763,,,,,,,,,,,,,,141,-24.2722,19.9810,28.5632,-42.3046,1591.8593,304.0008,-18.0324,1571.8783,275.4376
