Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9676,-12.8961,34.3641,-25.1493,-12.8665,34.3641
1,Line,0.1743,,,,,,,,,,,,,,180,0.0000,0.0000,0.1743,-24.9676,-12.8961,34.3641,-24.9676,-12.8961,34.1898
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9672,-12.8943,34.3826,-25.1489,-12.8647,34.3826
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9495,-12.8120,33.7919,-25.1312,-12.7825,33.7919
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-18.9982,-3.6700,34.3495,-17.9587,-3.6044,34.2991
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-16.9192,-3.5387,34.2487,-15.8797,-3.4730,34.1983
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-15.8797,-3.4730,34.1983,-14.8403,-3.4073,34.1478
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-20.0377,-3.7357,34.3999,-18.9982,-3.6700,34.3495
1,Arc,0.6545,,,,,,,0.0047,-23.1561,0.0000,31.5334,5.0000,30,8,,,,,,,,,,
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-23.1561,-3.9328,34.5511,-22.1166,-3.8671,34.5007
1,Line,1.0428,,,,,,,,,,,,,,184,-1.0395,-0.0657,0.0504,-21.0772,-3.8014,34.4503,-20.0377,-3.7357,34.3999
1,Line,0.0048,,,,,,,,,,,,,,313,0.0033,-0.0035,0.0004,-0.9757,-11.3708,33.3302,-0.9791,-11.3672,33.3298
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9392,-12.7643,33.7332,-25.1210,-12.7348,33.7332
1,Line,0.1841,,,,,,,,,,,,,,351,0.1817,-0.0296,0.0000,-24.9271,-12.7083,33.6826,-25.1089,-12.6787,33.6826
1,Line,1.0410,,,,,,,,,,,,,,261,-0.1689,-1.0149,0.1584,-1.1180,-11.2198,33.3132,-0.9492,-10.2048,33.1548
1,Line,8.3427,,,,,,,,,,,,,,4,8.3159,0.5787,-0.3341,-14.8403,-3.7515,33.6993,-23.1561,-4.3301,34.0334
1,Line,0.1448,,,,,,,,,,,,,,201,-0.0724,-0.0281,-0.1222,-32.5078,-5.3809,34.7030,-32.4354,-5.3528,34.8252
1,Line,1.0855,,,,,,,,,,,,,,126,-0.6317,0.8828,0.0000,-32.5078,-5.3809,34.7030,-31.8761,-6.2637,34.7030
1,Line,0.7000,,,,,,,,,,,,,,167,-0.6708,0.1536,-0.1281,-31.2965,-14.9434,34.3357,-30.6257,-15.0971,34.4638
1,Line,1.1169,,,,,,,,,,,,,,157,-0.8582,0.3574,-0.6191,-40.4166,-1.3757,33.9162,-39.5584,-1.7332,34.5353
1,Line,1.1169,,,,,,,,,,,,,,168,-0.8582,0.1850,-0.6905,-40.4166,-0.7121,34.1910,-39.5584,-0.8972,34.8816
1,3D Polyline,0.8161,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.5169,,,,,,,,,,,,,,170,-0.5087,0.0916,0.0000,-30.0256,-14.8050,34.4352,-29.5168,-14.8967,34.4352
1,3D Polyline,0.0338,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.1298,,,,,,,,,,,,,,0,0.0000,0.0000,0.1298,-30.6182,-15.0656,34.3357,-30.6182,-15.0656,34.2059
1,Line,5.2050,,,,,,,,,,,,,,180,-5.1974,0.0000,-0.2802,-33.5510,-5.0000,32.2334,-28.3536,-5.0000,32.5136
1,Line,0.3446,,,,,,,,,,,,,,170,-0.3392,0.0611,0.0000,-29.5523,-15.0455,34.2675,-29.2131,-15.1065,34.2675
1,Line,0.0122,,,,,,,,,,,,,,77,0.0011,0.0045,0.0113,-29.5512,-15.0410,34.2788,-29.5523,-15.0455,34.2675
1,Line,0.3446,,,,,,,,,,,,,,350,0.3392,-0.0611,0.0000,-29.2120,-15.1021,34.2788,-29.5512,-15.0410,34.2788
1,Line,0.0122,,,,,,,,,,,,,,77,0.0011,0.0045,0.0113,-29.2120,-15.1021,34.2788,-29.2131,-15.1065,34.2675
1,Line,1.0289,,,,,,,,,,,,,,348,0.7906,-0.1704,0.6361,-39.5922,-0.9275,34.8388,-40.3828,-0.7570,34.2027
1,Line,0.6442,,,,,,,,,,,,,,90,0.0000,0.5952,0.2465,-40.3828,-0.7570,34.2027,-40.3828,-1.3522,33.9561
1,Line,1.0289,,,,,,,,,,,,,,157,-0.7906,0.3293,-0.5703,-40.3828,-1.3522,33.9561,-39.5922,-1.6815,34.5265
