Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0262,,,,,,,,,,,,,,,,81,0.0000,0.0000,-0.0055,-6.3026,-2.6568,3.8924,-6.3026,-2.6568,3.9033
1,Line,0.0262,,,,,,,,,,,,,,,,81,0.0000,0.0000,0.0055,-6.3026,-2.6568,3.9212,-6.3026,-2.6568,3.9103
1,Line,0.0252,,,,,,,,,,,,,,,,99,0.0000,0.0000,-0.0055,-6.3026,-2.6568,3.8814,-6.3026,-2.6568,3.8924
1,Line,0.0259,,,,,,,,,,,,,,,,52,0.0000,0.0000,0.0045,-6.3026,-2.6568,3.9302,-6.3026,-2.6568,3.9212
1,Line,0.0256,,,,,,,,,,,,,,,,39,0.0000,0.0000,0.0035,-6.3026,-2.6568,3.9371,-6.3026,-2.6568,3.9302
1,Line,0.0274,,,,,,,,,,,,,,,,54,0.0000,0.0000,-0.0050,-6.3026,-2.6568,3.9033,-6.3026,-2.6568,3.9133
1,Line,0.0751,,,,,,,,,,,,,,,,54,0.0000,0.0000,0.0040,-6.3026,-2.6568,3.9212,-6.3026,-2.6568,3.9133
1,Line,0.0713,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.0090,-6.3026,-2.6568,3.8924,-6.3026,-2.6568,3.9103
1,Line,0.0240,,,,,,,,,,,,,,,,146,0.0000,0.0000,-0.0030,-6.3026,-2.6568,3.8655,-6.3026,-2.6568,3.8715
1,Line,0.0744,,,,,,,,,,,,,,,,147,0.0000,0.0000,0.0060,-6.3026,-2.6568,3.8834,-6.3026,-2.6568,3.8715
1,Line,0.0245,,,,,,,,,,,,,,,,144,0.0000,0.0000,0.0030,-6.3026,-2.6568,3.8894,-6.3026,-2.6568,3.8834
1,Line,0.0274,,,,,,,,,,,,,,,,126,0.0000,0.0000,0.0050,-6.3026,-2.6568,3.8993,-6.3026,-2.6568,3.8894
1,Line,0.0252,,,,,,,,,,,,,,,,99,0.0000,0.0000,0.0055,-6.3026,-2.6568,3.9103,-6.3026,-2.6568,3.8993
1,Line,0.0281,,,,,,,,,,,,,,,,124,0.0000,0.0000,-0.0050,-6.3026,-2.6568,3.8715,-6.3026,-2.6568,3.8814
1,Line,0.0751,,,,,,,,,,,,,,,,126,0.0000,0.0000,0.0040,-6.3026,-2.6568,3.8894,-6.3026,-2.6568,3.8814
1,Line,0.0248,,,,,,,,,,,,,,,,124,0.0000,0.0000,-0.0045,-6.3026,-2.6568,3.9212,-6.3026,-2.6568,3.9302
1,Line,0.0262,,,,,,,,,,,,,,,,147,0.0000,0.0000,0.0030,-6.3026,-2.6568,3.9192,-6.3026,-2.6568,3.9133
1,Line,0.0751,,,,,,,,,,,,,,,,146,0.0000,0.0000,0.0120,-6.3026,-2.6568,3.9371,-6.3026,-2.6568,3.9133
1,Line,0.0759,,,,,,,,,,,,,,,,124,0.0000,0.0000,0.0135,-6.3026,-2.6568,3.9302,-6.3026,-2.6568,3.9033
1,Line,0.0266,,,,,,,,,,,,,,,,103,0.0000,0.0000,0.0055,-6.3026,-2.6568,3.9033,-6.3026,-2.6568,3.8924
1,Line,0.0266,,,,,,,,,,,,,,,,103,0.0000,0.0000,-0.0055,-6.3026,-2.6568,3.9103,-6.3026,-2.6568,3.9212
1,Line,0.0262,,,,,,,,,,,,,,,,122,0.0000,0.0000,0.0050,-6.3026,-2.6568,3.9133,-6.3026,-2.6568,3.9033
1,Line,0.0271,,,,,,,,,,,,,,,,144,0.0000,0.0000,-0.0035,-6.3026,-2.6568,3.9302,-6.3026,-2.6568,3.9371
1,Line,0.0262,,,,,,,,,,,,,,,,10,0.0000,0.0000,0.0010,-6.3026,-2.6568,3.9391,-6.3026,-2.6568,3.9371
1,Line,0.0245,,,,,,,,,,,,,,,,36,0.0000,0.0000,-0.0030,-6.3026,-2.6568,3.9133,-6.3026,-2.6568,3.9192
1,Line,0.0757,,,,,,,,,,,,,,,,39,0.0000,0.0000,0.0055,-6.3026,-2.6568,3.9302,-6.3026,-2.6568,3.9192
1,Line,0.0713,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.0090,-6.3026,-2.6568,3.9212,-6.3026,-2.6568,3.9391
1,Line,0.0262,,,,,,,,,,,,,,,,170,0.0000,0.0000,0.0010,-6.3026,-2.6568,3.9212,-6.3026,-2.6568,3.9192
1,Line,0.0262,,,,,,,,,,,,,,,,170,0.0000,0.0000,-0.0010,-6.3026,-2.6568,3.9371,-6.3026,-2.6568,3.9391
1,Line,0.0262,,,,,,,,,,,,,,,,10,0.0000,0.0000,-0.0010,-6.3026,-2.6568,3.9192,-6.3026,-2.6568,3.9212
1,Line,0.0403,,,,,,,,,,,,,,,,95,0.0000,0.0000,-0.0046,-6.2966,-1.6981,5.4073,-6.2966,-1.6981,5.4165
1,Line,0.0374,,,,,,,,,,,,,,,,85,0.0000,0.0000,-0.0051,-6.2966,-1.6981,5.4928,-6.2966,-1.6981,5.5030
1,Line,1.9257,,,,,,,,,,,,,,,,91,0.0000,0.0000,0.2354,-6.2966,-1.6981,5.9703,-6.2966,-1.6981,5.5019
1,Line,0.0372,,,,,,,,,,,,,,,,91,0.0000,0.0000,-0.0046,-6.2966,-1.6981,5.4928,-6.2966,-1.6981,5.5019
1,Line,0.0256,,,,,,,,,,,,,,,,77,0.0000,0.0000,-0.0055,-6.3026,-2.6568,3.8993,-6.3026,-2.6568,3.9103
1,Group_22,,,,,,,,,,,-6.2966,-1.7665,2.4379,1.9894,1.9894,1.9894,,,,,,,,,,
1,Group_40,,,,,,,,,,,-6.0201,-4.8965,2.4379,1.9894,1.9894,1.9894,,,,,,,,,,
1,Line,1.9319,,,,,,,,,,,,,,,,89,0.0000,0.0000,0.2763,-6.2966,-1.6981,5.9703,-6.2966,-1.6981,5.4206
1,Line,0.8955,,,,,,,,,,,,,,,,95,0.0000,0.0000,0.1043,-6.2966,-1.6981,5.6261,-6.2966,-1.6981,5.4185
1,Line,0.8954,,,,,,,,,,,,,,,,95,0.0000,0.0000,0.1020,-6.2966,-1.6981,5.6211,-6.2966,-1.6981,5.4183
1,Line,0.0007,,,,,,,,,,,,,,,,154,0.0000,0.0000,-0.0001,-6.2966,-1.6981,5.5009,-6.2966,-1.6981,5.5011
