Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Arc,0.0472,0.0000,5.8611,9.9421,1.5241,0.1804,75,15,,,,,,,,,,,,
1,Line,0.4368,,,,,,,,,,272,0.0184,-0.4364,0.0049,-6.6154,9.5057,1.3385,-6.6338,9.9421,1.3336
1,Arc,0.1927,0.0008,-5.9228,9.9421,1.5241,0.7361,180,15,,,,,,,,,,,,
1,Arc,0.1877,0.0008,-5.9228,9.5057,1.5241,0.7170,135,15,,,,,,,,,,,,
1,Arc,0.1927,0.0008,-5.9228,9.9421,1.5241,0.7361,165,15,,,,,,,,,,,,
1,Line,0.1530,,,,,,,,,,92,-0.0062,0.1529,0.0000,-4.0910,8.4914,1.5321,-4.0848,8.3385,1.5321
1,Arc,0.1631,0.0006,-5.9228,9.1198,1.5241,0.6231,180,15,,,,,,,,,,,,
1,Arc,0.1579,0.0005,-5.9228,9.1444,1.5241,0.6030,165,15,,,,,,,,,,,,
1,Line,0.0317,,,,,,,,,,51,0.0201,0.0246,0.0000,-6.5258,9.1444,1.5241,-6.5459,9.1198,1.5241
1,Line,0.0318,,,,,,,,,,52,0.0194,0.0246,0.0052,-6.5053,9.1444,1.3681,-6.5247,9.1198,1.3628
1,Line,0.3942,,,,,,,,,,262,-0.0530,-0.3905,0.0104,0.1736,12.0350,3.3709,0.2266,12.4255,3.3606
1,Line,0.0776,,,,,,,,,,342,0.0734,-0.0235,-0.0089,0.2999,12.4019,3.3517,0.2266,12.4255,3.3606
1,Arc,0.1631,0.0006,-5.9228,9.1198,1.5241,0.6231,165,15,,,,,,,,,,,,
1,Line,0.0934,,,,,,,,,,270,-0.0002,-0.0660,0.0661,0.8319,21.0228,2.7760,0.8321,21.0887,2.7099
1,Line,0.0150,,,,,,,,,,228,-0.0065,-0.0072,0.0114,-1.4143,9.4809,0.5094,-1.4078,9.4881,0.4980
1,Line,0.3934,,,,,,,,,,180,-0.0923,0.0000,-0.3824,-1.4934,7.3171,1.7358,-1.4011,7.3171,2.1183
1,Arc,0.1579,0.0005,-5.9228,9.1444,1.5241,0.6030,150,15,,,,,,,,,,,,
1,Line,0.1435,,,,,,,,,,95,-0.0127,0.1412,-0.0219,2.9569,8.3385,0.9165,2.9696,8.1973,0.9384
1,Line,0.2805,,,,,,,,,,180,-0.0576,0.0000,-0.2745,-1.3494,5.0010,1.9648,-1.2917,5.0010,2.2393
1,Line,0.0819,,,,,,,,,,107,-0.0188,0.0617,-0.0505,-1.4021,9.4945,0.4879,-1.3832,9.4328,0.5383
1,Line,0.0133,,,,,,,,,,228,-0.0058,-0.0064,0.0102,-1.4078,9.4881,0.4980,-1.4021,9.4945,0.4879
1,Line,0.0106,,,,,,,,,,228,-0.0046,-0.0051,0.0081,-1.4261,9.4678,0.5303,-1.4215,9.4728,0.5222
1,Line,0.0559,,,,,,,,,,321,0.0428,-0.0350,0.0081,-1.3832,9.4328,0.5383,-1.4261,9.4678,0.5303
1,Line,0.0318,,,,,,,,,,0,0.0000,0.0000,0.0318,3.1319,8.9278,1.5638,3.1319,8.9278,1.5321
1,Line,0.3737,,,,,,,,,,0,0.3735,0.0000,-0.0124,3.1319,8.9278,1.5321,2.7584,8.9278,1.5444
1,Arc,0.1729,0.0006,3.3123,10.5323,1.5321,0.6603,105,15,,,,,,,,,,,,
1,Line,0.1530,,,,,,,,,,89,0.0016,0.1529,0.0060,3.4979,8.4914,2.2247,3.4963,8.3385,2.2186
1,Line,0.7006,,,,,,,,,,102,-0.1506,0.6815,-0.0612,-0.9941,4.1231,2.7874,-0.8435,3.4416,2.8486
1,Line,0.1842,,,,,,,,,,180,-0.1356,0.0000,-0.1246,-0.8451,2.9574,2.7055,-0.7095,2.9574,2.8301
1,Line,0.3769,,,,,,,,,,0,0.3735,0.0000,-0.0508,3.1319,8.9278,1.5638,2.7584,8.9278,1.6146
1,Line,0.3136,,,,,,,,,,304,0.1404,-0.2058,0.1905,-0.5351,20.4517,3.3046,-0.6755,20.6575,3.1141
1,Line,0.5695,,,,,,,,,,270,0.0000,-0.5695,0.0000,3.6425,9.9628,2.1039,3.6425,10.5323,2.1039
1,Line,0.3246,,,,,,,,,,288,0.1009,-0.3085,0.0019,-0.4361,3.1374,3.1390,-0.5371,3.4459,3.1372
1,Line,0.1330,,,,,,,,,,138,-0.0984,0.0894,-0.0003,-0.4188,3.1807,3.1387,-0.3205,3.0913,3.1390
1,Line,1.3675,,,,,,,,,,264,-0.1366,-1.3606,0.0114,1.1850,10.1717,0.3720,1.3215,11.5323,0.3605
1,Arc,0.1729,0.0006,3.3123,10.5323,1.5321,0.6603,315,15,,,,,,,,,,,,
1,Line,0.1502,,,,,,,,,,180,-0.0248,0.0000,0.1481,-1.5961,7.3171,0.9661,-1.5713,7.3171,0.8180
1,Line,3.8873,,,,,,,,,,272,0.1280,-3.8823,0.1481,-1.4433,3.4347,0.9661,-1.5713,7.3171,0.8180
1,Line,0.1245,,,,,,,,,,338,0.1157,-0.0461,0.0000,-0.3205,3.0913,3.1390,-0.4361,3.1374,3.1390
1,Line,0.1035,,,,,,,,,,152,-0.0899,0.0484,-0.0171,-0.4027,3.4320,3.5095,-0.3128,3.3835,3.5266
1,Line,1.0319,,,,,,,,,,93,-0.0505,1.0299,0.0419,6.3764,10.2808,1.7177,6.4269,9.2509,1.6757
1,Line,0.1852,,,,,,,,,,289,0.0599,-0.1744,0.0170,-1.4548,9.6146,0.4184,-1.5146,9.7890,0.4014
1,Line,0.0317,,,,,,,,,,167,-0.0119,0.0028,0.0293,-1.5408,9.7951,0.4514,-1.5289,9.7923,0.4221
1,Line,0.1866,,,,,,,,,,100,-0.0326,0.1801,-0.0365,-1.5146,9.7890,0.4014,-1.4820,9.6089,0.4379
1,Line,0.0190,,,,,,,,,,167,-0.0145,0.0034,0.0119,-1.5146,9.7890,0.4014,-1.5001,9.7856,0.3894
1,Line,0.7424,,,,,,,,,,277,0.0850,-0.7363,-0.0419,-0.6214,13.1192,3.1390,-0.7064,13.8555,3.1809
1,Line,0.0318,,,,,,,,,,55,0.0174,0.0246,0.0101,-3.8962,8.1301,1.2305,-3.9137,8.1055,1.2205
1,Line,0.1954,,,,,,,,,,101,-0.0365,0.1908,-0.0209,-1.5408,9.7951,0.4514,-1.5043,9.6043,0.4723
1,Line,0.1962,,,,,,,,,,277,0.0246,-0.1881,0.0503,-1.5043,9.6043,0.4723,-1.5289,9.7923,0.4221
1,Line,0.3769,,,,,,,,,,0,0.2307,0.0000,-0.2980,-6.0405,9.9421,1.6645,-6.2712,9.9421,1.9625
1,Line,0.1337,,,,,,,,,,30,0.1000,0.0566,0.0683,1.4215,9.4894,0.6067,1.3215,9.4328,0.5383
1,Line,1.2533,,,,,,,,,,268,-0.0500,-1.2372,-0.1943,-1.0170,17.9699,2.2966,-0.9670,19.2071,2.4909
1,Line,0.0826,,,,,,,,,,65,0.0345,0.0744,0.0092,6.5232,9.2116,1.7015,6.4887,9.1372,1.6923
1,Line,0.0715,,,,,,,,,,294,0.0097,-0.0223,0.0673,1.4583,9.5807,0.6056,1.4485,9.6030,0.5383
