Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,6.8983,,,,,,,,,,,,,,31,-3.9370,-2.4016,1.8504,882.2899,650.1977,20.0281,887.7554,653.5317,17.4593
1,Line,3.1416,,,,,,,,,,,,,,98,-0.3150,2.1260,-0.7087,887.7554,653.5317,17.4593,888.1927,650.5803,18.4431
1,Line,6.1799,,,,,,,,,,,,,,2,4.4094,0.1575,-0.5906,894.3141,650.7989,17.6233,888.1927,650.5803,18.4431
1,Line,5.8310,,,,,,,,,,,,,,179,-3.2677,0.0787,-2.6378,873.3264,647.0824,74.6835,877.8628,646.9731,78.3454
1,Line,7.0567,,,,,,,,,,,,,,28,-4.3307,-2.3228,1.2992,888.1927,650.5803,18.4431,894.2047,653.8050,16.6395
1,Line,6.1238,,,,,,,,,,,,,,4,4.2520,0.2756,-1.1417,888.1927,650.5803,18.4431,882.2899,650.1977,20.0281
1,Line,3.1822,,,,,,,,,,,,,,109,-0.7480,2.1654,0.0787,875.2940,652.7119,22.6516,876.3324,649.7058,22.5423
1,Line,8.9491,,,,,,,,,,,,,,7,5.0394,0.5906,-3.9764,876.3324,649.7058,22.5423,869.3366,648.8860,28.0625
1,Line,7.2112,,,,,,,,,,,,,,34,3.7795,2.5197,-2.5197,881.5794,653.2038,19.0443,876.3324,649.7058,22.5423
1,Line,3.2418,,,,,,,,,,,,,,103,-0.5118,2.1654,-0.7087,881.5794,653.2038,19.0443,882.2899,650.1977,20.0281
1,Line,6.4849,,,,,,,,,,,,,,5,4.2913,0.3543,-1.8110,882.2899,650.1977,20.0281,876.3324,649.7058,22.5423
1,Line,6.4565,,,,,,,,,,,,,,175,2.9528,-0.2756,3.5827,871.5228,640.4144,77.4162,867.4236,640.7970,72.4426
1,Line,8.9090,,,,,,,,,,,,,,47,4.2520,4.5276,1.6142,873.3264,647.0824,74.6835,867.4236,640.7970,72.4426
1,Line,5.8284,,,,,,,,,,,,,,173,-1.9685,0.2362,-3.7008,866.8771,647.6289,65.0641,869.6098,647.3010,70.2017
1,Line,8.8678,,,,,,,,,,,,,,51,3.7402,4.5669,2.4409,869.6098,647.3010,70.2017,864.4176,640.9610,66.8131
1,Line,7.3191,,,,,,,,,,,,,,70,-1.7717,-4.8031,1.2598,864.4176,640.9610,66.8131,866.8771,647.6289,65.0641
1,Line,7.2182,,,,,,,,,,,,,,71,-1.5748,-4.6850,1.6142,867.4236,640.7970,72.4426,869.6098,647.3010,70.2017
1,Line,9.1692,,,,,,,,,,,,,,46,4.5669,4.7244,0.6693,877.8628,646.9731,78.3454,871.5228,640.4144,77.4162
1,Line,7.4285,,,,,,,,,,,,,,75,-1.2992,-4.8031,1.9685,871.5228,640.4144,77.4162,873.3264,647.0824,74.6835
1,Line,6.4164,,,,,,,,,,,,,,177,3.5827,-0.1969,2.9134,876.4964,640.1411,81.4607,871.5228,640.4144,77.4162
1,Line,5.8264,,,,,,,,,,,,,,177,-2.6772,0.1575,-3.2283,869.6098,647.3010,70.2017,873.3264,647.0824,74.6835
