Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.5451,,,,,,,,,,97,-0.0678,0.5357,0.0745,6.4728,1.4708,3.2179,6.5406,0.9351,3.1435
1,Line,,,,,,,0.0680,,,,,,,,,,0,0.0678,0.0000,0.0057,6.5406,1.4708,3.2237,6.4728,1.4708,3.2179
1,Line,,,,,,,0.0901,,,,,,,,,,96,0.0081,-0.0794,0.0419,6.1488,0.9351,2.6329,6.1407,1.0145,2.5909
1,Line,,,,,,,0.0301,,,,,,,,,,104,0.0072,-0.0292,0.0000,6.1478,0.9852,2.5909,6.1407,1.0145,2.5909
1,Line,,,,,,,0.0654,,,,,,,,,,91,0.0010,-0.0501,0.0419,6.1488,0.9351,2.6329,6.1478,0.9852,2.5909
1,Arc,,,,,,,0.1062,0.0002,6.5406,0.9351,2.7378,0.4056,150,15,,,,,,,,,,,,
1,Line,,,,,,,0.1492,,,,,,,,,,95,0.0131,-0.1487,0.0000,6.0908,1.3222,2.5909,6.0777,1.4708,2.5909
1,Line,,,,,,,0.1056,,,,,,,,,,180,-0.0404,0.0000,-0.0975,6.1499,0.9275,2.8425,6.1903,0.9275,2.9401
1,Line,,,,,,,0.1509,,,,,,,,,,99,0.0238,-0.1490,0.0000,6.1407,1.0145,2.5909,6.1168,1.1635,2.5909
1,Line,,,,,,,0.1826,,,,,,,,,,0,-0.1093,0.0000,-0.1462,6.1334,1.4708,2.9684,6.2427,1.4708,3.1146
1,Line,,,,,,,0.5505,,,,,,,,,,92,0.0154,-0.5357,-0.1256,6.1488,0.9351,2.8428,6.1334,1.4708,2.9684
1,Line,,,,,,,0.0077,,,,,,,,,,99,0.0012,-0.0076,0.0000,6.1674,0.9275,2.5909,6.1661,0.9351,2.5909
1,Line,,,,,,,0.5432,,,,,,,,,,98,-0.0727,0.5357,0.0530,6.3629,1.4708,3.1827,6.4356,0.9351,3.1296
1,Line,,,,,,,0.1154,,,,,,,,,,180,-0.1099,0.0000,-0.0353,6.3629,1.4708,3.1827,6.4728,1.4708,3.2179
1,Line,,,,,,,0.0227,,,,,,,,,,180,-0.0136,0.0000,-0.0182,6.1459,1.5575,2.9927,6.1595,1.5575,3.0109
1,Line,,,,,,,0.0457,,,,,,,,,,180,0.0175,0.0000,-0.0422,6.1674,0.9275,2.5909,6.1499,0.9275,2.6332
1,Line,,,,,,,0.0077,,,,,,,,,,98,0.0011,-0.0076,0.0003,6.1499,0.9275,2.6332,6.1488,0.9351,2.6329
1,Line,,,,,,,0.0534,,,,,,,,,,110,0.0183,-0.0501,0.0000,6.1661,0.9351,2.5909,6.1478,0.9852,2.5909
1,Line,,,,,,,0.5525,,,,,,,,,,97,0.0622,-0.5357,0.1200,6.1488,0.9351,2.8428,6.0866,1.4708,2.7228
1,Line,,,,,,,0.0077,,,,,,,,,,96,0.0008,-0.0076,-0.0008,6.2546,0.9275,3.0238,6.2537,0.9351,3.0246
1,Line,,,,,,,0.1056,,,,,,,,,,180,-0.0838,0.0000,-0.0643,6.2546,0.9275,3.0238,6.3383,0.9275,3.0881
1,Line,,,,,,,0.5394,,,,,,,,,,96,0.0559,-0.5357,-0.0277,6.1893,0.9351,2.9406,6.1334,1.4708,2.9684
1,Arc,,,,,,,0.1062,0.0002,6.5406,0.9351,2.7378,0.4056,135,15,,,,,,,,,,,,
1,Line,,,,,,,0.5381,,,,,,,,,,95,-0.0484,0.5357,-0.0151,6.0866,1.4708,2.7228,6.1349,0.9351,2.7378
1,Arc,,,,,,,0.1062,0.0002,6.5406,0.9351,2.7378,0.4056,120,15,,,,,,,,,,,,
1,Line,,,,,,,0.4164,,,,,,,,,,97,0.0441,-0.3871,0.1469,6.1349,0.9351,2.7378,6.0908,1.3222,2.5909
1,Line,,,,,,,0.1608,,,,,,,,,,99,0.0260,-0.1586,0.0000,6.1168,1.1635,2.5909,6.0908,1.3222,2.5909
1,Line,,,,,,,0.2344,,,,,,,,,,98,-0.0319,0.2284,-0.0419,6.1168,1.1635,2.5909,6.1488,0.9351,2.6329
1,Line,,,,,,,0.5433,,,,,,,,,,91,0.0110,-0.5357,-0.0899,6.2537,0.9351,3.0246,6.2427,1.4708,3.1146
1,Line,,,,,,,0.0077,,,,,,,,,,98,0.0010,-0.0076,-0.0006,6.1903,0.9275,2.9401,6.1893,0.9351,2.9406
1,Line,,,,,,,0.1056,,,,,,,,,,180,-0.0643,0.0000,-0.0838,6.1903,0.9275,2.9401,6.2546,0.9275,3.0238
1,Line,,,,,,,0.0901,,,,,,,,,,84,-0.0081,-0.0794,0.0419,6.9324,0.9351,2.6329,6.9405,1.0145,2.5909
1,Line,,,,,,,0.1509,,,,,,,,,,81,0.0238,0.1490,0.0000,6.9643,1.1635,2.5909,6.9405,1.0145,2.5909
1,Line,,,,,,,0.2344,,,,,,,,,,82,0.0319,0.2284,-0.0419,6.9643,1.1635,2.5909,6.9324,0.9351,2.6329
1,Line,,,,,,,0.5520,,,,,,,,,,77,0.1204,0.5357,-0.0563,6.9477,1.4708,2.9684,6.8274,0.9351,3.0246
1,Line,,,,,,,0.1826,,,,,,,,,,180,0.1093,0.0000,-0.1462,6.9477,1.4708,2.9684,6.8384,1.4708,3.1146
1,Line,,,,,,,0.5433,,,,,,,,,,89,-0.0110,-0.5357,-0.0899,6.8274,0.9351,3.0246,6.8384,1.4708,3.1146
1,Line,,,,,,,0.1608,,,,,,,,,,81,0.0260,0.1586,0.0000,6.9903,1.3222,2.5909,6.9643,1.1635,2.5909
1,Line,,,,,,,0.5447,,,,,,,,,,80,0.0950,0.5357,0.0255,6.8384,1.4708,3.1146,6.7434,0.9351,3.0891
1,Arc,,,,,,,0.1062,0.0002,6.5406,0.9351,2.7378,0.4056,120,15,,,,,,,,,,,,
1,Line,,,,,,,0.0077,,,,,,,,,,86,-0.0006,-0.0076,-0.0010,6.7428,0.9275,3.0881,6.7434,0.9351,3.0891
1,Line,,,,,,,0.0077,,,,,,,,,,84,-0.0008,-0.0076,-0.0008,6.8266,0.9275,3.0238,6.8274,0.9351,3.0246
1,Line,,,,,,,0.1056,,,,,,,,,,180,-0.0643,0.0000,0.0838,6.8266,0.9275,3.0238,6.8908,0.9275,2.9401
1,Arc,,,,,,,0.1062,0.0002,6.5406,0.9351,2.7378,0.4056,135,15,,,,,,,,,,,,
1,Line,,,,,,,0.0077,,,,,,,,,,81,0.0012,0.0076,0.0000,6.9150,0.9351,2.5909,6.9137,0.9275,2.5909
