Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.0290,,,,,,,,,,,,52,0.2461,0.3116,0.1421,42.0444,20.7807,2.7261,42.0274,20.7592,2.7163
1,Line,,,,,0.0029,,,,,,,,,,,,19,0.0318,0.0108,-0.0255,42.0035,20.7572,2.7445,42.0013,20.7565,2.7462
1,Line,,,,,0.0520,,,,,,,,,,,,124,-0.4144,0.6219,-0.1110,41.5914,20.9644,2.5585,41.6200,20.9216,2.5662
1,Line,,,,,0.0123,,,,,,,,,,,,77,0.0311,0.1317,0.1160,41.9327,20.7514,2.7807,41.9306,20.7423,2.7727
1,Line,,,,,0.0018,,,,,,,,,,,,19,-0.0195,-0.0069,0.0164,42.0651,20.8625,2.8100,42.0665,20.8629,2.8088
1,Line,,,,,0.0067,,,,,,,,,,,,144,0.0365,-0.0261,0.0863,42.0348,20.7685,2.5592,42.0323,20.7703,2.5532
1,Line,,,,,0.0600,,,,,,,,,,,,119,-0.4011,0.7381,-0.2316,41.5952,21.0152,2.4668,41.6228,20.9644,2.4827
1,Line,,,,,0.0019,,,,,,,,,,,,163,-0.0186,0.0056,-0.0203,41.9929,20.7810,2.4990,41.9942,20.7807,2.5004
1,Line,,,,,0.0290,,,,,,,,,,,,74,0.0816,0.2790,-0.3046,41.9142,20.6791,2.5682,41.9086,20.6599,2.5892
1,Line,,,,,0.0492,,,,,,,,,,,,90,0.0000,0.5716,-0.4282,41.8950,20.9151,2.3596,41.8950,20.8757,2.3891
1,Line,,,,,0.0001,,,,,,,,,,,,9,-0.0020,-0.0003,0.0000,41.8950,20.8757,2.3891,41.8951,20.8757,2.3891
1,Line,,,,,0.0164,,,,,,,,,,,,150,-0.1325,0.0770,0.1823,41.6200,20.9216,2.5662,41.6291,20.9163,2.5536
1,Line,,,,,0.0732,,,,,,,,,,,,180,-1.0533,0.0000,-0.1387,41.8950,20.9151,2.3596,41.9675,20.9151,2.3691
1,Line,,,,,0.0431,,,,,,,,,,,,180,0.6193,-0.0053,0.0855,41.9378,20.8754,2.3950,41.8951,20.8757,2.3891
1,Line,,,,,0.0085,,,,,,,,,,,,38,-0.0453,-0.0356,-0.1088,41.7571,20.7993,2.7672,41.7602,20.8018,2.7746
1,Line,,,,,0.0199,,,,,,,,,,,,7,0.2865,0.0348,-0.0060,41.9147,20.7518,2.7834,41.8950,20.7494,2.7838
1,Line,,,,,0.0224,,,,,,,,,,,,169,-0.3086,0.0603,-0.0858,41.9378,20.8754,2.3950,41.9590,20.8712,2.4009
1,Line,,,,,0.0284,,,,,,,,,,,,1,-0.1606,-0.0040,-0.3793,42.1106,20.8657,2.5303,42.1216,20.8660,2.5564
1,Line,,,,,0.0820,,,,,,,,,,,,0,1.1007,0.0000,-0.4559,41.8137,20.9644,2.3363,41.7379,20.9644,2.3677
1,Line,,,,,0.0599,,,,,,,,,,,,109,-0.2470,0.7162,-0.4278,41.7379,20.9644,2.3677,41.7549,20.9151,2.3971
1,Line,,,,,0.0732,,,,,,,,,,,,0,0.9815,0.0000,-0.4066,41.8225,20.9151,2.3691,41.7549,20.9151,2.3971
1,Line,,,,,0.0599,,,,,,,,,,,,100,-0.1279,0.7162,-0.4772,41.8137,20.9644,2.3363,41.8225,20.9151,2.3691
1,Line,,,,,0.0592,,,,,,,,,,,,57,0.4466,0.6885,0.2579,42.1377,20.9151,2.7800,42.1070,20.8677,2.7622
1,Line,,,,,0.0471,,,,,,,,,,,,152,-0.5124,0.2755,0.3582,41.6538,20.9456,2.4634,41.6891,20.9267,2.4387
