Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.1624,,,,,,,,,,,,,,,,110,0.0000,0.0000,-0.9280,221.7806,82.9811,0.3535,221.7806,82.9811,0.5000
1,Line,1.0925,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.8848,221.7806,82.9811,0.4778,221.7806,82.9811,0.6175
1,Line,0.4732,,,,,,,,,,,,,,,,152,0.0000,0.0000,0.1402,221.7806,82.9811,0.5000,221.7806,82.9811,0.4778
1,Line,1.0925,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.7878,221.7806,82.9811,0.3535,221.7806,82.9811,0.4778
1,Line,1.1623,,,,,,,,,,,,,,,,109,0.0000,0.0000,-0.9757,221.7806,82.9811,0.4778,221.7806,82.9811,0.6318
1,Line,0.1621,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.1169,221.7806,82.9811,0.9010,221.7806,82.9811,0.9195
1,Line,0.1621,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.1406,221.7806,82.9811,0.8788,221.7806,82.9811,0.9010
1,Line,1.4482,,,,,,,,,,,,,,,,6,0.0000,0.0000,-0.1162,221.7806,82.9811,0.9010,221.7806,82.9811,0.9194
1,Line,1.4549,,,,,,,,,,,,,,,,1,0.0000,0.0000,-0.0007,221.7806,82.9811,0.9194,221.7806,82.9811,0.9195
1,Line,1.1623,,,,,,,,,,,,,,,,124,0.0000,0.0000,-0.5847,221.7806,82.9811,0.1162,221.7806,82.9811,0.2084
1,Line,0.4733,,,,,,,,,,,,,,,,143,0.0000,0.0000,0.2208,221.7806,82.9811,0.2841,221.7806,82.9811,0.2493
1,Line,0.4732,,,,,,,,,,,,,,,,140,0.0000,0.0000,0.2492,221.7806,82.9811,0.2084,221.7806,82.9811,0.1691
1,Line,1.0924,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.3355,221.7806,82.9811,0.1162,221.7806,82.9811,0.1691
1,Line,1.0925,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.5078,221.7806,82.9811,0.1691,221.7806,82.9811,0.2493
1,Line,1.0925,,,,,,,,,,,,,,,,90,0.0000,0.0000,-0.6604,221.7806,82.9811,0.2493,221.7806,82.9811,0.3535
1,Line,1.1623,,,,,,,,,,,,,,,,113,0.0000,0.0000,-0.8444,221.7806,82.9811,0.2493,221.7806,82.9811,0.3825
1,Line,1.1623,,,,,,,,,,,,,,,,117,0.0000,0.0000,-0.7286,221.7806,82.9811,0.1691,221.7806,82.9811,0.2841
