Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,236.6310,,,,,,,,,,,,127,-128.2204,173.1056,-97.9193,-2432.9988,4968.9636,1641.0454,-2304.7784,4795.8580,1738.9647
1,Line,,,,,588.8597,,,,,,,,,,,,87,34.5972,583.6915,-69.7353,-2270.1811,5379.5494,1669.2294,-2304.7784,4795.8580,1738.9647
1,Line,,,,,430.4997,,,,,,,,,,,,90,0.0000,412.3792,123.5856,-2042.9900,2856.1325,1688.3869,-2042.9900,2443.7533,1564.8012
1,Line,,,,,471.2867,,,,,,,,,,,,41,330.9198,289.5759,169.5556,-2042.9900,2856.1325,1688.3869,-2373.9099,2566.5566,1518.8313
1,Line,,,,,39.6112,,,,,,,,,,,,80,-6.6784,-38.9071,-3.2690,-2418.7118,2012.3807,1300.4476,-2412.0334,2051.2878,1303.7165
1,Line,,,,,355.9520,,,,,,,,,,,,160,-330.9198,122.8033,-45.9699,-2373.9099,2566.5566,1518.8313,-2042.9900,2443.7533,1564.8012
1,Line,,,,,320.5600,,,,,,,,,,,,162,-299.9571,94.8388,-61.5636,-2342.9471,2950.9714,1626.8232,-2042.9900,2856.1325,1688.3869
1,Line,,,,,90.5041,,,,,,,,,,,,68,-32.3159,-78.5764,-31.1839,-2465.3146,4890.3872,1609.8615,-2432.9988,4968.9636,1641.0454
1,Line,,,,,337.5799,,,,,,,,,,,,85,27.6380,324.0074,90.6398,-2315.3091,3274.9787,1717.4631,-2342.9471,2950.9714,1626.8232
1,Line,,,,,203.2000,,,,,,,,,,,,90,0.0000,202.5841,15.8089,-2798.6527,1817.3635,1310.9710,-2798.6527,1614.7794,1295.1621
1,Line,,,,,109.7357,,,,,,,,,,,,45,77.5591,77.5108,-4.3129,-2902.4947,7290.4991,748.4283,-2980.0538,7212.9883,752.7411
1,Line,,,,,598.6546,,,,,,,,,,,,47,369.0433,392.4655,261.0847,-2042.9900,2443.7533,1564.8012,-2412.0334,2051.2878,1303.7165
1,Line,,,,,567.5519,,,,,,,,,,,,11,-526.2142,-100.4484,-187.4135,-2634.7943,7468.0647,581.1995,-2108.5800,7568.5131,768.6130
1,Line,,,,,176.7678,,,,,,,,,,,,90,0.0000,33.3340,-173.5964,-2902.4947,7290.4991,748.4283,-2902.4947,7257.1651,922.0246
1,Line,,,,,141.9525,,,,,,,,,,,,3,-141.7099,-8.2300,-1.0393,-1683.4503,7591.5937,961.2589,-1541.7405,7599.8237,962.2982
1,Line,,,,,149.9586,,,,,,,,,,,,3,141.7099,7.8276,48.4213,-1541.7405,7599.8237,962.2982,-1683.4503,7591.9960,913.8769
1,Line,,,,,146.7428,,,,,,,,,,,,4,141.7099,10.1580,36.7227,-1541.7405,7579.5072,772.7704,-1683.4503,7569.3492,736.0477
1,Line,,,,,36.4445,,,,,,,,,,,,90,0.0000,-7.4095,-35.6834,-1683.4503,7569.3492,736.0477,-1683.4503,7576.7587,771.7310
1,Line,,,,,191.3737,,,,,,,,,,,,30,-77.5591,-44.1768,-169.2835,-2980.0538,7212.9883,752.7411,-2902.4947,7257.1651,922.0246
1,Line,,,,,150.7527,,,,,,,,,,,,58,77.5591,124.8517,-33.5113,-2902.4947,7257.1651,922.0246,-2980.0538,7132.3134,955.5360
1,Line,,,,,229.3457,,,,,,,,,,,,179,229.2223,-3.4543,6.6844,-2418.7118,1810.5462,1290.0869,-2647.9341,1814.0005,1283.4025
1,Line,,,,,595.1454,,,,,,,,,,,,148,-501.2496,315.2910,59.4852,-2042.9900,2856.1325,1688.3869,-1541.7405,2540.8415,1628.9017
1,Line,,,,,187.1369,,,,,,,,,,,,36,43.0151,31.5301,179.3760,-2591.7792,7499.5948,760.5755,-2634.7943,7468.0647,581.1995
1,Line,,,,,488.1554,,,,,,,,,,,,8,-483.1991,-68.9183,-8.0375,-2591.7792,7499.5948,760.5755,-2108.5800,7568.5131,768.6130
1,Line,,,,,539.0567,,,,,,,,,,,,89,-7.6969,-519.3613,144.1761,-2432.9988,4968.9636,1641.0454,-2425.3018,5488.3249,1496.8693
1,Line,,,,,256.1299,,,,,,,,,,,,145,155.1207,-108.7754,172.3601,-2270.1811,5379.5494,1669.2294,-2425.3018,5488.3249,1496.8693
1,Line,,,,,203.9744,,,,,,,,,,,,90,0.0000,202.5841,23.7746,-2418.7118,1810.5462,1290.0869,-2418.7118,1607.9621,1266.3122
1,Line,,,,,430.8609,,,,,,,,,,,,177,-425.1297,21.6052,-66.6265,-2108.5800,7520.3999,1238.5198,-1683.4503,7498.7947,1305.1463
1,Line,,,,,50.4988,,,,,,,,,,,,163,44.6510,-13.8455,19.0978,-1683.4503,7498.7947,1305.1463,-1728.1013,7512.6402,1286.0485
1,Line,,,,,187.1971,,,,,,,,,,,,59,94.9911,159.2402,25.7298,-2807.5036,7331.8147,1127.4891,-2902.4947,7172.5745,1101.7593
1,Line,,,,,284.3623,,,,,,,,,,,,5,-283.4198,-22.3366,-6.0154,-2108.5800,7520.3999,1238.5198,-1825.1602,7542.7365,1244.5352
1,Line,,,,,228.1885,,,,,,,,,,,,91,-2.7473,226.0289,-31.1992,-2243.4304,7194.5019,1391.5163,-2240.6831,6968.4730,1422.7155
1,Line,,,,,367.8601,,,,,,,,,,,,88,10.1728,367.0305,-22.4981,-2788.4799,2386.2285,1289.2747,-2798.6527,2019.1980,1311.7728
1,Line,,,,,109.7706,,,,,,,,,,,,163,97.0589,-30.0963,41.5133,-1728.1013,7512.6402,1286.0485,-1825.1602,7542.7365,1244.5352
1,Line,,,,,307.4561,,,,,,,,,,,,58,-162.4556,-259.0279,32.2796,-2240.6831,6968.4730,1422.7155,-2078.2275,7227.5009,1390.4359
1,Line,,,,,271.0956,,,,,,,,,,,,28,239.6217,125.9353,14.6468,-2567.8819,7503.2587,950.1034,-2807.5036,7377.3234,935.4566
1,Line,,,,,215.6649,,,,,,,,,,,,22,106.1431,43.4676,182.6350,-2796.3515,7216.0421,1284.3943,-2902.4947,7172.5745,1101.7593
1,Line,,,,,142.9603,,,,,,,,,,,,90,0.0000,-15.2373,-142.1459,-1683.4503,7576.7587,771.7310,-1683.4503,7591.9960,913.8769
