Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,0.0564,,,,,,0,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0564,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0797,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0564,,,,,,0,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0564,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0282,,,,,,0,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0566,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.1128,,,,,,0,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Line,,,,,,,,,,,0.0848,,,,,,90,0.0000,0.0000,0.0000,-2.0252,4.9546,1.6401,-2.0252,4.9546,1.6401
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.2213,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.2836,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.4649,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.0472,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.0788,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.1267,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,2.2933,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.7200,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Line,,,,,,,,,,,0.0715,,,,,,0,0.0000,0.0000,0.0000,-1.2563,3.7441,2.2772,-1.2563,3.7441,2.2772
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.6636,,0.0358,,,0.2248,0.0715,,,,,,,,,,
1,Circle,,,,,,,0.0040,-1.2563,3.7441,1.3564,,0.0358,,,0.2248,0.0715,,,,,,,,,,
