Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.2668,,,,,,,,,,,,,,90,0.0000,-0.2648,-0.0325,-18.1710,26.4046,-0.8541,-18.1710,26.6694,-0.8215
1,Line,0.0188,,,,,,,,,,,,,,131,-0.0117,0.0134,0.0060,-18.4836,27.7555,-0.6724,-18.4718,27.7422,-0.6783
1,Line,0.2714,,,,,,,,,,,,,,90,0.0000,-0.0839,0.2581,-18.4836,27.7555,-0.6724,-18.4836,27.8394,-0.9305
1,Line,0.1638,,,,,,,,,,,,,,169,-0.1506,0.0292,-0.0573,-18.1710,26.4046,-0.8541,-18.0204,26.3754,-0.7967
1,Line,0.8848,,,,,,,,,,,,,,0,0.8848,0.0000,0.0000,-17.5025,24.9957,-1.5343,-18.3873,24.9957,-1.5343
1,Line,0.8848,,,,,,,,,,,,,,0,-0.8848,0.0000,0.0000,-18.3873,24.9605,-1.1960,-17.5025,24.9605,-1.1960
1,Line,0.1554,,,,,,,,,,,,,,90,0.0000,0.1542,0.0189,-18.0204,26.5296,-0.7778,-18.0204,26.3754,-0.7967
1,Line,0.0982,,,,,,,,,,,,,,6,0.0959,0.0106,-0.0184,-18.3529,26.6823,-1.3966,-18.4487,26.6717,-1.3782
1,Line,0.2684,,,,,,,,,,,,,,90,0.0000,-0.0829,0.2552,-18.4718,27.7422,-0.6783,-18.4718,27.8251,-0.9336
1,Line,0.1708,,,,,,,,,,,,,,132,0.1121,-0.1262,0.0256,-18.3564,26.5686,-1.5479,-18.4685,26.6949,-1.5735
1,Line,0.0271,,,,,,,,,,,,,,54,0.0149,0.0204,-0.0099,-18.3424,26.2414,-1.1612,-18.3573,26.2210,-1.1513
1,Line,0.1225,,,,,,,,,,,,,,0,0.1122,0.0000,0.0493,-18.3564,26.5686,-1.5479,-18.4686,26.5686,-1.5972
1,Line,0.1285,,,,,,,,,,,,,,90,0.0001,0.1263,0.0237,-18.4685,26.6949,-1.5735,-18.4686,26.5686,-1.5972
1,Line,0.0728,,,,,,,,,,,,,,90,0.0000,-0.0013,0.0728,-18.3424,26.2414,-1.1612,-18.3424,26.2427,-1.2341
1,Line,0.1647,,,,,,,,,,,,,,85,0.0089,0.0953,0.1339,-18.4834,26.8132,-1.5364,-18.4923,26.7179,-1.6704
1,Line,0.1647,,,,,,,,,,,,,,93,0.0089,-0.1569,-0.0493,-18.4834,26.8132,-1.5364,-18.4923,26.9701,-1.4871
1,Line,0.0869,,,,,,,,,,,,,,56,0.0149,0.0217,-0.0828,-18.3424,26.2427,-1.2341,-18.3573,26.2210,-1.1513
1,Line,0.3117,,,,,,,,,,,,,,90,0.0000,-0.2522,-0.1832,-18.4923,26.7179,-1.6704,-18.4923,26.9701,-1.4871
1,Line,0.2527,,,,,,,,,,,,,,90,0.0007,-0.2475,0.0505,-18.3657,26.6975,0.0043,-18.3663,26.9451,-0.0463
1,Line,0.1173,,,,,,,,,,,,,,87,0.0041,0.0766,-0.0887,-18.3732,26.8434,-0.8215,-18.3773,26.7668,-0.7327
1,Line,0.0811,,,,,,,,,,,,,,94,0.0045,-0.0650,-0.0483,-18.4878,26.9010,-0.9550,-18.4923,26.9660,-0.9067
