Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.2236,,,,,,,,,,29,0.0000,-0.2566,0.0000,1.8553,-7.3249,0.3595,1.8553,-7.2157,0.3595
1,Line,,,,,,,0.1092,,,,,,,,,,90,0.0000,0.2535,0.0000,1.8553,-7.2157,0.3595,1.8553,-7.3236,0.3595
1,Line,,,,,,,0.1109,,,,,,,,,,90,0.0000,-0.2186,0.0000,1.8553,-7.4179,0.3595,1.8553,-7.3249,0.3595
1,Line,,,,,,,0.1097,,,,,,,,,,90,0.0000,0.2163,0.0000,1.8553,-7.3236,0.3595,1.8553,-7.4156,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,0,0.0000,-0.0031,0.0000,1.8553,-7.3249,0.3595,1.8553,-7.3236,0.3595
1,Line,,,,,,,0.1096,,,,,,,,,,90,0.0000,0.2488,0.0000,1.8553,-7.1098,0.3595,1.8553,-7.2157,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,180,0.0000,0.0039,0.0000,1.8553,-7.1082,0.3595,1.8553,-7.1098,0.3595
1,Line,,,,,,,0.2237,,,,,,,,,,28,0.0000,-0.2480,0.0000,1.8553,-7.2154,0.3595,1.8553,-7.1098,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,180,0.0000,0.0008,0.0000,1.8553,-7.2154,0.3595,1.8553,-7.2157,0.3595
1,Line,,,,,,,0.1109,,,,,,,,,,90,0.0000,-0.2573,0.0000,1.8553,-7.3249,0.3595,1.8553,-7.2154,0.3595
1,Line,,,,,,,0.2237,,,,,,,,,,26,0.0000,-0.2217,0.0000,1.8553,-7.4179,0.3595,1.8553,-7.3236,0.3595
1,Line,,,,,,,0.1096,,,,,,,,,,89,0.0000,0.0403,0.0000,1.8553,-7.4750,0.3595,1.8553,-7.4922,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,1,0.0000,-0.0085,0.0000,1.8553,-7.4787,0.3595,1.8553,-7.4750,0.3595
1,Line,,,,,,,0.2240,,,,,,,,,,6,0.0000,-0.0488,0.0000,1.8553,-7.4958,0.3595,1.8553,-7.4750,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,1,0.0000,-0.0085,0.0000,1.8553,-7.4958,0.3595,1.8553,-7.4922,0.3595
1,Line,,,,,,,0.1110,,,,,,,,,,90,0.0000,0.0674,0.0000,1.8553,-7.4671,0.3595,1.8553,-7.4958,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,1,0.0000,-0.0054,0.0000,1.8553,-7.4179,0.3595,1.8553,-7.4156,0.3595
1,Line,,,,,,,0.1111,,,,,,,,,,90,0.0000,-0.1426,0.0000,1.8553,-7.4787,0.3595,1.8553,-7.4179,0.3595
1,Line,,,,,,,0.1093,,,,,,,,,,90,0.0000,0.1395,0.0000,1.8553,-7.4156,0.3595,1.8553,-7.4750,0.3595
1,Line,,,,,,,0.1109,,,,,,,,,,89,0.0000,-0.0403,0.0000,1.8553,-7.4958,0.3595,1.8553,-7.4787,0.3595
1,Line,,,,,,,0.2237,,,,,,,,,,18,0.0000,-0.1481,0.0000,1.8553,-7.4787,0.3595,1.8553,-7.4156,0.3595
1,Line,,,,,,,0.1095,,,,,,,,,,90,0.0000,-0.0922,0.0000,1.8553,-7.0085,0.3595,1.8553,-6.9693,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,179,0.0000,0.0070,0.0000,1.8553,-7.0056,0.3595,1.8553,-7.0085,0.3595
1,Line,,,,,,,0.2237,,,,,,,,,,168,0.0000,0.1000,0.0000,1.8553,-6.9660,0.3595,1.8553,-7.0085,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,179,0.0000,0.0078,0.0000,1.8553,-6.9660,0.3595,1.8553,-6.9693,0.3595
1,Line,,,,,,,0.1110,,,,,,,,,,93,0.0000,-0.0132,0.0000,1.8553,-6.9716,0.3595,1.8553,-6.9660,0.3595
1,Line,,,,,,,0.1947,,,,,,,,,,179,0.0000,0.0047,0.0000,1.8553,-7.0841,0.3595,1.8553,-7.0861,0.3595
1,Line,,,,,,,0.1110,,,,,,,,,,90,0.0000,0.1845,0.0000,1.8553,-7.0056,0.3595,1.8553,-7.0841,0.3595
1,Line,,,,,,,0.1094,,,,,,,,,,90,0.0000,-0.1822,0.0000,1.8553,-7.0861,0.3595,1.8553,-7.0085,0.3595
