Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.7964,,,,,,,,,,134,-0.5532,0.5694,-0.0635,118.9096,726.4733,148.4061,119.4628,725.9039,148.4696
1,Line,,,,,,,0.8584,,,,,,,,,,30,-0.7431,-0.4255,0.0596,116.4234,726.2085,148.4703,117.1665,726.6341,148.4107
1,Line,,,,,,,0.8933,,,,,,,,,,128,0.5487,-0.7041,-0.0350,124.7473,732.3926,157.4095,124.1986,733.0967,157.4446
1,Line,,,,,,,36.8718,,,,,,,,,,81,5.6563,36.4265,0.8028,121.9612,731.1230,158.6677,116.3049,694.6965,157.8650
1,Line,,,,,,,0.8240,,,,,,,,,,8,0.7812,0.1085,0.2385,116.3049,694.6965,157.8650,115.5237,694.5880,157.6265
1,Line,,,,,,,13.1441,,,,,,,,,,52,-5.9208,-7.5078,-9.0191,116.4234,726.2085,148.4703,122.3442,733.7163,157.4894
1,Line,,,,,,,0.6674,,,,,,,,,,152,-0.5368,0.2888,-0.2719,111.5344,692.0277,138.8575,112.0712,691.7390,139.1294
1,Line,,,,,,,0.7339,,,,,,,,,,1,-0.6859,-0.0075,0.2609,109.3916,692.3416,139.1275,110.0775,692.3491,138.8667
1,Line,,,,,,,25.3192,,,,,,,,,,78,5.2842,24.6651,2.1846,116.8186,716.6928,141.0421,111.5344,692.0277,138.8575
1,Line,,,,,,,0.8389,,,,,,,,,,22,0.7784,0.3124,-0.0175,122.3442,733.7163,157.4894,121.5658,733.4039,157.5069
1,Line,,,,,,,0.7718,,,,,,,,,,29,0.5996,0.3283,0.3583,116.8186,716.6928,141.0421,116.2190,716.3645,140.6839
1,Line,,,,,,,0.8134,,,,,,,,,,161,-0.7373,0.2556,-0.2295,121.9612,731.1230,158.6677,122.6986,730.8674,158.8973
1,Line,,,,,,,9.4072,,,,,,,,,,10,-3.5863,-0.6323,-8.6737,113.6286,690.6321,147.7289,117.2149,691.2643,156.4026
1,Line,,,,,,,0.8283,,,,,,,,,,28,-0.7326,-0.3864,-0.0031,117.2149,691.2643,156.4026,117.9475,691.6508,156.4057
1,Line,,,,,,,0.7999,,,,,,,,,,26,0.7174,0.3539,0.0018,113.6286,690.6321,147.7289,112.9112,690.2781,147.7271
