Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0005,,,,,,,,,,95,0.0000,0.0004,0.0003,2.0585,5.5233,0.4673,2.0585,5.5229,0.4669
1,Line,0.0220,,,,,,,,,,1,0.0220,0.0003,0.0000,2.1178,5.5688,0.4991,2.0958,5.5685,0.4991
1,Line,0.0142,,,,,,,,,,119,-0.0059,0.0105,0.0076,2.0635,5.4978,0.4488,2.0694,5.4873,0.4411
1,Line,0.0156,,,,,,,,,,107,-0.0037,0.0123,0.0089,2.0598,5.5101,0.4577,2.0635,5.4978,0.4488
1,Line,0.0127,,,,,,,,,,270,0.0000,-0.0127,0.0000,2.0955,5.6882,0.5041,2.0955,5.7010,0.5041
1,Line,0.0125,,,,,,,,,,314,0.0077,-0.0079,-0.0059,2.0770,5.4794,0.4353,2.0694,5.4873,0.4411
1,Line,0.0159,,,,,,,,,,275,0.0012,-0.0128,-0.0093,2.0598,5.5101,0.4577,2.0585,5.5229,0.4669
1,Line,0.0543,,,,,,,,,,179,-0.0542,0.0006,0.0013,2.0229,5.4799,0.4366,2.0771,5.4793,0.4352
1,Line,0.0002,,,,,,,,,,331,0.0001,-0.0001,-0.0001,2.0771,5.4793,0.4352,2.0770,5.4794,0.4353
1,Line,0.0066,,,,,,,,,,149,-0.0052,0.0032,0.0024,2.0094,5.4848,0.4403,2.0146,5.4817,0.4379
1,Line,0.0086,,,,,,,,,,168,-0.0083,0.0017,0.0014,2.0146,5.4817,0.4379,2.0229,5.4799,0.4366
1,Line,0.0108,,,,,,,,,,131,-0.0063,0.0071,0.0051,2.0010,5.4933,0.4464,2.0072,5.4862,0.4413
1,Line,0.0027,,,,,,,,,,148,-0.0022,0.0013,0.0010,2.0072,5.4862,0.4413,2.0094,5.4848,0.4403
1,Line,0.0133,,,,,,,,,,105,-0.0029,0.0106,0.0076,1.9933,5.5131,0.4606,1.9962,5.5025,0.4530
1,Line,0.0122,,,,,,,,,,117,-0.0047,0.0092,0.0066,1.9962,5.5025,0.4530,2.0010,5.4933,0.4464
1,Line,0.0676,,,,,,,,,,38,0.0491,0.0380,0.0266,2.0585,5.5229,0.4669,2.0094,5.4848,0.4403
1,Line,0.0125,,,,,,,,,,299,0.0051,-0.0093,-0.0066,2.2232,5.5458,0.4832,2.2181,5.5551,0.4898
1,Line,0.0110,,,,,,,,,,313,0.0066,-0.0072,-0.0051,2.2181,5.5551,0.4898,2.2115,5.5623,0.4948
1,Line,0.0098,,,,,,,,,,275,0.0007,-0.0079,-0.0057,2.2271,5.5270,0.4698,2.2264,5.5350,0.4755
1,Line,0.0137,,,,,,,,,,286,0.0032,-0.0108,-0.0077,2.2264,5.5350,0.4755,2.2232,5.5458,0.4832
1,Line,0.0140,,,,,,,,,,94,-0.0008,0.0114,0.0081,1.9925,5.5245,0.4687,1.9933,5.5131,0.4606
1,Line,0.0522,,,,,,,,,,1,0.0522,0.0007,0.0000,2.0769,5.5682,0.4991,2.0247,5.5675,0.4991
1,Line,0.0086,,,,,,,,,,10,0.0084,0.0014,0.0009,2.0247,5.5675,0.4991,2.0162,5.5661,0.4982
1,Line,0.0145,,,,,,,,,,61,0.0059,0.0108,0.0076,2.0693,5.5601,0.4934,2.0635,5.5493,0.4857
1,Line,0.0125,,,,,,,,,,227,-0.0075,-0.0082,-0.0057,2.0693,5.5601,0.4934,2.0769,5.5682,0.4991
1,Line,0.0092,,,,,,,,,,29,0.0076,0.0042,0.0029,2.0162,5.5661,0.4982,2.0087,5.5619,0.4952
1,Line,0.0132,,,,,,,,,,73,0.0033,0.0105,0.0074,1.9970,5.5461,0.4841,1.9938,5.5357,0.4767
1,Line,0.0138,,,,,,,,,,84,0.0013,0.0112,0.0080,1.9938,5.5357,0.4767,1.9925,5.5245,0.4687
1,Line,0.0106,,,,,,,,,,46,0.0065,0.0068,0.0048,2.0087,5.5619,0.4952,2.0021,5.5551,0.4904
1,Line,0.0121,,,,,,,,,,60,0.0051,0.0089,0.0063,2.0021,5.5551,0.4904,1.9970,5.5461,0.4841
1,Line,0.1341,,,,,,,,,,270,0.0000,-0.1341,0.0000,1.9925,5.5245,0.4687,1.9925,5.6585,0.4687
1,Line,0.0139,,,,,,,,,,276,0.0013,-0.0113,-0.0080,2.2985,5.5244,0.4687,2.2972,5.5357,0.4767
1,Line,0.0132,,,,,,,,,,287,0.0033,-0.0105,-0.0074,2.2972,5.5357,0.4767,2.2940,5.5461,0.4841
1,Line,0.0134,,,,,,,,,,75,0.0029,0.0106,0.0076,2.2977,5.5131,0.4606,2.2948,5.5025,0.4530
1,Line,0.0139,,,,,,,,,,86,0.0008,0.0113,0.0081,2.2985,5.5244,0.4687,2.2977,5.5131,0.4606
1,Line,0.0121,,,,,,,,,,120,-0.0051,0.0089,0.0063,2.2889,5.5551,0.4904,2.2940,5.5461,0.4841
1,Line,0.0086,,,,,,,,,,170,-0.0084,0.0014,0.0009,2.2663,5.5675,0.4991,2.2748,5.5661,0.4982
1,Line,0.0522,,,,,,,,,,179,-0.0522,0.0007,0.0000,2.2141,5.5682,0.4991,2.2663,5.5675,0.4991
1,Line,0.0106,,,,,,,,,,134,-0.0065,0.0068,0.0048,2.2823,5.5619,0.4952,2.2889,5.5551,0.4904
1,Line,0.0092,,,,,,,,,,151,-0.0076,0.0042,0.0029,2.2748,5.5661,0.4982,2.2823,5.5619,0.4952
1,Line,0.0122,,,,,,,,,,63,0.0047,0.0092,0.0066,2.2948,5.5025,0.4530,2.2900,5.4933,0.4464
1,Line,0.0145,,,,,,,,,,119,-0.0059,0.0108,0.0076,2.2217,5.5601,0.4934,2.2275,5.5493,0.4857
1,Line,0.0158,,,,,,,,,,106,-0.0037,0.0125,0.0089,2.2275,5.5493,0.4857,2.2312,5.5367,0.4768
1,Line,0.0086,,,,,,,,,,12,0.0083,0.0017,0.0014,2.2764,5.4817,0.4379,2.2681,5.4799,0.4366
1,Line,0.0066,,,,,,,,,,31,0.0052,0.0032,0.0024,2.2816,5.4848,0.4403,2.2764,5.4817,0.4379
1,Line,0.0165,,,,,,,,,,95,-0.0013,0.0134,0.0096,2.2312,5.5367,0.4768,2.2325,5.5233,0.4673
1,Line,0.0027,,,,,,,,,,32,0.0022,0.0013,0.0010,2.2838,5.4862,0.4413,2.2816,5.4848,0.4403
1,Line,0.0108,,,,,,,,,,49,0.0063,0.0071,0.0051,2.2900,5.4933,0.4464,2.2838,5.4862,0.4413
1,Line,0.0005,,,,,,,,,,85,0.0000,0.0004,0.0003,2.2325,5.5233,0.4673,2.2325,5.5229,0.4669
1,Line,0.0676,,,,,,,,,,142,-0.0491,0.0380,0.0266,2.2325,5.5229,0.4669,2.2816,5.4848,0.4403
1,Line,0.1516,,,,,,,,,,270,0.0000,-0.1516,0.0000,2.2681,5.4799,0.4366,2.2681,5.6316,0.4366
1,Line,0.1907,,,,,,,,,,270,0.0000,-0.1907,0.0000,2.2216,5.4873,0.4411,2.2216,5.6781,0.4411
1,Line,0.1493,,,,,,,,,,270,0.0000,-0.1493,0.0000,2.2838,5.4862,0.4413,2.2838,5.6355,0.4413
1,Line,0.1510,,,,,,,,,,270,0.0000,-0.1510,0.0000,2.2764,5.4817,0.4379,2.2764,5.6327,0.4379
1,Line,0.1830,,,,,,,,,,270,0.0000,-0.1830,0.0000,2.2275,5.4978,0.4488,2.2275,5.6808,0.4488
1,Line,0.1543,,,,,,,,,,270,0.0000,-0.1543,0.0000,2.2312,5.5367,0.4768,2.2312,5.6910,0.4768
1,Line,0.1450,,,,,,,,,,270,0.0000,-0.1450,0.0000,2.2275,5.5493,0.4857,2.2275,5.6943,0.4857
1,Line,0.1740,,,,,,,,,,270,0.0000,-0.1740,0.0000,2.2312,5.5101,0.4577,2.2312,5.6841,0.4577
1,Line,0.1643,,,,,,,,,,270,0.0000,-0.1643,0.0000,2.2325,5.5233,0.4673,2.2325,5.6876,0.4673
1,Line,0.1465,,,,,,,,,,270,0.0000,-0.1465,0.0000,2.2900,5.4933,0.4464,2.2900,5.6398,0.4464
1,Line,0.1189,,,,,,,,,,270,0.0000,-0.1189,0.0000,2.2823,5.5619,0.4952,2.2823,5.6808,0.4952
1,Line,0.1217,,,,,,,,,,270,0.0000,-0.1217,0.0000,2.2889,5.5551,0.4904,2.2889,5.6768,0.4904
1,Line,0.0125,,,,,,,,,,133,-0.0075,0.0082,0.0057,2.2141,5.5682,0.4991,2.2217,5.5601,0.4934
1,Line,0.1171,,,,,,,,,,270,0.0000,-0.1171,0.0000,2.2748,5.5661,0.4982,2.2748,5.6833,0.4982
1,Line,0.1253,,,,,,,,,,270,0.0000,-0.1253,0.0000,2.2940,5.5461,0.4841,2.2940,5.6715,0.4841
1,Line,0.1386,,,,,,,,,,270,0.0000,-0.1386,0.0000,2.2977,5.5131,0.4606,2.2977,5.6517,0.4606
1,Line,0.1429,,,,,,,,,,270,0.0000,-0.1429,0.0000,2.2948,5.5025,0.4530,2.2948,5.6454,0.4530
1,Line,0.1296,,,,,,,,,,270,0.0000,-0.1296,0.0000,2.2972,5.5357,0.4767,2.2972,5.6652,0.4767
1,Line,0.1341,,,,,,,,,,270,0.0000,-0.1341,0.0000,2.2985,5.5244,0.4687,2.2985,5.6585,0.4687
1,Line,0.1920,,,,,,,,,,270,0.0000,-0.1920,0.0000,2.2115,5.4855,0.4397,2.2115,5.6775,0.4397
1,Line,0.1951,,,,,,,,,,270,0.0000,-0.1951,0.0000,2.2038,5.4813,0.4365,2.2038,5.6764,0.4365
1,Line,0.1804,,,,,,,,,,270,0.0000,-0.1804,0.0000,2.2232,5.5014,0.4513,2.2232,5.6818,0.4513
1,Line,0.1870,,,,,,,,,,270,0.0000,-0.1870,0.0000,2.2181,5.4924,0.4447,2.2181,5.6794,0.4447
1,Line,0.1960,,,,,,,,,,270,0.0000,-0.1960,0.0000,2.1951,5.4799,0.4354,2.1951,5.6760,0.4354
1,Line,0.1951,,,,,,,,,,270,0.0000,-0.1951,0.0000,2.0872,5.4813,0.4365,2.0872,5.6764,0.4365
1,Line,0.1920,,,,,,,,,,270,0.0000,-0.1920,0.0000,2.0795,5.4855,0.4397,2.0795,5.6775,0.4397
1,Line,0.1957,,,,,,,,,,270,0.0000,-0.1957,0.0000,2.1455,5.4799,0.4346,2.1455,5.6757,0.4346
1,Line,0.1960,,,,,,,,,,270,0.0000,-0.1960,0.0000,2.0959,5.4799,0.4354,2.0959,5.6760,0.4354
1,Line,0.1726,,,,,,,,,,270,0.0000,-0.1726,0.0000,2.2264,5.5120,0.4590,2.2264,5.6846,0.4590
1,Line,0.1217,,,,,,,,,,270,0.0000,-0.1217,0.0000,2.0021,5.5551,0.4904,2.0021,5.6768,0.4904
1,Line,0.1189,,,,,,,,,,270,0.0000,-0.1189,0.0000,2.0087,5.5619,0.4952,2.0087,5.6808,0.4952
1,Line,0.1296,,,,,,,,,,270,0.0000,-0.1296,0.0000,1.9938,5.5357,0.4767,1.9938,5.6652,0.4767
1,Line,0.1253,,,,,,,,,,270,0.0000,-0.1253,0.0000,1.9970,5.5461,0.4841,1.9970,5.6715,0.4841
1,Line,0.1171,,,,,,,,,,270,0.0000,-0.1171,0.0000,2.0162,5.5661,0.4982,2.0162,5.6833,0.4982
1,Line,0.1556,,,,,,,,,,270,0.0000,-0.1556,0.0000,2.2264,5.5350,0.4755,2.2264,5.6906,0.4755
1,Line,0.1642,,,,,,,,,,270,0.0000,-0.1642,0.0000,2.2275,5.5234,0.4673,2.2275,5.6876,0.4673
1,Line,0.1165,,,,,,,,,,270,0.0000,-0.1165,0.0000,2.0247,5.5675,0.4991,2.0247,5.6840,0.4991
1,Line,0.1476,,,,,,,,,,270,0.0000,-0.1476,0.0000,2.2232,5.5458,0.4832,2.2232,5.6934,0.4832
1,Line,0.1406,,,,,,,,,,270,0.0000,-0.1406,0.0000,2.2181,5.5551,0.4898,2.2181,5.6958,0.4898
1,Line,0.1353,,,,,,,,,,270,0.0000,-0.1353,0.0000,2.2115,5.5623,0.4948,2.2115,5.6976,0.4948
1,Line,0.1307,,,,,,,,,,270,0.0000,-0.1307,0.0000,2.1952,5.5685,0.4991,2.1952,5.6992,0.4991
1,Line,0.1319,,,,,,,,,,270,0.0000,-0.1319,0.0000,2.2038,5.5668,0.4980,2.2038,5.6988,0.4980
1,Line,0.0159,,,,,,,,,,85,0.0012,0.0128,0.0093,2.2325,5.5229,0.4669,2.2312,5.5101,0.4577
1,Line,0.0116,,,,,,,,,,46,0.0071,0.0074,0.0054,2.2216,5.4873,0.4411,2.2145,5.4799,0.4357
1,Line,0.0536,,,,,,,,,,0,0.0536,0.0000,0.0008,2.2681,5.4799,0.4366,2.2145,5.4799,0.4357
1,Line,0.0156,,,,,,,,,,73,0.0037,0.0123,0.0089,2.2312,5.5101,0.4577,2.2275,5.4978,0.4488
1,Line,0.0142,,,,,,,,,,61,0.0059,0.0105,0.0076,2.2275,5.4978,0.4488,2.2216,5.4873,0.4411
1,Line,0.1307,,,,,,,,,,270,0.0000,-0.1307,0.0000,2.0958,5.5685,0.4991,2.0958,5.6992,0.4991
1,Line,0.1726,,,,,,,,,,270,0.0000,-0.1726,0.0000,2.0646,5.5120,0.4590,2.0646,5.6846,0.4590
1,Line,0.1642,,,,,,,,,,270,0.0000,-0.1642,0.0000,2.0635,5.5234,0.4673,2.0635,5.6876,0.4673
1,Line,0.1870,,,,,,,,,,270,0.0000,-0.1870,0.0000,2.0729,5.4924,0.4447,2.0729,5.6794,0.4447
1,Line,0.1804,,,,,,,,,,270,0.0000,-0.1804,0.0000,2.0678,5.5014,0.4513,2.0678,5.6818,0.4513
1,Line,0.1556,,,,,,,,,,270,0.0000,-0.1556,0.0000,2.0646,5.5350,0.4755,2.0646,5.6906,0.4755
1,Line,0.1353,,,,,,,,,,270,0.0000,-0.1353,0.0000,2.0795,5.5623,0.4948,2.0795,5.6976,0.4948
1,Line,0.1319,,,,,,,,,,270,0.0000,-0.1319,0.0000,2.0872,5.5668,0.4980,2.0872,5.6988,0.4980
1,Line,0.1476,,,,,,,,,,270,0.0000,-0.1476,0.0000,2.0678,5.5458,0.4832,2.0678,5.6934,0.4832
1,Line,0.1406,,,,,,,,,,270,0.0000,-0.1406,0.0000,2.0729,5.5551,0.4898,2.0729,5.6958,0.4898
1,Line,0.2554,,,,,,,,,,151,-0.2110,0.1167,0.0841,2.3054,3.6588,1.1861,2.5164,3.5421,1.1020
1,Line,0.2339,,,,,,,,,,153,-0.1947,0.1001,0.0822,2.4651,3.6779,1.1829,2.6598,3.5778,1.1008
1,Line,0.2145,,,,,,,,,,311,0.1235,-0.1405,-0.1050,2.7833,3.4373,0.9958,2.6598,3.5778,1.1008
1,Line,0.3051,,,,,,,,,,152,-0.2520,0.1349,0.1067,2.3315,3.5084,1.0967,2.5835,3.3735,0.9900
1,Line,0.2521,,,,,,,,,,142,-0.1860,0.1443,0.0902,2.1455,3.6527,1.1869,2.3315,3.5084,1.0967
1,Line,0.2066,,,,,,,,,,127,-0.1086,0.1431,0.1022,2.7285,3.5992,1.0995,2.8371,3.4561,0.9973
1,Line,0.0571,,,,,,,,,,199,-0.0539,-0.0188,-0.0015,2.7833,3.4373,0.9958,2.8371,3.4561,0.9973
1,Line,0.0541,,,,,,,,,,197,-0.0517,-0.0161,0.0010,2.7285,3.5992,1.0995,2.7802,3.6153,1.0985
1,Line,0.1305,,,,,,,,,,149,-0.1025,0.0625,0.0512,2.7016,3.6852,1.1493,2.8041,3.6227,1.0981
1,Line,0.2235,,,,,,,,,,12,0.2180,0.0458,0.0179,2.5835,3.3735,0.9900,2.3654,3.3277,0.9721
1,Line,0.0690,,,,,,,,,,19,0.0651,0.0228,0.0018,2.7833,3.4373,0.9958,2.7182,3.4145,0.9940
1,Line,0.2620,,,,,,,,,,328,0.2017,-0.1276,-0.1080,2.7182,3.4145,0.9940,2.5164,3.5421,1.1020
1,Line,0.1865,,,,,,,,,,184,-0.1860,-0.0130,-0.0048,2.1455,3.4954,1.0919,2.3315,3.5084,1.0967
1,Line,0.3014,,,,,,,,,,323,0.2199,-0.1677,-0.1198,2.3654,3.3277,0.9721,2.1455,3.4954,1.0919
