Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.3485,,,,,,,,,,,,,,,,46,-0.9096,-0.9508,0.2951,253.0134,326.0903,-2.3129,253.9231,327.0410,-2.6081
1,Line,0.1033,,,,,,,,,,,,,,,,50,-0.0140,-0.0168,0.1010,252.4835,326.2113,-2.0446,252.4975,326.2281,-2.1456
1,Line,0.1109,,,,,,,,,,,,,,,,157,0.0764,-0.0331,0.0732,253.0898,326.0572,-2.2397,253.0134,326.0903,-2.3129
1,Line,1.3409,,,,,,,,,,,,,,,,50,-0.8333,-0.9838,0.3683,253.0898,326.0572,-2.2397,253.9231,327.0410,-2.6081
1,Line,1.3960,,,,,,,,,,,,,,,,47,0.9281,0.9983,-0.3018,254.0179,327.0555,-2.5415,253.0898,326.0572,-2.2397
1,Line,0.3317,,,,,,,,,,,,,,,,52,-0.0742,-0.0947,0.3091,252.2404,326.1563,-2.1487,252.3146,326.2510,-2.4578
1,Line,0.2669,,,,,,,,,,,,,,,,16,0.2570,0.0718,0.0032,252.4975,326.2281,-2.1456,252.2404,326.1563,-2.1487
1,Line,0.6553,,,,,,,,,,,,,,,,166,0.6063,-0.1541,-0.1951,253.0898,326.0572,-2.2397,252.4835,326.2113,-2.0446
1,Line,0.6062,,,,,,,,,,,,,,,,167,0.5299,-0.1210,-0.2684,253.0134,326.0903,-2.3129,252.4835,326.2113,-2.0446
1,Line,0.5597,,,,,,,,,,,,,,,,165,-0.5160,0.1379,0.1674,252.4975,326.2281,-2.1456,253.0134,326.0903,-2.3129
1,Line,0.1167,,,,,,,,,,,,,,,,9,0.0948,0.0144,0.0666,254.0179,327.0555,-2.5415,253.9231,327.0410,-2.6081
1,Line,0.2824,,,,,,,,,,,,,,,,1,0.0578,0.0009,-0.2764,254.2810,327.0647,-2.8293,254.2232,327.0638,-2.5529
