Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.0072,,,,,,,,,,90,0.0000,-0.0001,-0.0072,1.3908,6.4535,2.3323,1.3908,6.4536,2.3395
1,Line,,,,,,,0.0100,,,,,,,,,,139,-0.0076,0.0065,0.0008,1.3750,6.4655,2.3337,1.3825,6.4590,2.3330
1,Line,,,,,,,0.0078,,,,,,,,,,90,0.0000,-0.0001,-0.0078,1.3997,6.4489,2.3318,1.3997,6.4490,2.3395
1,Line,,,,,,,0.0100,,,,,,,,,,146,-0.0083,0.0056,0.0007,1.3825,6.4590,2.3330,1.3908,6.4535,2.3323
1,Line,,,,,,,0.0002,,,,,,,,,,106,0.0001,-0.0002,0.0000,1.3509,6.5080,2.3387,1.3508,6.5082,2.3387
1,Line,,,,,,,0.0100,,,,,,,,,,100,-0.0016,0.0092,0.0036,1.3492,6.5186,2.3373,1.3508,6.5094,2.3337
1,Line,,,,,,,0.0100,,,,,,,,,,107,-0.0028,0.0089,0.0035,1.3508,6.5094,2.3337,1.3536,6.5005,2.3302
1,Line,,,,,,,0.0077,,,,,,,,,,90,0.0000,0.0019,-0.0074,1.3536,6.5005,2.3302,1.3536,6.4986,2.3376
1,Line,,,,,,,0.0052,,,,,,,,,,90,0.0000,0.0013,-0.0050,1.3508,6.5094,2.3337,1.3508,6.5082,2.3387
1,Line,,,,,,,0.0014,,,,,,,,,,92,0.0000,0.0003,-0.0013,1.3491,6.5183,2.3385,1.3492,6.5179,2.3399
1,Line,,,,,,,0.0100,,,,,,,,,,93,0.0005,-0.0099,-0.0012,1.3492,6.5179,2.3399,1.3487,6.5278,2.3410
1,Line,,,,,,,0.0100,,,,,,,,,,100,0.0016,-0.0098,-0.0012,1.3508,6.5082,2.3387,1.3492,6.5179,2.3399
1,Line,,,,,,,0.0032,,,,,,,,,,93,-0.0002,0.0029,0.0012,1.3490,6.5215,2.3385,1.3492,6.5186,2.3373
1,Line,,,,,,,0.0134,,,,,,,,,,90,0.0000,-0.0002,-0.0134,1.4090,6.4455,2.3396,1.4090,6.4457,2.3530
1,Line,,,,,,,0.0130,,,,,,,,,,90,0.0000,-0.0002,-0.0130,1.3997,6.4490,2.3395,1.3997,6.4492,2.3525
1,Line,,,,,,,0.0012,,,,,,,,,,90,0.0000,0.0000,-0.0012,1.3536,6.4986,2.3376,1.3536,6.4986,2.3388
1,Line,,,,,,,0.0085,,,,,,,,,,90,0.0000,0.0001,0.0085,1.4187,6.4431,2.3396,1.4187,6.4430,2.3311
1,Line,,,,,,,0.0124,,,,,,,,,,90,0.0000,-0.0002,-0.0124,1.3908,6.4536,2.3395,1.3908,6.4538,2.3519
1,Line,,,,,,,0.0098,,,,,,,,,,90,0.0000,-0.0001,-0.0098,1.3682,6.4729,2.3392,1.3682,6.4730,2.3490
1,Line,,,,,,,0.0088,,,,,,,,,,90,0.0000,-0.0001,-0.0088,1.3623,6.4809,2.3391,1.3623,6.4810,2.3479
1,Line,,,,,,,0.0117,,,,,,,,,,90,0.0000,-0.0002,-0.0117,1.3825,6.4591,2.3394,1.3825,6.4593,2.3510
1,Line,,,,,,,0.0108,,,,,,,,,,90,0.0000,-0.0002,-0.0108,1.3750,6.4656,2.3393,1.3750,6.4658,2.3501
1,Line,,,,,,,0.0056,,,,,,,,,,90,0.0000,-0.0001,-0.0056,1.3750,6.4655,2.3337,1.3750,6.4656,2.3393
1,Line,,,,,,,0.0100,,,,,,,,,,126,-0.0059,0.0080,0.0009,1.3623,6.4808,2.3355,1.3682,6.4728,2.3346
1,Line,,,,,,,0.0064,,,,,,,,,,90,0.0000,-0.0001,-0.0064,1.3825,6.4590,2.3330,1.3825,6.4591,2.3394
1,Line,,,,,,,0.0100,,,,,,,,,,133,-0.0068,0.0073,0.0009,1.3682,6.4728,2.3346,1.3750,6.4655,2.3337
1,Line,,,,,,,0.0046,,,,,,,,,,90,0.0000,-0.0001,-0.0046,1.3682,6.4728,2.3346,1.3682,6.4729,2.3392
1,Line,,,,,,,0.0100,,,,,,,,,,113,-0.0039,0.0091,0.0011,1.3536,6.4986,2.3376,1.3574,6.4895,2.3365
1,Line,,,,,,,0.0024,,,,,,,,,,90,0.0000,0.0000,-0.0024,1.3574,6.4895,2.3365,1.3574,6.4895,2.3390
1,Line,,,,,,,0.0100,,,,,,,,,,120,-0.0049,0.0086,0.0010,1.3574,6.4895,2.3365,1.3623,6.4808,2.3355
1,Line,,,,,,,0.0036,,,,,,,,,,90,0.0000,-0.0001,-0.0036,1.3623,6.4808,2.3355,1.3623,6.4809,2.3391
1,Line,,,,,,,0.0100,,,,,,,,,,167,-0.0093,0.0021,-0.0028,1.3997,6.4804,2.4047,1.4090,6.4783,2.4076
1,Line,,,,,,,0.0217,,,,,,,,,,90,0.0000,-0.0189,-0.0106,1.4090,6.4783,2.4076,1.4090,6.4972,2.4182
1,Line,,,,,,,0.0223,,,,,,,,,,90,0.0000,0.0160,0.0155,1.4187,6.4768,2.4096,1.4187,6.4608,2.3940
1,Line,,,,,,,0.0100,,,,,,,,,,171,-0.0097,0.0015,-0.0020,1.4090,6.4783,2.4076,1.4187,6.4768,2.4096
1,Line,,,,,,,0.0100,,,,,,,,,,163,-0.0089,0.0028,-0.0037,1.3908,6.4831,2.4011,1.3997,6.4804,2.4047
1,Line,,,,,,,0.0195,,,,,,,,,,90,0.0000,-0.0171,-0.0095,1.3908,6.4831,2.4011,1.3908,6.5002,2.4106
1,Line,,,,,,,0.0100,,,,,,,,,,153,-0.0076,0.0039,-0.0052,1.3750,6.4904,2.3913,1.3825,6.4865,2.3966
1,Line,,,,,,,0.0207,,,,,,,,,,90,0.0000,-0.0181,-0.0101,1.3997,6.4804,2.4047,1.3997,6.4985,2.4149
1,Line,,,,,,,0.0100,,,,,,,,,,158,-0.0083,0.0033,-0.0045,1.3825,6.4865,2.3966,1.3908,6.4831,2.4011
1,Line,,,,,,,0.0101,,,,,,,,,,90,0.0000,-0.0072,-0.0070,1.3574,6.4975,2.3650,1.3574,6.5048,2.3720
1,Line,,,,,,,0.0100,,,,,,,,,,110,-0.0028,0.0075,-0.0059,1.3508,6.5123,2.3533,1.3536,6.5048,2.3593
1,Line,,,,,,,0.0124,,,,,,,,,,90,0.0000,-0.0089,-0.0086,1.3623,6.4907,2.3704,1.3623,6.4996,2.3790
1,Line,,,,,,,0.0100,,,,,,,,,,118,-0.0039,0.0072,-0.0057,1.3536,6.5048,2.3593,1.3574,6.4975,2.3650
1,Line,,,,,,,0.0077,,,,,,,,,,90,0.0000,-0.0055,-0.0054,1.3536,6.5048,2.3593,1.3536,6.5103,2.3646
1,Line,,,,,,,0.0100,,,,,,,,,,94,-0.0005,0.0078,-0.0062,1.3487,6.5278,2.3410,1.3492,6.5200,2.3472
1,Line,,,,,,,0.0026,,,,,,,,,,90,0.0000,-0.0019,-0.0018,1.3492,6.5200,2.3472,1.3492,6.5219,2.3490
1,Line,,,,,,,0.0100,,,,,,,,,,102,-0.0016,0.0077,-0.0061,1.3492,6.5200,2.3472,1.3508,6.5123,2.3533
1,Line,,,,,,,0.0052,,,,,,,,,,90,0.0000,-0.0037,-0.0036,1.3508,6.5123,2.3533,1.3508,6.5160,2.3569
1,Line,,,,,,,0.0100,,,,,,,,,,106,-0.0016,0.0059,-0.0079,1.3492,6.5219,2.3490,1.3508,6.5160,2.3569
1,Line,,,,,,,0.0052,,,,,,,,,,90,0.0000,-0.0045,-0.0025,1.3508,6.5160,2.3569,1.3508,6.5205,2.3594
