Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,26.7421,,,,,,,,,,,,,,,,90,0.0000,18.7950,-24.4941,1338.8520,984.4578,2946.0158,1338.8520,968.1782,2967.2318
1,Line,71.0637,,,,,,,,,,,,,,,,177,81.9272,-3.7892,-2.1877,1409.8145,981.1757,2944.1209,1338.8520,984.4578,2946.0158
1,Line,71.0637,,,,,,,,,,,,,,,,178,81.9272,-3.0938,-3.0938,1409.8145,965.4984,2964.5520,1338.8520,968.1782,2967.2318
1,Line,51.8452,,,,,,,,,,,,,,,,8,-59.2704,-8.3523,0.0000,1336.1671,1016.0638,2894.7959,1387.5051,1023.2982,2894.7959
1,Line,31.4102,,,,,,,,,,,,,,,,90,0.0000,4.7333,-35.9533,1336.1671,1016.0638,2894.7959,1336.1671,1011.9639,2925.9374
1,Line,25.7528,,,,,,,,,,,,,,,,90,0.0000,18.0997,-23.5880,1409.8145,981.1757,2944.1209,1409.8145,965.4984,2964.5520
1,Line,51.8452,,,,,,,,,,,,,,,,6,-59.2704,-5.9059,-5.9059,1336.1671,980.8225,2979.8760,1387.5051,985.9380,2984.9916
1,Line,51.8452,,,,,,,,,,,,,,,,7,-59.2704,-7.2333,-4.1761,1336.1671,999.9438,2954.9566,1387.5051,1006.2090,2958.5739
1,Line,31.4102,,,,,,,,,,,,,,,,90,0.0000,-33.5031,-13.8775,1336.1671,926.8838,2778.5743,1336.1671,955.9031,2790.5944
1,Line,51.8452,,,,,,,,,,,,,,,,4,-59.2704,-4.1761,7.2333,1336.1671,955.9031,2790.5944,1387.5051,959.5203,2784.3292
1,Line,51.8452,,,,,,,,,,,,,,,,2,-59.2704,-2.1617,8.0677,1336.1671,926.8838,2778.5743,1387.5051,928.7562,2771.5863
1,Line,51.8452,,,,,,,,,,,,,,,,8,-59.2704,-8.0677,-2.1617,1336.1671,1011.9639,2925.9374,1387.5051,1018.9519,2927.8098
1,Line,33.2988,,,,,,,,,,,,,,,,90,0.0000,5.0179,38.1150,1764.7753,772.5328,2927.8098,1764.7753,768.1864,2894.7959
1,Line,180.9140,,,,,,,,,,,,,,,,180,-208.8678,0.0000,0.0000,1583.8613,772.5328,2927.8098,1764.7753,772.5328,2927.8098
1,Line,180.9140,,,,,,,,,,,,,,,,180,-208.8678,0.0000,0.0000,1583.8613,768.1864,2894.7959,1764.7753,768.1864,2894.7959
1,Line,22.4384,,,,,,,,,,,,,,,,90,0.0000,15.7703,-20.5522,1349.3657,970.1805,2937.7728,1349.3657,956.5208,2955.5744
1,Line,196.3562,,,,,,,,,,,,,,,,180,-226.6960,0.0000,0.0000,1387.5051,768.1864,2894.7959,1583.8613,768.1864,2894.7959
1,Line,196.3562,,,,,,,,,,,,,,,,180,-226.6960,0.0000,0.0000,1387.5051,772.5328,2927.8098,1583.8613,772.5328,2927.8098
1,Line,377.2702,,,,,,,,,,,,,,,,180,-435.5638,0.0000,0.0000,1387.5051,1006.2090,2958.5739,1764.7753,1006.2090,2958.5739
1,Line,31.4102,,,,,,,,,,,,,,,,90,0.0000,28.7698,22.0758,1336.1671,835.5816,2998.9974,1336.1671,810.6622,2979.8760
1,Line,33.2988,,,,,,,,,,,,,,,,90,0.0000,23.4032,-30.4996,1764.7753,1006.2090,2958.5739,1764.7753,985.9380,2984.9916
1,Line,196.3562,,,,,,,,,,,,,,,,180,-226.6960,0.0000,0.0000,1387.5051,985.9380,2984.9916,1583.8613,985.9380,2984.9916
1,Line,180.9140,,,,,,,,,,,,,,,,180,-208.8678,0.0000,0.0000,1583.8613,985.9380,2984.9916,1764.7753,985.9380,2984.9916
1,Line,17.8032,,,,,,,,,,,,,,,,0,20.5540,0.0000,0.0000,1372.2703,953.4451,2952.4987,1354.4672,953.4451,2952.4987
1,Line,21.3029,,,,,,,,,,,,,,,,90,0.0000,14.9722,-19.5122,1354.4672,966.4135,2935.5979,1354.4672,953.4451,2952.4987
1,Line,57.2085,,,,,,,,,,,,,,,,6,-65.6169,-6.5244,-3.7669,1352.9794,975.5245,2940.8582,1409.8145,981.1757,2944.1209
1,Line,28.9633,,,,,,,,,,,,,,,,90,0.0000,-4.3646,-33.1525,1330.5061,1002.9101,2866.0804,1330.5061,1006.6906,2894.7959
1,Line,57.2085,,,,,,,,,,,,,,,,5,-65.6169,-5.3271,-5.3271,1352.9794,960.8842,2959.9378,1409.8145,965.4984,2964.5520
1,Line,17.8032,,,,,,,,,,,,,,,,0,20.5540,0.0000,0.0000,1372.2703,966.4135,2935.5979,1354.4672,966.4135,2935.5979
1,Line,196.3562,,,,,,,,,,,,,,,,180,-226.6960,0.0000,0.0000,1387.5051,1018.9519,2861.7820,1583.8613,1018.9519,2861.7820
1,Line,7.1511,,,,,,,,,,,,,,,,24,-4.1721,-1.8439,-6.8815,1349.3657,917.9888,2977.8209,1352.9794,919.5859,2983.7814
1,Line,180.9140,,,,,,,,,,,,,,,,180,-208.8678,0.0000,0.0000,1583.8613,1018.9519,2861.7820,1764.7753,1018.9519,2861.7820
1,Line,21.3029,,,,,,,,,,,,,,,,90,0.0000,14.9722,-19.5122,1372.2703,966.4135,2935.5979,1372.2703,953.4451,2952.4987
1,Line,33.2988,,,,,,,,,,,,,,,,90,0.0000,-5.0179,-38.1150,1764.7753,1018.9519,2861.7820,1764.7753,1023.2982,2894.7959
1,Line,10.9501,,,,,,,,,,,,,,,,58,-6.5357,-10.4527,2.8008,1330.5061,1002.9101,2866.0804,1336.1671,1011.9639,2863.6544
1,Line,10.9501,,,,,,,,,,,,,,,,23,-6.5357,-2.8008,-10.4527,1330.5061,924.4579,3001.9637,1336.1671,926.8838,3011.0175
1,Line,28.9633,,,,,,,,,,,,,,,,90,0.0000,33.1525,-4.3646,1330.5061,924.4579,3001.9637,1330.5061,895.7423,3005.7442
1,Line,31.4102,,,,,,,,,,,,,,,,90,0.0000,35.9533,-4.7333,1336.1671,926.8838,3011.0175,1336.1671,895.7423,3015.1174
1,Line,31.4102,,,,,,,,,,,,,,,,90,0.0000,22.0758,-28.7698,1336.1671,999.9438,2954.9566,1336.1671,980.8225,2979.8760
1,Line,10.9501,,,,,,,,,,,,,,,,0,6.5357,0.0000,10.8215,1336.1671,895.7423,3015.1174,1330.5061,895.7423,3005.7442
1,Line,377.2702,,,,,,,,,,,,,,,,180,-435.5638,0.0000,0.0000,1387.5051,1018.9519,2927.8098,1764.7753,1018.9519,2927.8098
1,Line,10.9501,,,,,,,,,,,,,,,,59,-6.5357,-10.8215,0.0000,1330.5061,1006.6906,2894.7959,1336.1671,1016.0638,2894.7959
1,Line,31.4102,,,,,,,,,,,,,,,,90,0.0000,-4.7333,-35.9533,1336.1671,1011.9639,2863.6544,1336.1671,1016.0638,2894.7959
1,Line,196.3562,,,,,,,,,,,,,,,,180,-226.6960,0.0000,0.0000,1387.5051,1023.2982,2894.7959,1583.8613,1023.2982,2894.7959
1,Line,33.2988,,,,,,,,,,,,,,,,90,0.0000,5.0179,-38.1150,1764.7753,1023.2982,2894.7959,1764.7753,1018.9519,2927.8098
1,Line,180.9140,,,,,,,,,,,,,,,,180,-208.8678,0.0000,0.0000,1583.8613,1023.2982,2894.7959,1764.7753,1023.2982,2894.7959
