Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0025,,,,,,,,,,,,,,,,90,0.0000,0.1637,-0.2133,2.1812,4.8609,0.4464,2.1812,4.8594,0.4484
1,Line,0.0025,,,,,,,,,,,,,,,,90,0.0000,-0.1637,0.2133,2.1812,4.8614,0.4468,2.1812,4.8629,0.4448
1,Line,0.0266,,,,,,,,,,,,,,,,47,1.2100,1.2800,2.2170,2.1483,4.7873,0.3147,2.1369,4.7752,0.2939
1,Line,0.0266,,,,,,,,,,,,,,,,56,1.2100,1.8102,1.8102,2.1483,4.7545,0.3399,2.1369,4.7375,0.3228
1,Arc,0.0025,,,,,,,0.0000,2.1812,4.8663,0.4552,0.0097,225,15,,,,,,,,,,,,
1,Arc,0.0516,,,,,,,0.0001,2.1352,4.8663,0.4516,0.1971,195,15,,,,,,,,,,,,
1,Line,0.0285,,,,,,,,,,,,,,,,112,-0.6050,1.4825,2.5678,2.1328,4.7537,0.2567,2.1385,4.7398,0.2325
1,Arc,0.0275,,,,,,,0.0000,2.1271,4.8663,0.4516,0.1971,195,8,,,,,,,,,,,,
1,Arc,0.0241,,,,,,,0.0000,2.1271,4.8663,0.4516,0.1971,203,7,,,,,,,,,,,,
1,Arc,0.0477,,,,,,,0.0000,2.1352,4.8663,0.4516,0.1821,225,15,,,,,,,,,,,,
1,Line,0.0282,,,,,,,,,,,,,,,,102,-0.6050,2.9145,0.3837,2.1271,4.6725,0.4261,2.1328,4.6451,0.4224
1,Line,0.0565,,,,,,,,,,,,,,,,102,-1.2100,5.8290,0.7674,2.1320,4.6735,0.4262,2.1434,4.6186,0.4190
1,Line,0.0081,,,,,,,,,,,,,,,,0,0.8600,0.0000,0.0000,2.1352,4.8152,0.2612,2.1271,4.8152,0.2612
1,Line,0.0282,,,,,,,,,,,,,,,,102,-0.6050,2.9145,0.3837,2.1328,4.6451,0.4224,2.1385,4.6176,0.4188
1,Line,0.0050,,,,,,,,,,,,,,,,12,0.5191,0.1059,0.0139,2.1434,4.6186,0.4190,2.1385,4.6176,0.4188
1,Arc,0.0477,,,,,,,0.0000,2.1352,4.8663,0.4516,0.1821,240,15,,,,,,,,,,,,
1,Arc,0.0477,,,,,,,0.0000,2.1369,4.8663,0.4516,0.1821,225,15,,,,,,,,,,,,
1,Arc,0.0477,,,,,,,0.0000,2.1369,4.8663,0.4516,0.1821,240,15,,,,,,,,,,,,
