Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,45.7428,,,,,,,,90,0.0000,-26.7815,0.0000,72.7014,176.9740,16.9735,72.7014,222.7168,16.9735
1,Line,,,,,,,15.4692,,,,,,,,90,0.0000,-0.8039,-9.0211,72.7014,222.7168,16.9735,72.7014,224.0899,32.3817
1,Line,,,,,,,45.7428,,,,,,,,90,0.0000,26.7815,0.0000,110.2044,222.7168,16.9735,110.2044,176.9740,16.9735
1,Line,,,,,,,49.5714,,,,,,,,90,0.0000,-27.5855,-9.0211,110.2044,176.9740,16.9735,110.2045,224.0899,32.3817
1,Line,,,,,,,15.4692,,,,,,,,90,0.0000,0.8039,9.0211,110.2045,224.0899,32.3817,110.2044,222.7168,16.9735
1,Line,,,,,,,49.5714,,,,,,,,90,0.0000,-27.5855,-9.0211,72.7014,176.9740,16.9735,72.7014,224.0899,32.3817
1,Line,,,,,,,17.3557,,,,,,,,90,0.0000,-0.7931,-10.1304,72.7014,176.9740,16.9735,72.7014,178.3286,34.2763
1,Line,,,,,,,1.8140,,,,,,,,90,0.0000,0.7931,0.7064,72.7014,178.3286,34.2763,72.7014,176.9740,33.0698
1,Line,,,,,,,33.9429,,,,,,,,90,0.0000,19.8580,-0.7686,72.7014,212.2461,32.9635,72.7014,178.3286,34.2763
1,Line,,,,,,,11.8582,,,,,,,,90,0.0000,6.9344,-0.3407,72.7014,224.0899,32.3817,72.7014,212.2461,32.9635
1,Line,,,,,,,38.7272,,,,,,,,90,0.0000,-20.6511,-9.3618,72.7014,176.9740,16.9735,72.7014,212.2461,32.9635
1,Line,,,,,,,33.9429,,,,,,,,90,0.0000,-19.8580,0.7686,110.2044,178.3286,34.2763,110.2044,212.2461,32.9635
1,Line,,,,,,,14.5467,,,,,,,,150,-7.3474,4.2940,-0.3355,78.9383,227.9257,75.5939,91.4878,220.5915,76.1669
1,Line,,,,,,,12.5752,,,,,,,,4,7.3475,0.4688,-0.0454,91.4878,220.5915,76.1669,78.9383,219.7908,76.2445
1,Line,,,,,,,12.5057,,,,,,,,176,7.3067,-0.4688,0.0454,103.9675,219.7908,76.2445,91.4878,220.5915,76.1669
1,Line,,,,,,,14.4866,,,,,,,,30,-7.3067,-4.2940,0.3355,91.4878,220.5915,76.1669,103.9675,227.9257,75.5939
1,Line,,,,,,,8.1609,,,,,,,,90,0.0000,4.7628,-0.3809,103.9675,227.9257,75.5939,103.9675,219.7908,76.2445
1,Line,,,,,,,8.1609,,,,,,,,90,0.0000,-4.7628,0.3809,78.9383,219.7908,76.2445,78.9383,227.9257,75.5939
1,Line,,,,,,,35.2722,,,,,,,,90,0.0000,20.6511,-0.0622,110.2044,212.2461,32.9635,110.2044,176.9740,33.0698
1,Line,,,,,,,1.8140,,,,,,,,90,0.0000,-0.7931,-0.7064,110.2044,176.9740,33.0698,110.2044,178.3286,34.2763
1,Line,,,,,,,11.8582,,,,,,,,90,0.0000,-6.9344,0.3407,110.2044,212.2461,32.9635,110.2045,224.0899,32.3817
1,Line,,,,,,,16.0962,,,,,,,,180,0.0000,0.0000,-9.4240,110.2044,176.9740,16.9735,110.2044,176.9740,33.0698
1,Line,,,,,,,47.1210,,,,,,,,90,0.0000,27.5855,-0.4029,110.2045,224.0899,32.3817,110.2044,176.9740,33.0698
1,Line,,,,,,,8.6316,,,,,,,,102,-0.8104,3.6948,3.3513,59.1046,166.3387,79.4407,60.4887,160.0280,73.7167
1,Line,,,,,,,5.0408,,,,,,,,93,-0.1351,2.5188,-1.5322,47.7585,171.0044,72.5700,47.9893,166.7023,75.1870
1,Line,,,,,,,5.6555,,,,,,,,101,-0.5929,3.1862,0.6783,59.4759,165.4701,74.8753,60.4887,160.0280,73.7167
1,Line,,,,,,,4.8777,,,,,,,,153,-0.9764,0.4942,-2.6378,58.8210,160.8721,69.2114,60.4887,160.0280,73.7167
1,Line,,,,,,,7.3247,,,,,,,,82,-0.3835,-2.6920,-3.3161,58.8210,160.8721,69.2114,59.4759,165.4701,74.8753
1,Line,,,,,,,18.5928,,,,,,,,10,-6.6342,-1.1753,8.5501,163.3863,159.5462,73.6552,174.7174,161.5536,59.0516
1,Line,,,,,,,24.7973,,,,,,,,0,14.5183,0.0013,-0.0092,163.3863,159.5462,73.6552,138.5890,159.5440,73.6709
1,Line,,,,,,,23.7540,,,,,,,,175,13.8174,-1.2612,0.9529,162.1890,157.3899,75.2984,138.5890,159.5440,73.6709
