Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,2.4306,,,,,,,90,0.0006,0.5699,0.0264,9.6796,15.6182,2.3173,9.6772,13.1903,2.2049
1,Line,0.5883,,,,,,,91,-0.0028,0.1376,0.0118,9.6677,16.2043,2.3676,9.6796,15.6182,2.3173
1,Line,0.0484,,,,,,,93,-0.0006,0.0112,-0.0017,9.6653,16.2521,2.3604,9.6677,16.2043,2.3676
1,Line,0.0542,,,,,,,158,-0.0028,0.0011,0.0124,9.6653,16.2521,2.3604,9.6772,16.2474,2.3078
1,Line,0.0743,,,,,,,77,0.0022,0.0101,-0.0140,9.6772,16.2474,2.3078,9.6677,16.2043,2.3676
1,Line,0.4444,,,,,,,104,-0.0241,0.1005,-0.0140,9.4308,17.1683,4.9319,9.5337,16.7401,4.9917
1,Line,0.3620,,,,,,,71,-0.0079,-0.0230,-0.0814,9.6653,16.2234,2.5374,9.6987,16.3215,2.8843
1,Line,0.0516,,,,,,,98,-0.0017,0.0118,-0.0022,9.6581,16.2737,2.5278,9.6653,16.2234,2.5374
1,Line,0.0862,,,,,,,36,0.0039,0.0028,0.0197,9.6581,16.2737,2.5278,9.6413,16.2617,2.4441
1,Line,0.0383,,,,,,,0,0.0000,0.0000,-0.0090,9.6605,13.1903,4.6998,9.6605,13.1903,4.7381
1,Line,0.3743,,,,,,,70,0.0084,0.0236,0.0842,9.6940,16.3741,2.8866,9.6581,16.2737,2.5278
1,Line,0.3619,,,,,,,50,-0.0095,-0.0112,-0.0837,9.6581,16.2737,2.5278,9.6987,16.3215,2.8843
1,Line,0.1036,,,,,,,122,-0.0056,0.0090,-0.0219,9.6413,16.2617,2.4441,9.6653,16.2234,2.5374
1,Line,0.3054,,,,,,,180,-0.0073,0.0000,-0.0713,9.6796,15.6182,2.5326,9.7107,15.6182,2.8364
1,Line,0.6054,,,,,,,91,-0.0034,0.1421,0.0011,9.6653,16.2234,2.5374,9.6796,15.6182,2.5326
1,Line,0.6020,,,,,,,93,-0.0073,0.1398,-0.0191,9.6485,16.2139,2.4513,9.6796,15.6182,2.5326
1,Line,0.6766,,,,,,,94,-0.0107,0.1421,-0.0702,9.6653,16.2234,2.5374,9.7107,15.6182,2.8364
1,Line,0.0882,,,,,,,30,-0.0039,-0.0022,-0.0202,9.6485,16.2139,2.4513,9.6653,16.2234,2.5374
1,Line,0.0489,,,,,,,99,-0.0017,0.0112,-0.0017,9.6413,16.2617,2.4441,9.6485,16.2139,2.4513
1,Line,0.0509,,,,,,,90,0.0000,-0.0090,0.0079,9.5528,16.7688,4.9319,9.5528,16.8071,4.8984
1,Line,1.1897,,,,,,,92,-0.0090,0.2791,0.0056,9.5528,16.8071,4.8984,9.5911,15.6182,4.8745
1,Line,0.0383,,,,,,,0,0.0006,0.0000,-0.0090,9.5935,15.6182,4.8362,9.5911,15.6182,4.8745
1,Line,0.0735,,,,,,,79,0.0022,0.0112,0.0129,9.6677,13.1903,4.7907,9.6581,13.1424,4.7357
1,Line,0.0532,,,,,,,162,-0.0017,0.0006,-0.0124,9.5911,15.6182,4.8745,9.5983,15.6159,4.9271
1,Line,1.1527,,,,,,,92,-0.0090,0.2701,0.0135,9.5528,16.7688,4.9319,9.5911,15.6182,4.8745
1,Line,0.0531,,,,,,,180,-0.0017,0.0000,-0.0124,9.6605,13.1903,4.7381,9.6677,13.1903,4.7907
1,Line,2.4309,,,,,,,92,-0.0157,0.5699,0.0230,9.5935,15.6182,4.8362,9.6605,13.1903,4.7381
1,Line,0.0383,,,,,,,0,0.0000,0.0000,-0.0090,9.6581,13.1424,4.6975,9.6581,13.1424,4.7357
1,Line,0.0628,,,,,,,87,0.0006,0.0112,0.0095,9.6605,13.1903,4.7381,9.6581,13.1424,4.6975
