Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0066,,,,,,,,,,,,,,,,93,0.0001,-0.0014,-0.0065,-0.0609,1.5173,1.3690,-0.0609,1.5187,1.3754
1,Line,0.0029,,,,,,,,,,,,,,,,68,0.0009,0.0023,-0.0016,0.1600,1.4400,1.2904,0.1591,1.4377,1.2919
1,Line,0.0120,,,,,,,,,,,,,,,,128,0.0074,-0.0093,-0.0013,0.1431,1.4530,1.4896,0.1357,1.4624,1.4909
1,Line,0.0100,,,,,,,,,,,,,,,,163,-0.0094,0.0029,0.0017,0.1357,1.4624,1.4909,0.1451,1.4595,1.4892
1,Line,0.0125,,,,,,,,,,,,,,,,176,0.0033,-0.0002,0.0120,-0.0362,1.5222,1.4867,-0.0394,1.5224,1.4747
1,Line,0.0420,,,,,,,,,,,,,,,,86,0.0031,0.0418,0.0010,-0.0442,1.5240,1.4797,-0.0472,1.4822,1.4787
1,Line,0.0560,,,,,,,,,,,,,,,,154,-0.0484,0.0239,0.0148,0.0236,1.3743,1.3222,0.0720,1.3504,1.3075
1,Line,0.0185,,,,,,,,,,,,,,,,119,0.0082,-0.0146,0.0079,0.0777,1.3493,1.3089,0.0695,1.3639,1.3010
1,Line,0.0073,,,,,,,,,,,,,,,,159,0.0068,-0.0026,-0.0003,-0.0394,1.5224,1.4747,-0.0463,1.5249,1.4750
1,Line,0.0157,,,,,,,,,,,,,,,,165,-0.0101,0.0028,-0.0117,-0.0463,1.5249,1.4750,-0.0362,1.5222,1.4867
1,Line,0.0108,,,,,,,,,,,,,,,,167,0.0080,-0.0019,0.0070,-0.0362,1.5222,1.4867,-0.0442,1.5240,1.4797
1,Line,0.0276,,,,,,,,,,,,,,,,180,0.0070,-0.0001,-0.0267,-0.0359,1.4260,1.3224,-0.0429,1.4261,1.3491
1,Line,0.0313,,,,,,,,,,,,,,,,143,-0.0206,0.0157,-0.0175,-0.0144,1.3930,1.3474,0.0063,1.3773,1.3649
1,Line,0.0701,,,,,,,,,,,,,,,,161,0.0662,-0.0227,0.0022,0.0458,1.4945,1.4940,-0.0204,1.5172,1.4918
1,Line,0.0099,,,,,,,,,,,,,,,,164,0.0073,-0.0021,0.0063,-0.0321,1.5202,1.4810,-0.0394,1.5224,1.4747
1,Line,0.0109,,,,,,,,,,,,,,,,22,0.0084,0.0035,-0.0061,-0.0343,1.5085,1.3139,-0.0426,1.5051,1.3201
1,Line,0.0345,,,,,,,,,,,,,,,,120,-0.0129,0.0219,-0.0233,-0.0272,1.4149,1.3240,-0.0144,1.3930,1.3474
1,Line,0.0253,,,,,,,,,,,,,,,,57,-0.0033,-0.0051,0.0246,-0.0305,1.4098,1.3486,-0.0272,1.4149,1.3240
1,Line,0.0072,,,,,,,,,,,,,,,,155,-0.0040,0.0019,0.0057,-0.0362,1.5222,1.4867,-0.0321,1.5202,1.4810
1,Line,0.0363,,,,,,,,,,,,,,,,147,-0.0303,0.0197,-0.0033,-0.0018,1.3859,1.4024,0.0285,1.3662,1.4056
1,Line,0.0260,,,,,,,,,,,,,,,,145,0.0203,-0.0145,-0.0073,0.0285,1.3662,1.4056,0.0081,1.3807,1.4129
1,Line,0.0154,,,,,,,,,,,,,,,,152,0.0099,-0.0052,0.0105,0.0081,1.3807,1.4129,-0.0018,1.3859,1.4024
1,Line,0.0226,,,,,,,,,,,,,,,,135,0.0159,-0.0161,0.0000,0.0063,1.3773,1.3649,-0.0096,1.3934,1.3649
1,Line,0.0051,,,,,,,,,,,,,,,,172,0.0051,-0.0007,-0.0003,-0.0096,1.3934,1.3649,-0.0147,1.3941,1.3652
1,Line,0.0269,,,,,,,,,,,,,,,,141,-0.0210,0.0168,0.0003,-0.0147,1.3941,1.3652,0.0063,1.3773,1.3649
1,Line,0.0095,,,,,,,,,,,,,,,,12,0.0020,0.0004,0.0093,-0.0576,1.4608,1.4188,-0.0596,1.4603,1.4095
1,Line,0.0140,,,,,,,,,,,,,,,,77,-0.0028,-0.0126,-0.0054,0.1526,1.3702,1.4776,0.1554,1.3829,1.4830
1,Line,0.0124,,,,,,,,,,,,,,,,4,0.0123,0.0008,-0.0016,0.1554,1.3829,1.4830,0.1432,1.3820,1.4846
1,Line,0.0369,,,,,,,,,,,,,,,,163,0.0351,-0.0110,0.0035,0.1433,1.3237,1.3198,0.1082,1.3348,1.3163
1,Line,0.0248,,,,,,,,,,,,,,,,147,-0.0207,0.0135,-0.0015,0.1226,1.3372,1.3183,0.1433,1.3237,1.3198
1,Line,0.0160,,,,,,,,,,,,,,,,113,0.0060,-0.0143,-0.0039,-0.0516,1.4465,1.4149,-0.0576,1.4608,1.4188
1,Line,0.0181,,,,,,,,,,,,,,,,93,-0.0008,0.0151,0.0100,0.1734,1.3617,1.4588,0.1741,1.3466,1.4489
1,Line,0.0673,,,,,,,,,,,,,,,,79,0.0040,0.0216,-0.0636,0.1921,1.4147,1.3450,0.1881,1.3931,1.4087
1,Line,0.0676,,,,,,,,,,,,,,,,102,-0.0046,0.0217,0.0639,0.1881,1.3931,1.4087,0.1926,1.3714,1.3448
1,Line,0.0090,,,,,,,,,,,,,,,,158,-0.0065,0.0026,0.0057,-0.0426,1.5051,1.3201,-0.0361,1.5024,1.3144
1,Line,0.0635,,,,,,,,,,,,,,,,83,-0.0005,-0.0043,-0.0634,0.1874,1.4350,1.3448,0.1879,1.4393,1.4082
1,Line,0.0636,,,,,,,,,,,,,,,,124,-0.0040,0.0059,0.0632,0.1879,1.4393,1.4082,0.1919,1.4334,1.3449
1,Line,0.0433,,,,,,,,,,,,,,,,91,0.0005,-0.0433,-0.0003,0.1926,1.3714,1.3448,0.1921,1.4147,1.3450
1,Line,0.0066,,,,,,,,,,,,,,,,73,-0.0019,-0.0060,0.0019,-0.0610,1.5152,1.3725,-0.0591,1.5212,1.3706
1,Line,0.0123,,,,,,,,,,,,,,,,128,0.0004,-0.0006,-0.0123,-0.0591,1.5212,1.3706,-0.0596,1.5218,1.3829
1,Line,0.0063,,,,,,,,,,,,,,,,73,0.0019,0.0059,-0.0008,0.1840,1.4339,1.3262,0.1821,1.4280,1.3269
1,Line,0.0101,,,,,,,,,,,,,,,,100,0.0013,-0.0077,-0.0064,-0.0515,1.5090,1.3328,-0.0528,1.5167,1.3392
1,Line,0.0064,,,,,,,,,,,,,,,,73,0.0019,0.0061,-0.0005,-0.0528,1.5167,1.3392,-0.0547,1.5106,1.3397
1,Line,0.0077,,,,,,,,,,,,,,,,153,-0.0032,0.0016,0.0069,-0.0547,1.5106,1.3397,-0.0515,1.5090,1.3328
1,Line,0.0181,,,,,,,,,,,,,,,,25,-0.0016,-0.0007,-0.0180,0.1821,1.4280,1.3269,0.1838,1.4287,1.3450
1,Line,0.0177,,,,,,,,,,,,,,,,115,0.0070,-0.0152,-0.0058,-0.0391,1.4712,1.3089,-0.0461,1.4864,1.3146
1,Line,0.0254,,,,,,,,,,,,,,,,70,-0.0083,-0.0232,0.0065,-0.0461,1.4864,1.3146,-0.0378,1.5095,1.3081
1,Line,0.0151,,,,,,,,,,,,,,,,127,-0.0088,0.0117,0.0036,-0.0447,1.4378,1.3260,-0.0359,1.4260,1.3224
1,Line,0.0085,,,,,,,,,,,,,,,,164,-0.0067,0.0019,-0.0049,0.1668,1.4309,1.2948,0.1735,1.4290,1.2997
1,Line,0.0098,,,,,,,,,,,,,,,,131,0.0053,-0.0062,0.0053,0.1735,1.4290,1.2997,0.1681,1.4352,1.2944
1,Line,0.0045,,,,,,,,,,,,,,,,73,0.0013,0.0043,-0.0004,0.1681,1.4352,1.2944,0.1668,1.4309,1.2948
1,Line,0.0069,,,,,,,,,,,,,,,,157,-0.0048,0.0020,0.0045,-0.0647,1.5259,1.3992,-0.0598,1.5238,1.3946
