Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.4782,,,,,,,,,,,,90,0.0000,0.0000,0.0000,87.7361,-18.6771,1.4888,87.7361,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.6971,0.0000,0.0000,86.5450,-18.6771,1.4888,86.1606,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.6556,0.0000,0.0000,86.1606,-18.6771,1.4888,85.7990,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.5521,0.0000,0.0000,85.4642,-18.6771,1.4888,85.1597,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,0,0.6848,0.0000,0.0000,86.9227,-18.6771,1.4888,86.5450,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,3.5018,0.0000,0.0000,86.1962,-18.6771,1.4888,84.2648,-18.6771,1.4888
1,Line,,,,,1.0231,,,,,,,,,,,,90,0.0000,0.0000,0.0000,78.3754,-18.6771,1.4888,78.3754,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,-3.8074,0.0000,0.0000,84.4344,-18.6771,1.4888,86.5343,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,0.0263,0.0000,0.0000,83.1757,-18.6771,1.4888,83.1612,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,180,-3.5018,0.0000,0.0000,79.9153,-18.6771,1.4888,81.8466,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,0.0428,0.0000,0.0000,83.0557,-18.6771,1.4888,83.0321,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.8466,-18.6771,1.4888,81.8466,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.8404,-18.6771,1.4888,81.8404,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.4913,0.0000,0.0000,85.1597,-18.6771,1.4888,84.8887,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.4253,0.0000,0.0000,84.8887,-18.6771,1.4888,84.6541,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.2331,0.0000,0.0000,83.6426,-18.6771,1.4888,83.5140,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,-3.5018,0.0000,0.0000,79.9153,-18.6771,1.4888,81.8466,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,-0.0054,0.0000,0.0000,81.8466,-18.6771,1.4888,81.8496,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,0.0017,0.0000,0.0000,81.8496,-18.6771,1.4888,81.8487,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,0,-0.0236,0.0000,0.0000,79.9023,-18.6771,1.4888,79.9153,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.4372,0.0000,0.0000,80.8401,-18.6771,1.4888,80.5990,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.3674,0.0000,0.0000,80.5990,-18.6771,1.4888,80.3964,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,0,0.2750,0.0000,0.0000,80.3964,-18.6771,1.4888,80.2447,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,0.0277,0.0000,0.0000,81.8232,-18.6771,1.4888,81.8079,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,3.8074,0.0000,0.0000,81.6770,-18.6771,1.4888,79.5771,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,0,0.2279,0.0000,0.0000,79.5771,-18.6771,1.4888,79.4514,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,0.0220,0.0000,0.0000,81.8353,-18.6771,1.4888,81.8232,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,0.0087,0.0000,0.0000,81.8487,-18.6771,1.4888,81.8439,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,84.4344,-18.6771,1.4888,84.4344,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,0.0156,0.0000,0.0000,81.8439,-18.6771,1.4888,81.8353,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,0,-0.1736,0.0000,0.0000,82.5780,-18.6771,1.4888,82.6738,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,84.3420,-18.6771,1.4888,84.3420,-18.6771,1.4888
1,Line,,,,,0.4049,,,,,,,,,,,,180,0.2887,0.0000,0.0000,82.4779,-18.6771,1.4888,82.3187,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,0,-0.0415,0.0000,0.0000,82.5552,-18.6771,1.4888,82.5780,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,0,-0.0554,0.0000,0.0000,82.4977,-18.6771,1.4888,82.5283,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,0,-0.0488,0.0000,0.0000,82.5283,-18.6771,1.4888,82.5552,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,0.2161,0.0000,0.0000,82.9358,-18.6771,1.4888,82.8166,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.5622,0.0000,0.0000,81.4273,-18.6771,1.4888,81.1172,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.5024,0.0000,0.0000,81.1172,-18.6771,1.4888,80.8401,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,84.4109,-18.6771,1.4888,84.4109,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.6161,0.0000,0.0000,81.7670,-18.6771,1.4888,81.4273,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,84.3641,-18.6771,1.4888,84.3641,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,84.3873,-18.6771,1.4888,84.3873,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,0.6634,0.0000,0.0000,82.1329,-18.6771,1.4888,81.7670,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,-0.0292,0.0000,0.0000,81.2446,-18.6771,1.4888,81.2607,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,180,-0.0766,0.0000,0.0000,82.1329,-18.6771,1.4888,82.1751,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,180,-0.1445,0.0000,0.0000,82.7369,-18.6771,1.4888,82.8166,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,-0.0340,0.0000,0.0000,81.2259,-18.6771,1.4888,81.2446,-18.6771,1.4888
1,Line,,,,,0.4049,,,,,,,,,,,,0,0.6750,0.0000,0.0000,78.7046,-18.6771,1.4888,78.3323,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,0,-0.1778,0.0000,0.0000,78.2773,-18.6771,1.4888,78.3754,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,-5.1684,0.0000,0.0000,78.3754,-18.6771,1.4888,81.2259,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,-0.2161,0.0000,0.0000,83.1757,-18.6771,1.4888,83.2948,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,0,-0.1445,0.0000,0.0000,83.2948,-18.6771,1.4888,83.3745,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,0,0.2898,0.0000,0.0000,83.8024,-18.6771,1.4888,83.6426,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,-0.0359,0.0000,0.0000,82.9677,-18.6771,1.4888,82.9875,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,180,-0.2161,0.0000,0.0000,82.8166,-18.6771,1.4888,82.9358,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,180,-0.0315,0.0000,0.0000,82.9503,-18.6771,1.4888,82.9677,-18.6771,1.4888
1,Line,,,,,2.1575,,,,,,,,,,,,90,0.0000,0.0000,0.0000,83.0092,-18.6771,1.4888,83.0092,-18.6771,1.4888
1,Line,,,,,1.0231,,,,,,,,,,,,90,0.0000,0.0000,0.0000,86.1962,-18.6771,1.4888,86.1962,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.4913,0.0000,0.0000,80.9518,-18.6771,1.4888,81.2228,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.4253,0.0000,0.0000,81.2228,-18.6771,1.4888,81.4573,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.5521,0.0000,0.0000,80.6473,-18.6771,1.4888,80.9518,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,0,-0.6848,0.0000,0.0000,79.1887,-18.6771,1.4888,79.5664,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.6971,0.0000,0.0000,79.5664,-18.6771,1.4888,79.9509,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,0,-0.6556,0.0000,0.0000,79.9509,-18.6771,1.4888,80.3124,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,0,0.7742,0.0000,0.0000,79.5474,-18.6771,1.4888,79.1205,-18.6771,1.4888
1,Line,,,,,2.1274,,,,,,,,,,,,90,0.0000,0.0000,0.0000,82.9677,-18.6771,1.4888,82.9677,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,0,0.7540,0.0000,0.0000,79.1205,-18.6771,1.4888,78.7046,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,0,0.7859,0.0000,0.0000,79.9809,-18.6771,1.4888,79.5474,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,180,0.7699,0.0000,0.0000,81.2730,-18.6771,1.4888,80.8484,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,180,0.7837,0.0000,0.0000,80.8484,-18.6771,1.4888,80.4161,-18.6771,1.4888
1,Line,,,,,0.4353,,,,,,,,,,,,180,0.7891,0.0000,0.0000,80.4161,-18.6771,1.4888,79.9809,-18.6771,1.4888
1,Line,,,,,0.4782,,,,,,,,,,,,180,0.6131,0.0000,0.0000,79.9153,-18.6771,1.4888,79.5771,-18.6771,1.4888
1,Line,,,,,0.1765,,,,,,,,,,,,4,-0.3068,0.0000,0.0000,86.9483,-18.6771,1.4888,87.1175,-18.6771,1.4888
1,Line,,,,,0.3269,,,,,,,,,,,,5,-0.5485,0.0000,0.0000,86.6458,-18.6771,1.4888,86.9483,-18.6771,1.4888
1,Line,,,,,0.4812,,,,,,,,,,,,157,0.6120,0.0000,0.0000,85.6994,-18.6771,1.4888,85.3619,-18.6771,1.4888
1,Line,,,,,1.2626,,,,,,,,,,,,90,0.0000,0.0000,0.0000,86.1305,-18.6771,1.4888,86.1305,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,-0.6161,0.0000,0.0000,81.4273,-18.6771,1.4888,81.7670,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,-0.6634,0.0000,0.0000,81.7670,-18.6771,1.4888,82.1329,-18.6771,1.4888
1,Line,,,,,0.5971,,,,,,,,,,,,90,0.0000,0.0000,0.0000,80.0786,-18.6771,1.4888,80.0786,-18.6771,1.4888
1,Line,,,,,1.4636,,,,,,,,,,,,90,0.0000,0.0000,0.0000,85.1597,-18.6771,1.4888,85.1597,-18.6771,1.4888
1,Line,,,,,1.7325,,,,,,,,,,,,90,0.0000,0.0000,0.0000,85.2631,-18.6771,1.4888,85.2631,-18.6771,1.4888
1,Line,,,,,0.0444,,,,,,,,,,,,66,-0.0131,0.0000,0.0000,86.0653,-18.6771,1.4888,86.0726,-18.6771,1.4888
1,Line,,,,,1.7322,,,,,,,,,,,,90,0.0000,0.0000,0.0000,84.8887,-18.6771,1.4888,84.8887,-18.6771,1.4888
1,Line,,,,,0.0174,,,,,,,,,,,,159,-0.0250,0.0000,0.0000,85.7990,-18.6771,1.4888,85.8128,-18.6771,1.4888
1,Line,,,,,0.0062,,,,,,,,,,,,156,-0.0076,0.0000,0.0000,85.4600,-18.6771,1.4888,85.4642,-18.6771,1.4888
1,Line,,,,,1.4637,,,,,,,,,,,,90,0.0000,0.0000,0.0000,85.6953,-18.6771,1.4888,85.6953,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,0.6556,0.0000,0.0000,80.3124,-18.6771,1.4888,79.9509,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,0.6971,0.0000,0.0000,79.9509,-18.6771,1.4888,79.5664,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,180,0.6848,0.0000,0.0000,79.5664,-18.6771,1.4888,79.1887,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,0.5521,0.0000,0.0000,80.9518,-18.6771,1.4888,80.6473,-18.6771,1.4888
1,Line,,,,,1.0231,,,,,,,,,,,,90,0.0000,0.0000,0.0000,82.8166,-18.6771,1.4888,82.8166,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,0.4253,0.0000,0.0000,81.4573,-18.6771,1.4888,81.2228,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,0.4913,0.0000,0.0000,81.2228,-18.6771,1.4888,80.9518,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,-0.3674,0.0000,0.0000,80.3964,-18.6771,1.4888,80.5990,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,-0.4372,0.0000,0.0000,80.5990,-18.6771,1.4888,80.8401,-18.6771,1.4888
1,Line,,,,,0.4346,,,,,,,,,,,,180,-0.5622,0.0000,0.0000,81.1172,-18.6771,1.4888,81.4273,-18.6771,1.4888
1,Line,,,,,0.4070,,,,,,,,,,,,180,-0.2750,0.0000,0.0000,80.2447,-18.6771,1.4888,80.3964,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,180,-0.2279,0.0000,0.0000,79.4514,-18.6771,1.4888,79.5771,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,180,-3.8074,0.0000,0.0000,79.5771,-18.6771,1.4888,81.6770,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,180,0.0236,0.0000,0.0000,79.9153,-18.6771,1.4888,79.9023,-18.6771,1.4888
1,Line,,,,,0.0556,,,,,,,,,,,,42,0.0586,0.0000,0.0000,88.9709,-18.6771,1.4888,88.9386,-18.6771,1.4888
1,Line,,,,,0.4814,,,,,,,,,,,,32,-0.5821,0.0000,0.0000,80.7495,-18.6771,1.4888,81.0706,-18.6771,1.4888
1,Line,,,,,0.4726,,,,,,,,,,,,34,0.5446,0.0000,0.0000,80.9518,-18.6771,1.4888,80.6514,-18.6771,1.4888
1,Line,,,,,1.0430,,,,,,,,,,,,90,0.0000,0.0000,0.0000,78.3174,-18.6771,1.4888,78.3174,-18.6771,1.4888
1,Line,,,,,0.2338,,,,,,,,,,,,178,0.4214,0.0000,0.0000,79.4514,-18.6771,1.4888,79.2190,-18.6771,1.4888
1,Line,,,,,0.1855,,,,,,,,,,,,178,-0.3232,0.0000,0.0000,78.9849,-18.6771,1.4888,79.1631,-18.6771,1.4888
1,Line,,,,,0.0276,,,,,,,,,,,,178,-0.0464,0.0000,0.0000,79.1631,-18.6771,1.4888,79.1887,-18.6771,1.4888
1,Line,,,,,1.0550,,,,,,,,,,,,90,0.0000,0.0000,0.0000,78.7453,-18.6771,1.4888,78.7453,-18.6771,1.4888
1,Line,,,,,0.9914,,,,,,,,,,,,90,0.0000,0.0000,0.0000,88.2275,-18.6771,1.4888,88.2275,-18.6771,1.4888
1,Line,,,,,0.3269,,,,,,,,,,,,11,0.2321,0.0000,0.0000,83.8132,-18.6771,1.4888,83.6852,-18.6771,1.4888
1,Line,,,,,2.1670,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.8232,-18.6771,1.4888,81.8232,-18.6771,1.4888
1,Line,,,,,0.0113,,,,,,,,,,,,36,0.0116,0.0000,0.0000,80.9582,-18.6771,1.4888,80.9518,-18.6771,1.4888
1,Line,,,,,2.1575,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.8353,-18.6771,1.4888,81.8353,-18.6771,1.4888
1,Line,,,,,1.0430,,,,,,,,,,,,90,0.0000,0.0000,0.0000,87.7941,-18.6771,1.4888,87.7941,-18.6771,1.4888
1,Line,,,,,0.2240,,,,,,,,,,,,80,0.0361,0.0000,0.0000,86.3663,-18.6771,1.4888,86.3464,-18.6771,1.4888
1,Line,,,,,1.0428,,,,,,,,,,,,90,0.0000,0.0000,0.0000,86.1606,-18.6771,1.4888,86.1606,-18.6771,1.4888
1,Line,,,,,0.3269,,,,,,,,,,,,12,0.2203,0.0000,0.0000,85.8770,-18.6771,1.4888,85.7555,-18.6771,1.4888
1,Line,,,,,0.1161,,,,,,,,,,,,93,0.0057,0.0000,0.0000,86.1041,-18.6771,1.4888,86.1009,-18.6771,1.4888
1,Line,,,,,0.1861,,,,,,,,,,,,79,-0.0230,0.0000,0.0000,86.0726,-18.6771,1.4888,86.0852,-18.6771,1.4888
1,Line,,,,,0.2290,,,,,,,,,,,,75,0.0400,0.0000,0.0000,86.3253,-18.6771,1.4888,86.3033,-18.6771,1.4888
1,Line,,,,,0.0585,,,,,,,,,,,,83,-0.0067,0.0000,0.0000,86.1004,-18.6771,1.4888,86.1041,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.8439,-18.6771,1.4888,81.8439,-18.6771,1.4888
1,Line,,,,,0.9914,,,,,,,,,,,,90,0.0000,0.0000,0.0000,77.8839,-18.6771,1.4888,77.8839,-18.6771,1.4888
1,Line,,,,,1.0550,,,,,,,,,,,,90,0.0000,0.0000,0.0000,87.3662,-18.6771,1.4888,87.3662,-18.6771,1.4888
1,Line,,,,,1.0327,,,,,,,,,,,,90,0.0000,0.0000,0.0000,86.9483,-18.6771,1.4888,86.9483,-18.6771,1.4888
1,Line,,,,,0.1765,,,,,,,,,,,,15,0.0878,0.0000,0.0000,85.9255,-18.6771,1.4888,85.8770,-18.6771,1.4888
1,Line,,,,,1.0141,,,,,,,,,,,,90,0.0000,0.0000,0.0000,86.5450,-18.6771,1.4888,86.5450,-18.6771,1.4888
1,Line,,,,,0.3506,,,,,,,,,,,,33,-0.0652,0.0000,0.0000,86.1962,-18.6771,1.4888,86.2321,-18.6771,1.4888
1,Line,,,,,0.0326,,,,,,,,,,,,90,0.0000,0.0000,0.0000,81.6770,-18.6771,1.4888,81.6770,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,0.0292,0.0000,0.0000,84.8668,-18.6771,1.4888,84.8508,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,0.0236,0.0000,0.0000,84.8508,-18.6771,1.4888,84.8378,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,0.0173,0.0000,0.0000,84.8378,-18.6771,1.4888,84.8282,-18.6771,1.4888
1,Line,,,,,0.0237,,,,,,,,,,,,0,0.0340,0.0000,0.0000,84.8856,-18.6771,1.4888,84.8668,-18.6771,1.4888
1,Line,,,,,0.0434,,,,,,,,,,,,0,-0.0743,0.0000,0.0000,82.3471,-18.6771,1.4888,82.3881,-18.6771,1.4888
1,Line,,,,,0.1264,,,,,,,,,,,,0,0.1778,0.0000,0.0000,87.8342,-18.6771,1.4888,87.7361,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,0,5.1684,0.0000,0.0000,87.7361,-18.6771,1.4888,84.8856,-18.6771,1.4888
1,Line,,,,,2.0856,,,,,,,,,,,,90,0.0000,0.0000,0.0000,83.1757,-18.6771,1.4888,83.1757,-18.6771,1.4888
1,Line,,,,,2.8530,,,,,,,,,,,,180,-5.1684,0.0000,0.0000,84.8856,-18.6771,1.4888,87.7361,-18.6771,1.4888
