Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,1.7185,,,,,,,,,,68,-0.3594,0.0172,0.0000,164.0066,1903.4079,422.0727,164.3722,1903.3904,422.0727
1,Line,,,,,,,0.8078,,,,,,,,,,52,0.0000,-0.0262,0.2530,164.0066,1903.3630,422.7171,164.0066,1903.3896,422.4597
1,Line,,,,,,,1.8126,,,,,,,,,,68,-0.3791,0.0182,0.0000,164.0066,1903.4150,421.6123,164.3922,1903.3966,421.6123
1,Line,,,,,,,0.8078,,,,,,,,,,149,0.0000,-0.0179,0.3805,164.0066,1903.3896,422.4597,164.0066,1903.4079,422.0727
1,Line,,,,,,,1.1280,,,,,,,,,,68,-0.2359,0.0113,0.0000,164.0066,1903.3630,422.7171,164.2466,1903.3515,422.7171
1,Line,,,,,,,0.7175,,,,,,,,,,68,0.1501,-0.0072,0.0000,164.1592,1903.3245,422.8072,164.0066,1903.3318,422.8072
1,Line,,,,,,,1.4787,,,,,,,,,,68,-0.3093,0.0148,0.0000,164.0066,1903.3896,422.4597,164.3212,1903.3746,422.4597
1,Line,,,,,,,0.8078,,,,,,,,,,1,0.0000,-0.0307,0.0886,164.0066,1903.3318,422.8072,164.0066,1903.3630,422.7171
1,Line,,,,,,,0.8078,,,,,,,,,,160,0.0000,-0.0070,0.4526,164.0066,1903.4079,422.0727,164.0066,1903.4150,421.6123
1,Line,,,,,,,0.8078,,,,,,,,,,169,0.0000,0.0250,0.2795,164.0066,1903.3937,420.7406,164.0066,1903.3683,420.4563
1,Line,,,,,,,1.1979,,,,,,,,,,68,-0.2505,0.0120,0.0000,164.0066,1903.3683,420.4563,164.2614,1903.3561,420.4563
1,Line,,,,,,,0.8078,,,,,,,,,,173,0.0000,0.0302,0.1202,164.0066,1903.3683,420.4563,164.0066,1903.3376,420.3340
1,Line,,,,,,,0.7940,,,,,,,,,,68,-0.1661,0.0080,0.0000,164.0066,1903.3376,420.3340,164.1755,1903.3295,420.3340
1,Line,,,,,,,0.8078,,,,,,,,,,164,0.0000,0.0049,0.4588,164.0066,1903.4150,421.6123,164.0066,1903.4101,421.1456
1,Line,,,,,,,1.7472,,,,,,,,,,68,-0.3654,0.0175,0.0000,164.0066,1903.4101,421.1456,164.3783,1903.3923,421.1456
1,Line,,,,,,,0.8078,,,,,,,,,,167,0.0000,0.0161,0.3982,164.0066,1903.4101,421.1456,164.0066,1903.3937,420.7406
1,Line,,,,,,,1.5318,,,,,,,,,,68,-0.3204,0.0153,0.0000,164.0066,1903.3937,420.7406,164.3325,1903.3781,420.7406
1,Line,,,,,,,1.3862,,,,,,,,,,176,0.0000,0.0536,0.0000,164.0066,1903.3318,422.8072,164.0066,1903.2772,422.8072
1,Line,,,,,,,0.8078,,,,,,,,,,13,-0.0502,-0.0155,0.3805,164.3212,1903.3746,422.4597,164.3722,1903.3904,422.0727
1,Line,,,,,,,1.7185,,,,,,,,,,49,-0.2631,0.0470,0.0000,164.3722,1903.3904,422.0727,164.6398,1903.3425,422.0727
1,Line,,,,,,,0.8078,,,,,,,,,,169,-0.0197,-0.0061,0.4526,164.3722,1903.3904,422.0727,164.3922,1903.3966,421.6123
1,Line,,,,,,,1.8126,,,,,,,,,,49,-0.2775,0.0496,0.0000,164.3922,1903.3966,421.6123,164.6745,1903.3461,421.6123
1,Line,,,,,,,0.8078,,,,,,,,,,118,-0.0858,-0.0266,0.0886,164.1592,1903.3245,422.8072,164.2466,1903.3515,422.7171
1,Line,,,,,,,1.1280,,,,,,,,,,49,-0.1727,0.0309,0.0000,164.2466,1903.3515,422.7171,164.4222,1903.3201,422.7171
1,Line,,,,,,,0.8078,,,,,,,,,,75,-0.0733,-0.0227,0.2530,164.2466,1903.3515,422.7171,164.3212,1903.3746,422.4597
