Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,0.2562,,,,,,,,90,0.0000,0.2118,-0.0391,56.0823,29.7436,12.0994,56.0823,29.4916,12.1459
1,Line,,,,,,,2.6367,,,,,,,,51,-0.8079,-0.9927,-1.8086,55.1209,28.5623,9.9471,56.0823,29.7436,12.0994
1,Line,,,,,,,1.3405,,,,,,,,169,0.0931,-0.0173,-1.1225,56.9531,28.7822,4.4287,56.8423,28.8027,5.7645
1,Line,,,,,,,1.4168,,,,,,,,76,-0.0931,-0.3859,1.1225,56.8423,28.3230,5.7645,56.9531,28.7822,4.4287
1,Line,,,,,,,0.4386,,,,,,,,90,0.0000,-0.3686,0.0000,56.9531,28.3436,4.4287,56.9531,28.7822,4.4287
1,Line,,,,,,,0.9127,,,,,,,,3,-0.2114,-0.0098,0.7372,56.5907,28.3114,6.6417,56.8423,28.3230,5.7645
1,Line,,,,,,,0.9127,,,,,,,,177,0.2114,-0.0098,-0.7372,56.8423,28.8027,5.7645,56.5907,28.8144,6.6417
1,Line,,,,,,,1.0365,,,,,,,,63,-0.2114,-0.4129,0.7372,56.5907,28.3114,6.6417,56.8423,28.8027,5.7645
1,Line,,,,,,,0.4797,,,,,,,,90,0.0000,-0.4031,0.0000,56.8423,28.3230,5.7645,56.8423,28.8027,5.7645
1,Line,,,,,,,1.3405,,,,,,,,11,-0.0931,-0.0173,1.1225,56.8423,28.3230,5.7645,56.9531,28.3436,4.4287
1,Line,,,,,,,0.8570,,,,,,,,37,-0.5705,-0.4376,-0.0417,56.0365,28.2777,4.1204,56.7154,28.7984,4.1701
1,Line,,,,,,,0.6825,,,,,,,,4,0.5705,0.0418,0.0417,56.7154,28.3274,4.1701,56.0365,28.2777,4.1204
1,Line,,,,,,,0.6825,,,,,,,,176,-0.5705,0.0418,-0.0417,56.0365,28.8481,4.1204,56.7154,28.7984,4.1701
