Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,98,-0.0001,0.0010,0.0003,-5.9181,2.9065,4.0261,0.0400,-5.9126,2.8684,4.0153
1,Line,,,,,,,67,0.0001,0.0003,0.0007,-5.9256,2.9691,4.5665,0.0320,-5.9308,2.9567,4.5375
1,Line,,,,,,,139,0.0006,-0.0006,0.0003,-5.9308,2.9567,4.5375,0.0350,-5.9559,2.9785,4.5267
1,Line,,,,,,,57,0.0007,0.0011,0.0006,-5.9484,2.9981,4.5691,0.0549,-5.9758,2.9567,4.5456
1,Line,,,,,,,90,0.0000,0.0033,0.0001,-5.9308,2.9567,4.5375,0.1282,-5.9318,2.8286,4.5329
1,Line,,,,,,,78,0.0007,0.0033,0.0004,-5.9308,2.9567,4.5375,0.1317,-5.9569,2.8286,4.5215
1,Line,,,,,,,69,-0.0002,-0.0005,-0.0011,-5.9559,2.9785,4.5267,0.0473,-5.9484,2.9981,4.5691
1,Line,,,,,,,69,0.0001,0.0002,0.0005,-5.9474,2.9466,4.5737,0.0214,-5.9510,2.9371,4.5548
1,Line,,,,,,,31,-0.0004,-0.0003,0.0009,-5.9474,2.9466,4.5737,0.0411,-5.9308,2.9567,4.5375
1,Line,,,,,,,67,0.0001,0.0003,0.0007,-5.9706,2.9691,4.5747,0.0320,-5.9758,2.9567,4.5456
1,Line,,,,,,,121,-0.0005,0.0008,0.0005,-5.9706,2.9691,4.5747,0.0424,-5.9510,2.9371,4.5548
1,Line,,,,,,,131,0.0012,-0.0014,-0.0022,-5.8699,2.6314,3.9354,0.1124,-5.9161,2.6855,4.0225
1,Line,,,,,,,111,0.0002,-0.0006,-0.0004,-5.9246,2.6513,4.0385,0.0286,-5.9331,2.6734,4.0544
1,Line,,,,,,,60,0.0003,0.0005,-0.0005,-5.8594,2.6493,3.9162,0.0283,-5.8699,2.6314,3.9354
1,Line,,,,,,,149,-0.0002,0.0001,0.0003,-5.9161,2.6855,4.0225,0.0145,-5.9096,2.6816,4.0101
1,Line,,,,,,,76,0.0002,0.0009,-0.0004,-5.9161,2.6855,4.0225,0.0387,-5.9246,2.6513,4.0385
1,Line,,,,,,,179,0.0008,0.0000,0.0004,-5.9285,2.8905,4.0453,0.0354,-5.9605,2.8912,4.0300
1,Line,,,,,,,176,-0.0008,0.0001,-0.0004,-5.9497,2.9088,4.0101,0.0355,-5.9181,2.9065,4.0261
1,Line,,,,,,,160,0.0014,-0.0005,-0.0026,-5.8699,2.6314,3.9354,0.1183,-5.9246,2.6513,4.0385
1,Line,,,,,,,20,-0.0011,-0.0004,0.0001,-5.9605,2.8912,4.0300,0.0452,-5.9181,2.9065,4.0261
1,Line,,,,,,,128,0.0010,-0.0013,-0.0019,-5.8699,2.6314,3.9354,0.0984,-5.9096,2.6816,4.0101
1,Line,,,,,,,166,-0.0014,0.0004,0.0027,-5.9181,2.9065,4.0261,0.1194,-5.8624,2.8925,3.9214
1,Line,,,,,,,7,0.0013,0.0002,-0.0024,-5.8539,2.8703,3.9055,0.1084,-5.9047,2.8644,4.0010
1,Line,,,,,,,108,-0.0003,0.0011,0.0006,-5.9181,2.9065,4.0261,0.0508,-5.9047,2.8644,4.0010
1,Line,,,,,,,33,0.0011,0.0007,-0.0020,-5.8624,2.8925,3.9214,0.0944,-5.9047,2.8644,4.0010
1,Line,,,,,,,111,-0.0002,0.0006,0.0004,-5.8624,2.8925,3.9214,0.0286,-5.8539,2.8703,3.9055
1,Line,,,,,,,147,0.0013,-0.0008,-0.0024,-5.8594,2.6493,3.9162,0.1112,-5.9096,2.6816,4.0101
1,Line,,,,,,,89,0.0001,0.0057,-0.0003,-5.8539,2.8703,3.9055,0.2213,-5.8594,2.6493,3.9162
1,Line,,,,,,,88,-0.0001,-0.0047,0.0002,-5.9096,2.6816,4.0101,0.1832,-5.9047,2.8644,4.0010
1,Line,,,,,,,74,0.0014,0.0048,-0.0027,-5.8539,2.8703,3.9055,0.2229,-5.9096,2.6816,4.0101
1,Line,,,,,,,123,-0.0006,0.0009,0.0010,-5.9116,2.6809,3.9377,0.0563,-5.8901,2.6474,3.8980
1,Line,,,,,,,62,0.0017,0.0033,0.0023,-2.4186,5.6739,1.9970,0.1715,-2.4867,5.5448,1.9070
1,Line,,,,,,,90,-0.0001,-0.0073,-0.0033,-4.2185,6.6808,4.3716,0.3136,-4.2163,6.9660,4.5020
1,Line,,,,,,,62,0.0017,0.0033,0.0023,-2.4818,5.4852,2.3167,0.1710,-2.5496,5.3561,2.2274
1,Line,,,,,,,68,0.0033,0.0081,-0.0059,-2.4186,5.6739,1.9970,0.4139,-2.5496,5.3561,2.2274
1,Line,,,,,,,59,0.0044,0.0073,0.0030,-4.0461,6.9663,4.4902,0.3540,-4.2185,6.6808,4.3716
1,Line,,,,,,,89,0.0001,0.0068,0.0030,-4.0461,6.9663,4.4902,0.2905,-4.0491,6.7000,4.3742
1,Line,,,,,,,97,0.0025,-0.0215,-0.0516,-4.1214,5.8401,2.3523,2.1895,-4.2185,6.6808,4.3716
1,Line,,,,,,,0,-0.0043,0.0000,0.0003,-4.2163,6.9660,4.5020,0.1706,-4.0461,6.9663,4.4902
1,Line,,,,,,,6,0.0043,0.0005,0.0001,-4.0491,6.7000,4.3742,0.1706,-4.2185,6.6808,4.3716
1,Line,,,,,,,81,0.0005,0.0033,0.0018,-2.5284,5.4855,2.2978,0.1488,-2.5496,5.3561,2.2274
1,Line,,,,,,,72,-0.0016,-0.0048,0.0082,-2.5496,5.3561,2.2274,0.3772,-2.4867,5.5448,1.9070
1,Line,,,,,,,114,-0.0005,0.0012,0.0004,-2.5708,5.4047,2.2414,0.0548,-2.5496,5.3561,2.2274
1,Line,,,,,,,140,-0.0011,0.0009,-0.0001,-2.5910,5.3913,2.2248,0.0544,-2.5496,5.3561,2.2274
1,Line,,,,,,,142,0.0011,-0.0008,0.0000,-2.4867,5.5448,1.9070,0.0537,-2.5291,5.5777,1.9086
1,Line,,,,,,,33,-0.0005,-0.0003,-0.0004,-2.5910,5.3913,2.2248,0.0294,-2.5708,5.4047,2.2414
1,Line,,,,,,,85,0.0001,0.0008,0.0003,-2.5258,5.5155,2.3115,0.0331,-2.5284,5.4855,2.2978
1,Line,,,,,,,180,0.0012,0.0000,0.0005,-2.4818,5.4852,2.3167,0.0503,-2.5284,5.4855,2.2978
1,Line,,,,,,,68,0.0011,0.0028,0.0018,-2.5258,5.5155,2.3115,0.1386,-2.5708,5.4047,2.2414
1,Line,,,,,,,62,0.0011,0.0021,0.0014,-2.5284,5.4855,2.2978,0.1073,-2.5708,5.4047,2.2414
1,Line,,,,,,,52,-0.0004,-0.0005,-0.0003,-4.1775,6.1501,3.0498,0.0263,-4.1631,6.1684,3.0622
1,Line,,,,,,,162,0.0009,-0.0003,-0.0001,-4.1442,6.1390,3.0443,0.0355,-4.1775,6.1501,3.0498
1,Line,,,,,,,1,-0.0049,-0.0001,-0.0002,-4.1631,6.1684,3.0622,0.1906,-3.9728,6.1713,3.0717
1,Line,,,,,,,123,0.0005,-0.0007,-0.0005,-4.1442,6.1390,3.0443,0.0392,-4.1631,6.1684,3.0622
1,Line,,,,,,,146,0.0009,-0.0006,-0.0004,-4.1410,6.1254,3.0358,0.0463,-4.1775,6.1501,3.0498
1,Line,,,,,,,71,0.0007,0.0019,0.0012,-4.1410,6.1254,3.0358,0.0937,-4.1664,6.0494,2.9872
1,Line,,,,,,,140,0.0005,-0.0004,-0.0002,-4.1472,6.0334,2.9781,0.0266,-4.1664,6.0494,2.9872
1,Line,,,,,,,103,-0.0001,0.0004,0.0002,-4.1442,6.1390,3.0443,0.0164,-4.1410,6.1254,3.0358
1,Line,,,,,,,96,0.0003,-0.0026,-0.0016,-4.1664,6.0494,2.9872,0.1191,-4.1775,6.1501,3.0498
1,Line,,,,,,,1,0.0041,0.0000,0.0002,-3.9835,6.1410,3.0521,0.1609,-4.1442,6.1390,3.0443
1,Line,,,,,,,96,-0.0022,0.0219,0.0516,-4.0491,6.7000,4.3742,2.1951,-3.9623,5.8437,2.3549
1,Line,,,,,,,95,0.0005,-0.0058,-0.0102,-4.1015,5.6133,1.9517,0.4608,-4.1214,5.8401,2.3523
1,Line,,,,,,,85,0.0018,0.0220,0.0517,-4.0491,6.7000,4.3742,2.1984,-4.1214,5.8401,2.3523
1,Line,,,,,,,1,0.0041,0.0001,0.0001,-3.9623,5.8437,2.3549,0.1591,-4.1214,5.8401,2.3523
1,Line,,,,,,,59,0.0036,0.0059,0.0103,-3.9623,5.8437,2.3549,0.4848,-4.1015,5.6133,1.9517
1,Line,,,,,,,70,0.0003,0.0008,0.0005,-3.9728,6.1713,3.0717,0.0376,-3.9835,6.1410,3.0521
1,Line,,,,,,,11,-0.0044,-0.0008,-0.0007,-4.1442,6.1390,3.0443,0.1766,-3.9728,6.1713,3.0717
1,Line,,,,,,,179,0.0040,0.0000,0.0001,-3.9464,5.6113,1.9569,0.1553,-4.1015,5.6133,1.9517
1,Line,,,,,,,94,-0.0004,0.0059,0.0102,-3.9623,5.8437,2.3549,0.4612,-3.9464,5.6113,1.9569
1,Line,,,,,,,85,-0.0005,-0.0057,0.0082,-2.5496,5.3561,2.2274,0.3888,-2.5291,5.5777,1.9086
1,Line,,,,,,,89,-0.0001,-0.0026,0.0001,-5.8558,2.7109,3.8895,0.1002,-5.8536,2.8110,3.8849
1,Line,,,,,,,81,0.0003,0.0018,-0.0005,-5.8451,2.7804,3.8690,0.0732,-5.8558,2.7109,3.8895
1,Line,,,,,,,167,0.0003,-0.0001,-0.0005,-5.8043,2.7712,3.7930,0.0246,-5.8161,2.7738,3.8145
1,Line,,,,,,,109,-0.0003,0.0008,0.0005,-5.8148,2.8009,3.8122,0.0369,-5.8043,2.7712,3.7930
1,Line,,,,,,,70,0.0002,0.0006,-0.0004,-5.8467,2.7354,3.8722,0.0313,-5.8558,2.7109,3.8895
1,Line,,,,,,,127,-0.0007,0.0009,0.0013,-5.8467,2.7354,3.8722,0.0693,-5.8190,2.6992,3.8201
1,Line,,,,,,,87,0.0000,0.0007,-0.0001,-5.8177,2.7262,3.8178,0.0272,-5.8190,2.6992,3.8201
1,Line,,,,,,,88,0.0000,0.0012,-0.0001,-5.8451,2.7804,3.8690,0.0451,-5.8467,2.7354,3.8722
1,Line,,,,,,,162,0.0009,-0.0003,-0.0018,-5.8190,2.6992,3.8201,0.0795,-5.8558,2.7109,3.8895
1,Line,,,,,,,167,0.0007,-0.0002,-0.0014,-5.8161,2.7738,3.8145,0.0620,-5.8451,2.7804,3.8690
1,Line,,,,,,,43,0.0010,0.0009,-0.0018,-5.9178,2.6865,3.9491,0.0886,-5.9556,2.6506,4.0208
1,Line,,,,,,,16,0.0012,0.0003,-0.0023,-5.9178,2.6865,3.9491,0.1012,-5.9647,2.6734,4.0378
1,Line,,,,,,,101,-0.0003,0.0013,0.0005,-5.9116,2.6809,3.9377,0.0541,-5.9015,2.6311,3.9195
1,Line,,,,,,,35,0.0011,0.0008,-0.0021,-5.9116,2.6809,3.9377,0.0988,-5.9556,2.6506,4.0208
1,Line,,,,,,,76,0.0013,0.0050,-0.0024,-5.9148,2.8697,3.9439,0.2232,-5.9647,2.6734,4.0378
1,Line,,,,,,,165,-0.0010,0.0003,0.0019,-5.8536,2.8110,3.8849,0.0830,-5.8148,2.8009,3.8122
1,Line,,,,,,,87,0.0000,0.0007,-0.0001,-5.8148,2.8009,3.8122,0.0272,-5.8161,2.7738,3.8145
1,Line,,,,,,,105,0.0002,-0.0008,-0.0004,-5.8451,2.7804,3.8690,0.0356,-5.8536,2.8110,3.8849
1,Line,,,,,,,34,0.0008,0.0005,-0.0014,-5.8148,2.8009,3.8122,0.0675,-5.8451,2.7804,3.8690
1,Line,,,,,,,62,-0.0017,-0.0032,-0.0022,-2.5291,5.5777,1.9086,0.1647,-2.4639,5.7016,1.9953
1,Line,,,,,,,72,-0.0016,-0.0048,0.0081,-2.5910,5.3913,2.2248,0.3722,-2.5291,5.5777,1.9086
1,Line,,,,,,,93,0.0001,-0.0016,0.0103,-2.5258,5.5155,2.3115,0.4077,-2.5291,5.5777,1.9086
1,Line,,,,,,,72,0.0016,0.0048,-0.0081,-2.4639,5.7016,1.9953,0.3721,-2.5258,5.5155,2.3115
1,Line,,,,,,,62,0.0017,0.0032,0.0022,-2.5258,5.5155,2.3115,0.1649,-2.5910,5.3913,2.2248
1,Line,,,,,,,71,0.0016,0.0048,-0.0082,-2.4186,5.6739,1.9970,0.3767,-2.4818,5.4852,2.3167
1,Line,,,,,,,149,-0.0012,0.0007,0.0000,-2.4639,5.7016,1.9953,0.0531,-2.4186,5.6739,1.9970
1,Line,,,,,,,145,0.0011,-0.0008,0.0001,-2.4818,5.4852,2.3167,0.0537,-2.5258,5.5155,2.3115
1,Line,,,,,,,85,0.0005,0.0055,-0.0082,-2.4639,5.7016,1.9953,0.3879,-2.4818,5.4852,2.3167
1,Line,,,,,,,75,0.0004,0.0013,-0.0007,-5.8558,2.7109,3.8895,0.0594,-5.8699,2.6594,3.9156
1,Line,,,,,,,167,-0.0003,0.0001,0.0005,-5.8177,2.7262,3.8178,0.0245,-5.8063,2.7236,3.7963
1,Line,,,,,,,88,0.0001,0.0012,-0.0001,-5.8043,2.7712,3.7930,0.0477,-5.8063,2.7236,3.7963
1,Line,,,,,,,163,-0.0007,0.0002,0.0014,-5.8467,2.7354,3.8722,0.0624,-5.8177,2.7262,3.8178
1,Line,,,,,,,63,0.0003,0.0006,-0.0006,-5.8063,2.7236,3.7963,0.0364,-5.8190,2.6992,3.8201
1,Line,,,,,,,73,-0.0003,-0.0012,0.0006,-5.8177,2.7262,3.8178,0.0531,-5.8043,2.7712,3.7930
1,Line,,,,,,,93,0.0002,-0.0039,-0.0004,-5.8558,2.7109,3.8895,0.1526,-5.8643,2.8625,3.9051
1,Line,,,,,,,88,-0.0001,-0.0052,0.0003,-5.8699,2.6594,3.9156,0.2034,-5.8643,2.8625,3.9051
1,Line,,,,,,,88,0.0000,-0.0012,0.0001,-5.8177,2.7262,3.8178,0.0477,-5.8161,2.7738,3.8145
1,Line,,,,,,,102,-0.0003,0.0013,0.0005,-5.8643,2.8625,3.9051,0.0564,-5.8536,2.8110,3.8849
1,Line,,,,,,,44,-0.0005,-0.0005,0.0004,-5.9510,2.9371,4.5548,0.0330,-5.9308,2.9567,4.5375
1,Line,,,,,,,90,0.0000,-0.0023,0.0001,-5.8884,2.8058,4.7334,0.0904,-5.8891,2.8961,4.7295
1,Line,,,,,,,85,-0.0001,-0.0014,-0.0007,-5.8933,2.7510,4.7063,0.0613,-5.8884,2.8058,4.7334
1,Line,,,,,,,97,0.0001,-0.0011,0.0008,-5.8891,2.8961,4.7295,0.0533,-5.8946,2.9391,4.6985
1,Line,,,,,,,88,-0.0001,-0.0037,-0.0006,-5.8933,2.7510,4.7063,0.1469,-5.8891,2.8961,4.7295
1,Line,,,,,,,45,-0.0019,-0.0019,-0.0021,-5.9693,2.6764,4.6245,0.1343,-5.8933,2.7510,4.7063
1,Line,,,,,,,73,-0.0005,-0.0016,-0.0027,-5.9693,2.6764,4.6245,0.1228,-5.9504,2.7390,4.7285
1,Line,,,,,,,47,-0.0016,-0.0017,-0.0001,-5.9504,2.7390,4.7285,0.0912,-5.8884,2.8058,4.7334
1,Line,,,,,,,15,0.0015,0.0004,-0.0002,-5.9093,2.6920,4.6174,0.0624,-5.9693,2.6764,4.6245
1,Line,,,,,,,12,-0.0015,-0.0003,0.0006,-5.9504,2.7390,4.7285,0.0624,-5.8933,2.7510,4.7063
1,Line,,,,,,,75,-0.0004,-0.0015,-0.0023,-5.9093,2.6920,4.6174,0.1080,-5.8933,2.7510,4.7063
1,Line,,,,,,,87,0.0005,0.0094,0.0794,-5.9188,2.9179,4.5297,3.1283,-5.9393,2.5486,1.4233
1,Line,,,,,,,87,-0.0005,-0.0093,-0.0797,-5.9393,2.3722,1.4282,3.1374,-5.9188,2.7363,4.5443
1,Line,,,,,,,180,-0.0008,0.0000,0.0009,-5.9494,2.7363,4.5799,0.0469,-5.9188,2.7363,4.5443
1,Line,,,,,,,84,-0.0005,-0.0048,-0.0798,-5.9393,2.5486,1.4233,3.1268,-5.9188,2.7363,4.5443
1,Line,,,,,,,90,0.0000,0.0045,-0.0001,-5.9393,2.5486,1.4233,0.1764,-5.9393,2.3722,1.4282
1,Line,,,,,,,90,-0.0001,0.0069,-0.0003,-5.9116,2.9626,4.6059,0.2708,-5.9093,2.6920,4.6174
1,Line,,,,,,,90,0.0000,-0.0048,0.0002,-5.8933,2.7510,4.7063,0.1882,-5.8946,2.9391,4.6985
1,Line,,,,,,,126,0.0004,-0.0006,0.0024,-5.8946,2.9391,4.6985,0.0970,-5.9116,2.9626,4.6059
1,Line,,,,,,,87,-0.0004,-0.0063,-0.0021,-5.9093,2.6920,4.6174,0.2605,-5.8946,2.9391,4.6985
1,Line,,,,,,,91,-0.0001,0.0079,-0.0005,-5.9729,2.9864,4.6053,0.3106,-5.9693,2.6764,4.6245
1,Line,,,,,,,17,0.0008,0.0002,0.0010,-5.9403,2.9782,4.6125,0.0493,-5.9706,2.9691,4.5747
1,Line,,,,,,,129,0.0005,-0.0006,0.0028,-5.9533,2.9626,4.7132,0.1122,-5.9729,2.9864,4.6053
1,Line,,,,,,,102,-0.0016,0.0075,-0.0003,-5.9729,2.9864,4.6053,0.3014,-5.9093,2.6920,4.6174
1,Line,,,,,,,112,-0.0002,0.0005,-0.0011,-5.9484,2.9981,4.5691,0.0484,-5.9403,2.9782,4.6125
1,Line,,,,,,,121,0.0002,-0.0003,0.0010,-5.9634,2.9570,4.6128,0.0406,-5.9706,2.9691,4.5747
1,Line,,,,,,,147,-0.0004,0.0003,0.0010,-5.9634,2.9570,4.6128,0.0435,-5.9474,2.9466,4.5737
1,Line,,,,,,,53,-0.0006,-0.0007,0.0001,-5.9706,2.9691,4.5747,0.0369,-5.9484,2.9981,4.5691
1,Line,,,,,,,42,0.0006,0.0005,0.0000,-5.9403,2.9782,4.6125,0.0314,-5.9634,2.9570,4.6128
1,Line,,,,,,,159,-0.0016,0.0006,0.0000,-5.9729,2.9864,4.6053,0.0657,-5.9116,2.9626,4.6059
1,Line,,,,,,,61,-0.0014,-0.0025,0.0011,-5.9426,2.7980,4.7712,0.1193,-5.8891,2.8961,4.7295
1,Line,,,,,,,164,-0.0014,0.0004,0.0009,-5.9442,2.9117,4.7634,0.0665,-5.8891,2.8961,4.7295
1,Line,,,,,,,8,-0.0014,-0.0002,0.0010,-5.9426,2.7980,4.7712,0.0665,-5.8884,2.8058,4.7334
