Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X1,Position Y1,Position Z1
1,Line,0.0444,,,,,,,,,,,,,,,,90,0.0000,-3.5899,0.0000,1.5222,0.1181,0.4293,1.5222,0.1626,0.4293,,,
1,Line,0.0010,,,,,,,,,,,,,,,,90,0.0000,0.0800,0.0000,1.2108,0.1274,0.4293,1.2108,0.1264,0.4293,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,2.3399,0.0000,1.2763,0.1954,0.7387,1.2763,0.1664,0.7387,,,
1,Line,0.0235,,,,,,,,,,,,,,,,35,1.3927,0.9823,0.8398,1.4026,0.2503,0.8158,1.3854,0.2382,0.8054,,,
1,Line,0.0203,,,,,,,,,,,,,,,,16,1.5526,0.4459,0.2693,1.4218,0.2559,0.8191,1.4026,0.2503,0.8158,,,
1,Line,0.0069,,,,,,,,,,,,,,,,7,0.5495,0.0651,0.0000,1.3854,0.2382,0.8054,1.3786,0.2374,0.8054,,,
1,Line,0.0529,,,,,,,,,,,,,,,,13,4.1388,0.9459,0.4563,1.4731,0.2676,0.8248,1.4218,0.2559,0.8191,,,
1,Line,0.0387,,,,,,,,,,,,,,,,7,3.1061,0.3729,0.0000,1.5115,0.2722,0.8248,1.4731,0.2676,0.8248,,,
1,Line,0.0068,,,,,,,,,,,,,,,,20,-0.4948,-0.1824,-0.1403,1.3471,0.1925,0.7587,1.3532,0.1947,0.7605,,,
1,Line,0.0542,,,,,,,,,,,,,,,,55,1.8739,2.7416,2.8559,1.3764,0.2287,0.7958,1.3532,0.1947,0.7605,,,
1,Line,0.0600,,,,,,,,,,,,,,,,60,1.7758,3.1111,3.2618,1.3532,0.1947,0.7605,1.3312,0.1562,0.7201,,,
1,Line,0.0249,,,,,,,,,,,,,,,,41,1.3014,1.1437,1.0168,1.3947,0.2515,0.8180,1.3786,0.2374,0.8054,,,
1,Line,0.0072,,,,,,,,,,,,,,,,7,0.5812,0.0675,0.0000,1.3312,0.1562,0.7201,1.3240,0.1554,0.7201,,,
1,Line,0.0090,,,,,,,,,,,,,,,,178,-0.7169,0.0219,0.1097,1.4130,0.2561,0.8205,1.4218,0.2559,0.8191,,,
1,Line,0.0054,,,,,,,,,,,,,,,,90,0.0000,0.3142,0.3082,1.7216,0.3888,0.8286,1.7216,0.3849,0.8248,,,
1,Line,0.0413,,,,,,,,,,,,,,,,54,1.8683,2.5844,-0.9714,1.7447,0.4169,0.8127,1.7216,0.3849,0.8248,,,
1,Line,0.0880,,,,,,,,,,,,,,,,84,-0.5960,-5.8940,-3.9248,1.7421,0.3455,0.7568,1.7495,0.4185,0.8054,,,
1,Line,0.0081,,,,,,,,,,,,,,,,12,-0.5643,-0.1178,0.3097,1.6793,0.3563,0.8286,1.6863,0.3578,0.8248,,,
1,Line,0.0259,,,,,,,,,,,,,,,,62,0.9694,1.8549,0.0000,1.7421,0.3455,0.7568,1.7301,0.3226,0.7568,,,
1,Line,0.0798,,,,,,,,,,,,,,,,21,6.0030,2.3536,0.0000,1.5859,0.3013,0.8248,1.5115,0.2722,0.8248,,,
1,Line,0.0114,,,,,,,,,,,,,,,,3,-0.8702,-0.0365,0.3097,1.5751,0.3009,0.8286,1.5859,0.3013,0.8248,,,
1,Line,0.0054,,,,,,,,,,,,,,,,90,0.0000,0.3047,0.3097,1.5115,0.2760,0.8286,1.5115,0.2722,0.8248,,,
1,Line,0.0292,,,,,,,,,,,,,,,,110,0.4919,-1.3516,-1.8686,1.7687,0.3954,0.7568,1.7626,0.4121,0.7799,,,
1,Line,0.0463,,,,,,,,,,,,,,,,110,0.7805,-2.1445,-2.9648,1.7783,0.3688,0.7201,1.7687,0.3954,0.7568,,,
1,Line,0.0881,,,,,,,,,,,,,,,,7,7.0593,0.9224,0.0978,1.2950,0.2366,0.7828,1.2076,0.2251,0.7816,,,
1,Line,0.0819,,,,,,,,,,,,,,,,93,0.2578,-4.3562,-4.9721,1.2108,0.1712,0.7201,1.2076,0.2251,0.7816,,,
1,Line,0.0633,,,,,,,,,,,,,,,,65,-1.5120,-3.3285,-3.5697,1.2763,0.1954,0.7387,1.2950,0.2366,0.7828,,,
1,Line,0.0250,,,,,,,,,,,,,,,,7,-2.0087,-0.2331,0.0000,1.2108,0.1217,0.6539,1.2357,0.1246,0.6539,,,
1,Line,0.0903,,,,,,,,,,,,,,,,60,-2.4887,-4.2907,-5.3421,1.2357,0.1246,0.6539,1.2665,0.1777,0.7201,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,2.3399,0.0000,1.2357,0.1246,0.6539,1.2357,0.0956,0.6539,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,-2.3399,0.0000,1.2665,0.1487,0.7201,1.2665,0.1777,0.7201,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,2.3399,0.0000,0.9054,0.1217,0.6539,0.9054,0.0927,0.6539,,,
1,Line,0.3022,,,,,,,,,,,,,,,,0,24.4122,0.0000,0.0000,1.2076,0.2251,0.7816,0.9054,0.2251,0.7816,,,
1,Line,0.0290,,,,,,,,,,,,,,,,90,0.0000,-2.3399,0.0000,1.2108,0.0927,0.6539,1.2108,0.1217,0.6539,,,
1,Line,0.3054,,,,,,,,,,,,,,,,0,24.6700,0.0000,0.0000,1.2108,0.1712,0.7201,0.9054,0.1712,0.7201,,,
1,Line,0.0586,,,,,,,,,,,,,,,,22,4.3982,1.7488,0.0000,1.6403,0.3230,0.8248,1.5859,0.3013,0.8248,,,
1,Line,0.0445,,,,,,,,,,,,,,,,38,2.8522,2.1912,0.0000,1.7216,0.3849,0.8248,1.6863,0.3578,0.8248,,,
1,Line,0.0888,,,,,,,,,,,,,,,,98,0.6704,-4.7043,-5.3694,1.5198,0.1949,0.7389,1.5115,0.2531,0.8054,,,
1,Line,0.0162,,,,,,,,,,,,,,,,46,0.7266,0.7671,0.7720,1.3854,0.2382,0.8054,1.3764,0.2287,0.7958,,,
1,Line,0.0251,,,,,,,,,,,,,,,,98,0.1898,-1.3318,-1.5202,1.5222,0.1784,0.7201,1.5198,0.1949,0.7389,,,
