Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0634,,,,,,,,,,,,,,24,0.4380,0.1993,0.0451,5.8786,4.7893,0.6065,5.8211,4.7631,0.6006
1,Line,0.4289,,,,,,,,,,,,,,0,3.2704,0.0000,0.0000,5.6191,4.8079,0.8786,5.1902,4.8079,0.8786
1,Line,0.4687,,,,,,,,,,,,,,180,-3.5741,0.0000,0.0000,5.1703,4.7897,0.8893,5.6390,4.7897,0.8893
1,Line,0.0685,,,,,,,,,,,,,,33,-0.4380,-0.2850,0.0072,5.8211,5.4185,1.5038,5.8786,5.4559,1.5029
1,Line,0.0665,,,,,,,,,,,,,,8,-0.4380,-0.0602,0.2476,5.8211,5.5275,1.6236,5.8786,5.5354,1.5912
1,Line,0.0654,,,,,,,,,,,,,,29,0.4380,0.2380,0.0000,5.8786,4.6630,0.7449,5.8211,4.6318,0.7449
1,Line,0.0357,,,,,,,,,,,,,,90,0.0000,0.0959,0.2545,5.8786,5.5027,0.7091,5.8786,5.4902,0.6757
1,Line,0.0369,,,,,,,,,,,,,,90,0.0000,0.0335,0.2796,5.8786,5.5071,0.7458,5.8786,5.5027,0.7091
1,Line,0.7658,,,,,,,,,,,,,,90,0.0000,0.8229,5.7816,5.8786,5.6150,1.5039,5.8786,5.5071,0.7458
1,Line,0.0613,,,,,,,,,,,,,,160,0.4380,-0.1628,0.0064,5.8786,5.5071,0.7458,5.8211,5.5285,0.7449
1,Line,0.0372,,,,,,,,,,,,,,90,0.0000,-0.1001,-0.2655,5.8211,5.5109,0.6727,5.8211,5.5240,0.7076
1,Line,0.0613,,,,,,,,,,,,,,160,0.4380,-0.1622,0.0118,5.8786,5.5027,0.7091,5.8211,5.5240,0.7076
1,Line,0.9411,,,,,,,,,,,,,,90,0.0000,0.2676,7.1714,5.8786,5.4792,1.5655,5.8786,5.4441,0.6251
1,Line,0.0676,,,,,,,,,,,,,,163,0.4380,-0.1354,-0.2359,5.8786,5.6150,1.5039,5.8211,5.6328,1.5348
1,Line,0.0356,,,,,,,,,,,,,,90,0.0000,-0.2075,-0.1749,5.8211,5.4628,0.6199,5.8211,5.4900,0.6428
1,Line,0.0735,,,,,,,,,,,,,,25,0.4380,0.2039,0.2849,5.8786,4.6630,0.7449,5.8211,4.6363,0.7076
1,Line,0.0735,,,,,,,,,,,,,,25,-0.4380,-0.2039,0.2849,5.8211,4.6363,0.7823,5.8786,4.6630,0.7449
1,Line,0.0341,,,,,,,,,,,,,,90,0.0000,0.1989,0.1677,5.8786,5.4701,0.6471,5.8786,5.4441,0.6251
1,Line,2.1274,,,,,,,,,,,,,,0,16.2235,0.0000,0.0000,5.8211,5.4900,0.6428,3.6937,5.4900,0.6428
1,Line,0.0613,,,,,,,,,,,,,,160,0.4380,-0.1637,0.0006,5.8786,5.6150,1.5039,5.8211,5.6365,1.5038
1,Line,2.1274,,,,,,,,,,,,,,180,-16.2235,0.0000,0.0000,3.6937,5.5275,1.6236,5.8211,5.5275,1.6236
