Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0278,,,,,,,,,,,,,,90,0.0000,0.0043,0.1204,1.7339,2.0411,0.5340,1.7339,2.0401,0.5062
1,Line,0.0862,,,,,,,,,,,,,,180,-0.0400,0.0000,-0.3711,5.8392,1.4066,0.4924,5.8485,1.4066,0.5781
1,Line,0.2475,,,,,,,,,,,,,,86,-0.0800,-1.0692,0.0000,1.1374,1.1598,0.2403,1.1559,1.4066,0.2403
1,Line,0.7501,,,,,,,,,,,,,,180,-3.2442,0.0000,0.1809,1.7088,1.7129,0.2076,2.4577,1.7129,0.1658
1,Line,0.8480,,,,,,,,,,,,,,0,3.6735,0.0097,0.0012,4.5044,1.9892,0.9165,3.6564,1.9869,0.9162
1,Line,0.0793,,,,,,,,,,,,,,179,0.3433,-0.0057,0.0116,3.7356,1.8113,1.3122,3.6564,1.8126,1.3095
1,Line,0.1893,,,,,,,,,,,,,,77,-0.1861,-0.7986,-0.0157,1.0737,1.7122,0.5817,1.1167,1.8965,0.5854
1,Line,0.1287,,,,,,,,,,,,,,5,-0.5453,-0.0465,0.1066,4.2540,1.8242,1.2651,4.3799,1.8350,1.2405
1,Line,0.0471,,,,,,,,,,,,,,0,0.1186,0.0000,0.1661,1.0378,1.4066,0.5796,1.0104,1.4066,0.5412
1,Line,0.0467,,,,,,,,,,,,,,0,0.1180,0.0000,0.1645,1.0656,1.7129,0.5806,1.0383,1.7129,0.5427
1,Line,0.0277,,,,,,,,,,,,,,55,-0.0036,-0.0051,-0.1199,1.6402,2.0324,0.5065,1.6410,2.0336,0.5342
1,Line,0.0195,,,,,,,,,,,,,,90,0.0000,0.0339,-0.0775,3.6856,1.8317,1.2658,3.6856,1.8239,1.2836
1,Line,0.1436,,,,,,,,,,,,,,21,-0.4804,-0.1819,0.3505,4.4869,1.8491,1.2012,4.5978,1.8911,1.1202
1,Line,0.0749,,,,,,,,,,,,,,85,-0.0118,-0.1235,0.2997,3.6856,1.9581,0.9865,3.6883,1.9866,0.9173
1,Line,0.0387,,,,,,,,,,,,,,163,-0.1339,0.0416,-0.0919,3.6255,1.8835,1.1506,3.6564,1.8739,1.1718
1,Line,0.0289,,,,,,,,,,,,,,94,0.0033,-0.0494,0.1151,3.6564,1.9869,0.9162,3.6556,1.9983,0.8897
1,Line,0.3496,,,,,,,,,,,,,,164,-1.2318,0.3628,-0.8029,2.8538,1.9213,1.0749,3.1382,1.8376,1.2603
1,Line,0.1270,,,,,,,,,,,,,,180,-0.4566,0.0000,-0.3068,5.6791,1.7129,0.3605,5.7845,1.7129,0.4313
1,Line,0.2160,,,,,,,,,,,,,,4,-0.9207,-0.0639,0.1545,4.1780,1.8023,1.3071,4.3906,1.8170,1.2714
1,Line,0.3065,,,,,,,,,,,,,,92,0.0571,-1.3266,0.0138,5.1237,1.4066,1.0044,5.1106,1.7129,1.0012
1,Line,0.2473,,,,,,,,,,,,,,86,-0.0700,-1.0692,0.0000,0.9942,1.1598,0.5412,1.0104,1.4066,0.5412
1,Line,0.2261,,,,,,,,,,,,,,90,0.0000,-0.4037,0.8924,3.6856,1.8649,1.1925,3.6856,1.9581,0.9865
1,Line,0.0685,,,,,,,,,,,,,,90,0.0000,-0.1224,0.2703,3.6255,1.8553,1.2130,3.6255,1.8835,1.1506
1,Line,0.0479,,,,,,,,,,,,,,144,0.1098,-0.0787,0.1576,4.7340,1.9407,0.9975,4.7087,1.9589,0.9611
1,Line,0.0932,,,,,,,,,,,,,,94,0.0253,-0.4027,-0.0002,5.7196,1.6199,0.6481,5.7138,1.7129,0.6481
1,Line,0.8306,,,,,,,,,,,,,,4,3.5813,0.2522,-0.2369,3.4333,2.0602,0.8284,2.6066,2.0020,0.8831
1,Line,0.0209,,,,,,,,,,,,,,179,-0.0903,0.0014,-0.0030,3.6856,1.8239,1.2836,3.7064,1.8236,1.2843
1,Line,0.1273,,,,,,,,,,,,,,180,-0.3922,0.0010,0.3879,3.5512,2.0616,0.7849,3.6417,2.0614,0.6953
1,Line,0.0980,,,,,,,,,,,,,,179,0.4244,-0.0107,0.0050,3.6492,2.0581,0.8305,3.5512,2.0606,0.8293
1,Line,0.0291,,,,,,,,,,,,,,159,-0.0903,0.0354,-0.0804,3.6856,1.8317,1.2658,3.7064,1.8236,1.2843
1,Line,0.2099,,,,,,,,,,,,,,90,0.0000,-0.3748,0.8285,3.6564,1.8739,1.1718,3.6564,1.9604,0.9806
1,Line,0.0300,,,,,,,,,,,,,,175,0.1269,-0.0104,0.0260,4.3384,1.9048,1.1202,4.3091,1.9072,1.1142
1,Line,0.0380,,,,,,,,,,,,,,49,0.0864,0.0991,0.0987,1.1345,1.4692,0.6855,1.1146,1.4463,0.6627
1,Line,0.0208,,,,,,,,,,,,,,5,-0.0851,-0.0081,-0.0290,1.6337,2.0316,0.4999,1.6533,2.0335,0.5066
1,Line,0.1494,,,,,,,,,,,,,,155,-0.4902,0.2338,-0.3520,4.3737,1.9031,1.1199,4.4869,1.8491,1.2012
1,Line,0.0315,,,,,,,,,,,,,,175,0.1339,-0.0109,0.0241,3.6564,1.9604,0.9806,3.6255,1.9630,0.9750
1,Line,0.0714,,,,,,,,,,,,,,176,-0.1495,0.0100,-0.2704,5.8047,1.4089,0.4300,5.8392,1.4066,0.4924
1,Line,0.7559,,,,,,,,,,,,,,179,3.2722,-0.0376,0.1133,4.4437,1.9779,0.9435,3.6883,1.9866,0.9173
1,Line,0.1743,,,,,,,,,,,,,,21,-0.6654,-0.2504,0.2537,3.2797,2.0024,0.8870,3.4333,2.0602,0.8284
1,Line,0.0369,,,,,,,,,,,,,,163,-0.1263,0.0392,-0.0898,3.6564,1.8739,1.1718,3.6856,1.8649,1.1925
1,Line,0.0598,,,,,,,,,,,,,,0,0.2154,0.0000,0.1442,1.1776,1.4066,0.7272,1.1279,1.4066,0.6939
1,Line,0.2387,,,,,,,,,,,,,,164,0.9629,-0.2680,0.2652,3.6556,1.9983,0.8897,3.4333,2.0602,0.8284
1,Line,0.2500,,,,,,,,,,,,,,90,-0.0006,-1.0829,0.0046,5.6989,1.1598,0.3553,5.6990,1.4098,0.3543
1,Line,0.0518,,,,,,,,,,,,,,27,-0.1992,-0.1032,-0.0005,1.1167,1.8965,0.5854,1.1626,1.9204,0.5855
1,Line,0.2274,,,,,,,,,,,,,,89,0.0106,0.9795,0.1024,1.1581,1.3859,0.3034,1.1557,1.1598,0.2798
1,Line,0.3908,,,,,,,,,,,,,,173,1.5302,-0.1962,0.6969,5.3614,1.9930,0.8562,5.0082,2.0383,0.6953
1,Line,1.9426,,,,,,,,,,,,,,180,-8.4121,0.0318,-0.2106,2.4531,1.4158,0.1671,4.3951,1.4085,0.2157
1,Line,0.2137,,,,,,,,,,,,,,94,0.0581,-0.9239,-0.0006,5.7330,1.4066,0.6480,5.7196,1.6199,0.6481
1,Line,0.6385,,,,,,,,,,,,,,175,2.7010,-0.2203,0.5532,4.3091,1.9072,1.1142,3.6856,1.9581,0.9865
1,Line,0.0813,,,,,,,,,,,,,,110,0.1074,-0.2993,0.1509,5.7931,1.8102,0.5301,5.7683,1.8793,0.4953
1,Line,0.1961,,,,,,,,,,,,,,78,-0.1797,-0.8304,-0.0063,1.1595,1.7122,0.6904,1.2009,1.9039,0.6919
1,Line,0.4601,,,,,,,,,,,,,,9,-1.8397,-0.3030,0.7040,2.8538,1.9213,1.0749,3.2785,1.9913,0.9124
1,Line,0.8493,,,,,,,,,,,,,,179,3.6768,-0.0397,0.1164,4.5044,1.9892,0.9165,3.6556,1.9983,0.8897
1,Line,0.0260,,,,,,,,,,,,,,180,-0.0625,0.0000,0.0939,1.1374,1.1598,0.2403,1.1518,1.1598,0.2186
1,Line,0.3781,,,,,,,,,,,,,,178,-1.6316,0.0670,-0.1267,3.2797,2.0024,0.8870,3.6564,1.9869,0.9162
1,Line,0.0293,,,,,,,,,,,,,,90,0.0000,-0.0509,0.1161,3.6564,1.8126,1.3095,3.6564,1.8244,1.2827
1,Line,0.4788,,,,,,,,,,,,,,159,-1.5031,0.5891,-1.3022,3.2785,1.9913,0.9124,3.6255,1.8553,1.2130
1,Line,0.0407,,,,,,,,,,,,,,159,-0.1263,0.0495,-0.1125,3.6564,1.8432,1.2398,3.6856,1.8317,1.2658
1,Line,0.3664,,,,,,,,,,,,,,179,-1.5863,0.0255,-0.0521,3.2593,1.8307,1.2696,3.6255,1.8249,1.2817
1,Line,0.3038,,,,,,,,,,,,,,94,0.0864,-1.3129,-0.0269,5.6990,1.4098,0.3543,5.6791,1.7129,0.3605
1,Line,0.2844,,,,,,,,,,,,,,86,-0.0834,-1.2290,-0.0008,0.9004,1.1598,0.4924,0.9197,1.4435,0.4926
1,Line,0.3921,,,,,,,,,,,,,,83,0.0832,0.6954,-1.5475,3.2785,1.9913,0.9124,3.2593,1.8307,1.2696
1,Line,1.9467,,,,,,,,,,,,,,180,-8.4307,0.0000,-0.1888,2.4577,1.7129,0.1658,4.4039,1.7129,0.2094
1,Line,0.2835,,,,,,,,,,,,,,4,1.1031,0.0689,-0.5357,5.0742,1.8953,0.9966,4.8195,1.8794,1.1202
1,Line,0.0373,,,,,,,,,,,,,,121,-0.0462,0.0777,-0.1338,4.3799,1.8350,1.2405,4.3906,1.8170,1.2714
