Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.5642,,,,,,,,,,,,,,67,0.0018,0.0043,0.0029,14.3581,-11.7333,35.3699,14.1705,-12.1755,35.0738
1,Line,2.8631,,,,,,,,,,,,,,39,-0.0215,-0.0177,-0.0021,9.1827,-11.9326,29.9848,11.3881,-10.1192,30.1977
1,Line,3.5487,,,,,,,,,,,,,,21,-0.0319,-0.0122,-0.0052,9.1827,-11.9326,29.9848,12.4599,-10.6784,30.5141
1,Line,2.0398,,,,,,,,,,,,,,51,-0.0124,-0.0154,-0.0018,11.1896,-12.2637,30.3300,12.4599,-10.6784,30.5141
1,Line,1.7225,,,,,,,,,,,,,,75,-0.0042,-0.0162,0.0010,13.9263,-13.3979,35.4683,14.3581,-11.7333,35.3699
1,Line,2.0631,,,,,,,,,,,,,,171,0.0195,-0.0032,0.0034,11.1896,-12.2637,30.3300,9.1827,-11.9326,29.9848
1,Line,1.7915,,,,,,,,,,,,,,37,-0.0024,-0.0018,-0.0172,121.4602,-68.8819,39.1324,121.7108,-68.6953,40.8964
1,Line,6.1317,,,,,,,,,,,,,,156,0.0109,-0.0049,-0.0585,122.5747,-69.3884,33.1242,121.4602,-68.8819,39.1324
1,Line,2.5338,,,,,,,,,,,,,,7,0.0240,0.0030,0.0046,122.5747,-69.3884,33.1242,120.1055,-69.6984,32.6478
1,Line,2.2042,,,,,,,,,,,,,,173,-0.0213,0.0026,0.0013,117.6363,-70.0083,32.1715,119.8204,-70.2712,32.0339
1,Line,6.6747,,,,,,,,,,,,,,31,-0.0132,-0.0080,-0.0631,120.1055,-69.6984,32.6478,121.4602,-68.8819,39.1324
1,Line,3.5643,,,,,,,,,,,,,,51,-0.0086,-0.0106,-0.0319,121.7108,-68.6953,40.8964,122.5937,-67.6029,44.1723
1,Line,4.1207,,,,,,,,,,,,,,158,0.0061,-0.0025,-0.0396,42.9561,-71.0390,12.0091,42.3258,-70.7795,16.0730
1,Line,17.0221,,,,,,,,,,,,,,180,0.1658,-0.0009,0.0010,59.9776,-71.1348,12.1160,42.9561,-71.0390,12.0091
1,Line,24.5645,,,,,,,,,,,,,,0,-0.2392,-0.0019,-0.0027,84.1246,-71.1383,12.2196,108.6868,-70.9475,12.4935
1,Line,7.4759,,,,,,,,,,,,,,4,0.0726,0.0049,0.0017,129.1675,-68.1888,41.0705,121.7108,-68.6953,40.8964
1,Line,3.5374,,,,,,,,,,,,,,68,-0.0059,-0.0146,-0.0306,84.5289,-70.1705,37.4796,85.1358,-68.6724,40.6261
1,Line,0.8868,,,,,,,,,,,,,,64,-0.0028,-0.0056,-0.0060,119.8204,-70.2712,32.0339,120.1055,-69.6984,32.6478
1,Line,5.3462,,,,,,,,,,,,,,15,0.0201,0.0052,0.0477,118.1425,-70.9246,31.0101,116.0741,-71.4630,26.1098
1,Line,2.1875,,,,,,,,,,,,,,11,-0.0097,-0.0019,-0.0188,117.6102,-71.4630,27.0051,118.6109,-71.2660,28.9403
1,Line,1.7780,,,,,,,,,,,,,,180,-0.0150,0.0000,-0.0087,116.0741,-71.4630,26.1098,117.6102,-71.4630,27.0051
1,Line,1.4376,,,,,,,,,,,,,,4,-0.0124,-0.0008,-0.0065,114.8009,-71.5460,25.4473,116.0741,-71.4630,26.1098
1,Line,1.5265,,,,,,,,,,,,,,158,0.0036,-0.0015,-0.0143,115.1730,-71.6976,23.9747,114.8009,-71.5460,25.4473
1,Line,1.4340,,,,,,,,,,,,,,21,-0.0049,-0.0018,-0.0129,118.6109,-71.2660,28.9403,119.1155,-71.0761,30.2691
1,Line,1.0396,,,,,,,,,,,,,,60,-0.0032,-0.0056,-0.0078,119.4905,-70.8511,31.2366,119.8204,-70.2712,32.0339
1,Line,1.3689,,,,,,,,,,,,,,3,-0.0131,-0.0007,-0.0022,118.1425,-70.9246,31.0101,119.4905,-70.8511,31.2366
1,Line,6.0905,,,,,,,,,,,,,,171,0.0468,-0.0073,-0.0357,123.9242,-71.8248,26.6072,119.1155,-71.0761,30.2691
1,Line,3.1211,,,,,,,,,,,,,,144,0.0066,-0.0048,-0.0293,119.2911,-71.7618,25.9348,118.6109,-71.2660,28.9403
1,Line,1.0617,,,,,,,,,,,,,,31,-0.0037,-0.0022,-0.0094,119.1155,-71.0761,30.2691,119.4905,-70.8511,31.2366
1,Line,3.4198,,,,,,,,,,,,,,3,0.0104,0.0006,-0.0316,139.1309,-61.4808,41.5516,138.0623,-61.5399,44.7997
1,Line,2.7309,,,,,,,,,,,,,,123,0.0083,-0.0129,0.0217,14.1705,-12.1755,35.0738,13.3231,-10.8519,32.8404
1,Line,3.8958,,,,,,,,,,,,,,95,-0.0030,0.0367,-0.0090,13.3231,-10.8519,32.8404,13.6271,-14.6252,33.7607
1,Line,2.6534,,,,,,,,,,,,,,91,-0.0005,0.0258,0.0014,13.3231,-10.8519,32.8404,13.3760,-13.5007,32.6937
1,Line,3.3345,,,,,,,,,,,,,,9,-0.0319,-0.0048,-0.0035,5.6905,-18.4685,29.8455,8.9684,-17.9774,30.2096
1,Line,3.4059,,,,,,,,,,,,,,156,-0.0156,0.0069,-0.0284,11.2834,-9.6082,29.9688,12.8868,-10.3176,32.8887
1,Line,3.6486,,,,,,,,,,,,,,43,0.0256,0.0240,-0.0052,12.9341,-15.9717,32.4246,10.3014,-18.4412,32.9566
1,Line,3.9067,,,,,,,,,,,,,,53,-0.0227,-0.0300,0.0057,11.2943,-17.7038,34.3461,13.6271,-14.6252,33.7607
1,Line,3.0629,,,,,,,,,,,,,,47,0.0160,0.0169,-0.0187,12.9341,-15.9717,32.4246,11.2943,-17.7038,34.3461
1,Line,1.6911,,,,,,,,,,,,,,40,-0.0044,-0.0038,0.0154,13.1711,-15.0107,35.3429,13.6271,-14.6252,33.7607
1,Line,4.3079,,,,,,,,,,,,,,40,0.0314,0.0267,0.0078,12.9341,-15.9717,32.4246,9.7115,-18.7151,31.6205
1,Line,1.8602,,,,,,,,,,,,,,37,-0.0097,-0.0072,-0.0135,10.3014,-18.4412,32.9566,11.2943,-17.7038,34.3461
1,Line,0.3775,,,,,,,,,,,,,,149,0.0013,-0.0008,0.0033,14.7417,-14.9709,37.2997,14.6059,-14.8899,36.9569
1,Line,4.9655,,,,,,,,,,,,,,27,-0.0386,-0.0195,-0.0216,8.9684,-17.9774,30.2096,12.9341,-15.9717,32.4246
1,Line,4.0960,,,,,,,,,,,,,,20,0.0356,0.0126,0.0129,11.2943,-17.7038,34.3461,7.6408,-18.9990,33.0230
1,Line,1.9886,,,,,,,,,,,,,,58,-0.0091,-0.0148,-0.0086,6.6862,-14.6763,28.6146,7.6238,-13.1585,29.4931
1,Line,2.7325,,,,,,,,,,,,,,88,-0.0010,-0.0245,0.0104,17.5580,-12.3675,37.5144,17.6587,-9.8540,36.4472
1,Line,1.8461,,,,,,,,,,,,,,62,0.0084,0.0159,0.0009,7.5457,-13.0450,28.7062,6.6862,-14.6763,28.6146
1,Line,2.7193,,,,,,,,,,,,,,12,-0.0259,-0.0054,0.0006,7.6408,-18.9990,33.0230,10.3014,-18.4412,32.9566
1,Line,4.4024,,,,,,,,,,,,,,176,-0.0392,0.0024,-0.0173,5.6905,-18.4685,29.8455,9.7115,-18.7151,31.6205
1,Line,3.1423,,,,,,,,,,,,,,125,0.0125,-0.0181,0.0213,14.1705,-12.1755,35.0738,12.8868,-10.3176,32.8887
1,Line,1.7570,,,,,,,,,,,,,,135,0.0072,-0.0072,0.0137,9.7115,-18.7151,31.6205,8.9684,-17.9774,30.2096
1,Line,0.6914,,,,,,,,,,,,,,129,-0.0042,0.0052,0.0005,12.8868,-10.3176,32.8887,13.3231,-10.8519,32.8404
1,Line,1.2546,,,,,,,,,,,,,,14,0.0112,0.0029,0.0039,4.9466,-17.5061,28.0461,3.7964,-17.8014,27.6413
1,Line,2.1262,,,,,,,,,,,,,,29,-0.0115,-0.0064,-0.0160,6.2177,-20.0586,31.5163,7.3949,-19.3976,33.1588
1,Line,9.7511,,,,,,,,,,,,,,172,0.0858,-0.0116,0.0389,50.0821,-8.0951,39.2803,41.2697,-6.8989,35.2810
1,Line,20.0086,,,,,,,,,,,,,,177,0.1898,-0.0115,0.0424,60.7643,-8.0779,39.6301,41.2697,-6.8989,35.2810
1,Line,10.6879,,,,,,,,,,,,,,0,0.1040,0.0002,0.0034,60.7643,-8.0779,39.6301,50.0821,-8.0951,39.2803
1,Line,5.1601,,,,,,,,,,,,,,95,0.0045,-0.0498,0.0047,130.2231,-26.4397,59.0736,129.7566,-21.3238,58.5869
1,Line,1.3882,,,,,,,,,,,,,,12,-0.0072,-0.0015,0.0114,129.7566,-21.3238,58.5869,130.4928,-21.1700,57.4201
1,Line,19.4372,,,,,,,,,,,,,,1,-0.1890,-0.0039,-0.0100,41.2697,-6.8989,35.2810,60.6757,-6.4946,36.3055
1,Line,5.8033,,,,,,,,,,,,,,122,0.0074,-0.0117,0.0548,2.4040,-61.7988,24.5891,1.6403,-60.5923,18.9642
1,Line,3.9177,,,,,,,,,,,,,,94,0.0028,-0.0375,0.0066,1.6403,-60.5923,18.9642,1.3528,-56.7451,18.2822
1,Line,3.4422,,,,,,,,,,,,,,99,-0.0014,0.0096,-0.0321,1.2048,-55.7578,14.9879,1.3528,-56.7451,18.2822
1,Line,4.2579,,,,,,,,,,,,,,74,0.0046,0.0160,0.0380,1.3528,-56.7451,18.2822,0.8814,-58.3857,14.3814
1,Line,2.7163,,,,,,,,,,,,,,83,-0.0031,-0.0256,-0.0059,0.8814,-58.3857,14.3814,1.2048,-55.7578,14.9879
1,Line,1.2432,,,,,,,,,,,,,,113,-0.0046,0.0107,-0.0033,1.6403,-60.5923,18.9642,2.1137,-61.6920,19.2991
1,Line,2.5246,,,,,,,,,,,,,,80,-0.0043,-0.0241,-0.0026,12.9341,-15.9717,32.4246,13.3760,-13.5007,32.6937
1,Line,2.0637,,,,,,,,,,,,,,76,0.0050,0.0195,-0.0008,5.4576,-15.5083,27.9654,4.9466,-17.5061,28.0461
1,Line,2.0196,,,,,,,,,,,,,,63,-0.0067,-0.0131,-0.0130,12.9341,-15.9717,32.4246,13.6271,-14.6252,33.7607
1,Line,4.6022,,,,,,,,,,,,,,115,0.0170,-0.0361,0.0204,12.9341,-15.9717,32.4246,11.1896,-12.2637,30.3300
1,Line,1.5704,,,,,,,,,,,,,,103,0.0024,-0.0110,0.0104,13.6271,-14.6252,33.7607,13.3760,-13.5007,32.6937
1,Line,2.0218,,,,,,,,,,,,,,129,0.0059,-0.0074,0.0173,6.0644,-16.2651,29.7393,5.4576,-15.5083,27.9654
1,Line,16.4918,,,,,,,,,,,,,,167,0.1529,-0.0360,0.0337,30.4379,-65.3899,40.7568,14.7417,-61.6941,37.2997
1,Line,2.5052,,,,,,,,,,,,,,90,0.0000,0.0243,-0.0025,14.7425,-59.2018,37.0466,14.7417,-61.6941,37.2997
1,Line,0.8471,,,,,,,,,,,,,,62,0.0039,0.0073,-0.0004,6.6167,-19.3123,31.4775,6.2177,-20.0586,31.5163
1,Line,2.3783,,,,,,,,,,,,,,48,-0.0109,-0.0121,-0.0165,4.9466,-17.5061,28.0461,6.0644,-16.2651,29.7393
1,Line,3.2133,,,,,,,,,,,,,,136,-0.0143,0.0138,-0.0242,12.8868,-10.3176,32.8887,14.3581,-11.7333,35.3699
1,Line,8.1500,,,,,,,,,,,,,,102,-0.0102,0.0492,-0.0614,1.3528,-56.7451,18.2822,2.4040,-61.7988,24.5891
1,Line,2.7163,,,,,,,,,,,,,,97,0.0031,-0.0256,0.0059,1.2048,-20.9072,14.9879,0.8814,-18.2794,14.3814
1,Line,6.4929,,,,,,,,,,,,,,82,0.0092,0.0625,0.0000,0.9615,-18.1997,24.5332,0.0130,-24.6229,24.5328
1,Line,3.4422,,,,,,,,,,,,,,81,0.0014,0.0096,0.0321,1.3528,-19.9199,18.2822,1.2048,-20.9072,14.9879
1,Line,11.1297,,,,,,,,,,,,,,179,0.1075,-0.0014,-0.0138,124.5958,-58.9393,59.2475,113.5570,-58.7934,60.6597
1,Line,4.2579,,,,,,,,,,,,,,106,-0.0046,0.0160,-0.0380,0.8814,-18.2794,14.3814,1.3528,-19.9199,18.2822
1,Line,6.2998,,,,,,,,,,,,,,180,-0.0063,0.0000,0.0610,0.0130,-24.6229,24.5328,0.6599,-24.6229,18.2663
1,Line,22.8441,,,,,,,,,,,,,,1,-0.2224,-0.0043,-0.0019,60.4769,-5.0683,30.4284,83.3160,-4.6299,30.6196
1,Line,6.0509,,,,,,,,,,,,,,98,-0.0019,0.0139,-0.0572,60.4769,-5.0683,30.4284,60.6757,-6.4946,36.3055
1,Line,1.2676,,,,,,,,,,,,,,12,-0.0091,-0.0019,0.0081,128.3112,-17.6843,58.2060,129.2435,-17.4913,57.3691
1,Line,4.7538,,,,,,,,,,,,,,82,-0.0067,-0.0458,-0.0002,0.6599,-24.6229,18.2663,1.3528,-19.9199,18.2822
1,Line,3.9345,,,,,,,,,,,,,,112,0.0141,-0.0354,0.0037,129.7566,-21.3238,58.5869,128.3112,-17.6843,58.2060
1,Line,8.7708,,,,,,,,,,,,,,89,0.0008,0.0849,0.0095,124.6770,-50.2231,60.2210,124.5958,-58.9393,59.2475
1,Line,17.1591,,,,,,,,,,,,,,44,0.1201,0.1161,0.0037,100.4984,-38.3325,61.8289,88.1675,-50.2591,61.4525
1,Line,7.5188,,,,,,,,,,,,,,4,0.0721,0.0048,0.0116,73.4304,-59.9932,60.2562,66.0226,-60.4851,59.0667
1,Line,12.3323,,,,,,,,,,,,,,180,0.1201,-0.0002,0.0018,100.4984,-26.4255,61.6405,88.1675,-26.4059,61.4525
1,Line,6.4929,,,,,,,,,,,,,,98,-0.0092,0.0626,0.0000,0.0130,-52.0421,24.5328,0.9615,-58.4654,24.5332
1,Line,15.1854,,,,,,,,,,,,,,36,-0.1201,-0.0863,0.0030,88.1675,-26.4059,61.4525,100.4984,-17.5488,61.1408
1,Line,4.3441,,,,,,,,,,,,,,161,-0.0372,0.0129,-0.0154,116.7380,-7.7178,40.4370,120.5613,-9.0417,42.0182
1,Line,1.4782,,,,,,,,,,,,,,59,-0.0074,-0.0123,-0.0004,133.0297,-62.5750,51.6739,133.7942,-61.3104,51.7119
1,Line,6.6612,,,,,,,,,,,,,,154,-0.0303,0.0146,0.0554,133.7942,-61.3104,51.7119,136.9093,-62.8091,46.0178
1,Line,3.5962,,,,,,,,,,,,,,87,0.0016,0.0304,0.0173,113.5570,-58.7934,60.6597,113.3925,-61.9156,58.8828
1,Line,1.5742,,,,,,,,,,,,,,92,-0.0004,0.0108,-0.0109,116.7380,-7.7178,40.4370,116.7756,-8.8239,41.5565
1,Line,13.0715,,,,,,,,,,,,,,1,-0.1272,-0.0031,0.0047,100.4984,-59.1162,61.1408,113.5570,-58.7934,60.6597
1,Line,6.5290,,,,,,,,,,,,,,38,0.0499,0.0390,0.0058,11.1896,-12.2637,30.3300,6.0644,-16.2651,29.7393
1,Line,3.7352,,,,,,,,,,,,,,34,0.0276,0.0186,0.0147,11.2834,-9.6082,29.9688,8.4506,-11.5189,28.4602
1,Line,5.0118,,,,,,,,,,,,,,53,0.0291,0.0388,0.0048,8.4506,-11.5189,28.4602,5.4576,-15.5083,27.9654
1,Line,4.1972,,,,,,,,,,,,,,65,0.0175,0.0369,0.0021,11.1896,-12.2637,30.3300,9.3934,-16.0512,30.1178
1,Line,1.7853,,,,,,,,,,,,,,65,-0.0074,-0.0157,-0.0012,13.1711,-15.0107,35.3429,13.9263,-13.3979,35.4683
1,Line,2.2374,,,,,,,,,,,,,,80,-0.0036,-0.0215,0.0010,5.6905,-18.4685,29.8455,6.0644,-16.2651,29.7393
1,Line,4.1810,,,,,,,,,,,,,,26,-0.0329,-0.0157,-0.0181,7.9011,-11.2221,28.1151,11.2834,-9.6082,29.9688
1,Line,3.6817,,,,,,,,,,,,,,108,-0.0089,0.0275,-0.0212,12.4599,-10.6784,30.5141,13.3760,-13.5007,32.6937
1,Line,2.6537,,,,,,,,,,,,,,18,0.0244,0.0077,0.0034,15.3951,-9.5257,33.2403,12.8868,-10.3176,32.8887
1,Line,5.4423,,,,,,,,,,,,,,175,0.0413,-0.0039,0.0329,15.3951,-9.5257,33.2403,11.1500,-9.1225,29.8587
1,Line,0.5156,,,,,,,,,,,,,,105,-0.0013,0.0047,-0.0011,11.1500,-9.1225,29.8587,11.2834,-9.6082,29.9688
1,Line,1.7912,,,,,,,,,,,,,,59,-0.0088,-0.0149,0.0024,7.5457,-13.0450,28.7062,8.4506,-11.5189,28.4602
1,Line,0.7989,,,,,,,,,,,,,,125,0.0008,-0.0011,0.0077,7.6238,-13.1585,29.4931,7.5457,-13.0450,28.7062
1,Line,2.3563,,,,,,,,,,,,,,34,0.0159,0.0108,0.0125,9.1827,-11.9326,29.9848,7.5457,-13.0450,28.7062
1,Line,6.8904,,,,,,,,,,,,,,34,0.0529,0.0353,0.0213,14.6059,-14.8899,36.9569,9.1714,-18.5151,34.7656
1,Line,0.4299,,,,,,,,,,,,,,62,0.0019,0.0035,-0.0013,9.3643,-18.1555,34.6303,9.1714,-18.5151,34.7656
1,Line,6.5994,,,,,,,,,,,,,,32,-0.0510,-0.0318,-0.0227,9.3643,-18.1555,34.6303,14.6059,-14.8899,36.9569
1,Line,2.0433,,,,,,,,,,,,,,38,-0.0152,-0.0119,-0.0048,7.6238,-13.1585,29.4931,9.1827,-11.9326,29.9848
1,Line,1.7107,,,,,,,,,,,,,,65,-0.0068,-0.0148,0.0036,6.0644,-16.2651,29.7393,6.7638,-14.7488,29.3677
1,Line,3.6202,,,,,,,,,,,,,,61,0.0172,0.0307,-0.0015,8.4506,-11.5189,28.4602,6.6862,-14.6763,28.6146
1,Line,3.8698,,,,,,,,,,,,,,151,0.0215,-0.0121,0.0285,17.5968,-10.2739,36.2279,15.3890,-9.0318,33.3024
1,Line,3.7859,,,,,,,,,,,,,,161,0.0214,-0.0073,0.0291,17.5968,-10.2739,36.2279,15.3951,-9.5257,33.2403
