Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0400,,,,,,,,,,,,,,,,0,0.0370,0.0000,0.0153,0.8283,1.0914,0.6172,0.7914,1.0914,0.6019
1,Line,0.0095,,,,,,,,,,,,,,,,0,0.0000,0.0000,-0.0095,0.7684,1.0814,0.6269,0.7684,1.0814,0.6364
1,Line,0.0029,,,,,,,,,,,,,,,,0,0.0029,0.0000,0.0000,0.7713,1.0814,0.6269,0.7684,1.0814,0.6269
1,Line,0.0050,,,,,,,,,,,,,,,,90,0.0000,0.0050,0.0000,0.8283,1.0914,0.6172,0.8283,1.0864,0.6172
1,Line,0.0400,,,,,,,,,,,,,,,,0,0.0370,0.0000,0.0153,0.8283,1.0864,0.6172,0.7914,1.0864,0.6019
1,Line,0.0400,,,,,,,,,,,,,,,,0,0.0370,0.0000,0.0153,0.8293,1.0914,0.6147,0.7924,1.0914,0.5994
1,Line,0.0037,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0037,0.7713,1.0814,0.6306,0.7713,1.0814,0.6269
1,Line,0.0095,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0095,0.7765,1.0814,0.6364,0.7765,1.0814,0.6269
1,Line,0.0029,,,,,,,,,,,,,,,,180,-0.0029,0.0000,0.0000,0.7736,1.0814,0.6364,0.7765,1.0814,0.6364
1,Line,0.0035,,,,,,,,,,,,,,,,0,0.0000,0.0000,-0.0035,0.7736,1.0814,0.6329,0.7736,1.0814,0.6364
1,Line,0.0022,,,,,,,,,,,,,,,,0,0.0022,0.0000,0.0000,0.7736,1.0814,0.6306,0.7713,1.0814,0.6306
1,Line,0.0037,,,,,,,,,,,,,,,,0,0.0000,0.0000,-0.0037,0.7736,1.0814,0.6269,0.7736,1.0814,0.6306
1,Line,0.0029,,,,,,,,,,,,,,,,0,0.0029,0.0000,0.0000,0.7765,1.0814,0.6269,0.7736,1.0814,0.6269
1,Line,0.0004,,,,,,,,,,,,,,,,180,-0.0002,0.0000,-0.0004,0.9956,1.0815,0.6223,0.9957,1.0815,0.6227
1,Line,0.0003,,,,,,,,,,,,,,,,0,0.0002,0.0000,-0.0002,0.9960,1.0815,0.6205,0.9958,1.0815,0.6208
1,3D Polyline,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.0071,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0071,1.0031,1.0815,0.6240,1.0031,1.0815,0.6168
1,Line,0.0026,,,,,,,,,,,,,,,,0,0.0000,0.0000,-0.0026,0.9916,1.0815,0.6168,0.9916,1.0815,0.6194
1,Line,0.0027,,,,,,,,,,,,,,,,0,0.0027,0.0000,0.0000,0.9942,1.0815,0.6168,0.9916,1.0815,0.6168
1,Line,0.0003,,,,,,,,,,,,,,,,180,-0.0001,0.0000,0.0003,0.9983,1.0815,0.6218,0.9983,1.0815,0.6215
1,Line,0.0400,,,,,,,,,,,,,,,,0,0.0370,0.0000,0.0153,0.8293,1.0864,0.6147,0.7924,1.0864,0.5994
1,Line,0.0026,,,,,,,,,,,,,,,,0,0.0010,0.0000,-0.0024,0.8293,1.0914,0.6147,0.8283,1.0914,0.6172
1,Arc,0.0026,0.0000,0.8197,1.0864,0.6122,0.0100,15,15,,,,,,,,,,,,,,,,,,
1,Line,0.0029,,,,,,,,,,,,,,,,0,0.0029,0.0000,0.0000,0.9984,1.0815,0.6168,0.9955,1.0815,0.6168
1,Line,0.0030,,,,,,,,,,,,,,,,0,0.0013,0.0000,0.0027,0.9996,1.0815,0.6196,0.9984,1.0815,0.6168
1,Line,0.0050,,,,,,,,,,,,,,,,90,0.0000,-0.0050,0.0000,0.8293,1.0864,0.6147,0.8293,1.0914,0.6147
1,Line,0.0022,,,,,,,,,,,,,,,,180,-0.0022,0.0000,0.0000,0.7713,1.0814,0.6329,0.7736,1.0814,0.6329
1,Line,0.0004,,,,,,,,,,,,,,,,180,-0.0004,0.0000,0.0002,0.7808,1.0814,0.6326,0.7812,1.0814,0.6324
