Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.2721,,,,,,,,,,,,,,,,5,-0.2712,-0.0217,-0.0065,-0.0059,1.1169,1.0417,0.2653,1.1386,1.0482
1,Line,0.2851,,,,,,,,,,,,,,,,17,0.2712,0.0848,-0.0237,0.2653,1.2017,1.0180,-0.0059,1.1169,1.0417
1,Line,0.2789,,,,,,,,,,,,,,,,13,-0.2712,-0.0642,0.0127,-0.0059,1.1169,1.0417,0.2653,1.1811,1.0290
1,Line,0.2746,,,,,,,,,,,,,,,,9,-0.2712,-0.0431,0.0026,-0.0059,1.1169,1.0417,0.2653,1.1601,1.0391
1,Line,0.0204,,,,,,,,,,,,,,,,180,-0.0204,0.0000,-0.0011,0.2449,1.1167,1.0553,0.2653,1.1167,1.0564
1,Line,0.1942,,,,,,,,,,,,,,,,7,0.1927,0.0235,-0.0052,0.1869,1.1071,1.0585,-0.0059,1.0836,1.0637
1,Line,0.5423,,,,,,,,,,,,,,,,180,-0.5423,0.0000,0.0000,0.6053,0.8122,0.7160,1.1476,0.8122,0.7160
1,Line,0.5423,,,,,,,,,,,,,,,,0,-0.5423,0.0000,0.0000,0.6053,0.7708,0.6633,1.1476,0.7708,0.6633
1,Line,0.5423,,,,,,,,,,,,,,,,180,-0.5423,0.0000,0.0000,0.6053,0.8669,0.7587,1.1476,0.8669,0.7587
1,Line,0.0077,,,,,,,,,,,,,,,,90,0.0000,-0.0077,0.0000,0.8764,0.9982,1.1917,0.8764,1.0059,1.1917
1,Line,0.5423,,,,,,,,,,,,,,,,180,-0.5423,0.0000,0.0000,0.6053,0.9317,0.7891,1.1476,0.9317,0.7891
1,Line,0.5423,,,,,,,,,,,,,,,,180,-0.5423,0.0000,0.0000,0.6053,0.7450,0.6037,1.1476,0.7450,0.6037
1,3D Polyline,0.0732,,,,,,,,,,,,,,,,,,,,,,,,,
1,3D Polyline,0.0732,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.5423,,,,,,,,,,,,,,,,180,-0.5423,0.0000,0.0000,0.6053,0.7708,0.4178,1.1476,0.7708,0.4178
1,Line,0.5423,,,,,,,,,,,,,,,,180,-0.5423,0.0000,0.0000,0.6053,0.7362,0.5406,1.1476,0.7362,0.5406
1,Line,0.5423,,,,,,,,,,,,,,,,0,-0.5423,0.0000,0.0000,0.6053,0.7450,0.4774,1.1476,0.7450,0.4774
1,Line,0.0029,,,,,,,,,,,,,,,,90,0.0000,-0.0029,0.0000,1.0905,1.0030,1.0822,1.0905,1.0059,1.0822
1,Line,0.0839,,,,,,,,,,,,,,,,90,0.0000,-0.0839,0.0000,1.0028,0.9221,1.1502,1.0028,1.0059,1.1502
1,Line,0.0581,,,,,,,,,,,,,,,,90,0.0000,-0.0581,0.0000,0.9639,0.9478,1.1729,0.9639,1.0059,1.1729
1,Line,0.1022,,,,,,,,,,,,,,,,90,0.0000,-0.1022,0.0000,1.0360,0.9037,1.1198,1.0360,1.0059,1.1198
1,Line,0.0172,,,,,,,,,,,,,,,,0,0.0172,0.0000,0.0000,0.7175,0.8967,1.0964,0.7003,0.8967,1.0964
1,Line,0.1109,,,,,,,,,,,,,,,,90,0.0000,-0.1109,0.0000,1.0620,0.8951,1.0831,1.0620,1.0059,1.0831
1,Line,0.0282,,,,,,,,,,,,,,,,90,0.0000,-0.0282,0.0000,0.9212,0.9778,1.1870,0.9212,1.0059,1.1870
1,Line,0.1022,,,,,,,,,,,,,,,,90,0.0000,-0.1022,0.0000,0.7169,0.9037,1.1198,0.7169,1.0059,1.1198
1,Line,0.1109,,,,,,,,,,,,,,,,90,0.0000,-0.1109,0.0000,0.6908,0.8951,1.0831,0.6908,1.0059,1.0831
1,Line,0.0839,,,,,,,,,,,,,,,,90,0.0000,-0.0839,0.0000,0.7501,0.9221,1.1502,0.7501,1.0059,1.1502
1,Line,0.0282,,,,,,,,,,,,,,,,90,0.0000,-0.0282,0.0000,0.8317,0.9778,1.1870,0.8317,1.0059,1.1870
1,Line,0.0581,,,,,,,,,,,,,,,,90,0.0000,-0.0581,0.0000,0.7889,0.9478,1.1729,0.7889,1.0059,1.1729
1,Line,0.0444,,,,,,,,,,,,,,,,163,-0.0425,0.0127,0.0000,0.2653,1.3177,0.8606,0.3078,1.3050,0.8606
1,Line,0.2176,,,,,,,,,,,,,,,,168,-0.1943,0.0397,0.0895,-0.0059,1.1641,0.9439,0.1884,1.1244,0.8544
1,Line,0.3400,,,,,,,,,,,,,,,,0,-0.3400,0.0000,0.0000,0.2653,1.0447,0.8102,0.6053,1.0447,0.8102
1,Line,0.1608,,,,,,,,,,,,,,,,174,0.1471,-0.0163,-0.0629,0.2653,1.1339,0.8279,0.1182,1.1503,0.8908
1,Line,0.3001,,,,,,,,,,,,,,,,158,-0.2528,0.1003,0.1269,-0.0059,1.1641,0.9439,0.2469,1.0637,0.8170
1,Line,0.2671,,,,,,,,,,,,,,,,163,-0.2320,0.0695,0.1126,-0.0059,1.1641,0.9439,0.2261,1.0945,0.8313
1,Line,0.3400,,,,,,,,,,,,,,,,0,-0.3400,0.0000,0.0000,0.2653,1.0836,0.8240,0.6053,1.0836,0.8240
1,Line,0.3400,,,,,,,,,,,,,,,,0,-0.3400,0.0000,0.0000,0.2653,1.1586,0.9080,0.6053,1.1586,0.9080
1,Line,0.1828,,,,,,,,,,,,,,,,0,-0.1828,0.0000,0.0000,0.0825,1.1586,0.9080,0.2653,1.1586,0.9080
1,Line,0.3400,,,,,,,,,,,,,,,,0,-0.3400,0.0000,0.0000,0.2653,1.1425,0.8747,0.6053,1.1425,0.8747
1,Line,0.0268,,,,,,,,,,,,,,,,180,-0.0268,0.0000,0.0000,0.2385,1.0836,0.8240,0.2653,1.0836,0.8240
1,Line,0.3400,,,,,,,,,,,,,,,,0,-0.3400,0.0000,0.0000,0.2653,1.1169,0.8460,0.6053,1.1169,0.8460
1,Line,0.3246,,,,,,,,,,,,,,,,154,-0.2645,0.1310,0.1350,-0.0059,1.1641,0.9439,0.2586,1.0331,0.8089
1,Line,0.2644,,,,,,,,,,,,,,,,90,0.0000,0.1148,-0.2381,0.4353,1.4390,0.5034,0.4353,1.3242,0.7415
1,Line,0.1774,,,,,,,,,,,,,,,,163,0.1700,-0.0509,0.0000,0.4353,1.3242,0.7415,0.2653,1.3751,0.7415
1,Line,0.0330,,,,,,,,,,,,,,,,90,0.0000,0.0143,-0.0298,0.4353,1.2812,0.8308,0.4353,1.2668,0.8606
1,Line,0.0330,,,,,,,,,,,,,,,,90,0.0000,0.0143,-0.0298,0.3078,1.2619,0.9499,0.3078,1.2476,0.9797
1,Line,0.0444,,,,,,,,,,,,,,,,163,0.0425,-0.0127,0.0000,0.6053,1.2160,0.8606,0.5628,1.2287,0.8606
1,Line,0.0075,,,,,,,,,,,,,,,,180,-0.0075,0.0000,0.0000,0.6810,1.0447,1.0775,0.6884,1.0447,1.0775
1,Arc,0.0442,0.0000,0.8764,0.8950,0.9789,0.2129,151,12,,,,,,,,,,,,,,,,,,
1,Line,0.0048,,,,,,,,,,,,,,,,180,-0.0048,0.0000,0.0000,0.6777,1.0836,1.0637,0.6825,1.0836,1.0637
1,Line,0.1126,,,,,,,,,,,,,,,,0,-0.1126,0.0000,0.0000,0.1527,1.1425,0.8747,0.2653,1.1425,0.8747
1,Line,0.0073,,,,,,,,,,,,,,,,180,-0.0073,0.0000,0.0000,0.2579,1.0447,0.8102,0.2653,1.0447,0.8102
1,Line,0.0610,,,,,,,,,,,,,,,,0,-0.0610,0.0000,0.0000,0.2042,1.1169,0.8460,0.2653,1.1169,0.8460
1,Line,0.0419,,,,,,,,,,,,,,,,90,0.0000,-0.0417,0.0047,-0.0059,1.0030,1.0822,-0.0059,1.0447,1.0775
1,Line,0.0568,,,,,,,,,,,,,,,,28,0.0500,0.0271,0.0000,-0.1815,3.4014,0.4686,-0.2314,3.3743,0.4686
1,Line,0.0544,,,,,,,,,,,,,,,,33,0.0454,0.0299,0.0000,-0.2314,3.3743,0.4686,-0.2769,3.3443,0.4686
1,Line,0.0568,,,,,,,,,,,,,,,,28,-0.0500,-0.0271,0.0000,-0.2314,3.3719,0.4519,-0.1815,3.3990,0.4519
1,Line,0.0519,,,,,,,,,,,,,,,,39,-0.0405,-0.0325,0.0000,-0.3173,3.3095,0.4519,-0.2769,3.3419,0.4519
1,Line,0.0544,,,,,,,,,,,,,,,,33,-0.0454,-0.0299,0.0000,-0.2769,3.3419,0.4519,-0.2314,3.3719,0.4519
1,Line,0.0519,,,,,,,,,,,,,,,,39,0.0405,0.0325,0.0000,-0.2769,3.3443,0.4686,-0.3173,3.3119,0.4686
1,Line,0.0169,,,,,,,,,,,,,,,,90,0.0000,0.0023,0.0168,-0.3819,3.2452,0.5021,-0.3819,3.2429,0.4854
1,Line,0.0470,,,,,,,,,,,,,,,,51,-0.0294,-0.0366,0.0000,-0.3819,3.2429,0.4854,-0.3525,3.2795,0.4854
1,Line,0.0470,,,,,,,,,,,,,,,,51,0.0294,0.0366,0.0000,-0.3525,3.2772,0.4686,-0.3819,3.2406,0.4686
1,Line,0.0494,,,,,,,,,,,,,,,,45,0.0351,0.0347,0.0000,-0.3173,3.3119,0.4686,-0.3525,3.2772,0.4686
1,Line,0.0169,,,,,,,,,,,,,,,,90,0.0000,0.0024,0.0168,-0.3819,3.2429,0.4854,-0.3819,3.2406,0.4686
1,Line,0.0494,,,,,,,,,,,,,,,,45,-0.0351,-0.0347,0.0000,-0.3525,3.2748,0.4519,-0.3173,3.3095,0.4519
1,Line,0.0544,,,,,,,,,,,,,,,,33,0.0454,0.0299,0.0000,-0.2314,3.3694,0.4352,-0.2769,3.3395,0.4352
1,Line,0.0519,,,,,,,,,,,,,,,,39,0.0405,0.0325,0.0000,-0.2769,3.3395,0.4352,-0.3173,3.3070,0.4352
1,Line,0.0568,,,,,,,,,,,,,,,,28,0.0500,0.0271,0.0000,-0.1815,3.3965,0.4352,-0.2314,3.3694,0.4352
1,Group_42,,,,,,,,,-0.2770,-0.0633,0.4449,0.9975,1.0000,-1.0000,,,,,,,,,,,,
1,Line,0.0664,,,,,,,,,,,,,,,,175,0.0662,-0.0059,0.0000,0.7521,3.4959,0.5358,0.6859,3.5018,0.5358
1,Line,0.0494,,,,,,,,,,,,,,,,45,0.0351,0.0347,0.0000,-0.3173,3.3070,0.4352,-0.3525,3.2723,0.4352
1,Line,0.0169,,,,,,,,,,,,,,,,90,0.0000,0.0024,0.0167,-0.3819,3.2406,0.4686,-0.3819,3.2382,0.4519
1,Line,0.0470,,,,,,,,,,,,,,,,51,-0.0294,-0.0366,0.0000,-0.3819,3.2382,0.4519,-0.3525,3.2748,0.4519
1,Line,0.0084,,,,,,,,,,,,,,,,90,0.0000,0.0012,0.0084,-0.3819,3.2369,0.4435,-0.3819,3.2357,0.4352
1,Line,0.0042,,,,,,,,,,,,,,,,90,0.0000,0.0006,0.0042,-0.3819,3.2382,0.4519,-0.3819,3.2375,0.4477
1,Line,0.0042,,,,,,,,,,,,,,,,90,0.0000,0.0006,0.0042,-0.3819,3.2375,0.4477,-0.3819,3.2369,0.4435
1,Line,0.0494,,,,,,,,,,,,,,,,45,-0.0351,-0.0347,0.0000,-0.3525,3.2795,0.4854,-0.3173,3.3142,0.4854
1,Line,0.0169,,,,,,,,,,,,,,,,90,0.0000,0.0026,0.0167,-0.3819,3.2306,0.4018,-0.3819,3.2280,0.3852
1,Line,0.0084,,,,,,,,,,,,,,,,90,0.0000,0.0013,0.0083,-0.3819,3.2332,0.4185,-0.3819,3.2319,0.4101
1,Line,0.1837,,,,,,,,,,,,,,,,0,0.1837,0.0000,0.0000,0.4354,3.4846,0.4018,0.2517,3.4846,0.4018
1,Line,0.0612,,,,,,,,,,,,,,,,20,0.0576,0.0207,0.0000,-0.0698,3.4426,0.4435,-0.1274,3.4218,0.4435
1,3D Polyline,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,0.0042,,,,,,,,,,,,,,,,90,0.0000,0.0006,0.0042,-0.3819,3.2319,0.4101,-0.3819,3.2312,0.4060
1,Line,0.0494,,,,,,,,,,,,,,,,45,-0.0351,-0.0347,0.0000,-0.3525,3.2672,0.4018,-0.3173,3.3019,0.4018
1,Line,0.0519,,,,,,,,,,,,,,,,39,-0.0405,-0.0325,0.0000,-0.3173,3.3045,0.4185,-0.2769,3.3369,0.4185
1,Line,0.0494,,,,,,,,,,,,,,,,45,-0.0351,-0.0347,0.0000,-0.3525,3.2698,0.4185,-0.3173,3.3045,0.4185
1,Line,0.0042,,,,,,,,,,,,,,,,90,0.0000,0.0006,0.0042,-0.3819,3.2312,0.4060,-0.3819,3.2306,0.4018
1,Line,0.0470,,,,,,,,,,,,,,,,51,0.0294,0.0366,0.0000,-0.3525,3.2672,0.4018,-0.3819,3.2306,0.4018
1,Line,0.0664,,,,,,,,,,,,,,,,5,-0.0662,-0.0059,0.0000,0.1188,3.4809,0.4282,0.1849,3.4868,0.4282
1,Line,0.0169,,,,,,,,,,,,,,,,90,0.0000,0.0023,0.0168,-0.3819,3.2475,0.5189,-0.3819,3.2452,0.5021
1,Line,0.0470,,,,,,,,,,,,,,,,51,-0.0294,-0.0366,0.0000,-0.3819,3.2452,0.5021,-0.3525,3.2819,0.5021
1,Line,0.0568,,,,,,,,,,,,,,,,28,0.0500,0.0271,0.0000,-0.1815,3.4037,0.4854,-0.2314,3.3766,0.4854
