Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.4851,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0000,5.7556,3.8429,1.1804,5.7556,3.8429,1.1804
1,Line,0.1284,,,,,,,,,,,,,,,,23,0.0000,0.0000,-0.0166,5.7556,3.8429,1.1804,5.7556,3.8429,1.2116
1,Line,0.0931,,,,,,,,,,,,,,,,57,0.0000,0.0000,0.0000,5.7556,3.8429,1.1992,5.7556,3.8429,1.1992
1,Line,0.1000,,,,,,,,,,,,,,,,162,0.0000,0.0000,-0.0166,5.7556,3.8429,1.1804,5.7556,3.8429,1.2116
1,Line,0.0398,,,,,,,,,,,,,,,,40,0.0000,0.0000,0.0000,5.7556,3.8429,1.1804,5.7556,3.8429,1.1804
1,Line,0.0910,,,,,,,,,,,,,,,,4,0.0000,0.0000,0.0000,5.7556,3.8429,1.1804,5.7556,3.8429,1.1804
1,Line,0.1055,,,,,,,,,,,,,,,,161,0.0000,0.0000,-0.0166,5.7556,3.8429,1.1804,5.7556,3.8429,1.2116
1,Line,0.7098,,,,,,,,,,,,,,,,154,0.0000,0.0000,-0.3583,5.7556,3.8429,1.4234,5.7556,3.8429,2.0978
1,Line,0.1044,,,,,,,,,,,,,,,,145,0.0000,0.0000,-0.0166,5.7556,3.8429,1.1804,5.7556,3.8429,1.2116
1,Line,0.0811,,,,,,,,,,,,,,,,73,0.0000,0.0000,0.0000,5.7556,3.8429,1.1804,5.7556,3.8429,1.1804
1,Line,0.0741,,,,,,,,,,,,,,,,64,0.0000,0.0000,-0.0315,5.7556,3.8429,1.4234,5.7556,3.8429,1.4827
1,Line,0.0741,,,,,,,,,,,,,,,,64,0.0000,0.0000,0.0315,5.7556,3.8429,1.9688,5.7556,3.8429,1.9095
