Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,179,0.0157,0.0000,-0.1031,5.6500,-3.1976,8.6353,0.1078,5.6344,-3.1976,8.7383
1,Line,,,,,,,43,-0.0353,-0.1043,-0.1088,5.6006,-3.3597,8.4373,0.1738,5.6359,-3.2553,8.5461
1,Line,,,,,,,73,0.0003,-0.0547,-0.0891,5.1833,-3.2523,8.5461,0.1130,5.1830,-3.1976,8.6353
1,Line,,,,,,,154,-0.0849,0.0000,0.0711,5.4923,-3.3533,8.9032,0.1265,5.5772,-3.3533,8.8321
1,Line,,,,,,,154,0.0849,0.0000,-0.0711,5.5772,-3.1976,8.8321,0.1265,5.4923,-3.1976,8.9032
1,Line,,,,,,,179,-0.0157,0.0000,0.1031,5.6344,-3.3533,8.7383,0.1078,5.6500,-3.3533,8.6353
1,Line,,,,,,,53,-0.0141,-0.0577,-0.0891,5.6359,-3.2553,8.5461,0.1165,5.6500,-3.1976,8.6353
1,Line,,,,,,,95,-0.0506,0.0998,0.1068,5.1971,-3.2553,8.5461,0.1743,5.2477,-3.3551,8.4393
1,Line,,,,,,,58,-0.0003,-0.0989,0.0000,5.1968,-3.3542,8.5461,0.1193,5.1971,-3.2553,8.5461
1,Line,,,,,,,71,0.0139,0.0010,0.0891,5.6500,-3.3533,8.6353,0.0933,5.6362,-3.3542,8.5461
1,Line,,,,,,,60,-0.0141,0.0979,-0.0891,5.6359,-3.2553,8.5461,0.1506,5.6500,-3.3533,8.6353
1,Line,,,,,,,58,0.0000,0.1557,0.0000,5.6500,-3.1976,8.6353,0.1878,5.6500,-3.3533,8.6353
1,Line,,,,,,,161,0.0509,-0.0009,-0.1068,5.2477,-3.3551,8.4393,0.1262,5.1968,-3.3542,8.5461
1,Line,,,,,,,158,-0.0139,-0.0030,0.0000,5.6359,-3.2553,8.5461,0.0172,5.6497,-3.2523,8.5461
1,Line,,,,,,,87,-0.0353,0.1043,0.1088,5.1971,-3.2553,8.5461,0.1738,5.2324,-3.3597,8.4373
1,Line,,,,,,,161,-0.0153,-0.0045,-0.0019,5.2324,-3.3597,8.4373,0.0195,5.2477,-3.3551,8.4393
1,Line,,,,,,,72,0.0003,0.0547,0.0891,5.6500,-3.1976,8.6353,0.1130,5.6497,-3.2523,8.5461
1,Line,,,,,,,147,0.0122,0.0000,-0.0012,5.6622,-3.1976,8.6340,0.0149,5.6500,-3.1976,8.6353
1,Line,,,,,,,55,-0.0125,-0.0547,-0.0879,5.6497,-3.2523,8.5461,0.1130,5.6622,-3.1976,8.6340
