Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,97,0.0140,-0.1152,-0.0171,-0.0604,-0.9142,0.6636,0.1173,-0.0744,-0.7990,0.6807
1,Line,,,,,,,180,-0.1153,0.0000,-0.0019,-0.0902,-0.9391,0.6649,0.1153,0.0250,-0.9391,0.6668
1,Line,,,,,,,175,0.1153,-0.0102,-0.0072,0.0250,-0.9492,0.6577,0.1159,-0.0902,-0.9391,0.6649
1,Line,,,,,,,165,0.0870,-0.0228,-0.0020,0.0250,-0.9391,0.6668,0.0900,-0.0620,-0.9163,0.6688
1,Line,,,,,,,131,-0.0995,0.1152,0.0158,-0.0744,-0.7990,0.6807,0.1530,0.0250,-0.9142,0.6649
1,Line,,,,,,,180,0.0855,0.0000,0.0013,0.0250,-0.9142,0.6649,0.0855,-0.0604,-0.9142,0.6636
1,Line,,,,,,,172,-0.0045,0.0006,0.0012,-0.1244,-0.7506,0.6404,0.0047,-0.1199,-0.7512,0.6393
1,Line,,,,,,,117,0.0087,-0.0172,0.0081,-0.1199,-0.7512,0.6393,0.0209,-0.1286,-0.7340,0.6311
1,Line,,,,,,,170,-0.0046,0.0008,0.0011,-0.1286,-0.7340,0.6311,0.0048,-0.1240,-0.7348,0.6301
1,Line,,,,,,,118,0.1296,-0.2428,-0.0355,0.0250,-0.7769,0.6905,0.2775,-0.1045,-0.5341,0.7260
1,Line,,,,,,,11,0.0045,0.0008,-0.0010,-0.1141,-0.8957,0.6197,0.0047,-0.1186,-0.8965,0.6207
1,Line,,,,,,,98,0.0019,-0.0137,-0.0137,-0.1166,-0.9102,0.6070,0.0195,-0.1186,-0.8965,0.6207
1,Line,,,,,,,94,0.0283,-0.3656,-0.0550,-0.0763,-0.8997,0.6711,0.3708,-0.1045,-0.5341,0.7260
1,Line,,,,,,,56,-0.0145,-0.0216,-0.0034,-0.0744,-0.7990,0.6807,0.0262,-0.0599,-0.7774,0.6841
1,Line,,,,,,,0,0.0865,0.0000,0.0008,0.0250,-0.7769,0.6905,0.0865,-0.0614,-0.7769,0.6897
1,Line,,,,,,,131,0.0140,-0.0163,-0.0022,-0.0604,-0.9142,0.6636,0.0216,-0.0744,-0.8979,0.6658
1,Line,,,,,,,90,0.0000,-0.0989,-0.0149,-0.0744,-0.8979,0.6658,0.1000,-0.0744,-0.7990,0.6807
1,Line,,,,,,,90,0.0000,0.1008,0.0152,-0.0763,-0.7989,0.6863,0.1019,-0.0763,-0.8997,0.6711
1,Line,,,,,,,56,0.0148,0.0220,0.0035,-0.0614,-0.7769,0.6897,0.0267,-0.0763,-0.7989,0.6863
1,Line,,,,,,,96,0.0283,-0.2648,-0.0398,-0.0763,-0.7989,0.6863,0.2693,-0.1045,-0.5341,0.7260
1,Line,,,,,,,180,-0.0870,0.0000,-0.0013,-0.0620,-0.9163,0.6688,0.0870,0.0250,-0.9163,0.6702
1,Line,,,,,,,0,-0.0849,0.0000,-0.0008,-0.0599,-0.7774,0.6841,0.0849,0.0250,-0.7774,0.6849
1,Line,,,,,,,122,0.0849,-0.1368,-0.0192,0.0250,-0.9142,0.6649,0.1621,-0.0599,-0.7774,0.6841
1,Line,,,,,,,100,-0.0431,0.2428,0.0363,-0.1045,-0.5341,0.7260,0.2493,-0.0614,-0.7769,0.6897
1,Line,,,,,,,105,-0.0512,0.1909,-0.1145,-0.1678,-0.7193,0.4925,0.2285,-0.1166,-0.9102,0.6070
1,Line,,,,,,,108,0.0563,-0.1769,0.1353,-0.1166,-0.9102,0.6070,0.2297,-0.1729,-0.7334,0.4717
1,Line,,,,,,,70,-0.0051,-0.0140,-0.0207,-0.1729,-0.7334,0.4717,0.0256,-0.1678,-0.7193,0.4925
1,Line,,,,,,,9,-0.0072,-0.0011,-0.0252,-0.1211,-0.9112,0.6079,0.0262,-0.1140,-0.9101,0.6330
1,Line,,,,,,,80,0.0026,0.0146,0.0127,-0.1141,-0.8957,0.6197,0.0195,-0.1166,-0.9102,0.6070
1,Line,,,,,,,6,0.0429,0.0049,0.1578,-0.1166,-0.9102,0.6070,0.1636,-0.1595,-0.9151,0.4492
1,Line,,,,,,,146,-0.0479,0.0319,-0.1468,-0.1678,-0.7193,0.4925,0.1577,-0.1199,-0.7512,0.6393
1,Line,,,,,,,92,-0.0058,0.1445,0.0195,-0.1199,-0.7512,0.6393,0.1459,-0.1141,-0.8957,0.6197
1,Line,,,,,,,107,0.0537,-0.1764,0.1272,-0.1141,-0.8957,0.6197,0.2240,-0.1678,-0.7193,0.4925
1,Line,,,,,,,161,0.0442,-0.0156,0.1389,-0.1286,-0.7340,0.6311,0.1466,-0.1728,-0.7184,0.4922
1,Line,,,,,,,161,-0.0438,0.0155,-0.1376,-0.1678,-0.7193,0.4925,0.1452,-0.1240,-0.7348,0.6301
1,Line,,,,,,,104,-0.0041,0.0164,-0.0092,-0.1240,-0.7348,0.6301,0.0192,-0.1199,-0.7512,0.6393
1,Line,,,,,,,12,-0.0049,-0.0010,-0.0007,-0.1644,-0.9161,0.4485,0.0051,-0.1595,-0.9151,0.4492
1,Line,,,,,,,6,-0.0384,-0.0039,-0.1586,-0.1595,-0.9151,0.4492,0.1633,-0.1211,-0.9112,0.6079
1,Line,,,,,,,9,0.0050,0.0008,0.0008,-0.1657,-0.8953,0.4348,0.0051,-0.1707,-0.8961,0.4340
1,Line,,,,,,,161,0.0488,-0.0164,0.1379,-0.1240,-0.7348,0.6301,0.1471,-0.1728,-0.7184,0.4922
1,Line,,,,,,,94,-0.0013,0.0208,-0.0137,-0.1657,-0.8953,0.4348,0.0250,-0.1644,-0.9161,0.4485
1,Line,,,,,,,12,0.0045,0.0010,-0.0008,-0.1166,-0.9102,0.6070,0.0047,-0.1211,-0.9112,0.6079
1,Line,,,,,,,52,0.0102,0.0133,0.0212,-0.1678,-0.7193,0.4925,0.0270,-0.1780,-0.7326,0.4713
1,Line,,,,,,,80,-0.0026,-0.0147,-0.0128,-0.1211,-0.9112,0.6079,0.0197,-0.1186,-0.8965,0.6207
1,Line,,,,,,,104,0.0042,-0.0165,0.0093,-0.1244,-0.7506,0.6404,0.0194,-0.1286,-0.7340,0.6311
1,Line,,,,,,,91,-0.0023,0.1628,0.0377,-0.1729,-0.7334,0.4717,0.1671,-0.1707,-0.8961,0.4340
1,Line,,,,,,,171,0.0050,-0.0008,0.0005,-0.1729,-0.7334,0.4717,0.0051,-0.1780,-0.7326,0.4713
1,Line,,,,,,,170,-0.0050,0.0009,-0.0003,-0.1728,-0.7184,0.4922,0.0051,-0.1678,-0.7193,0.4925
1,Line,,,,,,,53,-0.0016,-0.0021,0.0052,-0.0620,-0.9163,0.6688,0.0058,-0.0604,-0.9142,0.6636
1,Line,,,,,,,179,-0.0855,0.0021,-0.0066,-0.0604,-0.9142,0.6636,0.0858,0.0250,-0.9163,0.6702
1,Line,,,,,,,125,-0.0182,0.0258,0.0161,-0.0527,-1.1596,0.4598,0.0354,-0.0345,-1.1854,0.4437
1,Line,,,,,,,53,0.0163,0.0214,-0.0022,-0.0599,-0.7774,0.6841,0.0270,-0.0763,-0.7989,0.6863
1,Line,,,,,,,159,0.0015,-0.0006,-0.0056,-0.0599,-0.7774,0.6841,0.0059,-0.0614,-0.7769,0.6897
1,Line,,,,,,,180,0.0865,-0.0006,-0.0048,0.0250,-0.7774,0.6849,0.0866,-0.0614,-0.7769,0.6897
1,Line,,,,,,,95,-0.0182,0.2079,0.1806,-0.0725,-0.9568,0.6424,0.2760,-0.0543,-1.1648,0.4619
1,Line,,,,,,,1,0.0893,0.0011,-0.0043,0.0250,-0.9481,0.6519,0.0894,-0.0642,-0.9492,0.6562
1,Line,,,,,,,33,0.0019,0.0012,-0.0056,-0.0725,-0.9568,0.6424,0.0060,-0.0744,-0.9581,0.6480
1,Line,,,,,,,78,-0.0012,-0.0056,0.0017,-0.0345,-1.1854,0.4437,0.0059,-0.0333,-1.1798,0.4420
1,Line,,,,,,,171,-0.0584,0.0094,-0.0003,-0.0333,-1.1798,0.4420,0.0591,0.0250,-1.1893,0.4423
1,Line,,,,,,,73,0.0016,0.0052,-0.0021,-0.0527,-1.1596,0.4598,0.0058,-0.0543,-1.1648,0.4619
1,Line,,,,,,,69,0.0219,0.0568,-0.0507,-0.0023,-1.7922,0.1577,0.0792,-0.0242,-1.8490,0.2084
1,Line,,,,,,,107,-0.0307,0.0994,-0.0806,-0.0057,-1.6899,0.0781,0.1316,0.0250,-1.7894,0.1587
1,Line,,,,,,,180,0.0307,-0.0002,-0.0001,0.0250,-1.6901,0.0780,0.0307,-0.0057,-1.6899,0.0781
1,Line,,,,,,,116,-0.0170,0.0348,-0.0296,-0.0435,-1.6713,0.0559,0.0488,-0.0265,-1.7061,0.0856
1,Line,,,,,,,39,-0.0194,-0.0155,0.0134,-0.0265,-1.7061,0.0856,0.0282,-0.0071,-1.6907,0.0722
1,Line,,,,,,,113,0.0274,-0.0636,0.0507,0.0250,-1.8558,0.2084,0.0858,-0.0023,-1.7922,0.1577
1,Line,,,,,,,44,-0.0018,-0.0017,0.0053,-0.0763,-0.8997,0.6711,0.0059,-0.0744,-0.8979,0.6658
1,Line,,,,,,,124,-0.0124,0.0183,-0.0030,-0.0744,-0.8979,0.6658,0.0224,-0.0620,-0.9163,0.6688
1,Line,,,,,,,174,0.0018,-0.0002,-0.0056,-0.0744,-0.7990,0.6807,0.0059,-0.0763,-0.7989,0.6863
1,Line,,,,,,,164,-0.0685,0.0196,-0.0162,-0.0435,-1.6713,0.0559,0.0731,0.0250,-1.6909,0.0721
1,Line,,,,,,,94,-0.0103,0.1451,0.0207,-0.1244,-0.7506,0.6404,0.1470,-0.1141,-0.8957,0.6197
1,Line,,,,,,,89,0.0018,0.1006,0.0096,-0.0744,-0.7990,0.6807,0.1011,-0.0763,-0.8997,0.6711
1,Line,,,,,,,110,-0.0875,0.2355,0.2098,-0.0625,-0.9481,0.6504,0.3273,0.0250,-1.1836,0.4406
1,Line,,,,,,,113,0.0975,-0.2268,-0.2018,0.0250,-1.1836,0.4406,0.3188,-0.0725,-0.9568,0.6424
1,Line,,,,,,,180,0.0893,0.0000,0.0015,0.0250,-0.9492,0.6577,0.0893,-0.0642,-0.9492,0.6562
1,Line,,,,,,,99,0.0360,-0.2257,-0.2031,-0.0543,-1.1648,0.4619,0.3057,-0.0902,-0.9391,0.6649
1,Line,,,,,,,5,-0.0869,-0.0082,-0.0102,-0.0619,-1.1975,0.4321,0.0879,0.0250,-1.1893,0.4423
1,Line,,,,,,,41,-0.0100,-0.0087,-0.0080,-0.0725,-0.9568,0.6424,0.0155,-0.0625,-0.9481,0.6504
1,Line,,,,,,,131,-0.0143,0.0166,0.0023,-0.0763,-0.8997,0.6711,0.0220,-0.0620,-0.9163,0.6688
1,Line,,,,,,,70,-0.0140,-0.0394,-0.0062,-0.0902,-0.9391,0.6649,0.0423,-0.0763,-0.8997,0.6711
1,Line,,,,,,,39,-0.0282,-0.0228,-0.0039,-0.0902,-0.9391,0.6649,0.0365,-0.0620,-0.9163,0.6688
1,Line,,,,,,,159,-0.0260,0.0102,0.0087,-0.0902,-0.9391,0.6649,0.0293,-0.0642,-0.9492,0.6562
1,Line,,,,,,,41,0.0102,0.0089,0.0082,-0.0642,-0.9492,0.6562,0.0158,-0.0744,-0.9581,0.6480
