Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,269,-0.9221,-38.8092,-3.4208,158.5739,7326.9226,2234.4405,38.9706,159.4960,7365.7317,2237.8612
1,Line,,,,,,,,,,,,,,270,-0.0509,-26.9931,-2.4460,104.7886,7294.7430,2286.9756,27.1038,104.8396,7321.7362,2289.4217
1,Line,,,,,,,,,,,,,,90,0.2308,38.8268,3.2314,112.8421,7361.8848,2278.6229,38.9617,112.6113,7323.0580,2275.3915
1,Line,,,,,,,,,,,,,,89,0.2336,11.5747,1.0411,133.9884,6448.6483,2158.8982,11.6238,133.7548,6437.0736,2157.8572
1,Line,,,,,,,,,,,,,,269,-0.2547,-10.7201,-0.9449,137.4564,6438.1041,2156.0975,10.7646,137.7111,6448.8242,2157.0424
1,Line,,,,,,,,,,,,,,270,-0.0069,-3.6364,-0.3295,104.7818,7291.1067,2286.6461,3.6513,104.7886,7294.7430,2286.9756
1,Line,,,,,,,,,,,,,,270,-0.0258,-13.6450,-1.2365,104.7535,7276.1176,2285.2878,13.7010,104.7792,7289.7626,2286.5243
1,Line,,,,,,,,,,,,,,270,-0.0732,-38.8000,-3.5160,104.8396,7321.7362,2289.4217,38.9590,104.9128,7360.5361,2292.9376
1,Line,,,,,,,,,,,,,,270,-0.0068,-3.6196,-0.3280,104.7441,7271.1271,2284.8356,3.6345,104.7509,7274.7467,2285.1636
1,Line,,,,,,,,,,,,,,270,-0.1106,-38.7785,-3.7442,118.4649,7325.4076,2250.4293,38.9590,118.5755,7364.1861,2254.1735
1,Line,,,,,,,,,,,,,,271,1.1527,-48.5141,-4.2762,-136.5094,6398.2458,2152.5843,48.7159,-137.6621,6446.7599,2156.8605
1,Line,,,,,,,,,,,,,,90,-0.0899,55.4071,5.5784,-195.6492,7345.3900,2073.2534,55.6873,-195.5593,7289.9828,2067.6750
1,Line,,,,,,,,,,,,,,89,0.0167,1.8988,0.1738,129.4864,7288.4621,2237.4107,1.9068,129.4697,7286.5633,2237.2369
1,Line,,,,,,,,,,,,,,91,-0.9790,48.5045,4.3626,-133.9461,6446.5535,2158.7098,48.7101,-132.9671,6398.0490,2154.3472
1,Line,,,,,,,,,,,,,,90,-0.0646,39.7759,4.0046,-195.3406,7155.2859,2054.1137,39.9771,-195.2760,7115.5100,2050.1090
1,Line,,,,,,,,,,,,,,90,-0.0987,60.8344,6.1248,-195.2760,7115.5100,2050.1090,61.1420,-195.1773,7054.6756,2043.9842
1,Line,,,,,,,,,,,,,,90,-0.0230,14.1735,1.4270,-195.3636,7169.4594,2055.5407,14.2452,-195.3406,7155.2859,2054.1137
1,Line,,,,,,,,,,,,,,90,-0.1956,120.5234,12.1343,-195.5593,7289.9828,2067.6750,121.1329,-195.3636,7169.4594,2055.5407
1,Line,,,,,,,,,,,,,,90,0.0966,16.2438,1.3519,112.5609,7314.5830,2274.6862,16.3002,112.4643,7298.3392,2273.3343
1,Line,,,,,,,,,,,,,,90,0.1230,20.6957,1.7224,112.4419,7294.5700,2273.0206,20.7676,112.3189,7273.8743,2271.2982
1,Line,,,,,,,,,,,,,,90,0.0224,3.7693,0.3137,112.4643,7298.3392,2273.3343,3.7824,112.4419,7294.5700,2273.0206
1,Line,,,,,,,,,,,,,,270,-0.0911,-31.9577,-3.0857,118.3087,7270.6147,2245.1388,32.1065,118.3998,7302.5725,2248.2245
1,Line,,,,,,,,,,,,,,90,0.0963,16.1940,1.3478,112.2955,7269.9491,2270.9715,16.2503,112.1992,7253.7551,2269.6237
1,Line,,,,,,,,,,,,,,89,0.0429,2.1253,0.1912,150.9466,7288.8588,2234.4687,2.1343,150.9037,7286.7335,2234.2775
1,Line,,,,,,,,,,,,,,89,0.3320,37.8474,3.4640,129.4697,7286.5633,2237.2369,38.0070,129.1377,7248.7159,2233.7729
1,Line,,,,,,,,,,,,,,270,-0.0649,-22.7642,-2.1980,118.2437,7247.8506,2242.9408,22.8702,118.3087,7270.6147,2245.1388
1,Line,,,,,,,,,,,,,,90,0.1504,43.4112,4.5736,-216.1287,6773.6529,2140.9719,43.6517,-216.2791,6730.2417,2136.3983
1,Line,,,,,,,,,,,,,,90,-0.1027,63.2602,6.3690,-194.6806,6748.6662,2013.1752,63.5801,-194.5779,6685.4060,2006.8061
1,Line,,,,,,,,,,,,,,270,-0.1654,-41.3120,-3.5609,-209.6630,6691.6412,2046.2376,41.4655,-209.4976,6732.9532,2049.7985
1,Line,,,,,,,,,,,,,,285,0.0990,-0.3676,0.2250,-102.7534,6268.3437,2194.2243,0.4422,-102.8524,6268.7113,2193.9993
1,Line,,,,,,,,,,,,,,253,-0.1528,-0.4886,-0.4484,-102.8965,6292.0923,2196.1180,0.6806,-102.7436,6292.5809,2196.5664
1,Line,,,,,,,,,,,,,,271,0.3604,-34.0460,-3.8499,-174.5724,7068.8384,2016.8668,34.2648,-174.9328,7102.8844,2020.7167
1,Line,,,,,,,,,,,,,,90,-0.2934,49.3513,4.1073,-107.3792,6443.0629,2202.1531,49.5228,-107.0858,6393.7117,2198.0458
1,Line,,,,,,,,,,,,,,271,1.0681,-100.3180,-11.3526,-168.8408,6527.3353,1955.6335,100.9640,-169.9089,6627.6533,1966.9861
1,Line,,,,,,,,,,,,,,90,-0.0671,41.3350,4.1616,-194.4523,6608.0299,1999.0159,41.5440,-194.3852,6566.6950,1994.8543
1,Line,,,,,,,,,,,,,,271,0.9594,-90.6411,-10.2497,-174.9328,7102.8844,2020.7167,91.2238,-175.8922,7193.5255,2030.9665
1,Line,,,,,,,,,,,,,,270,0.0995,-34.8804,-3.3679,-115.7187,6362.4104,2157.4478,35.0427,-115.8181,6397.2908,2160.8156
1,Line,,,,,,,,,,,,,,90,0.1331,38.4139,4.0471,-217.4102,6403.7112,2101.9966,38.6267,-217.5433,6365.2973,2097.9495
1,Line,,,,,,,,,,,,,,90,-0.0011,0.6659,0.0670,-193.9396,6292.1766,1967.2157,0.6693,-193.9385,6291.5107,1967.1487
1,Line,,,,,,,,,,,,,,1,0.1538,0.0037,0.4045,-102.7436,6292.5809,2196.5664,0.4327,-102.8974,6292.5772,2196.1619
1,Line,,,,,,,,,,,,,,152,-0.0984,0.0523,-0.2536,-102.8518,6268.3960,2193.9707,0.2770,-102.7534,6268.3437,2194.2243
1,Line,,,,,,,,,,,,,,90,-0.1629,27.3966,2.2801,-106.3484,6269.6929,2187.7242,27.4918,-106.1856,6242.2963,2185.4441
1,Line,,,,,,,,,,,,,,91,-0.3326,37.9204,3.4707,-120.6799,6284.4237,2145.5147,38.0803,-120.3473,6246.5033,2142.0440
1,Line,,,,,,,,,,,,,,270,0.1382,-48.4673,-4.6797,-115.8181,6397.2908,2160.8156,48.6929,-115.9564,6445.7581,2165.4954
1,Line,,,,,,,,,,,,,,270,-0.1813,-45.2765,-3.9027,-208.7200,6927.1765,2066.5398,45.4447,-208.5387,6972.4529,2070.4424
1,Line,,,,,,,,,,,,,,270,-0.1798,-44.9178,-3.8717,-209.4976,6732.9532,2049.7985,45.0847,-209.3177,6777.8710,2053.6703
1,Line,,,,,,,,,,,,,,270,-0.0490,-35.1119,-3.2933,-219.5161,6369.6900,2087.3016,35.2660,-219.4671,6404.8019,2090.5948
1,Line,,,,,,,,,,,,,,90,0.1605,29.0129,2.0503,-215.5862,6361.3916,2064.4938,29.0857,-215.7467,6332.3787,2062.4435
1,Line,,,,,,,,,,,,,,90,-0.0817,50.3600,5.0702,-193.9385,6291.5107,1967.1487,50.6146,-193.8568,6241.1507,1962.0784
1,Line,,,,,,,,,,,,,,271,1.1921,-112.6229,-12.7354,-175.8922,7193.5255,2030.9665,113.3470,-177.0842,7306.1484,2043.7019
1,Line,,,,,,,,,,,,,,270,-0.1206,-30.1153,-2.5958,-210.1293,6575.1797,2036.1991,30.2272,-210.0087,6605.2950,2038.7949
1,Line,,,,,,,,,,,,,,90,0.1270,36.6615,3.8625,-217.5433,6365.2973,2097.9495,36.8647,-217.6703,6328.6357,2094.0870
1,Line,,,,,,,,,,,,,,270,0.1339,-70.9339,-6.4278,-104.5615,7174.3641,2276.0672,71.2246,-104.6953,7245.2980,2282.4950
1,Line,,,,,,,,,,,,,,270,0.1033,-54.7261,-4.9591,-104.4582,7119.6380,2271.1081,54.9504,-104.5615,7174.3641,2276.0672
1,Line,,,,,,,,,,,,,,91,-0.4253,48.4925,4.4383,-122.0997,6446.2977,2160.3305,48.6971,-121.6744,6397.8051,2155.8921
1,Line,,,,,,,,,,,,,,91,-0.7645,37.8781,3.4068,-130.6771,6284.5880,2144.1423,38.0387,-129.9126,6246.7099,2140.7355
1,Line,,,,,,,,,,,,,,270,-0.2904,-208.1310,-19.5214,-218.4921,7103.5185,2156.1299,209.0447,-218.2016,7311.6495,2175.6513
1,Line,,,,,,,,,,,,,,270,-0.0556,-39.8133,-3.7342,-219.2500,6560.3393,2105.1832,39.9881,-219.1945,6600.1526,2108.9175
1,Line,,,,,,,,,,,,,,270,1.2749,-675.5924,-61.2204,-103.1832,6444.0456,2209.8876,678.3618,-104.4582,7119.6380,2271.1081
1,Line,,,,,,,,,,,,,,270,0.0191,-10.1365,-0.9185,-102.8651,6275.4460,2194.6095,10.1781,-102.8842,6285.5826,2195.5281
1,Line,,,,,,,,,,,,,,90,-0.0647,39.8297,4.0101,-194.3037,6516.4550,1989.7961,40.0311,-194.2390,6476.6253,1985.7861
1,Line,,,,,,,,,,,,,,90,-0.0816,50.2400,5.0582,-194.3852,6566.6950,1994.8543,50.4941,-194.3037,6516.4550,1989.7961
1,Line,,,,,,,,,,,,,,90,0.1584,45.7282,4.8177,-216.5699,6646.2890,2127.5535,45.9816,-216.7283,6600.5607,2122.7357
1,Line,,,,,,,,,,,,,,90,0.1766,50.9833,5.3714,-216.3933,6697.2722,2132.9248,51.2657,-216.5699,6646.2890,2127.5535
1,Line,,,,,,,,,,,,,,91,-0.7045,34.9071,3.1396,-132.9671,6398.0490,2154.3472,35.0551,-132.2626,6363.1419,2151.2076
1,Line,,,,,,,,,,,,,,90,0.1716,31.0131,2.1917,-214.2586,6601.3539,2081.4520,31.0910,-214.4302,6570.3407,2079.2603
