Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,66.3096,,,,,,,,,,0,0.0000,0.0000,66.3096,290.4160,0.0000,360.5378,290.4160,0.0000,294.2283
1,Line,6.5000,,,,,,,,,,90,0.0000,6.5000,0.0000,305.5825,0.0000,263.1685,305.5825,-6.5000,263.1685
1,Line,6.5000,,,,,,,,,,270,0.0000,-6.5000,0.0000,290.4160,-6.5000,377.5378,290.4160,0.0000,377.5378
1,Line,17.0000,,,,,,,,,,0,0.0000,0.0000,17.0000,290.4160,0.0000,377.5378,290.4160,0.0000,360.5378
1,Line,16.2500,,,,,,,,,,180,-16.2500,0.0000,0.0000,286.9722,-6.5000,276.2660,303.2222,-6.5000,276.2660
1,Line,10.7500,,,,,,,,,,0,0.0000,0.0000,10.7500,303.2222,-6.5000,276.2660,303.2222,-6.5000,265.5160
1,Line,16.0000,,,,,,,,,,270,0.0000,0.0000,-16.0000,305.5825,0.0000,263.1685,305.5825,0.0000,279.1685
1,Line,6.5048,,,,,,,,,,92,-0.2500,6.5000,0.0000,305.5825,0.0000,279.1685,305.8325,-6.5000,279.1685
1,Line,17.0000,,,,,,,,,,180,-17.0000,0.0000,0.0000,248.4722,-6.5000,278.0160,265.4722,-6.5000,278.0160
1,Line,20.0811,,,,,,,,,,0,19.0000,0.0000,-6.5000,317.7222,553.5000,366.6043,298.7222,553.5000,373.1043
1,Line,54.7500,,,,,,,,,,0,54.7500,0.0000,0.0000,303.2222,-6.5000,265.5160,248.4722,-6.5000,265.5160
1,Line,12.5000,,,,,,,,,,0,0.0000,0.0000,-12.5000,248.4722,-6.5000,265.5160,248.4722,-6.5000,278.0160
1,Line,16.0000,,,,,,,,,,0,0.0000,0.0000,16.0000,305.8325,-6.5000,279.1685,305.8325,-6.5000,263.1685
1,Line,170.7500,,,,,,,,,,90,0.0000,0.0000,-170.7500,546.0283,0.0000,234.4118,546.0283,0.0000,405.1618
1,Line,83.3096,,,,,,,,,,0,0.0000,0.0000,83.3096,290.4160,-6.5000,377.5378,290.4160,-6.5000,294.2283
1,Line,23.4441,,,,,,,,,,180,-21.7500,0.0000,-8.7500,246.7569,-6.5000,369.2878,268.5069,-6.5000,378.0378
1,Line,528.5000,,,,,,,,,,0,528.5000,0.0000,0.0000,546.0283,0.0000,405.1618,17.5283,0.0000,405.1618
1,Line,6.5048,,,,,,,,,,272,0.2500,-6.5000,0.0000,305.8325,-6.5000,263.1685,305.5825,0.0000,263.1685
1,Line,528.5000,,,,,,,,,,180,-528.5000,0.0000,0.0000,17.5283,0.0000,234.4118,546.0283,0.0000,234.4118
1,Line,170.7500,,,,,,,,,,270,0.0000,0.0000,170.7500,17.5283,0.0000,405.1618,17.5283,0.0000,234.4118
1,Arc,824.4717,81596.5643,0.0000,268.7430,377.7071,165.7500,153,285,,,,,,,,,,,,
1,Arc,86.7865,324.1653,0.0000,268.7430,377.7071,165.7500,123,30,,,,,,,,,,,,
1,Arc,7.2322,0.1902,0.0000,268.7430,377.7071,165.7500,120,2,,,,,,,,,,,,
1,Arc,43.3932,40.9396,0.0000,268.7430,377.7071,165.7500,105,15,,,,,,,,,,,,
1,Arc,43.3932,40.9396,0.0000,268.7430,377.7071,165.7500,120,15,,,,,,,,,,,,
1,Arc,46.9869,45.8953,0.0000,260.2999,357.1967,187.7683,60,14,,,,,,,,,,,,
1,Arc,130.1797,1075.4520,0.0000,268.7430,377.7071,165.7500,77,45,,,,,,,,,,,,
1,Line,42.7500,,,,,,,,,,270,0.0000,-42.7500,0.0000,9.7500,369.5367,460.5821,9.7500,412.2867,460.5821
1,Arc,36.1610,23.7167,0.0000,268.7430,377.7071,165.7500,77,13,,,,,,,,,,,,
1,Arc,180.8052,2799.7791,0.0000,268.7430,377.7071,165.7500,15,63,,,,,,,,,,,,
1,Line,9.7500,,,,,,,,,,0,9.7500,0.0000,0.0000,9.7500,351.6180,521.2508,0.0000,351.6180,521.2508
1,Arc,43.3932,40.9396,0.0000,268.7430,377.7071,165.7500,90,15,,,,,,,,,,,,
1,Arc,21.6966,5.1306,0.0000,268.7430,377.7071,165.7500,128,8,,,,,,,,,,,,
1,Arc,14.4644,1.5209,0.0000,268.7430,377.7071,165.7500,123,5,,,,,,,,,,,,
1,Arc,607.5055,57215.2822,0.0000,268.7430,377.7071,165.7500,165,210,,,,,,,,,,,,
