Count,Name,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,90,0.0000,1.6733,-0.6101,392.3892,-198.8887,14.8605,1.7810,392.3892,-200.5619,15.4706,,,,,,
1,Line,90,0.0000,-1.7542,-0.3082,392.3892,-201.7490,1.9945,1.7810,392.3892,-199.9949,2.3027,,,,,,
1,Line,90,0.0000,1.1440,-1.3650,392.3892,-196.2863,12.4730,1.7810,392.3892,-197.4303,13.8380,,,,,,
1,Line,90,0.0000,-1.3650,-1.1440,392.3892,-198.3803,3.0545,1.7810,392.3892,-197.0152,4.1985,,,,,,
1,Line,90,0.0000,1.4583,-1.0224,392.3892,-197.4303,13.8380,1.7810,392.3892,-198.8887,14.8605,,,,,,
1,Line,90,0.0000,-1.7923,1.0088,140.0664,-242.1188,18.9836,2.0567,140.0664,-240.3265,17.9748,,,,,,
1,Line,90,0.0000,1.9807,0.5540,140.0664,-241.9597,4.4270,2.0567,140.0664,-243.9404,3.8730,,,,,,
1,Line,90,0.0000,-1.9923,0.5106,140.0664,-244.1111,19.4942,2.0567,140.0664,-242.1188,18.9836,,,,,,
1,Line,90,0.0000,1.4383,1.4701,140.0664,-238.7516,6.9448,2.0567,140.0664,-240.1899,5.4747,,,,,,
1,Line,90,0.0000,-1.4701,1.4383,140.0664,-240.3265,17.9748,2.0567,140.0664,-238.8564,16.5365,,,,,,
1,Line,90,0.0000,1.7698,1.0477,140.0664,-240.1899,5.4747,2.0567,140.0664,-241.9597,4.4270,,,,,,
1,Line,90,0.0000,2.0566,0.0225,140.0664,-243.9404,3.8730,2.0567,140.0664,-245.9970,3.8505,,,,,,
1,Line,90,0.0000,-1.9807,-0.5540,140.0664,-248.1483,18.9177,2.0567,140.0664,-246.1677,19.4717,,,,,,
1,Line,90,0.0000,-1.0088,-1.7923,140.0664,-252.3653,14.6076,2.0567,140.0664,-251.3565,16.3999,,,,,,
1,Line,90,0.0000,1.0477,-1.7698,140.0664,-251.2517,6.8082,2.0567,140.0664,-252.2994,8.5780,,,,,,
1,Line,90,0.0000,1.9923,-0.5106,140.0664,-245.9970,3.8505,2.0567,140.0664,-247.9893,4.3611,,,,,,
1,Line,90,0.0000,-2.0566,-0.0225,140.0664,-246.1677,19.4717,2.0567,140.0664,-244.1111,19.4942,,,,,,
1,Line,90,0.0000,1.7923,-1.0088,140.0664,-247.9893,4.3611,2.0567,140.0664,-249.7816,5.3699,,,,,,
1,Line,90,0.0000,0.0225,-2.0566,138.2947,-252.8534,10.5587,2.0567,138.2947,-252.8759,12.6153,,,,,,
1,Line,180,-1.7717,0.0000,0.0000,138.2947,-252.8759,12.6153,1.7717,140.0664,-252.8759,12.6153,,,,,,
1,Line,90,0.0000,0.5540,-1.9807,138.2947,-252.2994,8.5780,2.0567,138.2947,-252.8534,10.5587,,,,,,
1,Line,180,-1.7717,0.0000,0.0000,138.2947,-251.3565,16.3999,1.7717,140.0664,-251.3565,16.3999,,,,,,
1,Line,90,0.0000,-0.5106,-1.9923,138.2947,-252.8759,12.6153,2.0567,138.2947,-252.3653,14.6076,,,,,,
1,Line,180,-1.7717,0.0000,0.0000,138.2947,-252.3653,14.6076,1.7717,140.0664,-252.3653,14.6076,,,,,,
1,Line,180,-1.7717,0.0000,0.0000,138.2947,-252.8534,10.5587,1.7717,140.0664,-252.8534,10.5587,,,,,,
1,Line,90,0.0000,-0.5540,1.9807,140.0664,-237.8087,14.7667,2.0567,140.0664,-237.2547,12.7860,,,,,,
1,Line,90,0.0000,1.0088,1.7923,140.0664,-237.7428,8.7371,2.0567,140.0664,-238.7516,6.9448,,,,,,
1,Line,90,0.0000,-1.0477,1.7698,140.0664,-238.8564,16.5365,2.0567,140.0664,-237.8087,14.7667,,,,,,
1,Line,0,1.7717,0.0000,0.0000,140.0664,-252.2994,8.5780,1.7717,138.2947,-252.2994,8.5780,,,,,,
1,Line,90,0.0000,-0.0225,2.0566,140.0664,-237.2547,12.7860,2.0567,140.0664,-237.2322,10.7294,,,,,,
1,Line,90,0.0000,0.5106,1.9923,140.0664,-237.2322,10.7294,2.0567,140.0664,-237.7428,8.7371,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-196.2863,12.4730,1.8504,394.2396,-196.2863,12.4730,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-197.0152,4.1985,1.8504,392.3892,-197.0152,4.1985,,,,,,
1,Line,90,0.0000,1.3650,1.1440,394.2396,-197.0152,4.1985,1.7810,394.2396,-198.3803,3.0545,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-195.9928,5.6568,1.8504,392.3892,-195.9928,5.6568,,,,,,
1,Line,90,0.0000,1.0224,1.4583,394.2396,-195.9928,5.6568,1.7810,394.2396,-197.0152,4.1985,,,,,,
1,Line,90,0.0000,1.1440,-1.3650,394.2396,-196.2863,12.4730,1.7810,394.2396,-197.4303,13.8380,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-197.4303,13.8380,1.8504,394.2396,-197.4303,13.8380,,,,,,
1,Line,180,-1.8504,0.0000,0.0000,392.3892,-198.8887,14.8605,1.8504,394.2396,-198.8887,14.8605,,,,,,
1,Line,90,0.0000,1.6733,-0.6101,394.2396,-198.8887,14.8605,1.7810,394.2396,-200.5619,15.4706,,,,,,
1,Line,0,1.8504,0.0000,0.0000,394.2396,-199.9949,2.3027,1.8504,392.3892,-199.9949,2.3027,,,,,,
