Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-4.9993,64.7791,-0.0492,-4.9993,64.7791,-1.0782
1,Line,0.0368,,,,,,,,0,0.0368,0.0000,0.0000,-9.0297,117.9029,-0.0492,-9.0664,117.9029,-0.0492
1,Line,2.9710,,,,,,,,89,0.0480,2.9706,0.0000,-9.0184,131.0383,1.9648,-9.0664,128.0677,1.9648
1,Line,57.8733,,,,,,,,270,-0.0439,-57.8733,0.0000,-7.0681,69.8571,8.9728,-7.0242,127.7305,8.9728
1,Line,5.0400,,,,,,,,180,-5.0400,0.0000,0.0000,-7.0217,131.0311,8.9728,-1.9817,131.0311,8.9728
1,Line,2.9710,,,,,,,,0,0.0000,0.0000,-2.9710,-9.0664,128.0677,1.9648,-9.0664,128.0677,4.9358
1,Arc,3.0725,1.5024,-1.9817,79.8071,-1.0782,0.9780,180,180,,,,,,,,,,
1,Line,1.9484,,,,,,,,270,0.0000,-1.9484,0.0000,-7.0217,78.8329,-1.0782,-7.0217,80.7813,-1.0782
1,Line,35.0678,,,,,,,,90,0.0368,35.0678,0.0000,-9.0297,117.9029,-0.0492,-9.0664,82.8351,-0.0492
1,Line,1.9470,,,,,,,,90,0.0000,1.9470,0.0000,-1.9817,80.7806,-1.0782,-1.9817,78.8336,-1.0782
1,Arc,3.0850,1.5148,-7.0217,79.8071,-1.0782,0.9820,180,180,,,,,,,,,,
1,Line,1.0410,,,,,,,,0,0.0000,0.0000,-1.0410,-4.9993,67.8311,-1.0902,-4.9993,67.8311,-0.0492
1,Line,15.0040,,,,,,,,270,0.0000,-15.0040,0.0000,-9.0664,67.8311,-0.0492,-9.0664,82.8351,-0.0492
1,Line,0.0015,,,,,,,,270,0.0000,-0.0015,0.0000,-7.0681,69.8556,8.9728,-7.0681,69.8571,8.9728
1,Line,1.0117,,,,,,,,180,-1.0117,0.0069,0.0000,-4.9994,67.8380,-0.0492,-3.9877,67.8311,-0.0492
1,Line,1.0167,,,,,,,,0,1.0167,0.0034,0.0000,-3.9826,67.8414,-0.0492,-4.9994,67.8380,-0.0492
1,Line,2.3108,,,,,,,,180,-2.0690,0.0000,-1.0290,-1.9817,82.8300,-1.0782,0.0873,82.8300,-0.0492
1,Line,1.5030,,,,,,,,90,0.0000,1.5030,0.0000,-6.0424,67.8311,6.9728,-6.0424,66.3281,6.9728
1,Line,61.1740,,,,,,,,270,0.0000,-61.1740,0.0000,-7.0217,69.8571,8.9728,-7.0217,131.0311,8.9728
1,Line,5.0864,,,,,,,,0,5.0864,0.0000,0.0000,-1.9817,69.8556,8.9728,-7.0681,69.8556,8.9728
1,Line,0.0052,,,,,,,,82,0.0007,0.0051,0.0000,-7.0209,82.8351,-0.0492,-7.0217,82.8300,-0.0492
1,Line,0.0464,,,,,,,,180,-0.0464,0.0000,0.0000,-7.0681,69.8571,8.9728,-7.0217,69.8571,8.9728
1,Line,2.3108,,,,,,,,0,2.0690,0.0000,1.0290,0.0873,117.9029,-0.0492,-1.9817,117.9029,-1.0782
1,Line,5.0393,,,,,,,,0,5.0393,0.0000,0.0000,-1.9817,82.8351,-0.0492,-7.0209,82.8351,-0.0492
1,Line,2.3108,,,,,,,,0,2.0690,0.0000,1.0290,0.0873,82.8351,-0.0492,-1.9817,82.8351,-1.0782
1,Line,35.0678,,,,,,,,90,0.0000,35.0678,0.0000,0.0873,117.9029,-0.0492,0.0873,82.8351,-0.0492
1,Line,0.0115,,,,,,,,64,0.0051,0.0103,0.0000,-3.9826,67.8414,-0.0492,-3.9877,67.8311,-0.0492
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-3.9826,67.8414,-0.0492,-3.9826,67.8414,-1.0782
1,Line,1.0167,,,,,,,,180,-1.0167,-0.0034,0.0000,-4.9994,67.8380,-1.0782,-3.9826,67.8414,-1.0782
1,Line,1.5030,,,,,,,,270,0.0000,-1.5030,0.0000,-2.9897,66.3281,6.9728,-2.9897,67.8311,6.9728
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-4.9994,67.8380,-0.0492,-4.9994,67.8380,-1.0782
1,Line,3.0183,,,,,,,,90,0.0000,3.0183,0.0000,0.0873,111.0123,1.9988,0.0873,107.9941,1.9988
1,Line,1.7680,,,,,,,,90,0.0000,1.7680,0.0000,-1.9817,129.9001,-1.0782,-1.9817,128.1321,-1.0782
1,Line,2.0487,,,,,,,,270,0.0000,-2.0487,0.0000,-7.0217,80.7813,-1.0782,-7.0217,82.8300,-1.0782
1,Line,2.2891,,,,,,,,180,-2.0448,0.0000,1.0290,-9.0664,117.9029,-0.0492,-7.0217,117.9029,-1.0782
1,Line,1.9477,,,,,,,,90,0.0017,1.9477,0.0000,-7.0109,129.9899,-1.0782,-7.0126,128.0422,-1.0782
1,Line,2.1443,,,,,,,,90,0.0000,2.1443,0.0000,-1.9817,132.0443,-1.0782,-1.9817,129.9001,-1.0782
1,Line,0.0051,,,,,,,,90,0.0000,0.0051,0.0000,-1.9817,82.8351,-1.0782,-1.9817,82.8300,-1.0782
1,Line,5.0400,,,,,,,,0,5.0400,0.0000,0.0000,-1.9817,82.8300,-1.0782,-7.0217,82.8300,-1.0782
1,3D Polyline,3.0700,,,,,,,,,,,,,,,,,
1,Arc,3.0788,1.5086,-7.0117,129.0161,-1.0782,0.9800,180,180,,,,,,,,,,
1,Line,2.0453,,,,,,,,90,0.0018,2.0453,0.0000,-7.0090,132.0352,-1.0782,-7.0109,129.9899,-1.0782
1,Line,5.0274,,,,,,,,180,-5.0274,-0.0091,0.0000,-7.0090,132.0352,-0.0492,-1.9817,132.0443,-0.0492
1,Line,3.1030,,,,,,,,180,-0.0024,0.0000,-3.1030,-9.0625,72.9454,1.8328,-9.0602,72.9454,4.9358
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-7.0217,67.8311,-0.0492,-7.0217,67.8311,-1.0782
1,Line,5.0274,,,,,,,,0,5.0274,0.0091,0.0000,-1.9817,132.0443,-1.0782,-7.0090,132.0352,-1.0782
1,Line,3.0340,,,,,,,,270,0.0000,-3.0340,0.0000,-9.0298,113.0113,4.9358,-9.0298,116.0453,4.9358
1,Line,2.2891,,,,,,,,180,-2.0448,0.0000,1.0290,-9.0664,82.8351,-0.0492,-7.0217,82.8351,-1.0782
