Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9774,576.2093,215.8208,73.4777,576.2090,215.8658,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9678,577.5666,215.0836,73.4681,577.5663,215.1286,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0007,573.6989,217.6164,73.5010,573.6986,217.6614,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9884,574.9172,216.6670,73.4887,574.9168,216.7120,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9597,578.9799,214.4604,73.4600,578.9796,214.5054,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9596,588.4370,214.5172,73.4598,588.4367,214.5622,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9677,589.6215,215.1567,73.4680,589.6212,215.2017,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9531,580.4396,213.9553,73.4533,580.4393,214.0003,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9524,587.2137,213.9553,73.4527,587.2134,214.0003,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0143,572.5627,218.6627,73.5146,572.5624,218.7077,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.7543,567.8550,276.1782,74.2546,567.8547,276.2232,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.1160,567.8549,226.5390,73.6163,567.8546,226.5840,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.7938,568.1800,279.2531,74.2941,568.1797,279.2981,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.7742,567.9365,277.7242,74.2745,567.9362,277.7692,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0972,568.3600,225.0794,73.5975,568.3597,225.1244,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0448,570.5668,221.0170,73.5450,570.5665,221.0620,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0290,571.5163,219.7988,73.5293,571.5160,219.8438,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0790,568.9833,223.6663,73.5793,568.9830,223.7113,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0614,569.7205,222.3091,73.5617,569.7202,222.3541,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9767,590.7623,215.8712,73.4770,590.7620,215.9162,,,,,,
1,Arc,18.5879,33.5844,77.7530,582.5659,276.1782,14.7109,108,72,,,,,,,,,,,,,,,,,,
1,Line,49.6433,,,,,,,,,,0,-0.6383,-0.0001,-49.6392,77.1160,567.8549,226.5390,77.7543,567.8550,276.1782,,,,,,
1,Arc,18.8831,33.4967,77.7458,582.7954,275.6228,15.5596,110,70,,,,,,,,,,,,,,,,,,
1,Line,10.1191,,,,,,,,,,90,0.0009,-10.1191,0.0000,77.9336,578.1168,290.1990,77.9327,588.2359,290.1990,,,,,,
1,Arc,18.5406,26.9230,77.1839,585.8484,231.9473,18.7888,197,57,,,,,,,,,,,,,,,,,,
1,Arc,1.2463,0.0169,74.0013,532.6644,256.2736,9.5211,353,7,,,,,,,,,,,,,,,,,,
1,Arc,13.7094,20.3265,74.0013,532.6644,256.2736,9.5211,270,83,,,,,,,,,,,,,,,,,,
1,Line,6.7741,,,,,,,,,,90,-0.0006,6.7741,0.0000,76.9524,587.2137,213.9553,76.9531,580.4396,213.9553,,,,,,
1,Line,50.5313,,,,,,,,,,0,0.6497,0.0001,50.5272,77.7444,598.3550,275.6228,77.0947,598.3549,225.0956,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0947,598.3549,225.0956,73.5950,598.3546,225.1406,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0094,593.8761,218.4338,73.5097,593.8758,218.4788,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0220,594.7968,219.4158,73.5222,594.7965,219.4608,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9868,591.8547,216.6578,73.4871,591.8543,216.7028,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,76.9977,592.8940,217.5132,73.4980,592.8937,217.5582,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0352,595.6522,220.4551,73.5355,595.6519,220.5001,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0790,597.7931,223.8724,73.5793,597.7927,223.9174,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.7444,598.3550,275.6228,74.2447,598.3547,275.6678,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0492,596.4389,221.5473,73.5495,596.4386,221.5923,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.0638,597.1535,222.6880,73.5641,597.1532,222.7331,,,,,,
1,3D Polyline,14.9451,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,3.1073,,,,,,,,,,90,-0.0003,3.1073,0.0000,77.3783,535.7720,246.7083,77.3786,532.6647,246.7083,,,,,,
1,Arc,19.2615,38.5184,77.7316,532.8178,274.1674,14.0759,102,78,,,,,,,,,,,,,,,,,,
1,Line,19.2254,,,,,,,,,,0,-0.2472,0.0000,-19.2238,77.5018,523.1436,256.2286,77.7490,523.1436,275.4524,,,,,,
1,Line,16.3399,,,,,,,,,,0,0.2101,0.0000,16.3385,74.2306,546.8933,274.2124,74.0205,546.8933,257.8739,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.7646,598.2755,277.1935,74.2649,598.2752,277.2385,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.7846,598.0378,278.7483,74.2849,598.0375,278.7933,,,,,,
1,Arc,19.2615,38.5184,74.2319,532.8174,274.2124,14.0759,102,78,,,,,,,,,,,,,,,,,,
1,Line,3.1073,,,,,,,,,,90,-0.0003,3.1073,0.0000,73.8786,535.7717,246.7533,73.8789,532.6644,246.7533,,,,,,
1,Line,16.3399,,,,,,,,,,0,0.2101,0.0000,16.3385,77.7303,546.8936,274.1674,77.5203,546.8936,257.8289,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.3954,527.9042,247.9838,73.8957,527.9038,248.0288,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.3882,529.0211,247.4330,73.8885,529.0208,247.4780,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.4150,525.9323,249.4967,73.9153,525.9319,249.5417,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.4044,526.8686,248.6756,73.9047,526.8683,248.7206,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.3830,530.2005,247.0327,73.8832,530.2002,247.0777,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.3786,532.6647,246.7083,73.8789,532.6644,246.7533,,,,,,
1,3D Polyline,17.4572,,,,,,,,,,,,,,,,,,,,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.3797,531.4220,246.7897,73.8800,531.4216,246.8347,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.3783,535.7720,246.7083,73.8786,535.7717,246.7533,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8042,597.6443,280.2711,74.3045,597.6440,280.3161,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.9073,573.9808,288.1232,74.4076,573.9805,288.1682,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8950,572.7728,287.1549,74.3953,572.7725,287.1999,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.9268,576.6677,289.6538,74.4271,576.6674,289.6988,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.9180,575.2839,288.9593,74.4182,575.2836,289.0043,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8811,571.6733,286.0649,74.3814,571.6730,286.1099,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8315,569.1406,282.1921,74.3318,569.1403,282.2371,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8130,568.5829,280.7479,74.3133,568.5826,280.7929,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8657,570.6945,284.8654,74.3660,570.6942,284.9104,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8492,569.8471,283.5697,74.3494,569.8468,283.6147,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.9336,578.1168,290.1990,74.4339,578.1164,290.2440,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8587,595.5773,284.4947,74.3590,595.5770,284.5397,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8748,594.6162,285.7398,74.3751,594.6159,285.7848,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8232,597.0991,281.7463,74.3235,597.0988,281.7913,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8415,596.4078,283.1590,74.3417,596.4074,283.2040,,,,,,
1,Line,3.5000,,,,,,,,,,0,3.4997,0.0003,-0.0450,77.8896,593.5343,286.8814,74.3899,593.5340,286.9264,,,,,,
