Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0221,,,,,,,,,,,,,,,,113,-0.0062,0.0150,0.0150,0.3701,1.3037,0.8522,0.3763,1.2887,0.8372
1,Line,0.0150,,,,,,,,,,,,,,,,90,0.0000,-0.0150,0.0000,0.2036,1.3037,0.7755,0.2036,1.3187,0.7755
1,Line,0.0221,,,,,,,,,,,,,,,,135,-0.0150,0.0150,0.0062,0.3300,1.3037,0.8121,0.3450,1.2887,0.8059
1,Line,0.0150,,,,,,,,,,,,,,,,90,0.0000,-0.0150,0.0000,0.3900,1.3037,0.7647,0.3900,1.3187,0.7647
1,Line,0.0226,,,,,,,,,,,,,,,,90,0.0000,0.0000,0.0226,0.3900,1.3037,0.7873,0.3900,1.3037,0.7647
1,Line,0.0618,,,,,,,,,,,,,,,,180,-0.0437,0.0000,-0.0437,0.3313,1.2887,0.7272,0.3750,1.2887,0.7709
1,Line,0.0394,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.0394,0.2636,1.3037,0.8398,0.2636,1.3037,0.8004
1,Line,0.0221,,,,,,,,,,,,,,,,68,-0.0062,-0.0150,0.0150,0.3313,1.2887,0.7272,0.3375,1.3037,0.7122
1,Line,0.0706,,,,,,,,,,,,,,,,180,0.0706,0.0000,0.0000,0.3375,1.3037,0.7122,0.2669,1.3037,0.7122
1,Line,0.0221,,,,,,,,,,,,,,,,45,0.0150,0.0150,0.0062,0.2636,1.3037,0.8004,0.2486,1.2887,0.7941
1,Line,0.0518,,,,,,,,,,,,,,,,90,0.0000,0.0000,0.0518,0.2486,1.2887,0.8460,0.2486,1.2887,0.7941
1,Line,0.0221,,,,,,,,,,,,,,,,45,0.0150,0.0150,-0.0062,0.2636,1.3037,0.8398,0.2486,1.2887,0.8460
1,Line,0.0150,,,,,,,,,,,,,,,,90,0.0000,-0.0150,0.0000,0.3900,1.3037,0.7873,0.3900,1.3187,0.7873
1,Line,2.6005,,,,,,,,,,,,,,,,180,2.6005,0.0000,0.0000,5.2188,0.6887,0.3065,2.6183,0.6887,0.3065
1,Line,0.5214,,,,,,,,,,,,,,,,0,0.3695,0.0000,-0.3679,2.6183,0.6887,0.3065,2.2488,0.6887,0.6744
