Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,38.0000,,,,,,,,,,,,90,0.0000,38.0000,0.0000,528.6535,209.7416,26.2456,528.6535,171.7416,26.2456
1,Line,,,,,38.0000,,,,,,,,,,,,90,0.0000,38.0000,0.0000,527.5285,209.7416,25.5961,527.5285,171.7416,25.5961
1,Circle,1.7671,528.2785,171.7416,25.5961,,0.7500,,,4.7124,1.5000,,,,,,,,,,,,,,,,
1,Line,,,,,0.6495,,,,,,,,,,,,90,0.0000,0.6495,0.0000,528.6535,209.7416,24.9466,528.6535,209.0921,24.9466
1,Line,,,,,37.3505,,,,,,,,,,,,90,0.0000,37.3505,0.0000,527.9035,209.0921,24.9466,527.9035,171.7416,24.9466
1,Line,,,,,37.3505,,,,,,,,,,,,90,0.0000,37.3505,0.0000,528.6535,209.0921,24.9466,528.6535,171.7416,24.9466
1,Line,,,,,0.6495,,,,,,,,,,,,0,0.0000,0.0000,0.6495,528.6535,209.0921,25.5961,528.6535,209.0921,24.9466
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,-5.5000,536.1535,210.3911,20.0961,536.1535,210.3911,25.5961
1,Line,,,,,0.6495,,,,,,,,,,,,0,0.0000,0.0000,-0.6495,536.9035,209.0921,24.9466,536.9035,209.0921,25.5961
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,-5.5000,535.7785,209.7416,20.0961,535.7785,209.7416,25.5961
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,-5.5000,536.9035,210.3911,20.0961,536.9035,210.3911,25.5961
1,Line,,,,,4.8505,,,,,,,,,,,,0,0.0000,0.0000,4.8505,528.6535,209.0921,24.9466,528.6535,209.0921,20.0961
1,Line,,,,,5.5000,,,,,,,,,,,,0,0.0000,0.0000,5.5000,528.6535,210.3911,25.5961,528.6535,210.3911,20.0961
1,Line,,,,,0.6495,,,,,,,,,,,,0,0.0000,0.0000,-0.6495,536.1535,209.0921,24.9466,536.1535,209.0921,25.5961
