Count,Name,Length,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,55.6653,-43.3724,121.4264,55.6653,-43.3724,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,62.5026,-41.5403,121.4264,62.5026,-41.5403,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,61.2955,-41.0403,121.4264,61.2955,-41.0403,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,64.3347,-43.3724,121.4264,64.3347,-43.3724,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,63.5393,-42.3357,121.4264,63.5393,-42.3357,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,57.4974,-41.5403,121.4264,57.4974,-41.5403,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,56.4607,-42.3357,121.4264,56.4607,-42.3357,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,60.0000,-40.8697,121.4264,60.0000,-40.8697,120.4264
1,Line,1.0000,,,,,,,,,,,,,,,,0,0.0000,0.0000,1.0000,58.7045,-41.0403,121.4264,58.7045,-41.0403,120.4264
1,Line,0.5000,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.5000,54.0000,-45.8750,120.9264,54.0000,-45.8750,120.4264
1,Line,0.5000,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.5000,54.1646,-44.6250,120.9264,54.1646,-44.6250,120.4264
1,Line,0.5000,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.5000,54.8038,-42.8750,120.9264,54.8038,-42.8750,120.4264
1,Line,0.5000,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.5000,54.2044,-44.3221,120.9264,54.2044,-44.3221,120.4264
1,Line,0.5000,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.5000,52.1731,-50.3939,120.9264,52.1731,-50.3939,120.4264
1,Line,0.5000,,,,,,,,,,,,,,,,0,0.0000,0.0000,0.5000,51.2702,-48.2141,120.9264,51.2702,-48.2141,120.4264
