Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,0.2376,,,,,,,,,,90,0.0000,-0.2376,0.0000,-2.3371,-1.3614,0.0583,-2.3371,-1.1239,0.0583,,,,,,
1,Circle,,0.5948,-2.1196,-1.1239,0.4351,0.4351,,,2.7340,0.8703,,,,,,,,,,,,,,,,
1,Line,0.2376,,,,,,,,,,90,0.0000,-0.2376,0.0000,-2.2322,-1.3614,0.0148,-2.2322,-1.1239,0.0148,,,,,,
1,Circle,,0.5948,-2.1196,-1.3614,0.4351,0.4351,,,2.7340,0.8703,,,,,,,,,,,,,,,,
1,Circle,,0.0141,-2.1196,-1.2945,0.4351,0.0669,,,0.4206,0.1339,,,,,,,,,,,,,,,,
1,Line,0.0335,,,,,,,,,,90,0.0000,0.0335,0.0000,3.4546,1.3280,0.3286,3.4546,1.2945,0.3286,,,,,,
1,Line,0.0335,,,,,,,,,,90,0.0000,0.0335,0.0000,3.4392,1.3280,0.3350,3.4392,1.2945,0.3350,,,,,,
1,Line,0.0669,,,,,,,,,,90,0.0000,0.0669,0.0000,-2.3079,-1.2945,0.6235,-2.3079,-1.3614,0.6235,,,,,,
1,Wheel,,,,,,,,,,,,,,,,,,,,,-1.8038,-1.2679,0.1242,1.0000,1.0000,-1.0000
1,Line,0.2376,,,,,,,,,,90,0.0000,-0.2376,0.0000,-1.6844,-1.3614,0.4351,-1.6844,-1.1239,0.4351,,,,,,
1,Circle,,0.0055,-2.1196,-1.3280,0.4351,0.0418,,,0.2629,0.0837,,,,,,,,,,,,,,,,
1,Line,0.0335,,,,,,,,,,90,0.0000,-0.0335,0.0000,-2.0900,-1.3280,0.4647,-2.0900,-1.2945,0.4647,,,,,,
1,Circle,,0.0009,-2.2363,-1.3280,0.5518,0.0167,,,0.1052,0.0335,,,,,,,,,,,,,,,,
1,Circle,,0.0009,-2.2363,-1.3280,0.3184,0.0167,,,0.1052,0.0335,,,,,,,,,,,,,,,,
1,Circle,,0.0055,-2.1196,-1.2945,0.4351,0.0418,,,0.2629,0.0837,,,,,,,,,,,,,,,,
1,Circle,,0.1927,-2.1196,-1.2945,0.4351,0.2477,,,1.5561,0.4953,,,,,,,,,,,,,,,,
1,Circle,,0.2228,-2.1196,-1.2945,0.4351,0.2663,,,1.6734,0.5327,,,,,,,,,,,,,,,,
1,Line,0.0335,,,,,,,,,,90,0.0000,-0.0335,0.0000,-2.1196,-1.3280,0.4770,-2.1196,-1.2945,0.4770,,,,,,
1,Circle,,0.2228,-2.1196,-1.3614,0.4351,0.2663,,,1.6734,0.5327,,,,,,,,,,,,,,,,
1,Line,0.0335,,,,,,,,,,90,0.0000,0.0335,0.0000,3.5090,1.2945,0.3287,3.5090,1.2610,0.3287,,,,,,
