Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,90,-0.0004,4.5760,1.0174,-12.7844,90.8556,8.5747,4.6878,-12.7840,86.2796,7.5572
1,Line,,,,,,,90,-0.0001,2.9418,0.0000,-12.7841,89.2214,7.5572,2.9418,-12.7840,86.2796,7.5572
1,Line,,,,,,,45,-1.4561,-1.4553,-1.2894,-26.9842,48.2536,8.5623,2.4292,-25.5281,49.7090,9.8517
1,Line,,,,,,,90,-0.0001,2.6921,0.0000,-25.5281,52.4011,9.8517,2.6921,-25.5281,49.7090,9.8517
1,Line,,,,,,,71,-1.4561,-4.1475,-1.2894,-26.9842,48.2536,8.5623,4.5809,-25.5281,52.4011,9.8517
1,Line,,,,,,,90,-0.0002,9.1781,0.0000,-25.9185,69.6163,9.8781,9.1781,-25.9182,60.4383,9.8781
1,Line,,,,,,,180,1.4562,-0.0096,1.2894,-25.5280,48.2440,9.8517,1.9450,-26.9842,48.2536,8.5623
1,Line,,,,,,,90,0.0000,1.4650,0.0000,-25.5281,49.7090,9.8517,1.4650,-25.5280,48.2440,9.8517
1,Line,,,,,,,62,1.4561,2.6922,1.2894,-25.5282,55.0932,9.8517,3.3212,-26.9843,52.4011,8.5623
1,Line,,,,,,,75,1.4560,5.3843,1.2894,-25.5282,55.0932,9.8517,5.7248,-26.9842,49.7089,8.5623
1,Line,,,,,,,77,1.4560,6.1907,1.2894,-25.5282,55.0932,9.8517,6.4891,-26.9842,48.9025,8.5623
1,Line,,,,,,,90,-0.0001,2.6921,0.0000,-25.5282,55.0932,9.8517,2.6921,-25.5281,52.4011,9.8517
1,Line,,,,,,,78,-1.4560,-6.8396,-1.2894,-26.9842,48.2536,8.5623,7.1107,-25.5282,55.0932,9.8517
1,Line,,,,,,,0,-1.4562,0.0000,-1.2894,-26.9844,55.0932,8.5623,1.9450,-25.5282,55.0932,9.8517
1,Line,,,,,,,90,-0.0001,4.7180,0.0000,-25.5282,87.7572,9.8599,4.7180,-25.5280,83.0392,9.8599
1,Line,,,,,,,73,-1.4560,-4.7181,-1.2894,-26.9842,83.0392,8.5705,5.1032,-25.5282,87.7572,9.8599
1,Line,,,,,,,90,-0.0001,4.7322,0.0000,-25.5283,92.4895,9.8599,4.7322,-25.5282,87.7572,9.8599
1,Line,,,,,,,79,1.4559,7.8303,1.2894,-25.5283,92.4895,9.8599,8.0682,-26.9842,84.6592,8.5705
1,Line,,,,,,,81,1.4559,9.4503,1.2894,-25.5283,92.4895,9.8599,9.6483,-26.9842,83.0392,8.5705
1,Line,,,,,,,0,1.4561,0.0000,1.2894,-25.5280,83.0392,9.8599,1.9450,-26.9842,83.0392,8.5705
1,Line,,,,,,,81,1.0642,6.4823,1.2893,-25.9185,69.6163,9.8781,6.6944,-26.9827,63.1340,8.5888
1,Line,,,,,,,83,1.0642,9.1389,1.2893,-25.9185,69.6163,9.8781,9.2906,-26.9826,60.4774,8.5888
1,Line,,,,,,,178,1.0644,-0.0391,1.2893,-25.9182,60.4383,9.8781,1.6724,-26.9826,60.4774,8.5888
1,Line,,,,,,,178,-1.0644,0.0391,-1.2893,-26.9829,69.6555,8.5888,1.6724,-25.9185,69.6163,9.8781
1,Line,,,,,,,61,1.0644,1.8933,1.2893,-25.9185,69.6163,9.8781,2.5258,-26.9828,67.7231,8.5888
1,Line,,,,,,,74,1.0643,3.8257,1.2893,-25.9185,69.6163,9.8781,4.1750,-26.9828,65.7907,8.5888
