Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,4.1559,,,,,,,,,,,,,,,,180,-4.1559,0.0000,0.0000,-2.1278,4.5833,3.3560,2.0281,4.5833,3.3560
1,Line,2.6100,,,,,,,,,,,,,,,,180,-2.6100,0.0000,0.0000,2.0281,4.7073,3.4800,4.6381,4.7073,3.4800
1,Line,2.6100,,,,,,,,,,,,,,,,180,-2.6100,0.0000,0.0000,2.0281,4.5833,3.3560,4.6381,4.5833,3.3560
1,Line,1.1967,,,,,,,,,,,,,,,,0,-1.1967,0.0000,0.0000,-3.3245,4.7073,3.4800,-2.1278,4.7073,3.4800
1,Line,1.1967,,,,,,,,,,,,,,,,0,-1.1967,0.0000,0.0000,-3.3245,4.5833,3.3560,-2.1278,4.5833,3.3560
1,Line,4.1559,,,,,,,,,,,,,,,,180,-4.1559,0.0000,0.0000,-2.1278,4.7073,3.4800,2.0281,4.7073,3.4800
1,Line,8.7360,,,,,,,,,,,,,,,,180,-8.7360,0.0000,0.0000,-4.0979,4.5833,0.8526,4.6381,4.5833,0.8526
1,Group_91,,,,,,,,,,,8.9802,6.5883,0.0000,1.0000,0.8500,1.0000,,,,,,,,,,
1,Group_91,,,,,,,,,,,11.2374,6.5883,0.0000,1.0000,0.8500,1.0000,,,,,,,,,,
1,Group_91,,,,,,,,,,,7.1530,6.5883,0.0000,1.0000,0.8500,1.0000,,,,,,,,,,
1,Line,8.7360,,,,,,,,,,,,,,,,180,-8.7360,0.0000,0.0000,-4.0979,4.5833,1.7052,4.6381,4.5833,1.7052
1,Line,0.6134,,,,,,,,,,,,,,,,106,-0.1660,0.5905,0.0000,-4.3879,5.2978,0.8526,-4.2219,4.7073,0.8526
1,Component_34,,,,,,,,,,,4.6381,4.5833,0.0000,1.0000,1.0000,-1.0000,,,,,,,,,,
1,Line,0.1754,,,,,,,,,,,,,,,,135,-0.1240,0.1240,0.0000,-4.2219,4.7073,1.7052,-4.0979,4.5833,1.7052
1,Line,0.5905,,,,,,,,,,,,,,,,90,0.0000,-0.5905,0.0000,-4.1039,5.2978,3.4800,-4.1039,5.8883,3.4800
1,Line,0.5905,,,,,,,,,,,,,,,,90,0.0000,-0.5905,0.0000,-4.2279,5.2978,3.3560,-4.2279,5.8883,3.3560
1,Line,2.5875,,,,,,,,,,,,,,,,180,-2.5875,0.0000,0.0000,2.0506,4.5833,2.5586,4.6381,4.5833,2.5586
