Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,3.6173,,,,,,,,,,180,-3.6071,0.0000,-0.2716,146.5460,114.7304,5.9227,150.1531,114.7304,6.1943
1,Line,0.9493,,,,,,,,,,252,-0.2928,-0.9026,-0.0279,146.2537,114.9453,5.8879,146.5465,115.8479,5.9158
1,Line,0.2941,,,,,,,,,,0,0.2929,0.0001,0.0271,146.5466,116.0617,5.9145,146.2537,116.0616,5.8874
1,Line,0.2222,,,,,,,,,,75,0.0564,0.2148,0.0045,146.2537,114.9453,5.8879,146.1972,114.7304,5.8833
1,Line,1.3312,,,,,,,,,,90,0.0002,1.3312,-0.0033,150.1533,116.0617,6.1909,150.1531,114.7304,6.1943
1,Line,2.6880,,,,,,,,,,90,0.0000,2.6880,0.0000,146.3455,116.0616,4.6858,146.3456,113.3737,4.6858
1,Line,1.3567,,,,,,,,,,90,-0.0003,1.3567,0.0033,150.1531,114.7304,6.1943,150.1534,113.3737,6.1910
1,Line,1.3580,,,,,,,,,,92,-0.0565,1.3568,-0.0041,146.1972,114.7304,5.8833,146.2537,113.3737,5.8874
1,Line,94.7149,,,,,,,,,,0,94.4406,0.0001,7.2039,244.5939,116.0617,13.3948,150.1533,116.0617,6.1909
1,Line,1.3567,,,,,,,,,,90,-0.0005,1.3567,0.0069,146.5460,114.7304,5.9227,146.5465,113.3737,5.9158
1,Line,1.1174,,,,,,,,,,90,0.0005,1.1174,-0.0069,146.5465,115.8479,5.9158,146.5460,114.7304,5.9227
1,Line,8.0298,,,,,,,,,,180,-0.6119,0.0000,8.0065,141.8403,113.3737,12.3947,142.4522,113.3737,4.3883
1,Line,2.6881,,,,,,,,,,90,0.0000,2.6881,0.0000,141.8403,116.0617,12.3947,141.8403,113.3737,12.3947
1,Line,0.2070,,,,,,,,,,180,-0.2060,0.0000,-0.0200,145.8416,113.3736,5.8474,146.0477,113.3737,5.8674
1,Line,0.2941,,,,,,,,,,180,-0.2928,-0.0001,-0.0284,146.2537,113.3737,5.8874,146.5465,113.3737,5.9158
1,Line,0.2070,,,,,,,,,,180,-0.2060,0.0000,-0.0200,146.0477,113.3737,5.8674,146.2537,113.3737,5.8874
1,Line,0.2138,,,,,,,,,,90,0.0001,0.2138,-0.0013,146.5466,116.0617,5.9145,146.5465,115.8479,5.9158
1,Line,1.1163,,,,,,,,,,90,0.0000,1.1163,-0.0005,146.2537,116.0616,5.8874,146.2537,114.9453,5.8879
1,Line,1.2106,,,,,,,,,,180,-0.0923,0.0000,1.2071,150.1534,113.3737,6.1910,150.2456,113.3737,4.9839
1,Line,1.4171,,,,,,,,,,180,-0.1080,0.0000,1.4130,149.6337,113.3737,12.9904,149.7417,113.3737,11.5774
1,Line,5.4022,,,,,,,,,,180,-0.4117,-0.0001,5.3865,149.7417,113.3737,11.5774,150.1534,113.3737,6.1910
1,Line,1.2051,,,,,,,,,,0,0.0918,0.0000,-1.2016,146.3455,116.0616,4.6858,146.2537,116.0616,5.8874
1,Line,2.6881,,,,,,,,,,90,0.0000,2.6881,0.0000,145.6357,116.0617,11.2579,145.6357,113.3737,11.2579
1,Line,2.6881,,,,,,,,,,90,0.0000,2.6881,0.0000,145.1372,116.0617,11.2061,145.1372,113.3736,11.2061
1,Line,2.7160,,,,,,,,,,291,0.0000,0.0000,2.7160,145.8416,116.0617,11.2793,145.8416,116.0617,8.5634
1,Line,2.7039,,,,,,,,,,180,-0.2061,0.0000,2.6960,145.8416,116.0617,8.5634,146.0477,116.0617,5.8674
1,Line,2.1644,,,,,,,,,,180,-2.1581,0.0000,-0.1649,143.6835,116.0617,8.3984,145.8416,116.0617,8.5634
1,Line,95.1289,,,,,,,,,,0,94.8522,0.0000,7.2494,244.5939,116.0617,18.8268,149.7417,116.0617,11.5774
1,Line,1.3313,,,,,,,,,,90,0.0000,1.3313,0.0000,145.8416,116.0617,11.2793,145.8416,114.7304,11.2793
1,Line,3.6977,,,,,,,,,,0,3.6870,0.0000,0.2818,145.5273,116.0617,12.6765,141.8403,116.0617,12.3947
