Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,28.0300,,,,,,,,,,90,0.0000,28.0300,0.0000,20.2648,64.4230,7.1173,20.2648,36.3930,7.1173
1,Group_3,-21.4309,34.5648,5.9853,1.0000,1.0000,1.0000,,,,,,,,,,,,,,,,,,,,
1,Line,,,,,,,7.0784,,,,,,,,,,180,-7.0784,0.0000,0.0000,-28.5093,66.2513,5.9853,-21.4309,66.2513,5.9853
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,20.7532,36.3930,7.7367,20.2648,36.3930,7.1173
1,Line,,,,,,,9.5030,,,,,,,,,,180,-7.4626,0.0000,5.8836,12.8022,64.4230,13.0009,20.2648,64.4230,7.1173
1,Line,,,,,,,0.7889,,,,,,,,,,0,0.4884,0.0000,0.6195,14.3524,37.7450,12.7833,13.8640,37.7450,12.1638
1,Line,,,,,,,7.0784,,,,,,,,,,180,-7.0784,0.0000,0.0000,-28.5093,34.5648,5.9853,-21.4309,34.5648,5.9853
1,Line,,,,,,,27.7421,,,,,,,,,,90,0.0000,27.7421,0.0000,-28.5093,64.2790,4.0131,-28.5093,36.5370,4.0131
1,Line,,,,,,,31.6865,,,,,,,,,,90,0.0000,31.6865,0.0000,-28.5093,66.2513,-13.4639,-28.5093,34.5648,-13.4639
1,Line,,,,,,,19.4492,,,,,,,,,,0,0.0000,0.0000,-19.4492,-28.5093,66.2513,-13.4639,-28.5093,66.2513,5.9853
1,Line,,,,,,,15.5048,,,,,,,,,,0,0.0000,0.0000,-15.5048,-28.5093,64.2790,-11.4917,-28.5093,64.2790,4.0131
1,Line,,,,,,,27.7421,,,,,,,,,,90,0.0000,-27.7421,0.0000,-28.5093,36.5370,-11.4917,-28.5093,64.2790,-11.4917
1,Line,,,,,,,15.5048,,,,,,,,,,0,0.0000,0.0000,15.5048,-28.5093,36.5370,4.0131,-28.5093,36.5370,-11.4917
1,Line,,,,,,,6.7990,,,,,,,,,,0,5.3391,0.0000,-4.2094,19.2031,37.7450,7.9543,13.8640,37.7450,12.1638
1,Line,,,,,,,8.3460,,,,,,,,,,0,0.0000,0.0000,-8.3460,3.5297,15.5721,60.6791,3.5297,15.5721,69.0250
1,Line,,,,,,,7.7095,,,,,,,,,,90,0.0000,7.7095,0.0000,3.5297,23.2816,60.6791,3.5297,15.5721,60.6791
1,Line,,,,,,,11.8704,,,,,,,,,,180,-11.8704,0.0000,0.0000,-6.0490,25.5734,64.2639,5.8214,25.5734,64.2639
1,Line,,,,,,,10.9749,,,,,,,,,,180,-10.9749,0.0000,0.0000,-5.6013,25.1256,64.2639,5.3737,25.1256,64.2639
1,Line,,,,,,,12.2929,,,,,,,,,,90,0.0000,-12.2929,0.0000,-6.0490,13.2804,64.2639,-6.0490,25.5734,64.2639
1,Line,,,,,,,11.8704,,,,,,,,,,0,11.8704,0.0000,0.0000,5.8214,13.2804,64.2639,-6.0490,13.2804,64.2639
1,Line,,,,,,,18.6198,,,,,,,,,,45,2.7282,2.7282,-18.2157,-2.8372,16.4923,46.0482,-5.5653,13.7641,64.2639
1,Line,,,,,,,12.2929,,,,,,,,,,90,0.0000,12.2929,0.0000,5.8214,25.5734,65.4630,5.8214,13.2804,65.4630
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,5.8214,25.5734,65.4630,5.8214,25.5734,64.2639
1,Line,,,,,,,12.2929,,,,,,,,,,90,0.0000,12.2929,0.0000,5.8214,25.5734,64.2639,5.8214,13.2804,64.2639
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,-6.0490,13.2804,65.4630,-6.0490,13.2804,64.2639
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,-5.5653,25.0897,65.4630,-5.5653,25.0897,64.2639
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,5.8214,13.2804,65.4630,5.8214,13.2804,64.2639
1,Line,,,,,,,11.3975,,,,,,,,,,90,0.0000,-11.3975,0.0000,-5.6013,13.7282,64.2639,-5.6013,25.1256,64.2639
1,Line,,,,,,,11.3256,,,,,,,,,,90,0.0000,11.3256,0.0000,5.3377,25.0897,65.4630,5.3377,13.7641,65.4630
1,Line,,,,,,,1.1991,,,,,,,,,,0,0.0000,0.0000,1.1991,-6.0490,25.5734,65.4630,-6.0490,25.5734,64.2639
1,Line,,,,,,,12.2929,,,,,,,,,,90,0.0000,-12.2929,0.0000,-6.0490,13.2804,65.4630,-6.0490,25.5734,65.4630
1,Line,,,,,,,8.3460,,,,,,,,,,0,0.0000,0.0000,-8.3460,-3.7573,23.2816,60.6791,-3.7573,23.2816,69.0250
1,Line,,,,,,,5.4467,,,,,,,,,,180,-5.4467,0.0000,0.0000,-2.8372,22.3615,46.0482,2.6096,22.3615,46.0482
1,Line,,,,,,,8.1749,,,,,,,,,,180,-8.1749,0.0000,0.0000,-5.5653,13.7641,64.2639,2.6096,13.7641,64.2639
1,Line,,,,,,,8.5446,,,,,,,,,,180,-8.5446,0.0000,0.0000,-4.3861,14.9433,68.6439,4.1585,14.9433,68.6439
1,Line,,,,,,,2.7282,,,,,,,,,,180,-2.7282,0.0000,0.0000,2.6096,13.7641,64.2639,5.3377,13.7641,64.2639
