Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0280,,,,,,,,,,,,,,,,130,-0.0161,0.0192,0.0125,8.8731,0.8408,3.0274,8.8892,0.8216,3.0149
1,Line,0.0260,,,,,,,,,,,,,,,,50,-0.0167,-0.0200,0.0000,8.8731,0.8408,3.0274,8.8899,0.8607,3.0274
1,Line,0.0261,,,,,,,,,,,,,,,,180,0.0034,0.0000,-0.0259,8.9249,1.0482,3.2524,8.9215,1.0482,3.2782
1,Line,0.0261,,,,,,,,,,,,,,,,180,0.0034,0.0000,-0.0259,8.9249,1.1482,3.2524,8.9215,1.1482,3.2782
1,Line,0.0280,,,,,,,,,,,,,,,,70,-0.0086,-0.0235,0.0125,8.7907,0.8042,3.0649,8.7993,0.8277,3.0524
1,Line,0.0150,,,,,,,,,,,,,,,,90,0.0000,0.0150,0.0000,8.8682,1.0632,3.2774,8.8682,1.0482,3.2774
1,Line,0.0150,,,,,,,,,,,,,,,,90,0.0000,0.0150,0.0000,8.8732,1.0632,3.2653,8.8732,1.0482,3.2653
1,Line,0.1000,,,,,,,,,,,,,,,,90,0.0000,-0.1000,0.0000,8.9215,1.0482,3.2782,8.9215,1.1482,3.2782
1,Line,0.0280,,,,,,,,,,,,,,,,90,0.0000,0.0250,-0.0125,8.8249,1.7982,2.9649,8.8249,1.7732,2.9774
1,Line,0.0280,,,,,,,,,,,,,,,,160,-0.0235,0.0086,0.0125,9.8954,1.2726,3.0274,9.9189,1.2640,3.0149
1,Line,0.0280,,,,,,,,,,,,,,,,30,0.0217,0.0125,0.0125,8.7600,0.8607,3.0024,8.7383,0.8482,2.9899
1,Line,0.0280,,,,,,,,,,,,,,,,10,0.0246,0.0043,0.0125,8.7511,0.8852,3.0024,8.7264,0.8808,2.9899
1,Line,0.0260,,,,,,,,,,,,,,,,60,-0.0130,-0.0226,0.0000,9.8824,1.2500,3.0274,9.8954,1.2726,3.0274
1,Line,0.0280,,,,,,,,,,,,,,,,140,-0.0192,0.0161,0.0125,9.8824,1.2500,3.0274,9.9015,1.2339,3.0149
1,Line,0.0347,,,,,,,,,,,,,,,,60,-0.0174,-0.0301,0.0000,9.9015,1.2339,3.0149,9.9189,1.2640,3.0149
1,Line,0.0347,,,,,,,,,,,,,,,,110,-0.0119,0.0326,0.0000,8.7264,0.8808,2.9899,8.7383,0.8482,2.9899
1,Line,0.0347,,,,,,,,,,,,,,,,110,-0.0119,0.0326,0.0000,8.7264,0.8808,3.0149,8.7383,0.8482,3.0149
1,Line,0.0280,,,,,,,,,,,,,,,,110,0.0086,-0.0235,0.0125,8.7993,1.7687,2.9774,8.7907,1.7922,2.9649
