Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,,,,,,,,0,-0.5700,0.0000,0.0000,1.6600,-1.2092,4.1069,0.5700,2.2300,-1.2092,4.1069,,,,,,
1,Line,,,,,,,,90,0.0000,-0.3200,0.0000,3.0198,1.6307,1.2341,0.3200,3.0198,1.9507,1.2341,,,,,,
1,Line,,,,,,,,0,0.0400,0.0000,0.0000,1.1782,2.4915,0.9192,0.0400,1.1382,2.4915,0.9192,,,,,,
1,Line,,,,,,,,180,0.0600,0.0000,0.0000,2.8698,5.3895,1.2547,0.0600,2.8098,5.3895,1.2547,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,13.0188,3.8742,0.0825,0.4357,13.0188,3.8742,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,13.0188,3.5858,0.0825,0.4357,13.0188,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,0.4357,26.9923,3.8742,0.2884,0.4357,26.9923,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.1811,3.3059,31.7516,2.7406,1.1811,3.3059,31.7516,3.9217,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,31.7516,3.9217,0.0826,3.3884,31.7516,3.9217,,,,,,
1,Line,,,,,,,,90,0.0000,0.5732,0.0000,3.3059,31.7516,3.9217,0.5732,3.3059,31.1784,3.9217,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,31.7516,2.7406,0.0826,3.3884,31.7516,2.7406,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2850,0.5182,29.3401,3.5858,0.2850,0.5182,29.3401,3.8708,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2850,0.4357,29.3401,3.5858,0.2850,0.4357,29.3401,3.8708,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,3.9915,3.5858,0.0826,3.3884,3.9915,3.5858,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6637,0.0000,0.5182,29.3401,3.5858,1.6637,0.5182,31.0038,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,1.2256,0.4357,25.2713,3.9384,1.2256,0.4357,25.2713,2.7128,,,,,,
1,Line,,,,,,,,90,0.0000,1.7963,0.0000,0.4357,27.0677,2.7128,1.7963,0.4357,25.2713,2.7128,,,,,,
1,Line,,,,,,,,90,0.0000,1.6336,0.0000,0.4357,26.9923,3.5858,1.6336,0.4357,25.3587,3.5858,,,,,,
1,Line,,,,,,,,90,0.0000,-1.7963,0.0000,0.4357,25.2713,3.9384,1.7963,0.4357,27.0677,3.9384,,,,,,
1,Line,,,,,,,,90,0.0000,-0.7913,0.0000,0.4357,0.3118,4.2651,0.7913,0.4357,1.1030,4.2651,,,,,,
1,Line,,,,,,,,180,0.0600,0.0000,0.0000,2.8698,2.3761,0.8222,0.0600,2.8098,2.3761,0.8222,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2381,0.4357,0.3118,4.0270,0.2381,0.4357,0.3118,4.2651,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2381,0.4357,1.1030,4.0270,0.2381,0.4357,1.1030,4.2651,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6336,0.0000,0.4357,25.3587,3.8742,1.6336,0.4357,26.9923,3.8742,,,,,,
1,Line,,,,,,,,90,0.0000,-0.3200,0.0000,3.0198,4.7107,0.9141,0.3200,3.0198,5.0307,0.9141,,,,,,
